"","Filename","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML","2024_NEG_CC-NaB_1_Run30.mzML","2024_NEG_CC-NaB_2_Run51.mzML","2024_NEG_CC-NaB_3_Run57.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","37/328.9796mz/2.13min","1595063.4","1454756.1","1189924.5","1410444.1","1479411.9","1246689.5"
"3","38/312.9847mz/2.35min","218778.83","561715.5","438103.03","589704.5","435920.34","439749.6"
"4","39/312.9847mz/2.45min","634447.7","670231.4","611823.4","736831.06","590930.06","640348.1"
"5","40/373.0055mz/2.71min","2257010.2","2072115.2","2000419.6","2275841.8","2113290.2","2113253.8"
"6","41/370.9898mz/2.8min","919898.0","805295.6","803970.94","906032.7","836526.1","816393.44"
"7","42/265.0176mz/2.84min","1947526.1","1788778.2","1767804.5","1932694.9","1795642.1","1762416.8"
"8","43/397.0055mz/3.14min","328452.97","283622.03","286838.56","309042.06","302315.1","298219.56"
"9","44/265.0176mz/3.18min","3461896.0","3243903.8","3214153.5","3379423.0","3317284.8","3360138.2"
"10","45/212.0353mz/3.31min","2627980.0","3421620.8","8122291.5","2265289.5","2932752.0","3680574.5"
"11","46/421.0055mz/3.31min","92237.8","91984.9","75894.35","82516.1","79537.375","68146.52"
"12","47/421.0056mz/3.41min","3235767.2","2830852.0","2806243.8","3223245.0","3071674.0","2921239.5"
"13","48/209.9992mz/3.41min","360422.75","325157.47","312197.7","333843.72","328049.5","300687.7"
"14","49/249.0227mz/3.49min","6057187.0","5698965.0","5614002.0","5988741.5","6720423.0","6841276.0"
"15","50/582.981mz/3.53min","787449.2","682728.9","655657.0","772332.06","709001.75","709973.0"
"16","53/560.999mz/3.54min","4224123.0","3811020.2","3745378.5","4230724.5","3732143.8","3854577.8"
"17","54/213.0386mz/3.54min","2748449.2","2243994.8","1611549.4","1552998.4","2196506.0","1446453.6"
"18","55/212.0353mz/3.54min","21804692.0","17830688.0","13307568.0","17111950.0","17553342.0","17647606.0"
"19","57/407.0044mz/3.62min","1335789.1","1193888.5","1229078.0","1318820.4","1265410.6","1274451.0"
"20","58/405.0107mz/3.62min","18889106.0","17732686.0","17837680.0","18939264.0","18653666.0","19005494.0"
"21","59/811.0291mz/3.62min","370601.94","313384.12","323123.25","344272.9","339962.06","327647.03"
"22","60/406.0138mz/3.62min","3620992.2","3233143.8","3651887.2","3559500.8","3395166.0","3778381.0"
"23","62/421.0055mz/3.86min","512986.97","480279.0","452269.94","617988.6","418723.28","504361.0"
"24","63/309.1014mz/4.02min","441297.62","404056.2","392178.34","463355.88","414757.38","418046.66"
"25","64/605.0258mz/4.07min","890392.4","670023.4","738648.9","728316.1","691770.56","843047.44"
"26","66/421.1867mz/4.15min","1159734.9","804098.2","977752.5","966587.56","823795.06","852965.9"
"27","67/603.01mz/4.17min","387478.75","308302.4","342897.6","347677.03","321617.53","353721.72"
"28","68/447.0213mz/4.21min","339719.78","316512.9","332371.66","337826.5","321581.75","334432.06"
"29","69/263.0383mz/4.27min","347975.78","334334.7","330672.06","345575.0","336868.28","336552.4"
"30","71/282.9837mz/4.4min","397801.0","375756.44","353557.5","371781.88","358447.03","359314.5"
"31","72/242.1762mz/4.43min","504428.47","480038.28","483300.25","503800.72","494728.4","451792.38"
"32","73/497.0371mz/4.44min","1045720.06","917589.7","1010404.8","971694.7","919047.44","983581.4"
"33","74/560.999mz/4.51min","86153.47","100456.695","22223.762","121777.75","52020.33","123700.09"
"34","77/793.0186mz/4.49min","598263.5","643447.2","961622.25","824386.8","633956.0","793459.06"
"35","79/341.0486mz/4.56min","816816.8","701846.44","743425.94","764977.0","700527.56","736069.7"
"36","80/422.9768mz/4.56min","861216.7","751914.5","766555.3","816906.9","716580.4","766498.94"
"37","81/404.0444mz/4.56min","483724.84","442972.72","416306.72","469833.4","427036.66","444453.97"
"38","84/653.0255mz/4.57min","551684.56","624998.6","842026.56","653332.06","612946.2","715711.56"
"39","85/497.0371mz/4.67min","1315325.6","1395156.0","1874843.0","1624233.9","1415603.5","1647514.8"
"40","86/228.9699mz/4.74min","494201.06","455355.97","457055.28","496645.5","455689.4","465204.6"
"41","87/227.9666mz/4.74min","6061078.0","5891523.0","5632661.0","6266872.5","5732866.5","5724825.0"
"42","88/229.9645mz/4.74min","6014812.0","5972596.0","5573851.0","6187157.0","5661852.5","5685938.0"
"43","89/230.9678mz/4.74min","476722.94","474965.25","443309.94","503108.2","429720.8","453678.47"
"44","90/266.9888mz/4.76min","1691425.6","1532154.0","1368003.4","1616749.4","1404693.2","1411481.1"
"45","91/268.9857mz/4.76min","568111.9","515641.25","455835.0","513746.97","446503.06","468650.2"
"46","92/637.0305mz/4.78min","4013649.8","4042159.5","5572367.5","4475875.5","4136989.8","4664821.5"
"47","95/481.0421mz/4.92min","3987698.8","4070791.8","5142831.0","4868160.0","4310170.5","4430029.5"
"48","96/544.0379mz/4.92min","1574437.8","1655809.9","2149699.5","1916585.6","1811902.1","1829063.2"
"49","97/426.9678mz/4.97min","10754062.0","10561936.0","9637257.0","10420010.0","9345799.0","8787695.0"
"50","98/428.9624mz/4.97min","403793.75","396905.7","366830.4","378069.28","359279.66","337716.2"
"51","99/396.2154mz/4.99min","909457.56","536284.44","775604.8","413619.12","554173.7","386363.66"
"52","100/397.219mz/4.99min","152305.28","94906.47","131348.61","69805.15","91160.03","70443.47"
"53","101/484.2681mz/5.03min","1311657.5","797769.3","1249536.9","869349.44","998490.44","816751.3"
"54","102/501.2582mz/5.03min","270422.0","156216.22","254273.72","182458.16","190114.0","149543.58"
"55","103/653.0255mz/5.04min","54784.625","58481.97","78698.12","66843.52","51662.08","62950.797"
"56","104/187.861mz/5.09min","0.0","0.0","0.0","0.0","0.0","167930.55"
"57","105/214.8799mz/5.11min","30597.277","19325.229","91470.87","31303.984","23974.098","627140.2"
"58","106/241.8989mz/5.11min","152191.55","147350.61","128372.01","259684.95","151588.06","1506596.2"
"59","107/396.2154mz/5.1min","2768363.8","1713910.9","2769893.5","1493296.0","2140950.0","1376742.5"
"60","108/397.2189mz/5.1min","515677.44","307468.3","516834.34","279010.38","393839.5","250064.1"
"61","109/424.2468mz/5.16min","162407.5","87859.62","134665.64","91493.68","119554.25","84571.23"
"62","110/484.2681mz/5.14min","3616339.8","2537889.0","3780737.5","2977450.5","3560052.2","2933900.0"
"63","111/501.2583mz/5.14min","690669.44","487320.1","743505.94","573688.4","697837.25","543810.44"
"64","112/187.8609mz/5.26min","36745.223","5213.7744","60925.473","30436.178","10796.093","143077.94"
"65","113/424.2468mz/5.21min","174595.0","83637.05","161953.9","85216.22","120199.97","78900.84"
"66","114/779.3651mz/5.29min","772023.94","432716.03","565327.4","329039.44","350322.0","381667.28"
"67","115/187.8609mz/5.31min","111107.55","47199.15","212259.11","36969.64","10796.093","104498.945"
"68","116/424.2468mz/5.55min","804076.6","500993.0","756293.56","451677.3","572261.9","399479.22"
"69","117/512.2994mz/5.6min","128773.26","76161.95","122300.74","87212.695","96482.79","91901.75"
"70","118/705.3283mz/5.63min","489167.97","264946.7","327699.4","257004.77","259098.39","259298.95"
"71","119/187.8609mz/5.65min","0.0","0.0","0.0","0.0","146467.36","0.0"
"72","120/214.8799mz/5.63min","29718.564","87065.72","129626.82","99600.88","768785.8","49406.523"
"73","121/241.8989mz/5.65min","129445.29","290462.4","138125.84","138902.27","1426376.5","212111.1"
"74","122/132.8679mz/5.65min","215717.8","178916.06","137159.48","159414.53","293634.53","116781.58"
"75","123/424.2468mz/5.66min","3059949.2","2058347.2","3118588.8","1945300.5","2410768.0","1729116.9"
"76","124/512.2994mz/5.71min","519598.2","375007.28","535724.9","462735.34","512985.34","444817.2"
"77","127/315.2541mz/5.8min","116824.41","66822.36","104149.8","71328.48","77723.06","62806.71"
"78","128/562.0039mz/5.83min","59231.617","56904.168","71395.22","73927.06","57433.086","56024.137"
"79","129/195.906mz/6.02min","0.0","198852.66","0.0","36026.758","0.0","0.0"
"80","130/214.8799mz/5.97min","16127.288","777054.6","216166.8","135896.03","71866.76","57006.07"
"81","131/241.8989mz/5.97min","262851.7","1409367.0","287083.3","276116.66","292661.4","278718.1"
"82","132/187.8609mz/6.03min","0.0","172636.62","0.0","23987.662","0.0","0.0"
"83","133/315.2542mz/6.02min","115011.51","74739.94","107926.07","84629.27","91900.66","74720.4"
"84","134/265.1479mz/6.02min","580032.0","215177.77","434567.06","318856.56","393433.62","221945.45"
"85","135/271.2279mz/6.06min","326082.88","179300.84","254945.56","176760.89","186485.06","151817.56"
"86","136/452.2782mz/6.13min","930154.94","628842.3","912900.4","631940.5","720364.44","603866.2"
"87","137/315.2541mz/6.14min","427414.44","236347.86","343795.9","241074.61","260775.67","218285.06"
"88","138/540.3308mz/6.19min","141203.97","98026.41","145578.94","129443.984","136792.34","135912.81"
"89","139/452.2782mz/6.24min","5552533.5","3698379.8","5394294.0","3615541.0","4230384.0","3430071.0"
"90","140/540.3309mz/6.3min","962392.06","768470.1","1034304.5","914742.1","912333.4","911719.25"
"91","141/478.2939mz/6.3min","3028820.2","1575212.0","2638266.0","1405576.1","1946785.1","1341503.8"
"92","142/480.299mz/6.3min","110371.08","53516.062","92865.33","42418.973","64790.133","42494.676"
"93","143/566.3465mz/6.37min","405563.7","244704.3","382524.7","260387.1","297487.7","257849.55"
"94","144/271.2279mz/6.39min","311101.3","202246.3","241514.03","187235.42","188472.81","162023.67"
"95","145/957.5953mz/6.4min","480843.44","162516.58","467697.62","134511.19","279846.53","140272.75"
"96","146/478.2939mz/6.41min","11101540.0","6233555.0","10607851.0","5758294.0","7966998.5","5389555.5"
"97","147/480.2991mz/6.41min","410062.38","241661.5","375621.4","210522.16","302933.66","193828.14"
"98","149/566.3466mz/6.47min","2011159.4","1302038.1","2015869.9","1449955.5","1666626.4","1493552.4"
"99","150/297.2436mz/6.48min","184996.92","104478.22","140608.97","113179.95","137559.4","106096.08"
"100","151/573.1293mz/6.5min","354637.03","294492.62","291222.03","336978.56","285444.66","244515.83"
