"Log2_FoldChange","MetaboAnalyst_ID"
-0.51438,"103/99.5121mz/2.1min"
-0.14728,"104/244.1907mz/2.1min"
0.13761,"105/181.0971mz/2.12min"
0.14033,"106/245.0954mz/2.12min"
-0.087887,"107/184.1695mz/2.21min"
5.2001e-05,"108/217.1247mz/2.25min"
0.03121,"109/218.1281mz/2.25min"
0.017094,"110/199.1012mz/2.25min"
0.013438,"111/200.1046mz/2.25min"
-0.12247,"113/195.1227mz/2.29min"
0.20239,"115/244.2012mz/2.36min"
-0.0077453,"116/244.2012mz/2.51min"
-0.17057,"118/316.2117mz/2.58min"
-0.0040489,"119/261.1234mz/2.6min"
-0.0073744,"120/259.2202mz/2.66min"
-0.12786,"121/130.159mz/2.69min"
-0.40851,"122/185.0855mz/2.7min"
0.029239,"123/197.1285mz/2.71min"
-0.19078,"125/316.2117mz/2.74min"
-0.06977,"129/272.1856mz/2.82min"
-0.42212,"134/183.0917mz/2.96min"
-0.021844,"136/211.1441mz/3.14min"
0.043585,"137/211.144mz/3.24min"
-0.03081,"138/245.1284mz/3.26min"
-0.063749,"140/245.1284mz/3.39min"
-0.023352,"141/228.2321mz/3.47min"
-0.49156,"142/264.1335mz/3.47min"
-0.47927,"145/215.053mz/3.54min"
-0.27921,"146/214.0499mz/3.54min"
-0.047239,"148/274.1648mz/3.55min"
-0.063957,"149/228.2321mz/3.65min"
-0.3035,"151/586.2703mz/3.73min"
-0.19658,"154/514.2855mz/3.97min"
-0.13941,"156/320.1703mz/4.32min"
0.029517,"157/325.1257mz/4.32min"
-0.011521,"158/195.1379mz/4.34min"
-0.055671,"159/364.1965mz/4.4min"
-0.071151,"160/226.1801mz/4.42min"
-0.047994,"161/244.1907mz/4.42min"
-0.069757,"163/408.2226mz/4.47min"
-0.10424,"164/214.1801mz/4.51min"
-0.15314,"165/392.1914mz/4.56min"
-0.016163,"168/211.9705mz/4.74min"
0.0039728,"169/230.9844mz/4.75min"
-0.011336,"170/213.9685mz/4.75min"
0.0015681,"172/231.979mz/4.75min"
-0.031787,"173/232.9823mz/4.75min"
-0.019885,"175/270.2063mz/4.78min"
-0.0023195,"176/656.071mz/4.78min"
-0.068642,"181/573.2513mz/4.8min"
-0.10189,"182/551.2695mz/4.81min"
-0.066753,"183/568.2961mz/4.81min"
-0.48831,"185/230.2477mz/4.87min"
-0.047148,"186/229.1991mz/4.88min"
-0.018329,"187/250.1777mz/4.88min"
-0.042393,"188/228.1958mz/4.88min"
-0.063183,"189/158.1539mz/4.95min"
-0.13364,"190/640.3173mz/4.96min"
-0.73928,"191/398.23mz/4.99min"
-0.39392,"193/440.277mz/5.03min"
-0.58907,"196/398.23mz/5.1min"
-0.12311,"198/440.277mz/5.14min"
-0.6678,"199/412.2457mz/5.17min"
-0.22108,"201/404.2066mz/5.21min"
-0.26205,"202/387.1801mz/5.21min"
-0.63058,"204/752.3999mz/5.3min"
-0.01769,"206/482.2876mz/5.42min"
-0.6168,"207/426.2614mz/5.55min"
-0.69478,"208/371.2742mz/5.56min"
-0.56726,"210/678.3631mz/5.63min"
0.010557,"213/446.2535mz/5.63min"
-0.17608,"215/415.2113mz/5.64min"
-0.15815,"216/432.2378mz/5.64min"
-0.95366,"219/716.509mz/5.65min"
-0.80759,"223/303.3087mz/5.65min"
