"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"470/706.5362mz/7.48min",0.039536,-4.6607,"470"
"1207/794.7225mz/8.8min",7.8743,2.9771,"1207"
"646/718.5373mz/7.86min",0.14885,-2.748,"646"
"1511/692.5213mz/10.36min",6.4874,2.6977,"1511"
"727/746.5684mz/7.94min",6.0113,2.5877,"727"
"416/678.5065mz/7.31min",5.4751,2.4529,"416"
"596/397.3099mz/7.79min",0.19614,-2.35,"596"
"844/692.5144mz/8.13min",4.9561,2.3092,"844"
"627/746.5687mz/7.86min",4.9159,2.2974,"627"
"635/705.5256mz/7.84min",4.8578,2.2803,"635"
"650/788.6129mz/7.86min",0.22429,-2.1565,"650"
"605/706.5285mz/7.84min",4.3508,2.1213,"605"
"437/692.522mz/7.41min",0.25604,-1.9656,"437"
"485/726.5038mz/7.6min",3.7012,1.888,"485"
"476/408.3083mz/7.52min",0.27285,-1.8738,"476"
"529/726.5038mz/7.68min",3.5796,1.8398,"529"
"608/704.5219mz/7.84min",3.5707,1.8362,"608"
"552/659.2868mz/7.7min",0.29784,-1.7474,"552"
"1512/746.5674mz/10.33min",3.1441,1.6527,"1512"
"754/636.4592mz/7.94min",3.0725,1.6194,"754"
"654/580.3969mz/7.84min",0.33579,-1.5744,"654"
"609/707.5319mz/7.84min",2.969,1.57,"609"
"554/637.3049mz/7.71min",0.33947,-1.5587,"554"
"472/387.3298mz/7.49min",0.34464,-1.5369,"472"
"1198/1129.3164mz/8.77min",0.35156,-1.5082,"1198"
"418/732.5534mz/7.34min",2.8254,1.4985,"418"
"1359/535.4331mz/9.53min",0.35653,-1.4879,"1359"
"474/386.3263mz/7.52min",0.36036,-1.4725,"474"
"553/654.3317mz/7.7min",0.37328,-1.4217,"553"
"738/664.49mz/7.96min",2.6775,1.4209,"738"
"1197/1128.3157mz/8.75min",0.37357,-1.4206,"1197"
"1495/744.5532mz/10.3min",0.37544,-1.4133,"1495"
"1368/561.4487mz/9.6min",0.3787,-1.4009,"1368"
"917/768.5506mz/8.28min",2.6039,1.3807,"917"
"639/786.6mz/7.84min",2.6031,1.3802,"639"
"856/690.5064mz/8.14min",2.5431,1.3466,"856"
"921/644.4284mz/8.28min",0.39505,-1.3399,"921"
"392/692.5219mz/7.32min",2.4907,1.3165,"392"
"441/760.5839mz/7.47min",0.40246,-1.3131,"441"
"1489/690.5064mz/10.29min",2.4835,1.3123,"1489"
"1496/608.4284mz/10.31min",0.40563,-1.3018,"1496"
"593/356.3158mz/7.79min",0.41151,-1.281,"593"
"1370/825.6935mz/9.61min",2.4245,1.2777,"1370"
"1488/691.5098mz/10.28min",2.4079,1.2678,"1488"
"504/462.3551mz/7.6min",0.41561,-1.2667,"504"
"1258/568.4697mz/8.97min",0.42168,-1.2458,"1258"
"1509/704.5222mz/10.35min",2.3629,1.2406,"1509"
"820/540.3889mz/8.08min",0.42638,-1.2298,"820"
"1331/596.501mz/9.38min",0.43448,-1.2026,"1331"
"378/669.3282mz/7.18min",0.43573,-1.1985,"378"
"1381/634.6494mz/9.72min",2.2747,1.1857,"1381"
"394/700.4882mz/7.3min",2.2651,1.1796,"394"
"752/732.5535mz/7.94min",0.44443,-1.17,"752"
"424/689.4973mz/7.39min",2.2428,1.1653,"424"
"713/528.402mz/7.93min",0.44747,-1.1601,"713"
"397/716.4618mz/7.3min",2.2224,1.1521,"397"
"762/760.5837mz/7.94min",2.2183,1.1494,"762"
"435/408.3083mz/7.43min",0.45318,-1.1418,"435"
"1340/650.6444mz/9.45min",2.1985,1.1365,"1340"
"539/495.3443mz/7.68min",0.45529,-1.1351,"539"
"920/622.4441mz/8.27min",0.45691,-1.13,"920"
"948/712.4882mz/8.28min",2.1597,1.1108,"948"
"1379/610.5166mz/9.69min",0.46315,-1.1104,"1379"
"653/742.499mz/7.84min",0.46732,-1.0975,"653"
"1360/672.6263mz/9.5min",2.1188,1.0833,"1360"
"1021/497.3598mz/8.43min",0.4721,-1.0828,"1021"
"591/408.3681mz/7.78min",0.4768,-1.0685,"591"
"266/959.6089mz/6.41min",0.48325,-1.0491,"266"
"764/768.5502mz/7.94min",2.0668,1.0474,"764"
"585/496.4204mz/7.78min",0.48479,-1.0446,"585"
"885/629.4941mz/8.27min",0.48803,-1.035,"885"
"588/452.3943mz/7.78min",0.49008,-1.0289,"588"
"231/328.321mz/5.8min",0.4901,-1.0288,"231"
"644/182.9851mz/7.84min",2.0308,1.022,"644"
"1436/563.4643mz/10.03min",0.49453,-1.0159,"1436"
"1260/712.5844mz/9.01min",0.49572,-1.0124,"1260"
"1255/672.5533mz/9.0min",0.49745,-1.0074,"1255"
"1287/786.5847mz/9.16min",0.4995,-1.0014,"1287"
