"Log2_FoldChange","MetaboAnalyst_ID"
-0.071097,"40/328.9796mz/2.13min"
0.12034,"41/312.9847mz/2.35min"
-0.11111,"42/312.9847mz/2.45min"
-0.0071074,"43/373.0055mz/2.71min"
-0.02204,"44/370.9898mz/2.8min"
-0.02642,"45/265.0176mz/2.84min"
-0.032592,"47/265.0176mz/3.18min"
-0.20321,"48/212.0353mz/3.32min"
0.0044689,"50/421.0056mz/3.41min"
-0.0023697,"51/249.0227mz/3.49min"
-0.050251,"54/582.981mz/3.54min"
-0.091806,"55/560.999mz/3.54min"
-0.45927,"56/213.0386mz/3.54min"
-0.13639,"57/212.0353mz/3.54min"
0.021111,"61/406.0138mz/3.62min"
0.077466,"62/405.0107mz/3.62min"
0.00019993,"63/407.0044mz/3.62min"
0.02307,"65/421.0056mz/3.86min"
0.02345,"66/309.1014mz/4.02min"
-0.18381,"67/605.0258mz/4.07min"
0.28758,"69/421.1867mz/4.15min"
-0.05871,"74/282.9837mz/4.4min"
-0.038332,"75/242.1762mz/4.43min"
-0.16368,"76/497.0371mz/4.44min"
-0.041242,"77/793.0186mz/4.49min"
-0.094361,"81/341.0486mz/4.56min"
-0.098747,"82/422.9768mz/4.56min"
-0.067796,"83/404.0444mz/4.56min"
-0.023472,"85/653.0255mz/4.57min"
-0.051516,"87/497.0371mz/4.67min"
-0.016948,"88/228.9699mz/4.74min"
-0.037191,"90/229.9645mz/4.74min"
-0.035292,"91/230.9678mz/4.74min"
-0.021318,"92/266.9888mz/4.76min"
-0.079481,"93/268.9857mz/4.76min"
-0.021841,"95/637.0305mz/4.78min"
-0.0046913,"97/481.0421mz/4.92min"
-0.0080419,"98/544.038mz/4.92min"
-0.29023,"99/426.9678mz/4.98min"
-0.7941,"101/396.2154mz/4.99min"
-0.11141,"103/484.2681mz/5.03min"
-0.81906,"106/396.2154mz/5.1min"
-0.038202,"109/484.2681mz/5.14min"
-0.029337,"110/501.2583mz/5.14min"
-0.19659,"113/779.3652mz/5.3min"
-0.42104,"117/424.2468mz/5.55min"
