"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"237/744.5554mz/7.26min",2513.6,11.296,"237"
"294/744.555mz/7.68min",924.9,9.8532,"294"
"197/634.4456mz/6.88min",0.18947,-2.4,"197"
"183/634.4456mz/6.77min",0.26149,-1.9352,"183"
"504/662.4769mz/10.24min",0.26261,-1.929,"504"
"321/100.9337mz/7.94min",0.31289,-1.6763,"321"
"401/100.9337mz/8.46min",0.33379,-1.583,"401"
"519/660.4613mz/10.29min",0.36317,-1.4613,"519"
"178/635.4489mz/6.75min",0.40885,-1.2904,"178"
"425/717.5791mz/8.72min",0.41663,-1.2631,"425"
"518/606.4143mz/10.29min",0.46286,-1.1113,"518"
