"Log2_FoldChange","MetaboAnalyst_ID"
-0.021848,"110/244.1907mz/2.1min"
-0.26927,"111/99.5121mz/2.12min"
0.50694,"112/181.0971mz/2.12min"
0.50979,"113/245.0954mz/2.12min"
0.031048,"115/184.1695mz/2.21min"
0.042949,"116/199.1012mz/2.25min"
0.058977,"117/217.1247mz/2.25min"
0.067607,"119/218.1281mz/2.25min"
0.045058,"120/200.1046mz/2.25min"
-0.013929,"121/195.1227mz/2.28min"
0.1911,"123/244.2012mz/2.36min"
-0.20527,"124/302.1961mz/2.37min"
-0.057419,"125/244.2012mz/2.51min"
-0.81236,"127/316.2117mz/2.58min"
0.32278,"129/261.1234mz/2.6min"
0.020979,"131/259.2202mz/2.66min"
-0.059028,"132/130.159mz/2.69min"
-1.9309,"133/185.0855mz/2.69min"
0.46427,"134/197.1285mz/2.71min"
-0.77641,"136/316.2118mz/2.74min"
-0.39323,"140/272.1856mz/2.82min"
-0.040375,"145/183.0917mz/2.96min"
0.49908,"147/212.1473mz/3.14min"
0.3904,"148/211.1441mz/3.14min"
0.05553,"149/249.1332mz/3.2min"
0.4791,"150/211.144mz/3.24min"
0.43763,"151/212.1473mz/3.24min"
0.42276,"152/245.1284mz/3.26min"
-0.17161,"154/214.0498mz/3.34min"
-0.04387,"155/182.1903mz/3.35min"
0.38634,"156/245.1284mz/3.39min"
-0.13071,"157/228.2321mz/3.46min"
-1.3496,"158/264.1335mz/3.47min"
-0.41848,"161/214.0499mz/3.54min"
-0.023505,"162/274.1648mz/3.54min"
-0.30583,"164/215.053mz/3.54min"
-0.1725,"165/228.2321mz/3.65min"
-0.58167,"167/586.2703mz/3.73min"
0.056483,"170/514.2855mz/3.97min"
0.17537,"171/394.2222mz/4.15min"
0.01177,"173/321.1738mz/4.32min"
0.013714,"174/320.1703mz/4.32min"
0.15649,"175/325.1256mz/4.32min"
0.026281,"176/195.1379mz/4.34min"
0.066708,"177/364.1965mz/4.4min"
-0.014865,"178/226.1801mz/4.42min"
-0.0095845,"179/244.1907mz/4.42min"
0.016916,"181/408.2226mz/4.47min"
-0.86652,"182/214.1801mz/4.5min"
0.013725,"183/392.1914mz/4.56min"
-0.61404,"186/246.2427mz/4.69min"
0.0028531,"189/230.9844mz/4.74min"
-0.0035347,"190/211.9705mz/4.74min"
0.0023768,"191/213.9685mz/4.75min"
0.0080163,"193/231.979mz/4.75min"
-0.015109,"194/232.9823mz/4.75min"
0.36171,"196/270.2063mz/4.78min"
0.026611,"197/656.071mz/4.78min"
-0.0025068,"200/570.3016mz/4.81min"
-0.018043,"202/551.2695mz/4.8min"
0.011365,"203/568.2961mz/4.8min"
-0.0047785,"204/573.2513mz/4.8min"
-0.0681,"207/230.2477mz/4.87min"
-0.40332,"208/250.1777mz/4.88min"
-0.37194,"209/229.1991mz/4.88min"
-0.38373,"210/228.1958mz/4.88min"
-0.051485,"211/158.1539mz/4.95min"
-0.051162,"212/640.3173mz/4.96min"
-0.79635,"213/398.23mz/4.99min"
-0.11534,"215/440.277mz/5.03min"
-0.84502,"218/398.23mz/5.1min"
-0.048617,"220/440.277mz/5.14min"
-0.72789,"221/412.2457mz/5.17min"
-0.30026,"222/274.274mz/5.2min"
0.17019,"223/404.2066mz/5.2min"
0.172,"224/387.1801mz/5.2min"
-0.29877,"228/752.3999mz/5.3min"
0.29891,"230/482.2876mz/5.42min"
-0.49427,"231/426.2614mz/5.55min"
-0.45277,"232/387.193mz/5.56min"
-0.81692,"233/371.2742mz/5.56min"
-0.23936,"235/678.3631mz/5.63min"
-0.21127,"239/446.2535mz/5.64min"
-0.23906,"240/415.2113mz/5.64min"
-0.22955,"241/432.2378mz/5.64min"
-0.34084,"244/716.509mz/5.65min"
0.0056188,"247/303.3087mz/5.65min"
0.022401,"250/302.3053mz/5.65min"
-0.44247,"252/426.2613mz/5.66min"
-0.085779,"253/307.2478mz/5.68min"
-0.89788,"254/371.2741mz/5.69min"
0.004174,"255/468.3082mz/5.71min"
-0.56974,"257/328.3209mz/5.8min"
-0.086603,"259/330.3366mz/5.82min"
-0.3323,"260/583.2912mz/5.86min"
-0.32076,"263/583.2912mz/6.05min"
-0.17454,"264/583.2912mz/6.12min"
-0.21525,"266/454.2926mz/6.13min"
-0.28024,"268/291.1954mz/6.16min"
-1.0363,"269/371.2741mz/6.17min"
0.1838,"270/496.3399mz/6.19min"
-0.20657,"271/476.2744mz/6.24min"
-0.19664,"272/454.2926mz/6.24min"
-0.97168,"273/358.3678mz/6.25min"
1.1558,"275/331.2301mz/6.27min"
0.17749,"280/395.2766mz/6.3min"
0.065715,"282/496.3397mz/6.3min"
-0.60551,"284/480.3082mz/6.3min"
-0.3016,"285/440.4096mz/6.3min"
-0.32675,"290/468.3083mz/6.32min"
-0.24685,"291/522.3552mz/6.37min"
-0.57122,"293/480.3083mz/6.41min"
-0.37678,"298/502.2901mz/6.41min"
-1.0619,"299/959.609mz/6.41min"
-0.096241,"300/583.2912mz/6.46min"
-0.3265,"302/353.2685mz/6.46min"
-0.31981,"303/393.261mz/6.47min"
-0.33304,"305/371.279mz/6.47min"
-0.041619,"306/522.3552mz/6.48min"
-0.23345,"308/365.1358mz/6.55min"
-0.088702,"310/400.3055mz/6.59min"
-0.11634,"311/444.3317mz/6.61min"
-0.09929,"312/488.358mz/6.62min"
-0.11557,"313/532.3841mz/6.62min"
-0.15328,"314/313.1434mz/6.63min"
-0.071814,"317/576.4103mz/6.63min"
-0.86954,"318/358.2739mz/6.65min"
0.2068,"319/289.2161mz/6.66min"
-0.64955,"320/398.2663mz/6.66min"
-0.32076,"321/583.2912mz/6.67min"
-0.14626,"322/265.2525mz/6.68min"
-0.76098,"323/522.3188mz/6.68min"
-0.15624,"324/283.2631mz/6.68min"
-0.08266,"326/482.324mz/6.71min"
0.17654,"329/289.2161mz/6.7min"
-0.3018,"332/567.2599mz/6.77min"
0.52987,"333/297.2423mz/6.77min"
0.50303,"334/319.2243mz/6.77min"
0.65227,"336/279.2318mz/6.78min"
-0.11558,"338/482.3239mz/6.82min"
-0.34821,"341/567.2599mz/6.85min"
-0.58037,"342/669.328mz/6.87min"
-0.11921,"345/283.2631mz/6.9min"
-0.006685,"350/524.3709mz/6.93min"
-0.39616,"353/508.3395mz/6.95min"
-0.13997,"360/590.4258mz/6.98min"
0.11267,"363/344.3158mz/7.02min"
-0.31961,"373/567.2962mz/7.07min"
-0.32926,"374/570.3055mz/7.07min"
-0.50403,"375/1133.5855mz/7.07min"
-0.27155,"379/284.1519mz/7.08min"
-0.36701,"382/589.2777mz/7.08min"
-0.43626,"384/566.2886mz/7.08min"
0.018942,"387/336.3259mz/7.12min"
-0.47545,"389/669.328mz/7.14min"
0.32523,"398/336.3108mz/7.18min"
0.31907,"400/319.2842mz/7.18min"
0.57512,"405/380.3369mz/7.19min"
0.60486,"407/363.3104mz/7.19min"
0.46695,"408/512.4154mz/7.19min"
0.79602,"410/424.3632mz/7.19min"
0.6967,"411/468.3891mz/7.19min"
-0.63513,"412/669.3281mz/7.2min"
-0.48369,"416/366.3mz/7.27min"
-0.10737,"418/352.3209mz/7.28min"
-0.17196,"419/353.3244mz/7.28min"
-0.07979,"420/374.3027mz/7.29min"
-0.7497,"425/283.144mz/7.29min"
-0.78559,"428/565.2806mz/7.3min"
-0.75668,"432/566.284mz/7.29min"
-0.25923,"436/692.5219mz/7.32min"
1.683,"451/524.3944mz/7.31min"
-0.83448,"452/706.5374mz/7.31min"
2.1878,"453/732.5534mz/7.31min"
-0.15506,"460/760.5832mz/7.3min"
0.76848,"461/786.6016mz/7.29min"
-0.10248,"464/581.2755mz/7.35min"
-0.054604,"465/256.2635mz/7.36min"
-0.71799,"468/564.2683mz/7.39min"
-0.70017,"469/282.1362mz/7.39min"
-0.70643,"470/563.2649mz/7.39min"
0.70289,"471/341.2839mz/7.4min"
-0.47106,"475/408.3082mz/7.43min"
-0.40659,"477/386.3264mz/7.43min"
-0.18049,"478/387.3298mz/7.47min"
-2.7887,"481/692.5229mz/7.45min"
-1.3281,"492/680.5125mz/7.48min"
1.3666,"494/506.3834mz/7.5min"
-1.3043,"501/760.5833mz/7.48min"
0.046017,"507/786.6008mz/7.47min"
-4.0747,"516/706.5368mz/7.49min"
0.45927,"520/524.3945mz/7.48min"
0.048993,"522/282.2791mz/7.52min"
-0.52321,"523/386.3264mz/7.52min"
-0.52159,"524/387.3298mz/7.52min"
-0.5836,"525/408.3082mz/7.52min"
0.50506,"538/455.352mz/7.61min"
0.044713,"540/311.258mz/7.59min"
0.08036,"541/312.2614mz/7.59min"
-0.061537,"545/462.3552mz/7.59min"
0.040387,"546/441.3766mz/7.6min"
0.063988,"548/440.3735mz/7.6min"
0.066314,"549/422.3631mz/7.6min"
-0.44101,"551/357.2998mz/7.6min"
-0.23693,"554/376.3186mz/7.6min"
-0.42367,"556/339.2892mz/7.61min"
-0.12699,"558/354.3365mz/7.6min"
0.77535,"560/506.3837mz/7.65min"
1.2598,"563/490.3891mz/7.63min"
1.5501,"564/421.3464mz/7.63min"
0.28763,"565/357.2787mz/7.65min"
1.9577,"572/439.357mz/7.65min"
0.41057,"576/506.3837mz/7.68min"
0.87512,"578/726.5038mz/7.68min"
1.0789,"580/495.3443mz/7.68min"
1.4367,"584/479.3495mz/7.68min"
-0.41735,"587/339.2892mz/7.67min"
-0.3151,"589/357.2998mz/7.68min"
0.87167,"590/746.5687mz/7.68min"
-0.20753,"592/743.5605mz/7.68min"
0.309,"599/581.3119mz/7.69min"
-2.1526,"600/659.2869mz/7.7min"
-2.0886,"601/637.3049mz/7.71min"
-1.8687,"602/654.3317mz/7.71min"
1.1374,"603/437.3412mz/7.72min"
-0.0094151,"610/522.3784mz/7.72min"
0.11133,"615/490.3888mz/7.76min"
-0.51537,"622/228.1958mz/7.77min"
-0.36266,"631/226.1801mz/7.77min"
-0.48132,"636/540.4466mz/7.77min"
-0.26156,"638/496.4205mz/7.78min"
-0.85097,"639/397.3099mz/7.76min"
-0.49754,"640/413.3048mz/7.78min"
-0.23676,"642/364.342mz/7.78min"
-0.10599,"645/452.3943mz/7.78min"
-0.12513,"646/408.3681mz/7.78min"
0.059768,"647/522.415mz/7.78min"
-0.36045,"648/356.3158mz/7.79min"
1.1442,"649/472.3784mz/7.81min"
0.91078,"652/492.4046mz/7.81min"
1.035,"653/476.4097mz/7.82min"
1.2569,"655/493.4077mz/7.81min"
0.55893,"660/506.3835mz/7.76min"
0.69575,"664/706.5285mz/7.84min"
2.2032,"666/760.5836mz/7.84min"
2.2969,"667/786.6001mz/7.84min"
-0.18476,"678/228.1958mz/7.84min"
-0.152,"679/408.3083mz/7.84min"
0.78074,"681/495.3442mz/7.87min"
0.79208,"682/497.3598mz/7.84min"
-0.16002,"686/226.1801mz/7.84min"
-0.1461,"687/244.1907mz/7.84min"
3.1122,"688/746.5687mz/7.84min"
2.1464,"689/774.5984mz/7.84min"
0.40299,"690/721.5197mz/7.84min"
0.1562,"692/778.3228mz/7.84min"
0.41943,"694/720.5163mz/7.84min"
0.16435,"695/732.5533mz/7.84min"
-1.6761,"701/706.5376mz/7.84min"
1.1469,"703/182.9851mz/7.84min"
-1.8747,"705/718.5373mz/7.84min"
-1.1571,"707/788.6124mz/7.84min"
-1.125,"708/580.3969mz/7.84min"
1.4423,"711/768.5506mz/7.88min"
0.63037,"718/808.5822mz/7.88min"
1.1311,"736/488.3733mz/7.85min"
1.1766,"739/441.3729mz/7.85min"
0.87086,"740/481.3652mz/7.85min"
0.35572,"741/743.5022mz/7.84min"
0.2798,"745/646.5015mz/7.86min"
1.4795,"746/455.3519mz/7.91min"
1.233,"752/477.3338mz/7.89min"
-0.21396,"755/502.3866mz/7.87min"
-0.2133,"758/480.4045mz/7.87min"
1.1433,"761/508.3992mz/7.91min"
-0.38216,"762/719.5413mz/7.88min"
-0.039332,"765/384.347mz/7.88min"
-0.044116,"766/554.1756mz/7.88min"
1.0847,"767/438.3441mz/7.91min"
-0.56181,"768/678.5057mz/7.86min"
-0.10321,"770/490.3887mz/7.89min"
0.71138,"773/437.3412mz/7.91min"
0.012835,"776/284.2947mz/7.92min"
0.83591,"780/481.3653mz/7.93min"
-0.80603,"782/495.3443mz/7.93min"
0.33606,"784/742.4989mz/7.85min"
-0.10378,"785/506.4199mz/7.93min"
-0.045561,"787/528.4021mz/7.93min"
-0.25262,"789/457.3678mz/7.98min"
-0.23843,"793/700.4879mz/7.94min"
0.90845,"794/477.3338mz/7.94min"
0.19677,"802/534.4127mz/7.94min"
-1.4098,"805/718.5378mz/7.94min"
-2.1249,"806/786.5998mz/7.94min"
0.55557,"807/808.5819mz/7.94min"
-1.1842,"811/719.5415mz/7.94min"
0.23553,"816/606.5089mz/7.94min"
-1.4525,"818/754.5344mz/7.93min"
0.18781,"819/646.5014mz/7.94min"
0.089024,"821/624.5193mz/7.94min"
-0.57088,"822/732.5535mz/7.94min"
0.23423,"830/744.5528mz/7.91min"
-0.82839,"831/760.5835mz/7.94min"
0.63106,"833/782.5654mz/7.93min"
1.8933,"834/746.5684mz/7.95min"
-2.4347,"835/788.6124mz/7.94min"
-0.31414,"836/686.4725mz/7.95min"
1.6944,"838/768.5503mz/7.95min"
-0.015051,"845/720.5141mz/7.91min"
0.13377,"851/644.4856mz/7.96min"
0.60315,"852/497.36mz/7.95min"
0.29879,"854/740.4831mz/7.96min"
0.34224,"855/741.4864mz/7.96min"
0.035318,"860/719.5046mz/7.99min"
0.024975,"861/718.5013mz/7.99min"
-0.039458,"867/310.3104mz/8.0min"
-0.029735,"873/506.4199mz/8.01min"
2.3375,"874/528.4021mz/7.98min"
0.47057,"875/470.3628mz/8.01min"
-0.28133,"876/455.3519mz/7.96min"
0.74177,"878/492.4047mz/8.01min"
0.48113,"880/475.3973mz/8.04min"
1.1,"881/506.3836mz/7.99min"
0.11762,"882/474.394mz/8.05min"
-0.64251,"884/524.3943mz/8.05min"
-0.17771,"891/540.389mz/8.06min"
-0.075282,"892/403.3181mz/8.06min"
0.35379,"896/480.3527mz/8.07min"
-0.093156,"897/381.3362mz/8.07min"
0.29467,"898/479.3496mz/8.07min"
0.086935,"899/490.3868mz/8.07min"
0.1082,"901/491.3902mz/8.07min"
0.095277,"902/450.3939mz/8.08min"
-0.13507,"903/630.5063mz/8.08min"
0.03621,"904/469.4079mz/8.08min"
0.046168,"905/468.4045mz/8.08min"
-0.050334,"906/590.514mz/8.08min"
-0.090528,"908/572.5034mz/8.08min"
0.55698,"909/457.3677mz/8.08min"
0.53337,"911/437.3412mz/8.09min"
0.3986,"912/481.3655mz/8.09min"
0.50046,"913/439.3573mz/8.08min"
0.54272,"921/441.3728mz/8.1min"
-0.64939,"922/336.326mz/8.1min"
0.66329,"927/423.3622mz/8.11min"
0.50054,"931/470.3628mz/8.13min"
1.7471,"932/492.405mz/8.13min"
0.078612,"934/622.4442mz/8.16min"
-0.47758,"937/474.394mz/8.09min"
-0.85301,"941/608.4285mz/8.15min"
0.50832,"942/495.3441mz/8.14min"
-0.81106,"944/524.3943mz/8.12min"
-0.0050302,"950/622.5036mz/8.18min"
0.12734,"951/623.5071mz/8.19min"
0.85296,"952/477.413mz/8.19min"
0.66193,"955/476.4098mz/8.19min"
-0.12707,"957/644.4862mz/8.2min"
0.048201,"958/607.512mz/8.21min"
0.04029,"959/606.5089mz/8.21min"
-0.031498,"960/628.4908mz/8.21min"
-0.0675,"962/550.4463mz/8.21min"
0.092184,"964/590.514mz/8.21min"
-0.046066,"965/630.5061mz/8.21min"
