"","comp 1","comp 2","comp 3","comp 4","comp 5"
"602/654.3317mz/7.71min",-0.45389,0,0,0,0
"601/637.3049mz/7.71min",-0.44095,0,0,0,0
"136/316.2118mz/2.74min",-0.4392,0,0,0,0
"127/316.2117mz/2.58min",-0.35985,0,0,0,0
"600/659.2869mz/7.7min",-0.30333,0,0,0,0
"158/264.1335mz/3.47min",-0.25644,0,0,0,0
"1134/391.2841mz/8.44min",-0.23307,0,0,0,0
"1209/898.6238mz/8.6min",-0.21387,0,0,0,0
"688/746.5687mz/7.84min",0.10216,0,0,0,0
"453/732.5534mz/7.31min",0.094289,0,0,0,0
"896/480.3527mz/8.07min",0,-0.59334,0,0,0
"1201/634.54mz/8.56min",0,-0.52597,0,0,0
"898/479.3496mz/8.07min",0,-0.32497,0,0,0
"902/450.3939mz/8.08min",0,-0.2834,0,0,0
"363/344.3158mz/7.02min",0,-0.24813,0,0,0
"250/302.3053mz/5.65min",0,-0.17851,0,0,0
"905/468.4045mz/8.08min",0,-0.1686,0,0,0
"845/720.5141mz/7.91min",0,-0.16752,0,0,0
"247/303.3087mz/5.65min",0,-0.15743,0,0,0
"1068/457.3675mz/8.32min",0,-0.10332,0,0,0
"110/244.1907mz/2.1min",0,0,0,0,0
"111/99.5121mz/2.12min",0,0,-0.035831,0,0
"112/181.0971mz/2.12min",0,0,0,0,0
"113/245.0954mz/2.12min",0,0,0,0,0
"115/184.1695mz/2.21min",0,0,0,0,0
"116/199.1012mz/2.25min",0,0,0,0,0
"117/217.1247mz/2.25min",0,0,0,0,0
"119/218.1281mz/2.25min",0,0,0,0,0
"120/200.1046mz/2.25min",0,0,0,0,0
"121/195.1227mz/2.28min",0,0,0,0,0
"123/244.2012mz/2.36min",0,0,0,0,0
"124/302.1961mz/2.37min",0,0,0,0,0
"125/244.2012mz/2.51min",0,0,0,0,0
"129/261.1234mz/2.6min",0,0,0,0,0
"131/259.2202mz/2.66min",0,0,0,0,0
"132/130.159mz/2.69min",0,0,0,0,0
"133/185.0855mz/2.69min",0,0,0,0,0
"134/197.1285mz/2.71min",0,0,0,0,0
"140/272.1856mz/2.82min",0,0,0,0,0
"145/183.0917mz/2.96min",0,0,0,0,0
"147/212.1473mz/3.14min",0,0,0,0,0
"148/211.1441mz/3.14min",0,0,0,0,0
"149/249.1332mz/3.2min",0,0,0,0,0
"150/211.144mz/3.24min",0,0,0,0,0
"151/212.1473mz/3.24min",0,0,0,0,0
"152/245.1284mz/3.26min",0,0,0,0,0
"154/214.0498mz/3.34min",0,0,0,0,0
"155/182.1903mz/3.35min",0,0,0,0,0
"156/245.1284mz/3.39min",0,0,0,0,0
"157/228.2321mz/3.46min",0,0,0,0,0
"161/214.0499mz/3.54min",0,0,0,0,0
"162/274.1648mz/3.54min",0,0,0,0,0.57026
"164/215.053mz/3.54min",0,0,0,0,0
"165/228.2321mz/3.65min",0,0,0,0,0
"167/586.2703mz/3.73min",0,0,0,0,0
"170/514.2855mz/3.97min",0,0,0,0,0
"171/394.2222mz/4.15min",0,0,0,0,0
"173/321.1738mz/4.32min",0,0,0,0,0
"174/320.1703mz/4.32min",0,0,0,0,0
"175/325.1256mz/4.32min",0,0,0,0,0
"176/195.1379mz/4.34min",0,0,0,0,0
"177/364.1965mz/4.4min",0,0,0,0,0
"178/226.1801mz/4.42min",0,0,0,0,0
"179/244.1907mz/4.42min",0,0,0,0,0
"181/408.2226mz/4.47min",0,0,0,0,0
