"Log2_FoldChange","MetaboAnalyst_ID"
-0.12957,"39/328.9796mz/2.13min"
0.1629,"40/312.9847mz/2.36min"
0.076669,"41/312.9847mz/2.45min"
-0.025228,"42/373.0055mz/2.71min"
-0.031823,"43/370.9898mz/2.8min"
-0.053304,"44/265.0176mz/2.84min"
-0.028657,"46/265.0176mz/3.18min"
0.3032,"47/212.0353mz/3.29min"
-0.040114,"49/421.0056mz/3.41min"
0.050624,"50/249.0227mz/3.49min"
-0.047462,"51/582.981mz/3.53min"
0.03513,"54/213.0386mz/3.54min"
0.21059,"55/212.0353mz/3.54min"
-0.0069491,"56/560.999mz/3.54min"
0.009983,"57/405.0107mz/3.62min"
-0.01594,"60/406.0138mz/3.62min"
-0.0039762,"61/407.0044mz/3.62min"
0.22202,"63/421.0056mz/3.86min"
-0.012844,"64/309.1014mz/4.02min"
0.014001,"65/605.0258mz/4.07min"
0.36989,"69/421.1867mz/4.15min"
-0.041857,"75/242.1762mz/4.43min"
-0.14518,"76/497.0371mz/4.44min"
0.0042786,"77/793.0186mz/4.49min"
-0.059698,"81/341.0486mz/4.56min"
-0.075717,"82/422.9768mz/4.56min"
-0.04444,"83/404.0444mz/4.56min"
-0.11347,"85/653.0255mz/4.57min"
-0.077809,"88/497.0371mz/4.67min"
0.016259,"89/228.9699mz/4.74min"
-0.024991,"91/229.9645mz/4.74min"
-0.037904,"92/230.9678mz/4.74min"
-0.014646,"93/266.9888mz/4.76min"
-0.045066,"94/268.9857mz/4.76min"
-0.046358,"96/637.0305mz/4.78min"
-0.070217,"98/481.0421mz/4.92min"
-0.062919,"99/544.0379mz/4.92min"
-0.38285,"101/426.9678mz/4.98min"
0.10525,"102/396.2154mz/4.99min"
0.27878,"104/484.2681mz/5.03min"
0.11251,"108/396.2154mz/5.1min"
0.066341,"109/397.2189mz/5.1min"
0.27922,"111/484.2681mz/5.14min"
0.2409,"112/501.2583mz/5.14min"
0.21963,"115/779.3652mz/5.3min"
0.16978,"120/424.2468mz/5.55min"
0.28704,"122/705.3284mz/5.63min"
0.2067,"123/424.2469mz/5.66min"
0.31938,"124/512.2995mz/5.71min"
-0.11015,"135/265.1479mz/6.02min"
-0.16662,"137/656.1114mz/6.14min"
0.25316,"139/452.2782mz/6.13min"
0.15456,"142/452.2782mz/6.24min"
0.21468,"145/540.3309mz/6.3min"
0.16711,"146/478.2939mz/6.3min"
0.27794,"149/566.3466mz/6.37min"
0.11268,"153/478.2939mz/6.41min"
0.18749,"154/957.5953mz/6.4min"
0.1236,"155/480.2991mz/6.4min"
0.19636,"157/566.3466mz/6.47min"
-0.036596,"160/590.1196mz/6.5min"
1.5336,"162/634.4456mz/6.58min"
0.41462,"163/696.1426mz/6.53min"
-0.23758,"164/311.1687mz/6.53min"
0.43786,"166/297.2436mz/6.61min"
-0.14524,"167/654.1321mz/6.62min"
0.19435,"168/637.1419mz/6.63min"
-0.27178,"169/311.1687mz/6.64min"
0.71287,"170/634.4456mz/6.67min"
0.1473,"172/299.2592mz/6.68min"
0.16907,"173/300.2626mz/6.68min"
0.14284,"174/573.1294mz/6.68min"
0.33892,"175/520.3045mz/6.68min"
0.14506,"177/297.2436mz/6.71min"
0.25456,"179/701.1544mz/6.71min"
-0.29242,"181/718.1445mz/6.72min"
0.39462,"183/295.2279mz/6.77min"
-1.6967,"184/634.4456mz/6.76min"
