"","PC1","PC2","PC3","PC4","PC5","PC6"
"39/328.9796mz/2.13min",-0.011284,-0.018927,0.0065336,0.010892,-0.059586,-0.25483
"40/312.9847mz/2.36min",0.020502,-0.079,-0.1917,0.091284,-0.00014212,0.076579
"41/312.9847mz/2.45min",0.00063683,-0.0081448,-0.029522,0.031015,-0.0054306,0.2336
"42/373.0055mz/2.71min",-0.006126,-0.0041016,-0.0017266,0.0057891,-0.0083326,-0.0026202
"43/370.9898mz/2.8min",-0.01059,-0.0073534,-0.0050365,0.013369,-0.005285,-0.040833
"44/265.0176mz/2.84min",-0.0088619,-0.0093701,-0.0081688,0.0038899,-0.0084883,-0.1117
"46/265.0176mz/3.18min",-0.0066927,-0.0097015,-0.010604,0.010471,5.6698e-05,0.038174
"47/212.0353mz/3.29min",0.0098862,0.12724,-0.09891,-0.24056,0.093527,0.011664
"49/421.0056mz/3.41min",-0.0096558,-0.0037986,7.7604e-05,0.004546,-0.0090899,0.11327
"50/249.0227mz/3.49min",-0.012851,0.00043451,-0.03211,0.013754,-0.029274,-0.1119
"51/582.981mz/3.53min",-0.011112,-0.0178,-0.0028501,0.03168,-0.0039855,0.077366
"54/213.0386mz/3.54min",-0.021893,0.013555,0.0034119,0.024151,-0.13912,-0.10032
"55/212.0353mz/3.54min",-0.00889,0.026692,0.011237,0.066312,-0.079087,0.0077899
"56/560.999mz/3.54min",-0.0054259,-0.009873,-0.0016507,0.024379,0.010514,0.07533
"57/405.0107mz/3.62min",-0.0046042,-0.0044426,-0.010211,0.012816,0.0084723,-0.11246
"60/406.0138mz/3.62min",-0.013612,-0.0059187,-0.026646,0.0039865,0.012242,-0.039587
"61/407.0044mz/3.62min",-0.007842,-0.004678,-0.0075582,0.013344,0.0088273,-0.037636
"63/421.0056mz/3.86min",0.0062598,0.016532,0.001717,0.050421,0.025994,-0.036274
"64/309.1014mz/4.02min",-0.0044045,-0.0029863,0.001476,0.0082846,-0.00055677,0.019397
"65/605.0258mz/4.07min",-0.019384,-0.015261,-0.004231,0.059742,0.030352,-0.11134
"69/421.1867mz/4.15min",-0.0055133,0.091213,0.029366,-0.032004,0.0090137,0.032753
"75/242.1762mz/4.43min",-0.0086614,0.00019459,-0.014461,-0.018054,-0.019619,-0.037809
"76/497.0371mz/4.44min",-0.01049,-0.028242,-0.004085,0.0076675,0.034191,-0.077921
"77/793.0186mz/4.49min",-0.012956,-0.023947,-0.099242,0.0064247,0.092621,-0.048461
"81/341.0486mz/4.56min",-0.010683,-0.010969,-0.0030227,0.0097493,0.013881,-0.037664
"82/422.9768mz/4.56min",-0.011569,-0.012767,-0.0044138,0.0075671,-0.00081063,0.00018661
"83/404.0444mz/4.56min",-0.0099368,-0.016594,-0.010076,0.024024,-0.014562,-0.016918
"85/653.0255mz/4.57min",-0.010435,-0.025664,-0.078623,-0.028771,0.050994,0.0281
"88/497.0371mz/4.67min",-0.0050502,-0.023623,-0.05481,-0.010401,0.080064,0.10382
"89/228.9699mz/4.74min",-0.00099467,0.003428,0.0047784,0.0028461,0.013871,-0.056958
