row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_CC_2_Run47.mzML Peak area,2024_POS_CC-VPA_1_Run26.mzML Peak area,2024_POS_CC_3_Run61.mzML Peak area,2024_POS_CC_1_Run20.mzML Peak area,2024_POS_CC-VPA_3_Run76.mzML Peak area,2024_POS_CC-VPA_2_Run35.mzML Peak area,
1651,81.5205292343624,10.608816,,,,26,,,,,,,2028844.4,2444534.8,2224533.0,2534294.0,2053041.4,2098401.2,
77,84.95964873165751,0.4851847,,,,,,,,,,,281164.28,273324.53,435551.97,108805.57,124543.164,164683.38,
16,84.95965610302224,0.31770614,,,,,,,,,,,187350.22,165836.39,779268.9,182949.22,176843.6,182282.44,
98,84.95965815452081,1.8000284,,,,,,,,,,,347893.44,354803.34,1564249.0,299511.2,350466.56,356104.66,
1645,89.50666638255586,10.462438,,,,19,,,,,,,2566711.5,2486417.8,1996289.6,2768322.5,3237069.0,2960260.8,
1514,90.97656638477109,9.818665,,,,,,,,,,,50901.062,163992.69,123400.414,260318.27,26526.402,13579.061,
1543,90.97657551378133,9.979731,,,,,,,,,,,48298.55,98217.09,64951.867,95174.78,59889.523,33085.562,
23,90.97658103041705,0.3421422,,,,28,,,,,,,909289.4,929168.0,929266.7,963911.3,869053.25,863631.8,
1591,90.97658098260406,10.264686,,,,70,,,,,,,919034.94,885582.4,919833.3,1035105.94,940241.0,815748.9,
89,92.1101693816816,0.7599121,,,,130,,,,,,,5578113.5,5736300.5,5754668.0,5518262.5,5462588.5,5533282.5,
34,94.06198150381958,0.365387,,,,56,,,,,,,1684748.9,1667640.8,1706430.4,1655741.9,1694824.1,1683762.5,
100,99.5121383507195,2.1080806,,,,,,,,,,,646871.1,638568.75,642649.8,297106.94,549190.94,244737.95,
1640,99.51214734761838,10.439144,,,,19,,,,,,,1397011.0,1515510.2,1608329.6,1407986.9,1570300.5,1533842.2,
915,110.01993971628032,8.078612,,,,,,,,,,,717018.56,52971.75,155433.47,91249.766,3630163.8,296878.5,
469,110.01994284632342,7.4434566,,,,,,,,,,,1360997.0,4262070.0,724621.75,644297.8,257705.64,129711.125,
1644,110.01996635396911,10.4605875,,,,19,,,,,,,6457269.5,5927901.0,5659223.5,6141881.5,7738006.5,7290414.0,
1277,111.02014011058469,8.708535,,,,124,,,,,,,1661419.1,1709191.1,1792584.0,1628678.4,1646942.2,1330780.0,
1639,111.02015941284644,10.437639,,,,19,,,,,,,7586304.0,7983817.5,7762751.0,7819432.0,8188344.5,8030310.5,
1275,112.01785832417636,8.70069,,,,124,,,,,,,624210.9,562837.75,707870.25,586359.44,678281.8,546249.6,
1638,112.01785824663433,10.436824,,,,19,,,,,,,2913388.0,3055554.2,2995647.8,3002277.2,3167109.5,3135391.8,
1647,113.96360348125938,10.460313,,,,19,,,,,,,174656.34,503362.0,634657.06,623346.25,489121.2,253916.53,
2,113.96363556809835,0.029786354,,,,1,,,,,,,374389.25,616215.8,443886.28,606591.4,369479.56,387531.66,
37,115.04789839217705,0.36864105,,,,56,,,,,,,8723398.0,8371169.0,8189501.0,8876638.0,1.4836118E7,8459985.0,
38,117.04827984460256,0.36864105,,,,56,,,,,,,800857.7,771631.8,741968.9,1238968.9,786470.1,760394.94,
12,118.94255821044904,0.31517574,,,,6,,,,,,,760141.9,619556.0,731704.44,567762.25,743458.2,804824.06,
1,118.94257422508383,0.03138562,,,,1,,,,,,,2397939.0,2487773.0,2441484.0,2437795.0,2517471.5,2685641.0,
128,120.04433999144801,2.8239696,,,,,,,,,,,258310.25,261429.9,378867.56,583206.75,291551.56,362032.9,
52,122.08436011249637,0.38247147,,,,56,,,,,,,3761407.5,3607279.8,3634423.8,3738241.2,3701095.8,3630543.0,
69,124.10002208217634,0.38820112,,,,56,,,,,,,5774063.5,2880739.2,2840287.8,3015820.2,3107547.8,3136781.5,
41,125.07592866756745,0.3743361,,,,56,,,,,,,1316497.1,1304700.6,1322793.2,1305217.1,1316034.1,1298958.4,
119,130.15900778349655,2.6910696,,,,,,,,,,,421903.75,388257.3,418963.97,415925.8,407016.6,570850.6,
1256,131.5334651479864,8.685161,,,,,,,,,,,335845.03,49408.02,339694.9,59732.51,432763.7,343488.3,
1637,131.53347154298768,10.440042,,,,19,,,,,,,997642.3,634832.94,978908.1,295209.44,993632.3,1020942.44,
91,134.06103000356637,0.8062722,,,,130,,,,,,,4084153.5,4147398.8,4649845.0,3920684.5,4154988.2,4461127.0,
8,136.95318185783557,0.032999493,,,,1,,,,,,,987258.7,946475.2,1091951.4,916718.56,1024318.7,1052493.0,
35,137.02987640321348,0.36620054,,,,56,,,,,,,3479584.5,3657745.8,3590909.0,3640689.5,3495193.8,3437290.8,
129,138.05494319025726,2.8239696,,,,,,,,,,,265142.75,268257.06,393499.62,601815.75,295781.0,375671.66,
88,138.11573273052855,0.75660515,,,,130,,,,,,,1140707.5,1162423.4,1163376.1,1121321.5,1140719.0,1131469.0,
44,139.05523034534673,0.37596333,,,,56,,,,,,,1256071.2,1219571.5,1236556.6,1281499.4,1232842.6,1227089.9,
90,139.11907594519295,0.7616976,,,,130,,,,,,,2.374614E7,2.3927264E7,2.4045836E7,2.3498784E7,2.3592222E7,2.4009894E7,
1273,139.9878720897449,8.716168,,,,,,,,,,,537466.7,299548.25,613083.56,614313.06,699472.06,360094.06,
1641,139.98788930636624,10.437786,,,,,,,,,,,430319.22,724540.0,730137.3,714371.2,795596.3,692429.44,
94,141.0339171905272,0.8783267,,,,54,,,,,,,6527677.0,6443430.5,6386137.0,6458222.5,6429549.0,6425809.0,
71,141.03393196277952,0.39398184,,,,56,,,,,,,2548004.8,2413918.0,2356542.2,2534493.2,2508597.5,2374621.5,
