"","filter","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-VPA_1_Run26.mzML","2024_POS_CC-VPA_2_Run35.mzML","2024_POS_CC-VPA_3_Run76.mzML"
"99/244.1907mz/2.1min",400719.095,362358,378928.16,448430.34,307426.66,525212.1,422510.03
"100/99.5121mz/2.11min",593879.845,297106.94,646871.1,642649.8,638568.75,244737.95,549190.94
"101/181.0971mz/2.12min",958488.8,898039.1,811825.75,944581,1018357.56,1876907.1,972396.6
"102/245.0954mz/2.12min",4487266.25,4122480.2,3831443.2,4424619,4638589.5,8784264,4549913.5
"103/302.1961mz/2.17min",62254.2015,49615.59,63591.703,76567.086,31329.102,60916.7,69640.586
"104/184.1695mz/2.21min",2124210,1963623.9,2006927,2359434.5,1646339.5,2665836.2,2241493
"105/217.1247mz/2.25min",496315.99,490726.38,512937.16,524780.9,501905.6,474243.97,475508.16
"106/218.1281mz/2.25min",6782223.5,6703308,7037200,7092236.5,6861139,6502514.5,6383575
"107/200.1046mz/2.25min",5835665.75,5724253.5,6020740.5,5971879.5,5947078,5438563,5351898.5
"109/195.1227mz/2.29min",654694.4,662007.2,661755.6,609265.1,617123.75,778880.7,647633.2
"110/244.2012mz/2.36min",2082853.2,2119867.8,1235168.4,1254858.4,2147731.5,2111869.8,2053836.6
"112/302.1961mz/2.37min",489240.33,577454.4,460546.97,503479.28,475001.38,664532.9,367384.06
"113/244.2012mz/2.51min",320620.985,317576.8,316261.53,321047.5,322345.53,320194.47,322071.6
"114/184.1695mz/2.52min",224215.21,189120.73,199355.02,262391.03,155702.42,261791.45,249075.4
"115/316.2117mz/2.58min",439643.23,518763.5,555945,515751.84,306306.2,363534.62,360658.22
"116/261.1234mz/2.6min",3712454.1,3745073.2,3550931,3679835,4126006.8,7528732,3580228.2
"117/180.1019mz/2.66min",328066.09,304599.34,289440.38,351532.84,378114.6,621144.9,292324.5
"118/259.2202mz/2.66min",452144.9,444309.44,450825.1,453464.7,448286.34,483413.56,463438.2
"119/130.159mz/2.69min",417444.885,415925.8,421903.75,418963.97,388257.3,570850.6,407016.6
"120/185.0855mz/2.7min",714073.85,777895.7,528040.94,382658.53,653211.9,774935.8,919407.2
"121/197.1285mz/2.71min",2456278.15,2253950.2,2233381.2,2507296.8,2596728,5271904.5,2405259.5
"122/202.1801mz/2.73min",148867.535,117968.21,137273.95,177111.53,95297,171281.27,160461.12
"123/316.2118mz/2.74min",942220.18,1072906.8,1166596.2,1235190.8,652820.94,804883.4,811533.56
"124/214.1801mz/2.75min",81585.67,77211.89,85959.45,88138.39,63524,90685.94,73464.57
"125/185.1284mz/2.8min",83000.32,77001.2,61179.35,73187.625,89469.484,217889.4,88999.44
"126/259.2202mz/2.79min",200325.085,201252.77,200408.77,200241.4,201042.77,194456.23,195985.67
"127/272.1856mz/2.82min",1237457.3,1246104.6,1329863.4,1344371.1,958135.8,1228810,1025878.44
"128/120.0443mz/2.82min",326792.23,583206.75,258310.25,378867.56,261429.9,362032.9,291551.56
"129/138.0549mz/2.82min",335726.33,601815.75,265142.75,393499.62,268257.06,375671.66,295781
"130/181.0971mz/2.84min",79935.11,85198.02,95668.05,72708.77,74672.2,114006.63,52489.656
"131/185.1284mz/2.87min",73867.285,55443.945,68127.84,79606.73,79955.18,189029.08,65901.836
"132/183.0917mz/2.96min",652437.345,757174.4,518081.8,571238.75,552665.5,1072160.5,733635.94
"133/244.2012mz/3.06min",41092.6605,39026.684,44383.53,44044.227,43158.637,30518.21,36842.047
"134/211.1441mz/3.14min",2858451.65,2833066.5,2714042.2,2883836.8,3195446.2,5816375.5,2740333.5
"135/211.144mz/3.24min",3486881.75,3156233.5,2982399.8,3417069,3721597.5,7202271.5,3556694.5
"136/245.1284mz/3.26min",1412211.7,1398522.4,1330699.2,1425901,1589152.4,3005737.2,1369285.1
"137/214.0498mz/3.32min",5493851.75,4383463,3823617.2,6604240.5,3697411.5,10656628,7637550
