"Log2_FoldChange","MetaboAnalyst_ID"
0.071375,"53/328.9796mz/2.13min"
-0.22174,"54/312.9847mz/2.35min"
0.014926,"55/312.9847mz/2.45min"
0.040059,"58/373.0055mz/2.71min"
0.027824,"59/370.9898mz/2.8min"
0.046642,"60/265.0176mz/2.84min"
0.005533,"61/397.0055mz/3.14min"
0.2977,"62/265.0176mz/3.18min"
1.426,"63/212.0353mz/3.32min"
0.12762,"66/421.0056mz/3.41min"
-0.10854,"67/249.0227mz/3.49min"
0.022411,"68/582.981mz/3.53min"
0.012216,"72/560.999mz/3.54min"
0.68487,"73/213.0386mz/3.54min"
0.42118,"74/212.0353mz/3.54min"
-0.0061511,"76/811.0291mz/3.62min"
-0.011601,"77/405.0107mz/3.62min"
0.00064176,"78/407.0044mz/3.62min"
0.06279,"79/406.0137mz/3.62min"
0.13222,"81/421.0055mz/3.86min"
-0.0078838,"82/309.1014mz/4.02min"
0.15673,"83/605.0258mz/4.07min"
-2.8911,"84/438.1768mz/4.15min"
-2.8037,"86/421.1867mz/4.15min"
0.1153,"87/603.01mz/4.17min"
0.076618,"88/419.0263mz/4.18min"
0.052935,"89/447.0213mz/4.21min"
-0.011458,"90/263.0383mz/4.27min"
0.095687,"92/282.9837mz/4.4min"
0.17323,"93/242.1762mz/4.42min"
0.21506,"94/497.0371mz/4.44min"
0.16359,"95/793.0186mz/4.49min"
0.083113,"99/341.0486mz/4.56min"
0.038535,"100/404.0444mz/4.56min"
0.071122,"101/422.9768mz/4.56min"
0.20301,"103/653.0255mz/4.57min"
0.19447,"106/497.0371mz/4.67min"
0.050733,"107/228.9699mz/4.74min"
0.031682,"109/229.9645mz/4.74min"
-0.01045,"110/230.9678mz/4.74min"
0.052205,"111/266.9888mz/4.76min"
0.091692,"112/268.9857mz/4.76min"
0.1447,"113/637.0305mz/4.78min"
0.090885,"116/481.0421mz/4.92min"
0.053487,"117/544.0379mz/4.92min"
0.27217,"118/426.9678mz/4.97min"
0.27611,"119/428.9624mz/4.97min"
2.8431,"120/396.2154mz/4.99min"
2.869,"122/484.2681mz/5.03min"
2.8771,"125/396.2154mz/5.1min"
2.7655,"128/484.2681mz/5.14min"
2.7765,"129/501.2583mz/5.14min"
-1.3954,"132/241.8989mz/5.28min"
2.8354,"135/424.2468mz/5.55min"
-1.6582,"137/241.8989mz/5.59min"
2.7968,"140/424.2469mz/5.66min"
0.97917,"147/241.8989mz/5.96min"
-0.43306,"150/265.1479mz/6.02min"
-0.95668,"152/297.153mz/6.07min"
-0.6161,"154/297.153mz/6.14min"
2.7702,"155/452.2782mz/6.13min"
2.7807,"158/452.2782mz/6.24min"
2.9943,"159/478.2939mz/6.3min"
2.6441,"160/540.3309mz/6.3min"
2.9596,"165/478.2939mz/6.41min"
2.8291,"168/566.3466mz/6.47min"
0.22236,"170/590.1196mz/6.5min"
0.37733,"171/573.1293mz/6.5min"
-0.37391,"173/311.1687mz/6.53min"
-0.37486,"176/654.1321mz/6.62min"
1.4924,"177/637.1419mz/6.63min"
-0.2212,"178/311.1687mz/6.64min"
2.7623,"180/299.2592mz/6.68min"
2.3739,"182/573.1293mz/6.68min"
1.4855,"187/701.1544mz/6.71min"
-0.20743,"190/718.1445mz/6.72min"
0.2354,"192/590.1195mz/6.74min"
3.7335,"194/634.4456mz/6.8min"
0.10399,"195/782.1569mz/6.8min"
0.11818,"197/654.1321mz/6.82min"
2.8292,"200/480.3096mz/6.83min"
0.78716,"202/637.1419mz/6.83min"
8.1268,"206/299.2593mz/6.88min"
-0.049501,"207/718.1446mz/6.92min"
0.87896,"208/701.1544mz/6.93min"
1.073,"212/765.1668mz/6.97min"
-0.17667,"215/782.157mz/6.99min"
0.66746,"216/637.1418mz/7.02min"
-0.7231,"217/325.1844mz/7.04min"
0.020467,"223/846.1693mz/7.05min"
0.62859,"224/829.1793mz/7.05min"
2.6361,"227/565.2823mz/7.07min"
0.20559,"229/701.1544mz/7.08min"
-0.018051,"231/718.1446mz/7.1min"
0.38028,"232/893.1918mz/7.11min"
0.34682,"233/910.1819mz/7.11min"
0.1215,"234/782.157mz/7.14min"
0.073748,"235/765.1668mz/7.14min"
0.12547,"236/974.1943mz/7.15min"
-1.3288,"238/750.5292mz/7.18min"
0.11016,"239/846.1693mz/7.2min"
0.21037,"240/829.1793mz/7.22min"
0.1515,"243/421.2264mz/7.22min"
-0.18082,"245/325.1844mz/7.23min"
-0.17887,"246/910.1819mz/7.25min"
0.78142,"247/893.1917mz/7.26min"
-0.63065,"249/974.1942mz/7.3min"
-0.22583,"253/116.9286mz/7.33min"
1.3294,"255/134.8947mz/7.34min"
1.1011,"257/957.204mz/7.31min"
1.1023,"259/1021.2163mz/7.34min"
-3.1182,"266/717.5272mz/7.42min"
-3.9355,"267/716.5239mz/7.39min"
1.069,"273/893.1917mz/7.44min"
3.046,"274/694.4669mz/7.44min"
3.5521,"275/711.457mz/7.44min"
1.2548,"277/957.2039mz/7.46min"
1.228,"278/1021.2163mz/7.48min"
-2.2855,"279/717.5272mz/7.53min"
-0.010482,"282/161.9136mz/7.55min"
1.833,"284/134.8947mz/7.59min"
2.9587,"286/501.3546mz/7.59min"
2.9926,"287/484.3644mz/7.6min"
2.9079,"291/455.2106mz/7.68min"
0.78402,"292/716.5239mz/7.64min"
0.84907,"294/116.9286mz/7.73min"
0.75542,"295/115.9208mz/7.72min"
1.5128,"297/134.8947mz/7.71min"
0.70731,"299/161.9136mz/7.72min"
2.6653,"301/720.4824mz/7.8min"
0.55954,"302/100.9337mz/7.86min"
-0.35255,"303/161.9136mz/7.83min"
-2.0288,"304/116.9286mz/7.84min"
0.94509,"305/115.9208mz/7.84min"
5.3988,"307/355.1579mz/7.84min"
0.99373,"308/186.9706mz/7.84min"
0.68881,"310/144.9235mz/7.87min"
-0.38511,"313/134.8947mz/7.85min"
8.3442,"316/634.4455mz/7.92min"
2.5579,"320/685.5011mz/7.93min"
0.55599,"321/100.9337mz/7.97min"
2.8344,"331/381.1737mz/7.94min"
1.8251,"332/186.9706mz/7.95min"
1.2674,"333/115.9208mz/7.98min"
0.53382,"334/144.9235mz/7.99min"
1.4083,"338/134.8947mz/8.01min"
-0.028723,"339/161.9136mz/7.96min"
0.79468,"341/134.8947mz/8.07min"
-3.2091,"342/742.5395mz/8.08min"
0.09497,"344/186.9706mz/8.11min"
-1.2807,"345/100.9337mz/8.07min"
3.0469,"346/529.3859mz/8.07min"
2.8108,"350/660.4613mz/8.11min"
-2.8787,"352/115.9208mz/8.19min"
-1.2292,"353/100.9337mz/8.21min"
-1.2909,"358/100.9337mz/8.27min"
2.6478,"362/703.5633mz/8.28min"
2.1279,"369/186.9706mz/8.33min"
5.356,"370/383.1893mz/8.28min"
0.49015,"371/115.9208mz/8.28min"
0.47897,"374/134.8947mz/8.29min"
-0.52379,"377/144.9235mz/8.31min"
0.86864,"378/161.9136mz/8.31min"
-0.98699,"379/100.9337mz/8.32min"
2.5396,"380/667.4906mz/8.28min"
-1.147,"384/134.8947mz/8.4min"
-1.8066,"385/161.9136mz/8.41min"
-0.17879,"387/186.9706mz/8.41min"
-0.42656,"389/100.9337mz/8.38min"
0.060125,"393/100.9337mz/8.42min"
3.0507,"396/669.5064mz/8.48min"
2.7507,"400/711.5167mz/8.54min"
-3.3194,"401/146.9659mz/8.53min"
-1.4847,"402/221.8746mz/8.62min"
-1.5507,"403/223.8723mz/8.61min"
-1.5434,"405/248.8936mz/8.62min"
-1.5042,"408/250.8917mz/8.64min"
2.7567,"410/695.5218mz/8.62min"
2.925,"415/655.5634mz/8.68min"
2.7599,"417/717.5792mz/8.72min"
-0.58465,"418/245.8948mz/8.73min"
-0.58414,"419/243.8993mz/8.73min"
2.5572,"420/651.4955mz/8.73min"
3.0095,"424/693.5062mz/8.75min"
-0.2477,"425/186.9058mz/8.76min"
2.327,"427/221.8746mz/8.75min"
1.819,"428/223.8723mz/8.72min"
2.6555,"429/591.4381mz/8.77min"
-0.33045,"430/250.8917mz/8.78min"
-0.21819,"431/188.9039mz/8.77min"
-0.34029,"432/248.8936mz/8.79min"
-2.2173,"433/146.966mz/8.76min"
3.0851,"435/697.5376mz/8.82min"
2.9682,"439/545.4537mz/8.9min"
-0.66428,"443/115.9208mz/8.95min"
2.4926,"445/607.4695mz/8.96min"
2.7493,"446/186.9706mz/8.94min"
-0.9965,"449/100.9337mz/8.97min"
-0.76349,"450/144.9235mz/8.96min"
0.9619,"451/122.9758mz/9.01min"
2.5262,"454/465.2676mz/9.01min"
-0.97969,"455/311.1687mz/9.01min"
3.1409,"457/856.6885mz/9.02min"
2.8371,"458/873.6787mz/9.07min"
2.682,"460/621.485mz/9.21min"
2.5204,"461/604.495mz/9.21min"
2.857,"463/573.485mz/9.31min"
2.7103,"464/556.4948mz/9.31min"
2.5302,"465/618.5105mz/9.37min"
2.5831,"466/635.5008mz/9.37min"
3.0685,"475/649.5164mz/9.69min"
2.7488,"476/632.5262mz/9.7min"
2.8787,"478/666.6045mz/9.81min"
-2.7655,"479/89.0244mz/9.83min"
2.5723,"480/646.5419mz/9.9min"
2.7096,"481/663.5321mz/9.91min"
-0.11754,"482/89.0244mz/9.98min"
-2.867,"483/89.0244mz/10.08min"
0.54791,"486/112.9857mz/10.17min"
-0.45711,"487/115.9208mz/10.2min"
-0.6305,"493/144.9235mz/10.2min"
-1.0924,"494/100.9337mz/10.22min"
3.9111,"498/662.4769mz/10.24min"
-0.58968,"501/112.9857mz/10.27min"
-0.88199,"504/248.9604mz/10.27min"
-0.88352,"505/316.948mz/10.27min"
3.068,"513/606.4144mz/10.3min"
-0.04811,"515/116.9286mz/10.36min"
0.094957,"519/132.8679mz/10.47min"
0.057128,"522/257.8192mz/10.48min"
0.046216,"523/255.8222mz/10.48min"
0.14165,"524/195.8109mz/10.48min"
0.22183,"525/197.808mz/10.48min"
0.25216,"526/187.861mz/10.49min"
0.64317,"527/216.8768mz/10.52min"
0.12892,"528/214.88mz/10.52min"
0.18001,"529/243.8993mz/10.52min"
0.14895,"530/245.8948mz/10.52min"
0.094012,"531/241.899mz/10.54min"
0.22284,"533/195.906mz/10.54min"
-0.0057046,"535/328.9796mz/10.59min"
-0.60209,"539/96.9601mz/10.61min"
