"","comp 1","comp 2","comp 3","comp 4","comp 5"
"454/465.2676mz/9.01min",-0.54656,0,0,0,0
"445/607.4695mz/8.96min",-0.43919,0,0,0,0
"461/604.495mz/9.21min",-0.42808,0,0,0,0
"380/667.4906mz/8.28min",-0.33531,0,0,0,0
"420/651.4955mz/8.73min",-0.28738,0,0,0,0
"465/618.5105mz/9.37min",-0.24641,0,0,0,0
"320/685.5011mz/7.93min",-0.1839,0,0,0,0
"466/635.5008mz/9.37min",-0.16072,0,0,0,0
"227/565.2823mz/7.07min",-0.089231,0,0,0,0
"86/421.1867mz/4.15min",0.042128,0,0,0,0
"535/328.9796mz/10.59min",0,-0.59583,0,0,0
"245/325.1844mz/7.23min",0,-0.38767,0,0,0
"54/312.9847mz/2.35min",0,0.37827,0,0,0
"68/582.981mz/3.53min",0,-0.36943,0,0,0
"59/370.9898mz/2.8min",0,-0.32257,0,0,0
"231/718.1446mz/7.1min",0,-0.18924,0,0,0
"178/311.1687mz/6.64min",0,-0.18751,0,0,0
"173/311.1687mz/6.53min",0,-0.18361,0,0,0
"55/312.9847mz/2.45min",0,0.078041,0,0,0
"147/241.8989mz/5.96min",0,0.017654,0,0,0
"53/328.9796mz/2.13min",0,0,0,0,0
"58/373.0055mz/2.71min",0,0,0,0,0
"60/265.0176mz/2.84min",0,0,0,0,0
"61/397.0055mz/3.14min",0,0,0,0,0
"62/265.0176mz/3.18min",0,0,0,0,0
"63/212.0353mz/3.32min",0,0,0,0,0
"66/421.0056mz/3.41min",0,0,0,0,0
"67/249.0227mz/3.49min",0,0,0,0,0
"72/560.999mz/3.54min",0,0,0,-0.11375,0
"73/213.0386mz/3.54min",0,0,0,0,0
"74/212.0353mz/3.54min",0,0,0,0,0
"76/811.0291mz/3.62min",0,0,0,0,0.19252
"77/405.0107mz/3.62min",0,0,0,0,0.33412
"78/407.0044mz/3.62min",0,0,0,0,0
"79/406.0137mz/3.62min",0,0,0,0,0.47711
"81/421.0055mz/3.86min",0,0,-0.20113,0,0
"82/309.1014mz/4.02min",0,0,0,0,0
"83/605.0258mz/4.07min",0,0,0,0,0
"84/438.1768mz/4.15min",0,0,0,0,0
"87/603.01mz/4.17min",0,0,0,0,0
"88/419.0263mz/4.18min",0,0,0,0,0
"89/447.0213mz/4.21min",0,0,0.3205,0,0
"90/263.0383mz/4.27min",0,0,0.71114,0,0
"92/282.9837mz/4.4min",0,0,0,0,0
"93/242.1762mz/4.42min",0,0,0,0,0
"94/497.0371mz/4.44min",0,0,0,0,0
"95/793.0186mz/4.49min",0,0,0,0,0
"99/341.0486mz/4.56min",0,0,0,0,0
"100/404.0444mz/4.56min",0,0,-0.19426,0,0
"101/422.9768mz/4.56min",0,0,0,0,0
"103/653.0255mz/4.57min",0,0,0,0.16664,0
"106/497.0371mz/4.67min",0,0,0,0,0
"107/228.9699mz/4.74min",0,0,0,0,0
"109/229.9645mz/4.74min",0,0,0,0,0
"110/230.9678mz/4.74min",0,0,0,0,0
"111/266.9888mz/4.76min",0,0,0,0,0
"112/268.9857mz/4.76min",0,0,0,0,0
"113/637.0305mz/4.78min",0,0,0,0.2936,0
"116/481.0421mz/4.92min",0,0,0,0,0
"117/544.0379mz/4.92min",0,0,0,0.2402,0
"118/426.9678mz/4.97min",0,0,0,0,0
"119/428.9624mz/4.97min",0,0,0,0,0
"120/396.2154mz/4.99min",0,0,0,0,0
"122/484.2681mz/5.03min",0,0,0,0,0
"125/396.2154mz/5.1min",0,0,0,0,0
"128/484.2681mz/5.14min",0,0,0,0,0
"129/501.2583mz/5.14min",0,0,0,0,0
"132/241.8989mz/5.28min",0,0,0,0.095809,0
"135/424.2468mz/5.55min",0,0,0,0,0
"137/241.8989mz/5.59min",0,0,-0.045477,0,0
"140/424.2469mz/5.66min",0,0,0,0,0
"150/265.1479mz/6.02min",0,0,0,0,0
"152/297.153mz/6.07min",0,0,0,0,0
"154/297.153mz/6.14min",0,0,0,0,0
"155/452.2782mz/6.13min",0,0,0,0,0
"158/452.2782mz/6.24min",0,0,0,0,0
"159/478.2939mz/6.3min",0,0,0,0,0
"160/540.3309mz/6.3min",0,0,0,0,0
"165/478.2939mz/6.41min",0,0,0,0,0
"168/566.3466mz/6.47min",0,0,0,0,0
"170/590.1196mz/6.5min",0,0,0,0,0
"171/573.1293mz/6.5min",0,0,0,0,0
"176/654.1321mz/6.62min",0,0,0,0,0
"177/637.1419mz/6.63min",0,0,0,0,0
"180/299.2592mz/6.68min",0,0,0,0,0
"182/573.1293mz/6.68min",0,0,0,0,0
"187/701.1544mz/6.71min",0,0,0,0,0
"190/718.1445mz/6.72min",0,0,0,0,0
"192/590.1195mz/6.74min",0,0,0,0,-0.22196
"194/634.4456mz/6.8min",0,0,0,0,0
"195/782.1569mz/6.8min",0,0,0,0,0
"197/654.1321mz/6.82min",0,0,0,0,0
"200/480.3096mz/6.83min",0,0,0,0,0
"202/637.1419mz/6.83min",0,0,0,0,0
"206/299.2593mz/6.88min",0,0,0,0,0
"207/718.1446mz/6.92min",0,0,0,0,-0.17651
"208/701.1544mz/6.93min",0,0,0,0,0
"212/765.1668mz/6.97min",0,0,0,0,0
"215/782.157mz/6.99min",0,0,0,0,0
"216/637.1418mz/7.02min",0,0,0,0,0
"217/325.1844mz/7.04min",0,0,0,0,0
"223/846.1693mz/7.05min",0,0,0,0,-0.35958
"224/829.1793mz/7.05min",0,0,0,0,0
"229/701.1544mz/7.08min",0,0,0,0,0
"232/893.1918mz/7.11min",0,0,0,0,0
"233/910.1819mz/7.11min",0,0,0,0,0
"234/782.157mz/7.14min",0,0,0,0,0
"235/765.1668mz/7.14min",0,0,0,0,0
"236/974.1943mz/7.15min",0,0,0,0,0
"238/750.5292mz/7.18min",0,0,0,0,0
"239/846.1693mz/7.2min",0,0,0,0,0
"240/829.1793mz/7.22min",0,0,0,0,0
"243/421.2264mz/7.22min",0,0,0,0,0
"246/910.1819mz/7.25min",0,0,0,0,0
"247/893.1917mz/7.26min",0,0,0,0,0
"249/974.1942mz/7.3min",0,0,0,0,0
"253/116.9286mz/7.33min",0,0,0,0,0
"255/134.8947mz/7.34min",0,0,0,0,0
"257/957.204mz/7.31min",0,0,0,0,0
"259/1021.2163mz/7.34min",0,0,0,0,0
"266/717.5272mz/7.42min",0,0,0,0,-0.2024
"267/716.5239mz/7.39min",0,0,0,0,0
"273/893.1917mz/7.44min",0,0,0,0,0
"274/694.4669mz/7.44min",0,0,0,0,0
"275/711.457mz/7.44min",0,0,0,0,0
"277/957.2039mz/7.46min",0,0,0,0,0
"278/1021.2163mz/7.48min",0,0,0,0,0
"279/717.5272mz/7.53min",0,0,0,0,0
"282/161.9136mz/7.55min",0,0,0,0,0
"284/134.8947mz/7.59min",0,0,0,0,0
"286/501.3546mz/7.59min",0,0,0,0,0
"287/484.3644mz/7.6min",0,0,0,0,0
"291/455.2106mz/7.68min",0,0,0,0,0
"292/716.5239mz/7.64min",0,0,0,0,0
"294/116.9286mz/7.73min",0,0,0,0,0
"295/115.9208mz/7.72min",0,0,0,0,0
"297/134.8947mz/7.71min",0,0,0,0,0
"299/161.9136mz/7.72min",0,0,0,0,0.1033
"301/720.4824mz/7.8min",0,0,0,0,0
"302/100.9337mz/7.86min",0,0,0,0.4531,0
"303/161.9136mz/7.83min",0,0,0,0,0
"304/116.9286mz/7.84min",0,0,0,0,0
"305/115.9208mz/7.84min",0,0,0,0,0
"307/355.1579mz/7.84min",0,0,0,0,0
"308/186.9706mz/7.84min",0,0,0,0,0
"310/144.9235mz/7.87min",0,0,0,0,0
"313/134.8947mz/7.85min",0,0,0.19495,0,0
"316/634.4455mz/7.92min",0,0,0,0,0
"321/100.9337mz/7.97min",0,0,0.091592,0,0
"331/381.1737mz/7.94min",0,0,0,0,0
"332/186.9706mz/7.95min",0,0,0,0,0
"333/115.9208mz/7.98min",0,0,0,0,0
"334/144.9235mz/7.99min",0,0,0,0,0
"338/134.8947mz/8.01min",0,0,0,0,0
"339/161.9136mz/7.96min",0,0,0.38411,0,0
"341/134.8947mz/8.07min",0,0,0,0,0
"342/742.5395mz/8.08min",0,0,0,0,0
"344/186.9706mz/8.11min",0,0,0,0,-0.087744
"345/100.9337mz/8.07min",0,0,0,0,0
"346/529.3859mz/8.07min",0,0,0,0,0
"350/660.4613mz/8.11min",0,0,0,0,0
"352/115.9208mz/8.19min",0,0,0,0,0
"353/100.9337mz/8.21min",0,0,0,-0.45276,0
"358/100.9337mz/8.27min",0,0,0,0,0
"362/703.5633mz/8.28min",0,0,0,0,0
"369/186.9706mz/8.33min",0,0,0,0,0
"370/383.1893mz/8.28min",0,0,0,0,0
"371/115.9208mz/8.28min",0,0,-0.34017,0,0
"374/134.8947mz/8.29min",0,0,0,0,0
"377/144.9235mz/8.31min",0,0,0,0,0
"378/161.9136mz/8.31min",0,0,0,0,0
"379/100.9337mz/8.32min",0,0,0,0,0
"384/134.8947mz/8.4min",0,0,0,0,0
"385/161.9136mz/8.41min",0,0,0,0,0
"387/186.9706mz/8.41min",0,0,0,0,0
"389/100.9337mz/8.38min",0,0,0,0,-0.59549
"393/100.9337mz/8.42min",0,0,0,0,0
"396/669.5064mz/8.48min",0,0,0,0,0
