"Log2_FoldChange","MetaboAnalyst_ID"
-4.0182,"139/169.0971mz/2.01min"
0.56446,"140/99.5121mz/2.09min"
-0.073446,"141/244.1907mz/2.1min"
-1.0979,"142/181.0971mz/2.12min"
-1.0796,"143/245.0954mz/2.12min"
0.010365,"144/184.1695mz/2.21min"
-2.8571,"145/188.0705mz/2.25min"
-0.15352,"146/217.1247mz/2.25min"
-0.17587,"147/218.1281mz/2.25min"
-0.15266,"148/200.1046mz/2.25min"
-0.086049,"150/199.1012mz/2.25min"
-3.1883,"151/228.1342mz/2.26min"
0.023706,"152/195.1227mz/2.28min"
0.067797,"153/244.2012mz/2.3min"
0.25095,"155/244.2012mz/2.36min"
-4.9577,"156/228.1342mz/2.36min"
-0.087425,"157/140.1434mz/2.38min"
-3.4321,"158/171.1128mz/2.42min"
-2.4086,"160/298.0968mz/2.44min"
-3.6785,"161/171.1128mz/2.48min"
-0.25396,"162/244.2012mz/2.51min"
-3.8157,"163/276.1342mz/2.52min"
-0.2168,"164/184.1695mz/2.53min"
0.2975,"165/316.2117mz/2.58min"
-2.7589,"167/262.1268mz/2.6min"
-5.5635,"169/521.2391mz/2.6min"
-2.9351,"170/261.1234mz/2.6min"
-2.6399,"172/180.1019mz/2.66min"
-0.30099,"173/259.2202mz/2.66min"
-0.92951,"174/130.159mz/2.69min"
2.9329,"175/185.0855mz/2.7min"
-2.8943,"176/198.1317mz/2.71min"
-2.786,"177/197.1285mz/2.71min"
-0.27164,"178/202.1801mz/2.72min"
0.33003,"179/316.2118mz/2.74min"
-2.4832,"181/230.1039mz/2.75min"
-5.2077,"183/229.1005mz/2.75min"
-3.4628,"185/185.1284mz/2.8min"
-0.20145,"186/259.2202mz/2.79min"
0.13278,"187/272.1856mz/2.82min"
1.0807,"188/120.0443mz/2.82min"
1.0418,"189/138.0549mz/2.83min"
-4.9348,"190/181.0971mz/2.84min"
-5.1195,"191/229.1005mz/2.84min"
-3.4517,"193/185.1284mz/2.87min"
-0.51841,"194/183.0917mz/2.96min"
-2.8705,"196/211.1441mz/3.14min"
-3.3965,"197/212.1473mz/3.15min"
-0.29528,"198/249.1332mz/3.2min"
-0.32826,"199/266.1597mz/3.2min"
-2.8151,"200/211.1441mz/3.24min"
-3.0584,"201/212.1473mz/3.24min"
-3.158,"205/245.1284mz/3.26min"
-3.1912,"206/246.1318mz/3.26min"
1.7547,"213/214.0498mz/3.39min"
2.1244,"214/215.0529mz/3.37min"
-2.9402,"218/246.1318mz/3.39min"
-2.9156,"220/245.1284mz/3.39min"
-3.4481,"222/284.1393mz/3.43min"
0.038241,"224/228.2321mz/3.46min"
6.8711,"225/264.1335mz/3.47min"
-0.26055,"226/251.0372mz/3.51min"
-3.32,"227/213.1597mz/3.51min"
0.90202,"230/215.053mz/3.54min"
0.94323,"232/214.0499mz/3.54min"
-0.12403,"233/274.1648mz/3.54min"
0.05339,"234/228.2321mz/3.66min"
-0.6057,"235/246.1333mz/3.67min"
0.24485,"236/586.2703mz/3.73min"
-0.15476,"239/514.2855mz/3.97min"
-4.2267,"240/399.1776mz/4.15min"
-3.0247,"241/394.2222mz/4.15min"
-2.3182,"242/269.2223mz/4.27min"
0.0041116,"244/320.1703mz/4.32min"
-0.023325,"245/325.1257mz/4.32min"
-0.13261,"246/195.1379mz/4.34min"
0.015489,"247/364.1965mz/4.4min"
0.10923,"248/226.1801mz/4.43min"
0.07356,"249/244.1906mz/4.43min"
0.029341,"251/408.2226mz/4.47min"
1.4545,"252/214.1801mz/4.51min"
0.11274,"253/392.1914mz/4.56min"
-2.4538,"254/340.1939mz/4.59min"
-3.4347,"256/246.1522mz/4.63min"
0.024852,"258/211.9705mz/4.75min"
-0.0034722,"260/231.979mz/4.75min"
-0.013933,"261/230.9844mz/4.74min"
-0.022542,"262/232.9823mz/4.75min"
0.016411,"263/213.9685mz/4.75min"
1.6379,"266/270.2063mz/4.78min"
0.021423,"267/656.071mz/4.79min"
0.022571,"271/568.2961mz/4.81min"
0.049523,"272/573.2513mz/4.81min"
0.059497,"273/551.2695mz/4.8min"
2.8225,"277/230.2478mz/4.87min"
0.57939,"278/229.1991mz/4.88min"
0.53074,"279/250.1777mz/4.88min"
0.55907,"280/228.1958mz/4.88min"
0.038792,"281/158.1539mz/4.95min"
0.098797,"282/640.3173mz/4.96min"
2.8798,"283/398.23mz/4.99min"
2.8844,"285/440.277mz/5.03min"
2.815,"288/398.23mz/5.1min"
2.7277,"290/440.277mz/5.15min"
2.7139,"292/412.2457mz/5.17min"
-2.1887,"295/404.2066mz/5.21min"
-2.1512,"296/387.1801mz/5.21min"
3.8963,"300/752.4mz/5.3min"
2.9552,"302/482.2876mz/5.42min"
2.8877,"303/426.2614mz/5.56min"
0.13193,"304/387.193mz/5.56min"
2.7327,"305/371.2742mz/5.57min"
3.0841,"308/678.3631mz/5.63min"
-0.45209,"311/437.1931mz/5.64min"
-0.11604,"313/446.2535mz/5.64min"
0.35745,"316/415.2113mz/5.64min"
0.33127,"317/432.2378mz/5.64min"
2.8105,"318/716.509mz/5.65min"
2.7893,"322/303.3087mz/5.65min"
2.7837,"324/302.3053mz/5.65min"
2.8162,"325/426.2613mz/5.66min"
0.10809,"326/307.2478mz/5.68min"
2.7616,"327/371.2741mz/5.69min"
2.7161,"328/468.3082mz/5.72min"
2.8183,"330/328.3209mz/5.8min"
2.8618,"332/583.2912mz/5.86min"
-6.9033,"335/330.2638mz/6.03min"
-4.7321,"336/335.2193mz/6.03min"
2.8269,"337/583.2912mz/6.05min"
2.8547,"339/454.2926mz/6.13min"
2.8371,"340/371.2741mz/6.17min"
2.778,"342/454.2926mz/6.24min"
2.069,"343/358.3678mz/6.24min"
3.0175,"348/480.3082mz/6.3min"
2.7177,"349/496.3397mz/6.3min"
0.49438,"351/440.4096mz/6.3min"
2.7383,"356/468.3083mz/6.33min"
3.0066,"357/522.3552mz/6.37min"
9.5154,"362/480.3082mz/6.41min"
2.8023,"363/502.2901mz/6.41min"
2.9821,"366/353.2685mz/6.46min"
2.8067,"367/583.2912mz/6.46min"
2.8723,"368/393.261mz/6.46min"
2.9429,"371/371.279mz/6.48min"
2.8032,"372/522.3552mz/6.48min"
-0.14485,"374/365.1358mz/6.53min"
-0.14097,"376/400.3055mz/6.59min"
-0.16307,"377/444.3317mz/6.61min"
-0.21284,"378/488.3579mz/6.62min"
-0.22307,"379/532.3841mz/6.62min"
0.60501,"380/313.1434mz/6.63min"
2.5413,"383/358.2739mz/6.66min"
2.5725,"384/398.2663mz/6.66min"
2.6657,"385/289.2161mz/6.66min"
3.0176,"386/583.2912mz/6.67min"
2.7538,"387/283.2631mz/6.68min"
2.7422,"388/265.2525mz/6.68min"
