"","filter","2024_POS_CC-Media_1_Run17.mzML","2024_POS_CC-Media_2_Run53.mzML","2024_POS_CC-Media_3_Run73.mzML","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML"
"139/169.0971mz/2.01min",1666642.805,3117425.8,3806310.5,3679893.2,207091.27,211851.77,215859.81
"140/99.5121mz/2.09min",439815.32,596759.8,194192.6,280972.9,282870.84,646871.1,642649.8
"141/244.1907mz/2.1min",420442.845,422991.53,444829.5,417894.16,362358,378928.16,448430.34
"142/181.0971mz/2.12min",1360849.75,2017993.2,2054366.5,1777118.5,898039.1,811825.75,944581
"143/245.0954mz/2.12min",6403817,9154800,9386015,8383015,4122480.2,3831443.2,4424619
"144/184.1695mz/2.21min",2134465.8,2082657.1,2186274.5,2187359.5,1963623.9,2006927,2359434.5
"145/188.0705mz/2.25min",172113.468,286855.78,425306.12,574436.6,57371.156,57371.156,57371.156
"146/217.1247mz/2.25min",546859.35,583650.44,568937.8,595524.8,490726.38,512937.16,524780.9
"147/218.1281mz/2.25min",7481971.75,8175724,7871707,8153080.5,6703308,7037200,7092236.5
"148/200.1046mz/2.25min",6282093,6927637.5,6543445.5,6781853.5,5724253.5,6020740.5,5971879.5
"150/199.1012mz/2.25min",487855.5,534224.9,485974.97,517833.6,442934.53,478102.5,489736.03
"151/228.1342mz/2.26min",315713.37,561765.1,653747.9,680055.56,65897.21,66325.99,69661.64
"152/195.1227mz/2.28min",656734.3,708630.7,651713,598727.1,662007.2,661755.6,609265.1
"153/244.2012mz/2.3min",883412.85,872505.56,886138.4,906691.4,1004005.1,822472.06,880687.3
"154/181.0971mz/2.33min",48525.9096,82195.06,87628.52,80876.516,16175.3032,16175.3032,16175.3032
"155/244.2012mz/2.36min",1324948.2,1371355.2,1315652.2,1334244.2,2119867.8,1235168.4,1254858.4
"156/228.1342mz/2.36min",215248.395,406297.4,454702.03,470691.16,11890.19,6004.746,24199.39
"157/140.1434mz/2.38min",371420.2,391098.62,375478.7,379253.16,367361.7,349478,329299.75
"158/171.1128mz/2.42min",257430.82,449232.25,551811.2,578775.75,53590.836,23131.408,65629.39
"159/136.0623mz/2.43min",20414.3178,38228.082,34023.863,40267.234,6804.7726,6804.7726,6804.7726
"160/298.0968mz/2.44min",1879030.32,3131717.2,3507146,3642462.2,626343.44,626343.44,626343.44
"161/171.1128mz/2.48min",247319.345,451671.38,554582.4,591741.44,36292.492,42967.31,42031.406
"162/244.2012mz/2.51min",348344.36,375641.22,399902.4,397376.9,317576.8,316261.53,321047.5
"163/276.1342mz/2.52min",197234.245,364329.2,427124.7,430434.4,25185.693,29060.229,30139.29
"164/184.1695mz/2.53min",237236.085,220557.06,253915.11,301096.1,189120.73,199355.02,262391.03
"165/316.2117mz/2.58min",517257.67,386962.28,537261.06,413242.8,518763.5,555945,515751.84
"167/262.1268mz/2.6min",1961400.25,3969908,3346891.8,4360256,575908.7,544342.3,557938.75
"169/521.2391mz/2.6min",597986.82,1166843.2,1429829.5,1449088,29130.44,27378.17,26308.713
"170/261.1234mz/2.6min",15388697.6,27032322,29590432,29901938,3745073.2,3550931,3679835
"172/180.1019mz/2.66min",1071449.52,1791366.2,2252541.5,2026104.5,304599.34,289440.38,351532.84
"173/259.2202mz/2.66min",503532.8,553600.9,570196.9,586706.3,444309.44,450825.1,453464.7
"174/130.159mz/2.69min",519143.775,1113636.6,616383.8,720275.8,415925.8,421903.75,418963.97
"175/185.0855mz/2.7min",229595.118,76531.706,76531.706,76531.706,777895.7,524594.1,382658.53
"176/198.1317mz/2.71min",828034.63,1424447.2,1763067.2,1768152.6,212471.06,202890.55,231622.06
