"","PC1","PC2","PC3","PC4","PC5","PC6"
"139/169.0971mz/2.01min",-0.057964,0.025065,-0.023651,-0.019656,0.017429,-0.28268
"140/99.5121mz/2.09min",0.0098478,0.0040834,0.0033091,0.039957,-0.085447,0.78268
"141/244.1907mz/2.1min",-0.00077921,0.00099946,-0.0043317,0.0023988,0.00057885,0.0097694
"142/181.0971mz/2.12min",-0.014985,0.010636,-0.0072121,-0.0033484,0.012398,0.20583
"143/245.0954mz/2.12min",-0.014853,0.0098364,-0.0074869,-0.0036069,0.0099232,0.12849
"144/184.1695mz/2.21min",0.00043612,0.00013468,-0.0038913,-1.8578e-05,-0.0022573,-0.00040368
"145/188.0705mz/2.25min",-0.041251,0.010893,-0.020137,-0.03039,0.0023792,0.0038288
"146/217.1247mz/2.25min",-0.0020804,0.0017501,-0.00029047,-0.0018214,-0.0065703,-0.0090701
"147/218.1281mz/2.25min",-0.0024071,0.0021462,0.00021529,-0.0014089,-0.006398,0.04779
"148/200.1046mz/2.25min",-0.0020638,0.0022726,0.0010061,-0.001115,-0.0070772,0.031661
"150/199.1012mz/2.25min",-0.0010172,0.0019707,0.00014817,0.00043867,-0.010877,0.01468
"151/228.1342mz/2.26min",-0.045882,0.019793,-0.019845,-0.017785,0.0099293,0.01506
"152/195.1227mz/2.28min",0.00059016,0.0030204,0.0062533,0.00099033,-1.3439e-05,0.015952
"153/244.2012mz/2.3min",0.0015911,0.0022888,0.001927,-0.0085254,0.0034368,-0.031986
"155/244.2012mz/2.36min",0.0043784,0.005791,0.0086271,-0.018574,0.013821,0.034283
"156/228.1342mz/2.36min",-0.069688,0.041874,-0.067641,-0.026591,0.034466,0.00010924
"157/140.1434mz/2.38min",-0.001067,0.0027733,0.0042014,-0.004533,-0.0017638,-0.016129
"158/171.1128mz/2.42min",-0.047103,0.030548,-0.045938,-0.033343,0.03802,0.030195
"160/298.0968mz/2.44min",-0.034711,0.015204,-0.013301,-0.01492,0.0067865,0.026157
"161/171.1128mz/2.48min",-0.053586,0.020302,-0.022764,-0.017287,0.0063542,-0.013575
"162/244.2012mz/2.51min",-0.003607,0.0018859,-0.00039902,-0.004202,0.00079446,0.0081916
"163/276.1342mz/2.52min",-0.055284,0.022839,-0.024367,-0.015061,0.00916,-0.0048356
"164/184.1695mz/2.53min",-0.0029588,-0.0015935,-0.011415,-0.005273,-0.0093044,-0.016288
"165/316.2117mz/2.58min",0.0036358,-0.0049761,0.0049932,0.0011782,0.018086,-0.021695
"167/262.1268mz/2.6min",-0.038928,0.020926,-0.015061,-0.018615,-0.01054,-0.010713
