"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"3248/561.4192mz/10.03min",0.0037809,-8.0471,"3248"
"2664/738.5083mz/7.51min",38.621,5.2713,"2664"
"2878/714.5084mz/8.02min",26.926,4.7509,"2878"
"2316/315.2539mz/5.16min",21.908,4.4534,"2316"
"2596/826.5606mz/7.06min",0.056041,-4.1574,"2596"
"3326/501.1766mz/10.85min",0.078431,-3.6724,"3326"
"3336/501.1766mz/11.09min",0.086544,-3.5304,"3336"
"2343/315.2538mz/5.35min",10.435,3.3834,"2343"
"2541/299.2591mz/6.69min",8.4439,3.0779,"2541"
"2105/706.186mz/4.01min",8.1556,3.0278,"2105"
"3293/714.5084mz/10.28min",7.8245,2.968,"3293"
"3113/579.3305mz/8.81min",6.4374,2.6865,"3113"
"2978/714.5096mz/8.14min",6.2097,2.6345,"2978"
"2796/339.1998mz/7.68min",6.1742,2.6262,"2796"
"2911/833.5185mz/8.13min",0.1672,-2.5803,"2911"
"3181/579.3307mz/9.27min",5.4705,2.4517,"3181"
"2567/388.3068mz/6.9min",4.9723,2.3139,"2567"
"2746/833.5186mz/7.66min",0.20461,-2.289,"2746"
"2727/758.4972mz/7.67min",4.8628,2.2818,"2727"
"3299/480.3093mz/10.29min",0.20976,-2.2532,"3299"
"2853/99.9258mz/7.72min",4.6242,2.2092,"2853"
"3074/99.9258mz/8.46min",0.22481,-2.1533,"3074"
"2421/603.1919mz/5.88min",3.9715,1.9897,"2421"
"2330/347.1725mz/5.29min",3.9387,1.9777,"2330"
"2726/771.3909mz/7.65min",3.9086,1.9666,"2726"
"3290/833.5187mz/10.25min",0.25623,-1.9645,"3290"
"2733/738.5084mz/7.66min",3.8981,1.9628,"2733"
"2619/828.5751mz/7.22min",3.8632,1.9498,"2619"
"2364/271.1915mz/5.45min",3.8607,1.9488,"2364"
"2910/771.3907mz/8.13min",3.7858,1.9206,"2910"
"2284/410.2006mz/5.06min",3.7173,1.8943,"2284"
"2344/420.2503mz/5.36min",3.6588,1.8714,"2344"
"2345/374.2447mz/5.36min",3.5836,1.8414,"2345"
"2553/483.2728mz/6.78min",0.28668,-1.8025,"2553"
"2572/478.2937mz/6.86min",0.28782,-1.7968,"2572"
"2350/480.3096mz/5.37min",3.433,1.7795,"2350"
"2608/421.2267mz/7.14min",3.433,1.7795,"2608"
"2641/337.1975mz/7.35min",3.433,1.7795,"2641"
"2643/321.2201mz/7.36min",3.433,1.7795,"2643"
"2686/365.2367mz/7.45min",3.433,1.7795,"2686"
"2790/901.3645mz/7.68min",3.433,1.7795,"2790"
"2975/593.3157mz/8.14min",3.433,1.7795,"2975"
"3103/493.3359mz/8.68min",3.433,1.7795,"3103"
"3183/557.326mz/9.27min",3.433,1.7795,"3183"
"3055/495.3511mz/8.44min",3.3925,1.7624,"3055"
"2274/269.1758mz/4.94min",3.3839,1.7587,"2274"
"3161/590.4917mz/9.18min",3.3431,1.7412,"3161"
