"","PC1","PC2","PC3","PC4","PC5","PC6"
"2105/706.186mz/4.01min",0.064063,-0.12027,-0.030183,-0.0079892,0.067278,-0.26228
"2106/621.3255mz/4.02min",0.019534,-0.033806,-0.0046235,-0.0087594,0.020554,0.25803
"2109/745.3571mz/4.04min",0.012954,-0.020523,-0.0038671,-0.014673,0.0058269,-0.10727
"2111/382.1984mz/4.04min",0.011205,-0.019345,-0.001355,-0.02143,0.019562,0.20853
"2112/428.1858mz/4.04min",0.029669,-0.049129,-0.0069651,-0.0092698,0.03592,-0.015387
"2115/329.1718mz/4.05min",0.010918,-0.018677,0.0055273,-0.031335,0.021745,0.039155
"2116/285.1133mz/4.06min",0.021243,-0.038739,0.00065891,-0.0060248,0.012779,0.060265
"2119/396.2139mz/4.08min",0.013706,-0.023465,-0.0056605,-0.018076,0.020974,-0.042879
"2123/214.1449mz/4.09min",0.019502,-0.037232,-0.0067973,-0.041362,0.037183,0.055951
"2124/964.5147mz/4.1min",0.015365,-0.027333,-0.0059088,-0.014343,0.0061876,-0.041342
"2127/656.2939mz/4.11min",0.015284,-0.015286,0.040605,-0.050251,-0.0067525,0.016404
"2128/681.3467mz/4.14min",0.02169,-0.039808,0.0004546,-0.018632,0.026294,0.013536
"2130/188.0176mz/4.15min",0.02333,-0.03494,0.0054913,-0.009973,0.018336,-0.041056
"2131/232.0073mz/4.15min",0.023356,-0.035849,0.0059713,-0.0078304,0.018817,-0.026182
"2135/215.1288mz/4.17min",0.029091,-0.055191,-0.00076902,-0.0022427,0.017558,-0.0039895
"2136/374.2084mz/4.19min",0.010548,-0.013525,-0.0047847,-0.020723,0.016095,0.017288
"2137/248.1292mz/4.24min",0.018445,-0.012307,-0.047252,-0.024121,0.043006,0.035957
"2139/297.1132mz/4.21min",0.01279,-0.012734,-0.016595,-0.0081934,0.013267,-0.022821
"2147/271.0183mz/4.23min",0.028578,-0.042402,0.0027507,-0.0086711,0.037457,-0.023629
"2149/451.2926mz/4.23min",-0.00074019,0.0085918,-0.0023914,-0.025624,0.0092384,-0.042236
"2150/354.2398mz/4.24min",0.014797,-0.018578,-0.0089316,-0.014942,0.017149,0.018594
"2151/527.2513mz/4.24min",-0.0009345,0.010181,-0.033726,0.0080573,0.018837,0.058973
"2152/268.098mz/4.27min",0.0070508,-0.0086771,0.0075835,-0.019151,0.017518,0.038892
"2153/612.3151mz/4.27min",0.0062467,-0.023347,0.017987,-0.018313,0.0029929,-0.020185
"2157/248.1292mz/4.28min",0.017157,-0.014242,-0.023001,-0.029053,0.032826,-0.0073515
"2159/327.2177mz/4.31min",0.017742,-0.034165,-0.011238,-0.0029975,0.0073615,-0.043163
"2162/227.1289mz/4.33min",0.01918,-0.031711,-0.0075381,0.014968,0.0019013,-0.0014385
"2164/242.1762mz/4.36min",0.010599,-0.01794,-0.010697,-0.0020858,0.010558,0.037953
"2167/398.2295mz/4.37min",0.025476,-0.039686,0.0042746,-0.021212,0.034152,-0.024097
"2169/282.1136mz/4.38min",0.0065054,-0.0058983,0.00046143,-0.02236,0.02332,-0.002027
"2171/649.3569mz/4.39min",0.011211,-0.024447,0.0039651,-0.01762,0.019253,0.039426
"2173/432.2139mz/4.4min",0.026031,-0.046886,0.0025221,-0.01932,0.03809,0.013407
"2174/718.451mz/4.41min",0.0087392,-0.0073773,-0.0027919,-0.01656,0.017204,-0.0010743
"2176/488.2402mz/4.42min",0.015489,-0.033442,-0.003563,-0.017072,0.032736,0.013596
"2178/229.1444mz/4.52min",0.03223,-0.062824,0.0049613,-0.0086536,0.025559,-0.043561
"2179/755.3623mz/4.45min",0.009141,-0.020672,0.018866,-0.031337,0.014855,0.019168
"2180/529.2668mz/4.46min",0.030208,-0.049623,-0.020756,0.00015745,0.0041996,0.059844
"2181/325.177mz/4.47min",0.001899,-0.0061679,0.016797,-0.040677,0.013807,0.03941
"2182/470.2506mz/4.47min",0.024681,-0.048731,0.0025225,-0.022843,0.033872,-0.045784
"2184/481.2665mz/4.48min",0.014879,-0.030596,-0.011277,-0.007877,0.02379,-0.025976
"2185/228.1242mz/4.49min",0.016283,-0.026044,-0.0030783,-0.01279,0.023141,-0.022135
"2186/184.1342mz/4.49min",0.016039,-0.025871,-0.0020846,-0.011975,0.021266,0.057292
"2188/347.1974mz/4.49min",0.00069408,0.010198,-0.014553,-0.024123,0.029784,-0.063882
"2189/307.1914mz/4.5min",0.013852,-0.030009,-0.015269,-0.0058825,0.010155,0.035346
"2191/507.282mz/4.5min",0.016338,-0.036249,0.0067518,-0.010937,0.014251,-0.0030215
"2192/330.2366mz/4.5min",0.019951,-0.036306,-0.0083417,-0.001596,0.0079234,-0.062255
"2193/329.2333mz/4.5min",0.018981,-0.034718,-0.0091739,-0.0025871,0.010612,-0.042975
"2195/388.2241mz/4.5min",0.001852,-0.0010413,-0.0066986,-0.019202,0.015126,0.059057
"2197/349.1403mz/4.51min",0.031066,-0.058952,0.0050479,-0.0088195,0.021388,0.033056
"2202/262.1084mz/4.55min",0.019827,-0.028573,-7.1137e-05,-0.01329,0.015482,0.038892
"2203/718.451mz/4.55min",0.01158,-0.013608,-0.010428,-0.019949,0.017389,-0.022969
"2205/228.1604mz/4.56min",0.015034,-0.02521,-0.0065242,-0.011353,0.0099185,0.016178
"2206/327.2178mz/4.56min",0.021304,-0.025298,-0.0099376,-0.01414,0.010429,-0.04192
"2207/328.2212mz/4.57min",0.01633,-0.039771,-0.017366,-0.017225,-0.0084751,0.057183
"2208/375.1845mz/4.6min",0.020651,-0.068989,0.03148,-0.018217,0.0051814,-0.043386
"2209/296.0928mz/4.58min",0.0057724,-0.0067608,-0.00019614,-0.01401,0.0062808,0.059788
"2213/229.9644mz/4.61min",0.00037401,-1.4916e-05,3.5652e-05,-0.00010619,0.00085365,0.040294
"2214/262.1448mz/4.63min",0.014976,-0.026186,-0.0078374,-0.011664,0.01161,0.05957
"2215/394.271mz/4.63min",-0.0030906,0.022811,0.01103,-0.053299,0.014286,0.018477
"2218/311.1864mz/4.65min",0.017469,-0.040416,-0.019076,-0.0073239,0.011487,0.01881
"2220/646.3249mz/4.66min",0.0052533,-0.0047884,-0.02093,-0.014122,0.026358,0.037594
"2221/432.2139mz/4.66min",0.021891,-0.03813,0.00056952,-0.021717,0.028779,0.016883
"2222/180.103mz/4.67min",0.027094,-0.047995,-0.026265,-0.014345,0.01585,-0.0059707
"2224/251.1038mz/4.67min",0.02927,-0.050662,0.022647,-0.035921,0.027606,0.018204
"2225/375.1845mz/4.64min",0.035187,-0.061147,-0.016806,-0.0066784,0.033139,0.035587
"2230/187.1339mz/4.71min",0.014805,-0.032628,-0.0099516,-0.0010417,0.014603,-0.042742
"2232/309.2072mz/4.72min",0.015504,-0.036252,-0.016816,-0.0040836,0.0065483,-0.022949
"2234/539.3242mz/4.73min",0.0053474,-0.00057781,-0.016568,-0.010638,0.023227,-0.021287
"2235/307.1915mz/4.73min",0.015289,-0.033538,-0.018459,-0.0087512,0.003106,-0.043681
"2237/886.4357mz/4.75min",-0.0033825,0.00084008,0.038189,-0.05897,0.0024195,0.054912
"2239/511.2768mz/4.76min",0.023371,-0.045671,0.0089469,-0.027073,0.03542,-0.047912
"2242/501.1767mz/4.78min",0.014503,0.030117,0.0054079,-0.12107,-0.05338,-0.006469
"2244/329.2334mz/4.81min",0.018188,-0.036719,-0.011157,-0.0076683,0.016714,0.1163
"2245/330.2367mz/4.8min",0.017263,-0.034514,-0.028953,-0.020804,0.012658,-0.063689
"2246/424.2453mz/4.82min",0.013998,-0.031255,0.00038361,-0.020539,0.023201,-0.025603
"2249/243.16mz/4.84min",0.024392,-0.052524,-0.003891,0.017469,0.012007,0.058069
"2250/521.2977mz/4.84min",0.015116,-0.035358,0.0042628,-0.01366,0.022698,-0.061444
"2251/287.1864mz/4.84min",0.015328,-0.030942,-0.012325,0.015365,0.011633,-0.041348
"2252/762.4408mz/4.84min",0.013594,-0.028718,0.0061922,-0.026858,0.022736,-0.042586
"2254/198.1499mz/4.86min",0.023743,-0.040961,-0.0056671,-0.0078051,0.027767,0.057164
"2255/242.1398mz/4.86min",0.02441,-0.042921,-0.0059574,-0.0088632,0.028283,-0.0034284
"2256/313.2385mz/4.87min",0.016149,-0.016823,0.004248,0.03563,-0.018003,0.042581
"2258/276.1241mz/4.88min",0.027287,-0.047648,-0.010461,-0.0057205,0.030615,-0.023553
"2259/1022.52mz/4.87min",0.017171,-0.030447,0.014753,-0.032262,0.018147,-0.025863
"2260/633.2931mz/4.87min",0.00079117,-0.0081087,0.022565,-0.05443,0.024654,-0.023617
"2262/232.1343mz/4.88min",0.027995,-0.047648,-0.0083875,-0.0037972,0.033314,-0.0053155
"2263/555.2824mz/4.9min",0.011941,-0.032746,0.002791,-0.014179,0.020336,-0.04422
"2264/640.3355mz/4.91min",0.032122,-0.074184,-0.018469,-0.050587,0.064581,2.4314e-05
"2265/401.187mz/4.92min",0.013795,-0.027034,-0.0065986,-0.0038378,0.011342,0.057361
"2266/437.1635mz/4.92min",0.016549,-0.011901,-0.030721,-0.015904,0.0058657,0.057854
"2268/447.1922mz/4.92min",0.016396,-0.031157,-0.0072077,-0.0025764,0.014507,0.037497
"2270/481.2455mz/4.92min",0.00098146,-0.0027412,-0.0041748,-0.029758,0.01325,0.059931
"2271/313.2384mz/4.92min",0.015815,-0.02689,0.0021632,0.014229,7.3227e-05,-0.0213
"2273/384.1928mz/4.94min",0.013593,-0.023947,-0.0061883,-0.019873,0.016884,0.036983
"2274/269.1758mz/4.94min",0.034651,-0.07529,0.0025395,-0.010292,0.036782,-0.016547
"2281/311.1866mz/4.98min",0.019652,-0.041568,-0.011094,-0.0041638,0.014105,-0.021879
"2282/312.1898mz/4.97min",0.019645,-0.041864,-0.011349,-0.0033259,0.014901,-0.043824
"2284/410.2006mz/5.06min",0.033452,-0.074791,-0.021675,-0.0077604,0.029778,-0.069688
"2287/312.2262mz/5.0min",0.015502,-0.03655,-0.012392,-0.00084364,0.013761,0.037556
"2288/311.2227mz/5.0min",0.016296,-0.033744,-0.0084749,-0.0059062,0.01437,0.059081
"2291/341.208mz/5.01min",-0.0014479,-0.0022384,0.028589,-0.056188,0.011592,-0.039803
"2292/426.9677mz/4.97min",0.013503,-0.017056,-0.0027156,-0.01279,0.013848,0.11875
"2294/438.2609mz/5.04min",0.009338,-0.022893,0.0054223,-0.029538,0.023867,-0.023588
"2296/257.1759mz/5.04min",0.030475,-0.062716,0.0028503,-0.010683,0.02474,0.036629
"2299/309.2072mz/5.05min",0.011575,-0.030583,-0.01428,0.0057001,0.016935,-0.022957
"2307/201.1496mz/5.12min",0.030654,-0.043434,-0.0018324,-0.010576,-0.0084255,0.059739
"2308/221.1547mz/5.12min",0.020775,-0.028783,-0.0048993,-0.01285,0.068046,0.014463
"2310/293.1759mz/5.12min",0.020612,-0.029866,-0.0046161,-0.014537,0.065045,0.016296
"2311/236.1054mz/5.12min",0.020111,-0.028524,-0.0039513,-0.015617,0.066699,0.013855
"2313/327.2178mz/5.13min",0.029772,-0.048656,0.0032175,-0.065619,0.012525,0.010142
"2315/257.1759mz/5.15min",0.025469,-0.052592,-0.013261,-0.0098715,0.011082,0.015657
"2316/315.2539mz/5.16min",0.072275,-0.13725,-0.07356,0.067936,0.015365,-0.019126
"2318/329.2333mz/5.17min",0.021303,-0.042944,-0.032877,-0.026145,0.046274,0.026907
"2320/313.2384mz/5.19min",0.022041,-0.045573,-0.012665,-0.0033534,0.01672,-0.026056
"2326/309.1709mz/5.27min",0.012704,-0.026681,0.012606,-0.024768,0.041693,-0.022911
"2327/312.2261mz/5.29min",0.019027,-0.034848,-0.0090591,-0.0072027,0.0086712,-0.04338
"2328/311.2228mz/5.28min",0.020282,-0.039052,-0.011739,-0.0038856,0.009093,0.096834
"2330/347.1725mz/5.29min",0.049646,-0.096231,-0.01082,-0.042571,0.073814,0.0098443
"2331/686.3309mz/5.29min",0.013671,-0.018699,-0.027619,-0.022723,0.014098,0.058397
"2334/256.1918mz/5.3min",0.019524,-0.036122,-0.0076342,-0.017306,0.018948,-0.023973
"2335/381.2646mz/5.3min",0.020856,-0.042501,-0.011451,-0.011835,0.019181,0.058986
"2341/290.1762mz/5.34min",0.020832,-0.037224,-0.0079146,-0.019332,0.018243,0.01598
"2343/315.2538mz/5.35min",0.055951,-0.12066,-0.065068,0.016133,0.035944,0.028968
"2344/420.2503mz/5.36min",0.059368,-0.034759,-0.0578,-0.041638,0.030451,0.0075535
"2345/374.2447mz/5.36min",0.059548,-0.034043,-0.058716,-0.045641,0.033456,-0.0073306
"2350/480.3096mz/5.37min",0.062401,-0.010641,-0.018417,-0.010353,0.017726,-0.044579
"2356/313.2384mz/5.4min",0.027385,-0.051183,0.0020893,-0.010238,0.037767,-0.045063
"2359/343.2125mz/5.43min",0.032103,-0.075703,-0.011475,-0.030302,0.044241,-0.047205
