"","FC","log2(FC)","raw.pval","-log10(p)"
"2567/388.3068mz/6.9min",4.9723,2.3139,0.0003063,3.5139
"2316/315.2539mz/5.16min",21.908,4.4534,0.00031088,3.5074
"2541/299.2591mz/6.69min",8.4439,3.0779,0.0008864,3.0524
"2162/227.1289mz/4.33min",2.0643,1.0456,0.0013193,2.8797
"2364/271.1915mz/5.45min",3.8607,1.9488,0.0039942,2.3986
"2343/315.2538mz/5.35min",10.435,3.3834,0.0053655,2.2704
"2249/243.16mz/4.84min",2.827,1.4993,0.0055428,2.2563
"2180/529.2668mz/4.46min",2.8921,1.5321,0.0080192,2.0959
"2711/508.4116mz/7.64min",0.42397,-1.238,0.010508,1.9785
"2441/271.2278mz/5.99min",2.6165,1.3877,0.011818,1.9275
"3248/561.4192mz/10.03min",0.0037809,-8.0471,0.012392,1.9068
"2409/315.2539mz/5.77min",2.6978,1.4318,0.01265,1.8979
"2192/330.2366mz/4.5min",2.0574,1.0408,0.013379,1.8736
"2328/311.2228mz/5.28min",2.1312,1.0917,0.015059,1.8222
"2320/313.2384mz/5.19min",2.3428,1.2282,0.016687,1.7776
"2282/312.1898mz/4.97min",2.1729,1.1196,0.017274,1.7626
"2281/311.1866mz/4.98min",2.1581,1.1097,0.018198,1.74
"2905/371.3165mz/8.1min",2.4666,1.3025,0.019344,1.7135
"2284/410.2006mz/5.06min",3.7173,1.8943,0.019824,1.7028
"2218/311.1864mz/4.65min",2.0899,1.0634,0.020255,1.6935
"2105/706.186mz/4.01min",8.1556,3.0278,0.020649,1.6851
"2225/375.1845mz/4.64min",3.2071,1.6813,0.021708,1.6634
"2135/215.1288mz/4.17min",2.7833,1.4768,0.021745,1.6626
"2315/257.1759mz/5.15min",2.6135,1.386,0.021982,1.6579
"2404/285.2071mz/5.75min",2.6975,1.4316,0.022152,1.6546
"2222/180.103mz/4.67min",2.527,1.3374,0.02552,1.5931
"2258/276.1241mz/4.88min",2.4585,1.2978,0.027046,1.5679
"2262/232.1343mz/4.88min",2.4731,1.3063,0.027637,1.5585
"2596/826.5606mz/7.06min",0.056041,-4.1574,0.027786,1.5562
"2368/295.1914mz/5.49min",2.0334,1.0239,0.02793,1.5539
"2116/285.1133mz/4.06min",2.045,1.0321,0.031198,1.5059
"2307/201.1496mz/5.12min",2.5344,1.3417,0.032177,1.4925
"2443/311.2227mz/6.02min",2.8091,1.4901,0.033628,1.4733
"2335/381.2646mz/5.3min",2.1209,1.0847,0.033812,1.4709
"2197/349.1403mz/4.51min",2.8158,1.4936,0.035988,1.4438
"2178/229.1444mz/4.52min",2.9543,1.5628,0.036116,1.4423
"2254/198.1499mz/4.86min",2.1319,1.0922,0.036617,1.4363
"2255/242.1398mz/4.86min",2.1881,1.1297,0.037401,1.4271
"2296/257.1759mz/5.04min",2.8871,1.5296,0.037423,1.4269
"2274/269.1758mz/4.94min",3.3839,1.7587,0.037826,1.4222
"2112/428.1858mz/4.04min",2.478,1.3092,0.038103,1.419
"2482/297.2432mz/6.25min",2.0433,1.0309,0.039941,1.3986
"2376/290.1187mz/5.55min",2.5846,1.3699,0.041057,1.3866
"2403/391.2853mz/5.74min",2.0814,1.0575,0.044384,1.3528
"2436/306.2074mz/5.94min",2.127,1.0889,0.04713,1.3267
