row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML Peak area,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML Peak area,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML Peak area,GF_CC_MC_RCG_3_pos_20210511_Run176.mzML Peak area,GF_CC_MC_RCG_2_pos_20210511_Run111.mzML Peak area,GF_CC_MC_RCG_1_pos_20210511_Run75.mzML Peak area,
8943,81.52049512412644,10.576688,,,,13,,,,,,,2.096267E7,1.7443514E7,2.2351994E7,2.061139E7,1.8462486E7,1.7517344E7,
589,84.04438317833171,0.62295073,,,,141,,,,,,,955835.6,1380322.0,423075.62,88422.98,418799.56,76896.35,
1898,84.0444316714681,1.5776191,,,,,,,,,,,409427.78,63289.54,3005939.5,1535411.0,1097736.8,1462901.0,
628,84.08078619093385,0.60947484,,,,,,,,,,,862802.75,438932.44,1.1549085E7,4857662.5,3601904.8,5109184.0,
319,84.08079440630299,0.4861889,,,,222,,,,,,,9808898.0,1.1414111E7,1.3086403E7,1.6812464E7,1.2296609E7,1.3517801E7,
22,84.0808063702229,0.35519502,,,,,,,,,,,299298.5,1294033.1,1132411.1,932251.1,520743.6,963479.4,
1643,84.08081097614566,1.283657,,,,,,,,,,,73800.94,492040.6,357078.5,2687948.8,1102294.5,1438470.5,
8956,84.95964524481376,10.600094,,,,13,,,,,,,2470491.8,1751762.2,2484688.5,2518822.8,1506394.6,1764047.9,
15,84.95969389723189,0.18376637,,,,,,,,,,,2862996.0,1013314.8,215108.97,236169.66,858427.44,449832.25,
858,86.06003099280797,0.7820222,,,,244,,,,,,,1.5792183E7,2.9983332E7,3.6954776E7,2.2106742E7,2.6956208E7,1.9934408E7,
617,86.06004455696724,0.6793306,,,,,,,,,,,8352520.0,6633347.5,7897731.5,925490.6,1617685.9,1583755.5,
3742,86.09640217855804,2.5787876,,,,,,,,,,,3127765.2,4976873.0,4504521.0,3597447.0,4027728.0,4541496.0,
683,86.09640596154036,0.6756765,,,,274,,,,,,,2.2435098E8,2.4482752E8,3.208461E8,3.4676202E8,3.521092E8,3.5397827E8,
2467,86.09642655023184,2.0638263,,,,153,,,,,,,1.8164618E7,1.3045444E7,2.8024118E7,2.110053E7,1.5758015E7,1.86854E7,
2905,86.09643435523475,2.2079906,,,,,,,,,,,4452251.5,4574654.0,7461569.5,2617450.0,2333538.5,1938570.2,
952,87.06335964856281,0.7932045,,,,,,,,,,,161093.52,463427.56,1539292.4,193477.6,188000.16,74775.58,
1118,88.07567336536188,0.90586585,,,,,,,,,,,1245447.6,1050843.2,4095914.2,2862545.2,1963523.0,1968553.4,
1822,89.05971741033977,1.5247303,,,,,,,,,,,0,0,1885323.2,2178380.0,4945392.0,861631.25,
1649,89.05971659943057,1.346201,,,,,,,,,,,0,0,669565.4,953416.9,2768500.0,3416450.5,
1904,89.05972016642691,1.5784868,,,,,,,,,,,0,0,8701131.0,2187551.2,5920460.0,6170010.5,
2057,89.05972573827088,1.7298687,,,,,,,,,,,0,43398.742,1067343.9,2885440.8,590932.6,4892247.0,
2151,89.05973507664704,1.8277518,,,,,,,,,,,0,208257.58,789617.4,2440981.5,990192.1,945644.75,
1047,90.054947694131,0.87401015,,,,,,,,,,,648142.0,572271.4,4608488.0,1.8281176E7,3453787.2,1.6673104E7,
325,90.0549577935696,0.49209335,,,,222,,,,,,,3796744.5,3100551.5,7486891.0,1420446.9,8185205.5,3269749.2,
2005,90.05499629926231,1.6487776,,,,,,,,,,,17784.945,13823.572,162401.31,1137587.1,221553.84,2870661.8,
2080,90.05499701908961,1.7816156,,,,,,,,,,,17784.945,13834.164,153972.2,8368287.5,367950.1,463423.0,
1778,90.05500409894898,1.4357706,,,,,,,,,,,31358.715,32669.805,222010.23,1.8036744E7,118487.37,1.3498247E7,
1593,90.09136865322934,1.2719841,,,,,,,,,,,9492.508,5113.5674,36194.117,1.240807E7,59140.484,7605057.0,
2197,90.09138300525417,1.9334376,,,,,,,,,,,4867.072,0,27485.078,2017689.6,62791.633,210957.3,
1992,90.09139463661324,1.6657131,,,,,,,,,,,4554.5913,0,56467.062,3669722.0,73929.19,416923.5,
8945,90.5258327607349,10.582428,,,,13,,,,,,,4.270891E7,3.6592052E7,4.3708844E7,4.1237932E7,3.9409564E7,3.68254E7,
7538,91.05418157961843,6.466913,,,,,,,,,,,425385.75,379797.25,411567.62,523211.78,562031.1,702634.25,
1509,91.05422969936784,1.2108952,,,,45,,,,,,,9066734.0,8114647.5,1.2775176E7,1.314534E7,1.2722748E7,1.2785253E7,
5538,91.05425832198154,3.3395965,,,,,,,,,,,493804.84,1496237.6,188221.53,142882.48,294545.44,823818.94,
1482,93.06991154836491,1.1918908,,,,45,,,,,,,3460040.5,3954651.5,4952162.0,5440009.5,5013320.5,4914603.0,
8926,94.04502350008113,10.524526,,,,193,,,,,,,4119539.5,3696415.8,4323375.5,3990362.0,3809134.8,2894363.0,
883,95.01608564612836,0.79882526,,,,,,,,,,,1326438.8,1440855.1,1676631.9,983163.06,1605435.2,1287805.0,
562,95.02395241732894,0.6103807,,,,155,,,,,,,72989.03,587784.8,923872.75,1064157.8,998851.7,1173319.8,
1276,95.0491291444876,1.0699898,,,,,,,,,,,616517.4,643074.56,1653482.0,530728.2,1876498.1,2341420.2,
1510,95.04914795727449,1.1894728,,,,,,,,,,,1193823.5,1295568.6,2058893.1,4619035.5,3194269.2,2087007.5,
1596,95.04915672860902,1.252461,,,,,,,,,,,1911230.0,730788.6,697024.25,542080.94,804728.8,1071443.6,
1802,95.04917129468181,1.4386078,,,,,,,,,,,185707.14,50789.402,705762.7,368117.12,136406.62,134785.12,
213,96.04436113910971,0.45396724,,,,222,,,,,,,1579724.5,2854376.2,2645343.5,2664095.8,2950889.5,3520627.2,
8948,97.99128374164839,10.590034,,,,13,,,,,,,7537006.5,7228523.5,8379140.5,7973631.5,7488439.0,7232627.5,
8914,98.51194893420852,10.4456625,,,,,,,,,,,555608.25,591253.9,579329.5,1380410.9,632662.1,595176.4,
8969,98.51200014892758,10.9306555,,,,,,,,,,,835544.6,5570139.5,615372.56,458576.5,823976.1,979889.0,
