"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"6420/365.1243mz/4.03min",165.35,7.3694,"6420"
"7836/740.522mz/7.51min",47.099,5.5576,"7836"
"6695/230.2113mz/4.47min",14.662,3.874,"6695"
"7366/330.2998mz/5.89min",0.11811,-3.0819,"7366"
"8182/575.5027mz/8.14min",7.8685,2.9761,"8182"
"8663/375.3041mz/9.45min",0.13526,-2.8862,"8663"
"8884/772.5842mz/10.25min",7.3225,2.8723,"8884"
"7596/386.3623mz/6.57min",0.13858,-2.8512,"7596"
"8450/366.3727mz/8.69min",6.909,2.7885,"8450"
"8190/650.4382mz/8.14min",6.628,2.7286,"8190"
"6765/243.1411mz/4.58min",6.2541,2.6448,"6765"
"7461/384.3467mz/6.24min",0.16176,-2.628,"7461"
"7777/423.3613mz/7.15min",6.0402,2.5946,"7777"
"8325/549.2853mz/8.31min",0.18561,-2.4296,"8325"
"7748/780.5509mz/7.14min",0.18579,-2.4283,"7748"
"8217/786.5969mz/8.14min",5.3277,2.4135,"8217"
"7869/786.596mz/7.45min",5.2944,2.4045,"7869"
"6669/531.28mz/4.47min",5.2225,2.3847,"6669"
"8899/783.5716mz/10.25min",0.19324,-2.3715,"8899"
"7551/372.3467mz/6.47min",0.1944,-2.3629,"7551"
"7843/781.5542mz/7.45min",0.1963,-2.3489,"7843"
"8198/772.5841mz/8.14min",4.952,2.308,"8198"
"7096/316.2842mz/5.27min",0.21071,-2.2467,"7096"
"7970/740.522mz/7.65min",4.6814,2.2269,"7970"
"8006/744.5535mz/7.69min",0.21749,-2.201,"8006"
"8851/690.4336mz/10.2min",0.21819,-2.1964,"8851"
"7295/330.2998mz/5.8min",0.21905,-2.1907,"7295"
"7809/564.26mz/7.34min",4.4984,2.1694,"7809"
"7996/714.4696mz/7.68min",0.22352,-2.1615,"7996"
"7373/347.3345mz/5.95min",0.23929,-2.0632,"7373"
"8214/783.5716mz/8.14min",0.23947,-2.0621,"8214"
"7419/346.3311mz/6.04min",0.24376,-2.0365,"7419"
"8222/804.5497mz/8.14min",0.24471,-2.0309,"8222"
"8355/575.5027mz/8.4min",4.0588,2.0211,"8355"
"7999/599.5028mz/7.69min",3.974,1.9906,"7999"
"8869/676.4518mz/10.21min",0.25505,-1.9711,"8869"
"7683/344.3155mz/6.9min",3.8338,1.9388,"7683"
"7268/342.2998mz/5.66min",0.26212,-1.9317,"7268"
"8638/460.4507mz/9.31min",0.26389,-1.922,"8638"
"6816/336.1743mz/4.67min",0.26734,-1.9032,"6816"
"8180/806.5622mz/8.14min",0.27295,-1.8733,"8180"
"8197/782.5682mz/8.14min",0.27536,-1.8606,"8197"
"8192/784.581mz/8.14min",0.28172,-1.8277,"8192"
"7543/532.3839mz/6.47min",3.506,1.8098,"7543"
"7544/576.41mz/6.47min",3.5028,1.8085,"7544"
"8036/783.5714mz/7.69min",0.28882,-1.7917,"8036"
"7545/620.4361mz/6.47min",3.4524,1.7876,"7545"
"8030/575.5026mz/7.68min",0.28992,-1.7863,"8030"
"8906/760.5809mz/10.24min",3.4478,1.7857,"8906"
"8126/352.3389mz/8.01min",3.411,1.7702,"8126"
"7407/344.3154mz/6.02min",0.29377,-1.7672,"7407"
"7127/279.2314mz/5.3min",3.3157,1.7293,"7127"
"7732/419.324mz/7.06min",3.2963,1.7208,"7732"
"8864/744.5531mz/10.21min",0.30604,-1.7082,"8864"
"7531/449.2868mz/6.45min",3.2638,1.7066,"7531"
"8018/804.5493mz/7.69min",0.30901,-1.6943,"8018"
"7120/349.1867mz/5.29min",3.2328,1.6928,"7120"
"8556/144.9821mz/9.11min",3.212,1.6835,"8556"
"7537/493.3129mz/6.46min",3.1819,1.6699,"7537"
"6813/380.1641mz/4.66min",0.31442,-1.6692,"6813"
"8380/352.339mz/8.47min",3.1636,1.6616,"8380"
"7478/314.3412mz/6.36min",3.1102,1.637,"7478"
"8216/744.5536mz/8.14min",0.32398,-1.626,"8216"
"8549/460.4507mz/9.1min",3.0147,1.592,"8549"
"8456/375.3043mz/8.71min",3.014,1.5917,"8456"
"7554/386.3623mz/6.51min",0.33651,-1.5713,"7554"
"7148/376.259mz/5.36min",2.9697,1.5703,"7148"
"7482/374.3625mz/6.37min",2.9627,1.5669,"7482"
"7152/393.2855mz/5.36min",2.9555,1.5634,"7152"
"8964/411.3252mz/10.89min",0.33986,-1.557,"8964"
"8472/352.339mz/8.78min",0.33998,-1.5565,"8472"
"7215/297.242mz/5.53min",2.9214,1.5467,"7215"
"7370/522.3737mz/5.91min",2.9148,1.5434,"7370"
"7857/325.2556mz/7.45min",2.9148,1.5434,"7857"
"7858/337.2557mz/7.45min",2.9148,1.5434,"7858"
"7990/361.2549mz/7.68min",2.9148,1.5434,"7990"
"7994/677.5587mz/7.68min",2.9148,1.5434,"7994"
"8034/349.2554mz/7.69min",2.9148,1.5434,"8034"
"8051/315.2713mz/7.74min",2.9148,1.5434,"8051"
"8059/363.2709mz/7.77min",2.9148,1.5434,"8059"
"8060/339.2715mz/7.78min",2.9148,1.5434,"8060"
"8061/351.271mz/7.78min",2.9148,1.5434,"8061"
"8064/327.2712mz/7.79min",2.9148,1.5434,"8064"
"8096/375.2707mz/7.92min",2.9148,1.5434,"8096"
"8118/329.2869mz/7.98min",2.9148,1.5434,"8118"
"8121/353.2869mz/7.99min",2.9148,1.5434,"8121"
"8128/341.2869mz/8.01min",2.9148,1.5434,"8128"
"8247/365.2867mz/8.15min",2.9148,1.5434,"8247"
"8248/377.2866mz/8.15min",2.9148,1.5434,"8248"
"8249/389.2863mz/8.15min",2.9148,1.5434,"8249"
"8251/401.2861mz/8.15min",2.9148,1.5434,"8251"
"8263/356.3059mz/8.18min",2.9148,1.5434,"8263"
"8264/367.3027mz/8.18min",2.9148,1.5434,"8264"
"8265/368.306mz/8.18min",2.9148,1.5434,"8265"
"8266/379.3024mz/8.18min",2.9148,1.5434,"8266"
"8267/380.3059mz/8.18min",2.9148,1.5434,"8267"
"8274/343.3027mz/8.2min",2.9148,1.5434,"8274"
"8275/355.3026mz/8.2min",2.9148,1.5434,"8275"
"8357/357.3182mz/8.42min",2.9148,1.5434,"8357"
"8358/358.3215mz/8.42min",2.9148,1.5434,"8358"
"8359/369.3183mz/8.42min",2.9148,1.5434,"8359"
"8360/370.3216mz/8.42min",2.9148,1.5434,"8360"
"8361/381.3183mz/8.42min",2.9148,1.5434,"8361"
"8362/382.3216mz/8.42min",2.9148,1.5434,"8362"
"8366/403.302mz/8.42min",2.9148,1.5434,"8366"
"8367/405.318mz/8.42min",2.9148,1.5434,"8367"
"8368/406.3213mz/8.42min",2.9148,1.5434,"8368"
"8369/415.3019mz/8.42min",2.9148,1.5434,"8369"
"8370/417.3177mz/8.42min",2.9148,1.5434,"8370"
"8408/429.3178mz/8.51min",2.9148,1.5434,"8408"
"8422/408.3374mz/8.57min",2.9148,1.5434,"8422"
"8427/371.334mz/8.57min",2.9148,1.5434,"8427"
"8428/372.3373mz/8.57min",2.9148,1.5434,"8428"
"8429/383.334mz/8.57min",2.9148,1.5434,"8429"
"8430/384.3372mz/8.57min",2.9148,1.5434,"8430"
"8449/431.3335mz/8.67min",2.9148,1.5434,"8449"
"8485/410.353mz/8.82min",2.9148,1.5434,"8485"
"8486/421.3492mz/8.82min",2.9148,1.5434,"8486"
"8492/398.3529mz/8.83min",2.9148,1.5434,"8492"
"8494/411.3651mz/8.83min",2.9148,1.5434,"8494"
"8495/412.3686mz/8.83min",2.9148,1.5434,"8495"
"8500/422.3527mz/8.85min",2.9148,1.5434,"8500"
"8501/433.3492mz/8.85min",2.9148,1.5434,"8501"
"8502/445.349mz/8.85min",2.9148,1.5434,"8502"
"8503/457.3492mz/8.85min",2.9148,1.5434,"8503"
"8530/423.3652mz/8.98min",2.9148,1.5434,"8530"
"8531/424.3686mz/8.98min",2.9148,1.5434,"8531"
"8532/435.3648mz/8.98min",2.9148,1.5434,"8532"
"8533/447.3649mz/8.98min",2.9148,1.5434,"8533"
"8540/425.3808mz/9.03min",2.9148,1.5434,"8540"
"8582/413.3808mz/9.21min",2.9148,1.5434,"8582"
"8583/437.3809mz/9.21min",2.9148,1.5434,"8583"
"8601/461.3804mz/9.25min",2.9148,1.5434,"8601"
"8602/519.3078mz/9.25min",2.9148,1.5434,"8602"
"8608/449.3806mz/9.26min",2.9148,1.5434,"8608"
"8609/587.3703mz/9.26min",2.9148,1.5434,"8609"
"8636/439.3965mz/9.32min",2.9148,1.5434,"8636"
"8643/361.2005mz/9.35min",2.9148,1.5434,"8643"
"8644/451.3964mz/9.35min",2.9148,1.5434,"8644"
"8666/519.3077mz/9.43min",2.9148,1.5434,"8666"
"8689/427.3965mz/9.51min",2.9148,1.5434,"8689"
"8690/453.4121mz/9.51min",2.9148,1.5434,"8690"
"8693/463.3961mz/9.51min",2.9148,1.5434,"8693"
"8694/475.396mz/9.51min",2.9148,1.5434,"8694"
"8701/383.1824mz/9.54min",2.9148,1.5434,"8701"
"8728/441.4121mz/9.64min",2.9148,1.5434,"8728"
"8729/455.4276mz/9.64min",2.9148,1.5434,"8729"
"8730/465.4122mz/9.64min",2.9148,1.5434,"8730"
"8731/477.4118mz/9.64min",2.9148,1.5434,"8731"
"8757/467.4277mz/9.72min",2.9148,1.5434,"8757"
"8796/441.4121mz/9.94min",2.9148,1.5434,"8796"
"8801/467.4278mz/9.94min",2.9148,1.5434,"8801"
"8835/479.4278mz/10.12min",2.9148,1.5434,"8835"
"8841/455.4278mz/10.13min",2.9148,1.5434,"8841"
"8845/469.4435mz/10.15min",2.9148,1.5434,"8845"
"8846/481.4435mz/10.15min",2.9148,1.5434,"8846"
"7413/309.2055mz/6.06min",2.9084,1.5402,"7413"
"8620/377.32mz/9.26min",2.9049,1.5385,"8620"
"8213/760.5792mz/8.15min",2.8987,1.5354,"8213"
"7216/280.2348mz/5.56min",2.86,1.516,"7216"
"7371/344.3155mz/5.92min",0.35146,-1.5086,"7371"
"8191/758.5691mz/8.14min",2.833,1.5023,"8191"
"6840/272.1391mz/4.7min",2.8167,1.494,"6840"
"7852/780.5509mz/7.45min",0.35555,-1.4919,"7852"
"8475/550.628mz/8.81min",2.8121,1.4917,"8475"
"7147/228.1199mz/5.36min",2.7874,1.4789,"7147"
"8969/98.512mz/10.93min",0.36845,-1.4405,"8969"
"7100/232.1119mz/5.26min",0.37015,-1.4338,"7100"
"7844/804.5497mz/7.42min",0.37344,-1.421,"7844"
"8290/312.3255mz/8.26min",2.6666,1.415,"8290"
"7949/370.3308mz/7.65min",2.6643,1.4138,"7949"
"8001/772.5837mz/7.68min",2.6635,1.4133,"8001"
"7195/319.3032mz/5.48min",0.37818,-1.4028,"7195"
"8013/690.4697mz/7.68min",0.37932,-1.3985,"8013"
"6863/293.2108mz/4.74min",2.631,1.3956,"6863"
"6432/430.2002mz/4.04min",2.6307,1.3954,"6432"
"6752/499.2548mz/4.56min",2.621,1.3901,"6752"
"7527/454.2923mz/6.44min",0.38167,-1.3896,"7527"
"8889/782.5681mz/10.26min",0.38404,-1.3807,"8889"
"6723/167.143mz/4.51min",2.599,1.378,"6723"
"7513/422.4098mz/6.46min",0.38551,-1.3752,"7513"
"7382/346.3311mz/5.95min",0.39119,-1.3541,"7382"
"7013/286.1547mz/5.04min",2.5328,1.3407,"7013"
"7638/468.3894mz/6.73min",2.5264,1.3371,"7638"
"6948/642.3488mz/4.91min",2.5038,1.3241,"6948"
"8887/784.5812mz/10.26min",0.40436,-1.3063,"8887"
"6674/275.1387mz/4.47min",2.4617,1.2996,"6674"
"8702/833.2402mz/9.55min",0.40691,-1.2972,"8702"
"8220/674.4383mz/8.14min",0.40944,-1.2883,"8220"
"6728/213.1485mz/4.52min",2.4221,1.2762,"6728"
"8829/812.6967mz/10.08min",2.4218,1.2761,"8829"
"7272/656.3761mz/5.66min",2.4203,1.2752,"7272"
"7625/386.3623mz/6.68min",0.41445,-1.2707,"7625"
