"","Filename","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_CC_MC_RCG_1_pos_20210511_Run75.mzML","GF_CC_MC_RCG_2_pos_20210511_Run111.mzML","GF_CC_MC_RCG_3_pos_20210511_Run176.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","6409/267.1338mz/4.02min","269458.47","184237.81","373225.47","533767.44","403021.66","447187.03"
"3","6413/678.3975mz/4.04min","334444.7","139461.48","69428.016","607436.8","506153.7","211570.31"
"4","6417/645.3216mz/4.03min","221004.03","220749.34","293806.6","235219.08","376028.25","348421.4"
"5","6418/623.3398mz/4.03min","1911528.1","1343827.4","2560284.5","3886309.0","3317516.5","3420395.2"
"6","6419/473.2757mz/4.03min","1533547.4","1229695.8","1464926.2","1046218.2","1019916.7","864144.7"
"7","6420/365.1243mz/4.03min","9810.569","0.0","7926.797","997280.5","994793.56","812594.75"
"8","6422/669.3603mz/4.03min","243659.22","141970.34","276539.16","337093.6","295517.6","218226.2"
"9","6424/376.1865mz/4.03min","320952.7","250352.42","323810.3","335066.12","329323.72","317442.12"
"10","6425/406.1947mz/4.03min","733587.6","760191.3","826245.5","703584.0","691897.8","688785.25"
"11","6426/747.3711mz/4.03min","3361351.5","2614354.0","3556627.5","4582119.0","3948718.0","4366296.5"
"12","6427/384.2127mz/4.04min","5982511.5","4341477.0","6529141.5","6605500.5","6149991.0","5762653.0"
"13","6429/385.2162mz/4.04min","1059820.6","773064.94","1176831.2","1187747.6","1122045.1","996934.9"
"14","6431/557.2969mz/4.04min","136834.8","85728.16","203014.62","268787.5","253955.33","219433.78"
"15","6432/430.2002mz/4.04min","1067998.8","713798.7","1578744.2","2886671.5","2279087.0","2335697.5"
"16","6435/370.2699mz/4.04min","440043.62","297971.66","441647.53","257790.73","186936.36","240834.06"
"17","6437/339.7024mz/4.05min","1711862.2","1053147.1","1254787.9","1679231.6","1694564.0","1163749.8"
"18","6445/660.8815mz/4.07min","500762.62","134452.67","587398.06","788639.4","640451.4","824283.4"
"19","6448/331.1862mz/4.07min","299860.44","203856.75","407960.16","526317.6","468909.94","493820.9"
"20","6451/398.2284mz/4.08min","1958503.2","1336319.5","2157784.2","2471302.0","2304093.2","2149957.8"
"21","6452/501.2707mz/4.08min","290619.0","192500.39","289063.62","371025.25","383521.38","338437.75"
"22","6456/550.3599mz/4.08min","795786.06","537333.75","880746.44","943748.4","914189.44","860184.0"
"23","6458/510.2926mz/4.09min","356024.06","246045.89","373065.16","411201.16","385291.12","381873.03"
"24","6462/216.1595mz/4.09min","389349.84","236694.62","481984.2","673609.8","451324.66","462343.25"
"25","6467/526.2946mz/4.1min","362383.34","304778.78","461254.2","303285.3","269522.6","304309.5"
"26","6468/177.0547mz/4.1min","435520.75","256904.0","514979.3","335613.84","310496.28","398835.25"
"27","6470/410.2283mz/4.1min","381868.6","267376.6","429115.62","573254.8","584110.44","531246.3"
"28","6472/510.3281mz/4.1min","365970.12","288624.97","345342.56","416301.66","385008.1","269785.56"
"29","6473/352.1693mz/4.11min","459876.78","300001.25","399544.2","165334.81","170272.83","203315.81"
"30","6474/458.2521mz/4.12min","473779.66","368122.12","494869.0","99377.93","96256.5","148266.81"
"31","6476/120.0444mz/4.11min","357692.56","269951.03","418970.12","413079.44","355981.38","411503.75"
"32","6477/428.2541mz/4.11min","270584.38","231584.33","219296.58","215924.23","230363.78","157013.75"
"33","6478/360.1915mz/4.11min","1206261.0","747232.94","1050884.1","1268578.2","1132089.5","1300132.2"
