"","comp 1","comp 2","comp 3","comp 4","comp 5"
"6765/243.1411mz/4.58min",-0.68038,0,0,0,0
"7809/564.26mz/7.34min",-0.31942,0,0,0,0
"7683/344.3155mz/6.9min",-0.3128,0,0,0,0
"7096/316.2842mz/5.27min",0.28212,0,0,0,0
"6420/365.1243mz/4.03min",-0.25906,0,0,0,0
"7100/232.1119mz/5.26min",0.23703,0,0,0,0
"7334/349.1981mz/5.82min",0.21896,0,0,0,0
"6954/425.1829mz/4.92min",-0.21821,0,0,0,0
"7598/283.2628mz/6.6min",-0.19494,0,0,0,0
"8744/456.4191mz/9.7min",-0.027459,0,0,0,0
"7718/300.2892mz/7.02min",0,-0.67034,0,0,0
"7855/270.2788mz/7.45min",0,-0.48514,0,0,0
"8935/398.7611mz/10.56min",0,0.31905,0,0,0
"7936/185.1534mz/7.65min",0,-0.31002,0,0,0
"7964/303.304mz/7.66min",0,-0.22997,0,0,0
"7957/223.2054mz/7.66min",0,-0.1529,0,0,0
"7938/199.169mz/7.65min",0,-0.15141,0,0,0
"8921/111.5217mz/10.48min",0,-0.10237,0,0,0
"7959/321.3146mz/7.66min",0,-0.071469,0,0,0
"7958/357.3356mz/7.66min",0,-0.051016,0,0,0
"6409/267.1338mz/4.02min",0,0,0,0,0
"6418/623.3398mz/4.03min",0,0,0,0,0
"6419/473.2757mz/4.03min",0,0,0,0,0
"6425/406.1947mz/4.03min",0,0,0,0,0
"6426/747.3711mz/4.03min",0,0,0,0,0
"6427/384.2127mz/4.04min",0,0,0,0,0
"6429/385.2162mz/4.04min",0,0,0,0,0
"6432/430.2002mz/4.04min",0,0,0,0,0
"6437/339.7024mz/4.05min",0,0,0,0,0
"6445/660.8815mz/4.07min",0,0,0,0,0
"6448/331.1862mz/4.07min",0,0,0,0,0
"6451/398.2284mz/4.08min",0,0,0,0,0
"6456/550.3599mz/4.08min",0,0,0,0,0
"6458/510.2926mz/4.09min",0,0,0,0,0
"6462/216.1595mz/4.09min",0,0,0,0,0
"6470/410.2283mz/4.1min",0,0,0,0,0
"6476/120.0444mz/4.11min",0,0,0,0,0
"6478/360.1915mz/4.11min",0,0,0,0,0
"6481/372.2491mz/4.11min",0,0,0,0,0
"6484/453.7575mz/4.12min",0,0,0,0,0
"6486/230.1135mz/4.14min",0,0,0,0,0
"6489/683.3607mz/4.15min",0,0,0,0,0
"6492/234.0219mz/4.15min",0,0,0,0,0
"6494/727.4022mz/4.15min",0,0,0,0,0
"6495/364.2044mz/4.15min",0,0,0,0,0
"6499/271.0712mz/4.16min",0,0,0,0,0
"6500/515.2866mz/4.17min",0,0,0,0,0
"6501/349.1906mz/4.17min",0,0,0,0,0
"6505/239.1025mz/4.17min",0,0,0,0,0
"6509/376.2228mz/4.19min",0,0,0,0,0
"6513/245.1131mz/4.2min",0,0,0,0,0
"6514/987.0621mz/4.2min",0,0,0,0,0
"6518/353.7283mz/4.2min",0,0,0,0,0
"6519/717.3868mz/4.2min",0,0,0,0,0
"6521/658.377mz/4.21min",0,0,0,0,0
"6523/658.0428mz/4.21min",0,0,0,0,0
"6526/335.1387mz/4.21min",0,0,0,0,0
"6530/342.2384mz/4.22min",0,0,0,0,0
"6537/454.3102mz/4.23min",0,0,0,0,0
"6539/453.3068mz/4.23min",0,0,0,0,0
"6543/356.2541mz/4.24min",0,0,0,0,0
"6548/511.2548mz/4.25min",0,0,0,0,-0.13213
"6552/192.1382mz/4.25min",0,0,0,0,0
"6556/301.1544mz/4.25min",0,0,0,0,0
"6557/379.2519mz/4.29min",0,0,0,0,0
"6562/270.1123mz/4.27min",0,0,0,0,0
"6563/614.3292mz/4.27min",0,0,0,0,0
"6564/473.2755mz/4.28min",0,0,0,0,0
"6565/376.2228mz/4.28min",0,0,0,0,0
"6568/323.1387mz/4.28min",0,0,0,0,0
"6574/250.1436mz/4.28min",0,0,0,0,0
"6575/584.3445mz/4.34min",0,0,0,0,0
"6579/526.2945mz/4.29min",0,0,0,0,0
"6584/1051.5819mz/4.29min",0,0,-0.4121,0,0
"6589/559.3123mz/4.31min",0,0,0,0,0
"6590/293.2109mz/4.31min",0,0,0,0,0
"6591/195.138mz/4.31min",0,0,0,0,0
"6593/275.2004mz/4.31min",0,0,0,0,0
"6598/691.0656mz/4.32min",0,0,0,0,0
"6601/406.731mz/4.31min",0,0,0,0,0
"6602/1036.5969mz/4.32min",0,0,0,0,0
"6603/691.3999mz/4.32min",0,0,0,0,0
"6608/370.2697mz/4.34min",0,0,0,0,0
"6614/370.7204mz/4.35min",0,0,0,0,0
"6616/244.1906mz/4.36min",0,0,0,0,0
"6617/226.1801mz/4.36min",0,0,0,0,0
"6619/766.9212mz/4.36min",0,0,0,0,0
"6623/235.1691mz/4.36min",0,0,0,0,0
"6626/284.1279mz/4.37min",0,0,0,0,0
"6627/364.2043mz/4.37min",0,0,0,0,0
"6628/727.4022mz/4.37min",0,0,0,0,0
"6633/210.1025mz/4.39min",0,0,0,0,0
"6634/651.3708mz/4.39min",0,0,0,0,0
"6635/673.3527mz/4.39min",0,0,0,0,0
"6636/244.129mz/4.39min",0,0,0,0,0
"6638/479.3224mz/4.4min",0,0,0,0,0
"6641/360.736mz/4.41min",0,0,0,0,0
"6642/720.4648mz/4.41min",0,0,0,0,0
