"","FC","log2(FC)","raw.pval","-log10(p)"
"6765/243.1411mz/4.58min",6.2541,2.6448,1.3853e-05,4.8585
"7809/564.26mz/7.34min",4.4984,2.1694,0.00084257,3.0744
"7683/344.3155mz/6.9min",3.8338,1.9388,0.00086964,3.0607
"7096/316.2842mz/5.27min",0.21071,-2.2467,0.0010006,2.9997
"6420/365.1243mz/4.03min",165.35,7.3694,0.001105,2.9566
"7100/232.1119mz/5.26min",0.37015,-1.4338,0.0012096,2.9174
"7334/349.1981mz/5.82min",0.4839,-1.0472,0.0012988,2.8865
"7598/283.2628mz/6.6min",2.1191,1.0834,0.0014223,2.847
"7127/279.2314mz/5.3min",3.3157,1.7293,0.0026289,2.5802
"6623/235.1691mz/4.36min",2.1398,1.0975,0.0030467,2.5162
"6602/1036.5969mz/4.32min",2.1701,1.1178,0.0041545,2.3815
"6669/531.28mz/4.47min",5.2225,2.3847,0.005599,2.2519
"6816/336.1743mz/4.67min",0.26734,-1.9032,0.0059431,2.226
"8450/366.3727mz/8.69min",6.909,2.7885,0.0069371,2.1588
"6813/380.1641mz/4.66min",0.31442,-1.6692,0.0072685,2.1386
"6695/230.2113mz/4.47min",14.662,3.874,0.0075278,2.1233
"8180/806.5622mz/8.14min",0.27295,-1.8733,0.0096879,2.0138
"7268/342.2998mz/5.66min",0.26212,-1.9317,0.0099839,2.0007
"7397/237.221mz/5.99min",2.2134,1.1463,0.01239,1.9069
"7382/346.3311mz/5.95min",0.39119,-1.3541,0.012865,1.8906
"7395/255.2316mz/5.98min",2.2418,1.1646,0.013398,1.873
"6718/149.1324mz/4.51min",2.0204,1.0147,0.014251,1.8461
"6902/479.2754mz/4.83min",0.45548,-1.1345,0.015021,1.8233
"7195/319.3032mz/5.48min",0.37818,-1.4028,0.015085,1.8214
"7373/347.3345mz/5.95min",0.23929,-2.0632,0.015166,1.8191
"8290/312.3255mz/8.26min",2.6666,1.415,0.015504,1.8096
"8869/676.4518mz/10.21min",0.25505,-1.9711,0.015708,1.8039
"7216/280.2348mz/5.56min",2.86,1.516,0.016982,1.77
"7461/384.3467mz/6.24min",0.16176,-2.628,0.018447,1.7341
"7172/401.3367mz/5.47min",2.1657,1.1148,0.023005,1.6382
"6723/167.143mz/4.51min",2.599,1.378,0.024558,1.6098
"8036/783.5714mz/7.69min",0.28882,-1.7917,0.028752,1.5413
"6432/430.2002mz/4.04min",2.6307,1.3954,0.029244,1.534
"6728/213.1485mz/4.52min",2.4221,1.2762,0.03069,1.513
"6752/499.2548mz/4.56min",2.621,1.3901,0.031681,1.4992
"7256/287.2366mz/5.6min",2.2685,1.1817,0.033992,1.4686
"8325/549.2853mz/8.31min",0.18561,-2.4296,0.034452,1.4628
"6418/623.3398mz/4.03min",2.1548,1.1075,0.036024,1.4434
"7215/297.242mz/5.53min",2.9214,1.5467,0.038701,1.4123
"7246/297.2421mz/5.59min",2.0894,1.0631,0.0403,1.3947
"6589/559.3123mz/4.31min",2.1082,1.076,0.041706,1.3798
"6840/272.1391mz/4.7min",2.8167,1.494,0.041869,1.3781
"6598/691.0656mz/4.32min",2.3362,1.2242,0.041948,1.3773
"7164/297.242mz/5.43min",2.0804,1.0569,0.045283,1.3441
"8351/427.3567mz/8.4min",2.2038,1.14,0.046039,1.3369
"8339/415.3563mz/8.34min",2.1766,1.1221,0.046778,1.33
