row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_PF_MC_RCG_2_neg_20210511_Run97.mzML Peak area,GF_PF_MC_RCG_1_neg_20210511_Run79.mzML Peak area,GF_PF_MC_RCG_3_neg_20210511_Run198.mzML Peak area,
536,88.04030825060146,0.917835,,,,,,,,,,,29459.295,22483.924,450686.78,1115721.2,1511005.9,973767.94,
398,88.04031004047708,0.7319398,,,,,,,,,,,469404.0,273677.53,1166970.0,2422319.5,319952.56,364285.12,
97,88.040317212857,0.40651503,,,,111,,,,,,,3977435.0,4953679.5,8714499.0,1.4722637E7,1.2178362E7,1.1431325E7,
403,89.02431845444893,0.7264576,,,,,,,,,,,804394.7,776300.6,2894794.2,3533398.8,1032654.06,851182.5,
231,89.02432061597085,0.5444072,,,,,,,,,,,4741892.5,4514756.5,5579446.5,1.0004418E7,8774961.0,1.4446413E7,
737,89.02432751269554,1.2536811,,,,,,,,,,,366030.3,92780.19,843513.9,651925.94,3040328.0,592744.1,
489,89.02432828566913,0.8656611,,,,,,,,,,,583121.75,683067.56,284573.97,2189437.5,3874013.2,602401.75,
590,89.02433398764306,1.0595516,,,,,,,,,,,640288.4,280206.62,595487.44,343676.7,1708110.2,684283.9,
556,89.02433816930629,0.9821387,,,,,,,,,,,965849.4,119365.21,441397.97,541575.5,272163.5,1016261.44,
787,89.02433945666617,1.3314662,,,,,,,,,,,48750.625,922179.6,510743.3,204095.36,1407213.2,633374.06,
35,89.02434545241745,0.39440644,,,,,,,,,,,3708077.2,4890979.5,3028859.0,3262063.2,3881171.2,330119.8,
3707,92.92799617218316,10.280109,,,,,,,,,,,0,13952.7705,0,3384.3086,114108.02,0,
11,92.92799944760021,0.3328301,,,,18,,,,,,,1873782.1,1617710.6,1125197.5,971527.2,943254.25,1034311.56,
760,93.03455257274614,1.2251251,,,,,,,,,,,0,3321.042,31864.111,0,410210.3,1037900.44,
12,94.92505803705059,0.3328301,,,,18,,,,,,,1277231.9,1108666.9,773917.2,659218.6,635831.44,686897.7,
158,95.02505237878206,0.4651445,,,,,,,,,,,28975.012,277170.44,118056.3,543812.25,201670.67,215880.47,
183,96.96006790629879,0.53527045,,,,,,,,,,,1484890.1,675290.6,262494.56,140613.06,144042.02,132906.33,
3751,96.96007471664927,11.02438,,,,,,,,,,,4068568.2,4233357.0,4609185.5,3775090.0,3703601.5,4079155.2,
6,96.9601143077465,0.32152012,,,,,,,,,,,1433157.5,595961.9,473482.53,323112.28,196215.28,432150.72,
3417,99.92579313624746,8.14364,,,,11,,,,,,,3.8313276E7,3368625.0,3828257.5,2.962835E7,3.7587616E7,3.1126186E7,
3500,99.92580130324933,8.469781,,,,,,,,,,,7771783.0,3.6172896E7,3.852038E7,5401455.0,4793993.0,5342217.5,
115,101.02443930839236,0.4268746,,,,,,,,,,,86394.516,62034.305,235840.39,327024.25,226450.92,1886462.4,
3712,102.95686041110112,10.275655,,,,,,,,,,,88741.984,74042.12,154136.22,95063.09,339541.2,54349.13,
18,102.95688676948242,0.34305263,,,,43,,,,,,,2492186.0,2575457.5,2337215.0,2390228.2,2367278.8,2434805.2,
15,104.0353813064283,0.34935918,,,,,,,,,,,431803.16,313624.6,690579.7,1430068.0,1261684.5,1655136.4,
19,104.95388926892407,0.34305263,,,,43,,,,,,,811463.8,838842.6,766538.25,773191.4,772621.9,791001.9,
154,105.01934077348943,0.4650601,,,,111,,,,,,,56370.023,235902.33,176365.08,1915051.9,2104772.2,2498707.8,
3670,106.04105614684919,10.201533,,,,,,,,,,,931807.9,9594.441,155087.33,166017.08,44735.438,404281.66,
3518,106.04105854784541,8.495425,,,,,,,,,,,575868.25,9464.734,82681.664,40921.62,19793.49,78353.3,
3628,106.04106248674088,9.578067,,,,,,,,,,,335291.03,4145.9062,44985.67,27960.287,24375.697,84808.86,
3659,106.04106452953256,9.970928,,,,,,,,,,,1058671.9,10142.684,81801.5,39147.68,25493.09,136617.03,
3480,106.0410704165775,8.437763,,,,,,,,,,,650768.56,7695.1484,82681.664,174427.9,32337.12,478351.56,
3469,106.04107575205255,8.368219,,,,,,,,,,,119469.59,10129.763,82681.664,174427.9,25718.91,218312.75,
36,110.95806142298522,0.38496348,,,,111,,,,,,,841419.3,555841.25,618201.44,189149.02,218938.84,58303.477,
612,111.02000833946981,1.0663184,,,,,,,,,,,193197.88,227808.97,176691.69,998325.8,2571952.0,942438.5,
199,111.02001037390228,0.50807124,,,,195,,,,,,,1.1640286E7,1.4565439E7,1.2020184E7,2.119474E7,2.2138036E7,3.7809296E7,
1057,111.02005186004506,2.200363,,,,,,,,,,,99347.31,264763.6,81862.68,540610.2,363015.47,1878764.4,
3701,112.98563086778033,10.248706,,,,,,,,,,,9858635.0,7174000.5,8412541.0,8129843.0,1.1841762E7,8210801.0,
3733,112.98566223853878,10.485703,,,,,,,,,,,3138419.0,2666467.0,4291614.5,4135148.5,2696587.5,3423324.2,
28,112.98570036466784,0.35567474,,,,43,,,,,,,3930998.0,4562767.0,5045882.0,6031839.0,5553737.5,5725923.0,
3264,113.92622927381204,7.7206607,,,,8,,,,,,,1536486.0,1932085.8,1565789.0,1447136.6,1609096.6,1624344.6,
3397,113.92626075198665,8.141254,,,,11,,,,,,,3347579.5,6389674.5,8945522.0,2356315.2,3183886.2,3064881.8,
3442,113.92627840701844,8.243111,,,,,,,,,,,1002332.1,1541935.8,1691152.6,1289176.8,778466.2,1426175.5,
1052,114.00192701103917,2.1995032,,,,30,,,,,,,3601205.8,6478562.5,9903840.0,9606523.0,7024461.5,6014515.5,
578,114.05604433152966,1.007005,,,,,,,,,,,242671.89,187521.6,320128.8,1063731.2,2330468.5,536935.1,
129,114.05606933405487,0.4370971,,,,111,,,,,,,3743647.5,5069973.0,4540916.5,9242668.0,1.1130196E7,1.0235738E7,
3087,114.93407167064686,7.4478097,,,,,,,,,,,588910.0,563655.25,644616.9,557158.44,1105419.8,419639.97,
3233,114.93407353177257,7.6882305,,,,2,,,,,,,2751469.8,2337688.2,2943546.8,2723785.5,2954853.8,2925780.5,
3406,114.93410670880446,8.142804,,,,11,,,,,,,2837923.2,578748.94,2686108.2,1615848.9,3171678.0,2432403.8,
216,115.00368170289916,0.5096372,,,,81,,,,,,,22830.867,31204.82,52513.113,2089396.4,1944512.2,1578276.9,
3263,115.92071216614916,7.715639,,,,8,,,,,,,2.9646234E7,3.8329424E7,3.0980976E7,3.4515236E7,3.137578E7,4.3504492E7,
3398,115.92073328645664,8.141254,,,,11,,,,,,,6.3775636E7,1.2213552E8,1.7163608E8,5.1244252E7,6.035462E7,4.8860284E7,
454,116.0717056901288,0.7961189,,,,,,,,,,,535590.25,198372.73,382629.22,1111902.6,4545729.0,1200105.2,
640,116.0717086524417,1.1118263,,,,,,,,,,,128572.83,158377.69,361237.75,2785629.0,1719507.9,2367270.5,
523,116.07171752394457,0.9157725,,,,,,,,,,,642205.2,242200.1,221751.38,1167573.2,5830985.0,3858581.2,
749,116.07171908738252,1.2221231,,,,,,,,,,,56138.184,47564.23,414931.22,167575.45,3270790.0,1198502.5,
120,116.07172032633476,0.42447463,,,,111,,,,,,,2.5794516E7,4.211298E7,5.2386976E7,1.0556366E8,1.1891291E8,1.5408214E8,
831,116.07172457473847,1.5324631,,,,,,,,,,,143464.69,37198.613,343508.6,330008.1,805712.44,2282779.2,
932,116.07173768050171,2.047481,,,,,,,,,,,471787.97,417432.5,449233.9,1421726.4,1099637.1,740221.56,
1059,116.0717379291868,2.1988633,,,,,,,,,,,248620.44,649719.44,115861.734,643135.8,378856.53,626711.7,
1143,116.07174171503266,2.306608,,,,,,,,,,,115080.46,86748.74,115861.734,333077.44,2009041.9,1103747.4,
3413,116.92844958862626,8.141254,,,,11,,,,,,,5.3915772E7,2126206.8,5.115417E7,3.0110004E7,6.031999E7,4.819146E7,
3219,116.92847239603883,7.685015,,,,2,,,,,,,5.428272E7,4.563348E7,5.9195636E7,5.769938E7,8.135915E7,5.75551E7,
91,117.01930687937163,0.40365395,,,,111,,,,,,,560194.3,890650.8,2439748.2,3377541.5,3931329.8,3320497.8,
321,117.01934217019051,0.6623202,,,,74,,,,,,,6103333.0,5526306.5,6767570.0,1.6352988E7,1.709151E7,1.9758952E7,
436,117.05571431527022,0.81500554,,,,,,,,,,,92863.02,45991.395,1383743.0,4056363.8,1413630.5,2446195.5,
592,117.05574015374275,1.0491719,,,,,,,,,,,169791.36,92666.4,210393.39,519591.3,3931184.2,7306560.0,
782,117.05575189571717,1.2919623,,,,,,,,,,,67171.18,74070.125,326200.03,28180.318,342471.22,151378.17,
733,117.05576200884173,1.249725,,,,,,,,,,,92296.27,74070.125,207511.25,28180.318,280332.16,151378.17,
921,117.05579749346437,2.027148,,,,153,,,,,,,381616.56,325555.72,216244.6,243499.14,251776.97,362669.0,
3409,117.91902614847497,8.143643,,,,,,,,,,,1858191.6,493053.12,5262363.5,706221.06,342632.6,111247.81,
3411,117.92857212873821,8.140447,,,,11,,,,,,,6225463.0,255993.14,6071532.0,2170888.5,6988899.5,5684875.5,
3220,117.92859363581344,7.6850286,,,,2,,,,,,,6220592.5,5241524.0,6675998.0,5401425.5,9309955.0,6540875.0,
345,118.02267468898287,0.6623733,,,,,,,,,,,97730.84,200031.05,203040.8,279088.5,108394.92,754791.56,
