"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"3144/467.3852mz/7.65min",62.624,5.9686,"3144"
"3299/714.5085mz/8.01min",42.53,5.4104,"3299"
"3303/441.203mz/7.99min",39.439,5.3015,"3303"
"3101/738.5083mz/7.53min",37.771,5.2392,"3101"
"3298/554.4789mz/7.94min",32.135,5.0061,"3298"
"2645/540.3039mz/4.93min",18.972,4.2458,"2645"
"2768/287.2227mz/5.54min",17.928,4.1642,"2768"
"2948/311.1687mz/6.56min",14.864,3.8938,"2948"
"2861/269.2122mz/6.14min",12.597,3.655,"2861"
"3596/579.3307mz/9.26min",12.096,3.5964,"3596"
"3440/607.4216mz/8.29min",0.083108,-3.5889,"3440"
"3207/339.1998mz/7.68min",10.984,3.4573,"3207"
"2983/802.5608mz/6.91min",8.678,3.1174,"2983"
"3282/381.3373mz/7.82min",8.2186,3.0389,"3282"
"2453/584.3106mz/4.07min",7.8581,2.9742,"2453"
"2757/271.1914mz/5.45min",7.8544,2.9735,"2757"
"3602/729.4715mz/9.26min",0.12747,-2.9717,"3602"
"3741/501.1766mz/10.82min",0.13166,-2.9251,"3741"
"3688/713.4762mz/10.2min",0.13825,-2.8546,"3688"
"3501/621.4372mz/8.48min",0.14559,-2.78,"3501"
"2910/394.2727mz/6.35min",6.8588,2.7779,"2910"
"2529/755.3621mz/4.45min",0.15004,-2.7366,"2529"
"2638/555.2823mz/4.91min",6.5176,2.7043,"2638"
"2746/242.1186mz/5.39min",6.5159,2.704,"2746"
"2790/256.1343mz/5.68min",6.4878,2.6977,"2790"
"2448/465.2716mz/4.05min",6.2791,2.6506,"2448"
"2700/624.3768mz/5.14min",6.1866,2.6291,"2700"
"2911/404.3015mz/6.35min",6.1151,2.6124,"2911"
"2824/313.2384mz/5.86min",5.9217,2.566,"2824"
"2612/297.2183mz/4.77min",5.8542,2.5495,"2612"
"2582/394.271mz/4.63min",0.17312,-2.5302,"2582"
"2995/325.2748mz/6.94min",5.5168,2.4638,"2995"
"2491/451.2925mz/4.25min",0.18226,-2.4559,"2491"
"3044/297.2434mz/7.24min",5.4529,2.447,"3044"
"2649/269.1758mz/4.94min",5.3411,2.4171,"2649"
"2594/375.1846mz/4.65min",5.3018,2.4065,"2594"
"3680/561.4192mz/10.12min",5.2612,2.3954,"3680"
"3666/579.3305mz/10.05min",5.2202,2.3841,"3666"
"2455/499.2565mz/4.08min",5.1407,2.362,"2455"
"2667/285.2071mz/5.0min",5.124,2.3573,"2667"
"3182/325.2748mz/7.67min",5.1149,2.3547,"3182"
"2555/349.1403mz/4.51min",5.0978,2.3499,"2555"
"2633/232.1342mz/4.88min",5.0261,2.3294,"2633"
"2999/826.5609mz/6.96min",0.19932,-2.3268,"2999"
