"","filter","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML"
"2436/706.186mz/4.01min",172991.755,80683.54,27793.355,166997.4,322533.2,543045.6,178986.11
"2437/214.1085mz/4.03min",143440.24,17204.16,60359.65,15992.213,545210.6,226520.83,571503.7
"2438/287.1612mz/4.02min",62579.232,20859.744,20859.744,20859.744,215753.56,104298.72,467186.62
"2439/621.3255mz/4.02min",2417760.5,1853581.1,1528722.8,2167807.5,2862262,2945277.2,2667713.5
"2440/667.3459mz/4.01min",183162.16,212680.06,171454.8,194869.52,132833.3,106747.23,246152.34
"2441/471.2614mz/4.03min",82276.512,181898.94,170892.33,137127.52,27425.504,27425.504,27425.504
"2442/745.3571mz/4.04min",5022006,7194900.5,6141912,6747823,3902100,3526088,2889503.2
"2443/765.403mz/4.04min",42435.2016,96957.22,70725.336,113264.86,14145.0672,14145.0672,14145.0672
"2444/382.1984mz/4.04min",4027629.2,7727658,6049860,8194853.5,1826453.1,2005398.4,1195809.5
"2445/584.293mz/4.03min",167521.615,84503.25,56628.94,158266.95,176776.28,227570.62,226882.1
"2447/428.1858mz/4.04min",714990.45,1363033,973108,1952037.5,104268.44,456872.9,20853.688
"2448/465.2716mz/4.05min",290307.95,144070.1,113529.31,123786.3,470068.44,512179,436545.8
"2449/255.1351mz/4.05min",114597.14,63826.008,47808.203,118989.5,132841.98,110204.78,384507.53
"2450/329.1718mz/4.05min",443214.205,672650.8,492870.25,773020.3,393558.16,376372,309233.22
"2451/356.1826mz/4.05min",86457.5825,179869.88,110655.31,240713.98,52824.332,62259.855,33384.414
"2452/285.1133mz/4.06min",752538.3,533892.6,472009.4,652698.3,852378.3,982784.8,1040000.8
"2453/584.3106mz/4.07min",415204.49,191121.48,163076.92,150156.3,824735.06,639287.5,881462.2
"2454/550.2884mz/4.07min",669792.175,540934.6,420115.6,573566.75,1087247.5,935522,766017.6
"2455/499.2565mz/4.08min",511036.03,315601.5,261977.5,302579.62,947389.1,706470.56,1059675.2
"2456/396.2139mz/4.08min",1348963.75,1971380,1506228.5,2066352.2,1184200.6,1191699,722941.3
"2458/508.2776mz/4.09min",176014.84,273635.6,235209.12,255129.17,116820.56,112909.234,73853.04
"2460/488.2039mz/4.09min",599899.33,402677.22,309851.28,361096.38,800295.5,797121.44,900750.44
"2461/214.1449mz/4.09min",496125.73,634296.75,308328.97,751591.75,614039.3,378212.16,230809.23
"2464/964.5147mz/4.11min",655959.3,425830.2,340923.9,404060.9,1018716.3,886088.4,1225402.8
"2465/495.2823mz/4.11min",125796.7975,274386.34,218096.95,375948.25,32142.709,33496.645,7888.824
"2467/656.2939mz/4.07min",240612.52,346911.03,305582.38,483801.66,62635.734,175642.66,140024.72
"2468/227.1291mz/4.13min",41620.2835,28924.922,15049.108,15070.371,60443.324,54315.645,114060.32
"2471/681.3467mz/4.14min",1997754.8,3254456,2343162.2,4301857.5,1454058,1652347.4,1163019.8
"2472/188.0176mz/4.15min",2908596.5,3246776.5,2942660.5,4380338.5,2640156.2,2874532.5,1521623.6
"2473/232.0073mz/4.15min",2228035,2449076,2279041.8,3380081.2,1994909.6,2177028.2,1190947.5
"2474/269.0567mz/4.16min",120772.445,15151.44,11029.223,33234.51,208310.38,221266.25,591758.25
"2475/513.2723mz/4.17min",201746.745,242952.73,195333.52,240945.28,208159.97,194292.38,125926.734
"2476/215.1288mz/4.18min",1508006.75,835442.06,684140.25,1166281.1,1849732.4,2209438,2939233
"2477/374.2084mz/4.19min",219493.855,336342.84,270274.4,321320.9,167607.6,168713.31,131841.52
"2478/248.1292mz/4.28min",1936161.7,3511564.8,2072379.8,2982521.2,1799943.6,1769405.6,275235.44
"2479/301.1404mz/4.2min",196701.405,78926.28,50168.12,141716.67,304718.72,354688.62,251686.14
"2480/297.1132mz/4.2min",1350909.45,1471068.8,1271326.6,1213587.4,1586707.9,1352216,1349602.9
"2481/329.1718mz/4.18min",104249.478,195357.16,173596.19,228785.92,25133.402,34902.766,29483.992
"2486/340.224mz/4.22min",72201.144,47499.918,39181.035,42138.11,114992.88,96902.37,144529.83
"2487/400.2089mz/4.22min",139970.593,45516.742,11653.283,60501.766,219439.42,222896.34,255978.89
"2488/329.0668mz/4.23min",43278.3,14426.1,14426.1,14426.1,72130.5,78731.305,432266.5
"2489/234.1135mz/4.23min",219866.49,264444.75,225183.45,349510.88,214549.53,189794.3,57871.066
"2491/451.2925mz/4.25min",471231.18,988044.25,884752.7,790346.25,152116.11,125659.42,3434.2114
"2492/354.2398mz/4.24min",1819017.2,1932429.4,1568771.8,1858786.2,2000767.6,1779248.2,1283612.1
"2493/527.2512mz/4.24min",843346.675,786193.25,813958.75,485970.7,1599918.4,872734.6,2131479.2
"2495/268.098mz/4.27min",402368,567332.6,541729.3,639307.6,241910.27,263006.7,193781.83
"2496/471.2611mz/4.27min",110980.482,229542.27,200427.47,184967.47,36993.494,36993.494,36993.494
"2497/612.3151mz/4.27min",310391.86,315056.38,305727.34,385217.44,262314.66,229532.75,394229.47
"2499/374.2085mz/4.26min",151513.975,230905.22,174396.84,195051.3,128631.11,101856.836,61463.35
"2503/327.2177mz/4.31min",6933431,5754758.5,4860329,5517806.5,8112103.5,8199594,10331995
"2506/201.1496mz/4.32min",126392.517,35983.594,33192.047,30096.65,216801.44,242600.19,305568.28
"2507/227.129mz/4.33min",692162,529859,616815,542421,767509,996943.06,1276833.2
"2508/253.119mz/4.34min",163757,125310.25,129875.61,149091.34,372903.25,178422.66,431329.9
"2511/242.1762mz/4.36min",498893.97,539223.2,513863.94,489750.66,400170,407203.56,508037.28
"2514/398.2296mz/4.37min",393218.53,596259.4,431782,898219.3,224780.64,354655.06,88013.59
"2515/288.1241mz/4.37min",238573.555,53457.277,31802.38,65617.27,601087.3,411529.84,721687.56
