"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"7425/575.8288mz/4.48min",0.0022396,-8.8026,"7425"
"7421/413.7386mz/4.48min",0.0027339,-8.5148,"7421"
"7109/365.1243mz/4.03min",250.01,7.9658,"7109"
"8946/537.2858mz/7.78min",188.39,7.5576,"8946"
"7573/413.7386mz/4.65min",0.0070439,-7.1494,"7573"
"7889/596.8519mz/5.16min",0.010137,-6.6242,"7889"
"9029/356.3518mz/8.11min",75.463,6.2377,"9029"
"8733/740.5221mz/7.5min",51.479,5.6859,"8733"
"7891/444.2851mz/5.19min",43.618,5.4469,"7891"
"8983/556.4929mz/7.94min",38.68,5.2735,"8983"
"7298/526.2945mz/4.29min",0.036482,-4.7767,"7298"
"7969/347.2323mz/5.33min",22.733,4.5067,"7969"
"8437/664.4624mz/6.47min",21.69,4.4389,"8437"
"8420/488.3577mz/6.46min",21.587,4.4321,"8420"
"8408/444.3314mz/6.45min",21.068,4.397,"8408"
"8427/532.384mz/6.47min",20.805,4.3788,"8427"
"8431/576.4101mz/6.47min",20.184,4.3351,"8431"
"8446/708.4886mz/6.48min",19.887,4.3138,"8446"
"8434/620.4362mz/6.47min",19.663,4.2974,"8434"
"7417/379.1859mz/4.49min",18.961,4.245,"7417"
"9010/939.375mz/8.06min",17.69,4.1448,"9010"
"8170/330.2998mz/5.81min",0.059672,-4.0668,"8170"
"8396/405.2607mz/6.44min",14.889,3.8962,"8396"
"7199/271.0712mz/4.16min",14.851,3.8925,"7199"
"7874/509.3692mz/5.13min",0.067752,-3.8836,"7874"
"8421/493.3129mz/6.46min",14.457,3.8537,"8421"
"8406/449.2868mz/6.45min",14.397,3.8477,"8406"
"8439/669.4177mz/6.47min",14.178,3.8256,"8439"
"8433/581.3653mz/6.47min",14.126,3.8203,"8433"
"8435/625.3914mz/6.47min",14.052,3.8127,"8435"
"8379/361.2345mz/6.41min",13.822,3.7889,"8379"
"8426/537.3393mz/6.47min",13.591,3.7646,"8426"
"7426/230.2113mz/4.47min",12.828,3.6813,"7426"
"7136/586.3241mz/4.07min",12.397,3.6319,"7136"
"7197/364.2031mz/4.11min",0.082266,-3.6036,"7197"
"9049/650.4384mz/8.13min",11.786,3.559,"9049"
"9513/375.3042mz/9.44min",0.089882,-3.4758,"9513"
"7793/547.3178mz/4.98min",0.092953,-3.4274,"7793"
"8116/342.2998mz/5.65min",0.099771,-3.3252,"8116"
"8505/286.2737mz/6.62min",9.5386,3.2538,"8505"
"8117/412.319mz/5.65min",9.3968,3.2322,"8117"
"9064/611.5351mz/8.18min",8.3874,3.0682,"9064"
"9048/690.4697mz/8.13min",8.2891,3.0512,"9048"
"7142/501.2707mz/4.08min",7.989,2.998,"7142"
"7835/495.3535mz/5.05min",0.12568,-2.9922,"7835"
"7736/579.2784mz/4.91min",7.7535,2.9549,"7736"
"8891/772.5839mz/7.69min",7.4008,2.8877,"8891"
"8445/372.3467mz/6.45min",0.13872,-2.8498,"8445"
"7535/299.2325mz/4.63min",7.1025,2.8283,"7535"
"7126/467.2864mz/4.05min",6.9493,2.7969,"7126"
"8030/218.1174mz/5.46min",6.7552,2.756,"8030"
"7135/552.3029mz/4.07min",6.7346,2.7516,"7135"
"8675/326.3048mz/7.18min",6.6931,2.7427,"8675"
"7733/557.2965mz/4.91min",6.2656,2.6475,"7733"
"8324/384.3466mz/6.23min",0.16041,-2.6401,"8324"
"7666/280.2632mz/4.85min",6.1734,2.6261,"7666"
"8231/232.133mz/5.91min",6.0238,2.5907,"8231"
"7495/370.2696mz/4.56min",0.16754,-2.5774,"7495"
"7253/454.3103mz/4.24min",0.16779,-2.5753,"7253"
"9047/798.563mz/8.14min",5.8516,2.5488,"9047"
"8772/395.3667mz/7.52min",0.17286,-2.5323,"8772"
"7725/313.248mz/4.89min",5.7749,2.5298,"7725"
"9005/917.3933mz/8.06min",5.7385,2.5207,"9005"
"7363/210.1025mz/4.39min",5.7226,2.5167,"7363"
"7643/299.2326mz/4.77min",5.6486,2.4979,"7643"
"8069/367.2451mz/5.59min",0.17749,-2.4942,"8069"
"7883/626.3905mz/5.15min",5.5943,2.484,"7883"
"8507/364.1903mz/6.63min",5.5287,2.4669,"8507"
"9094/714.4689mz/8.14min",0.1816,-2.4611,"9094"
"7642/186.1488mz/4.77min",5.4769,2.4534,"7642"
"7803/313.2481mz/5.0min",5.4307,2.4411,"7803"
"8258/344.3154mz/5.99min",0.18483,-2.4357,"8258"
"7773/626.3905mz/4.96min",5.3333,2.415,"7773"
"8357/360.3103mz/6.35min",5.2851,2.4019,"8357"
"7378/509.1439mz/4.42min",5.2812,2.4009,"7378"
"8232/344.3155mz/5.93min",0.18962,-2.3988,"8232"
"9832/197.1284mz/11.0min",5.2435,2.3905,"9832"
"7450/396.2853mz/4.52min",0.19112,-2.3875,"7450"
"9228/714.4699mz/8.41min",0.19144,-2.385,"9228"
"7196/204.102mz/4.15min",5.1193,2.3559,"7196"
"8798/328.3204mz/7.61min",5.0806,2.345,"8798"
"8207/345.3189mz/5.9min",0.19845,-2.3332,"8207"
"7412/344.1812mz/4.43min",0.19952,-2.3254,"7412"
"7718/200.1644mz/4.88min",5.0064,2.3238,"7718"
"7340/370.7204mz/4.35min",0.20031,-2.3197,"7340"
"8607/300.2892mz/7.02min",4.8999,2.2927,"8607"
"7619/293.2108mz/4.74min",4.8455,2.2766,"7619"
"8509/380.1852mz/6.63min",4.8133,2.267,"8509"
"7574/826.4705mz/4.68min",0.2088,-2.2598,"7574"
"9566/378.3232mz/9.61min",0.2101,-2.2508,"9566"
"7712/278.1384mz/4.88min",4.7114,2.2362,"7712"
"9092/786.598mz/8.14min",4.6605,2.2205,"9092"
"7208/239.1025mz/4.18min",4.6404,2.2142,"7208"
"8552/324.2892mz/6.8min",4.6266,2.21,"8552"
"7402/271.1648mz/4.47min",4.5602,2.1891,"7402"
"9482/590.4947mz/9.3min",4.5508,2.1861,"9482"
"7434/171.0916mz/4.49min",4.5358,2.1814,"7434"
"7671/479.2754mz/4.83min",0.22098,-2.178,"7671"
"8919/575.5026mz/7.68min",0.22251,-2.1681,"8919"
"9692/144.982mz/10.14min",4.4813,2.1639,"9692"
"7291/473.2755mz/4.28min",0.22445,-2.1555,"7291"
"7940/317.0916mz/5.27min",4.4066,2.1397,"7940"
"9569/708.5917mz/9.61min",0.22716,-2.1382,"9569"
"9089/782.5681mz/8.13min",0.22734,-2.137,"9089"
"9579/603.5072mz/9.63min",4.3803,2.131,"9579"
"7750/479.2754mz/4.93min",0.22831,-2.1309,"7750"
"7416/186.1488mz/4.48min",4.3471,2.1201,"7416"
"7488/218.1175mz/4.56min",4.3235,2.1122,"7488"
"7462/231.1591mz/4.52min",4.3004,2.1045,"7462"
"7914/367.2452mz/5.21min",0.23268,-2.1036,"7914"
"7547/559.3489mz/4.64min",0.23304,-2.1013,"7547"
"7424/826.4702mz/4.49min",0.23314,-2.1008,"7424"
"7904/309.242mz/5.18min",0.23333,-2.0995,"7904"
"7358/364.2043mz/4.37min",0.2335,-2.0985,"7358"
"8845/370.3308mz/7.66min",4.2823,2.0984,"8845"
"7516/584.8233mz/4.6min",0.23532,-2.0873,"7516"
"7334/370.2697mz/4.34min",0.23624,-2.0817,"7334"
"9006/934.4199mz/8.06min",4.2164,2.076,"9006"
"8859/445.3304mz/7.68min",0.23916,-2.064,"8859"
"8220/553.4245mz/5.89min",4.1464,2.0519,"8220"
"7699/244.1541mz/4.86min",4.1407,2.0499,"7699"
"7319/559.3123mz/4.31min",4.1335,2.0474,"7319"
"7447/584.8231mz/4.51min",0.24441,-2.0326,"7447"
"9732/772.5844mz/10.24min",4.067,2.0239,"9732"
"9085/772.5844mz/8.14min",4.0406,2.0146,"9085"
"9422/144.9821mz/9.13min",4.0235,2.0084,"9422"
"7705/251.1639mz/4.87min",4.0208,2.0075,"7705"
"9112/395.3306mz/8.14min",4.0109,2.0039,"9112"
"7401/275.1388mz/4.47min",4.0082,2.003,"7401"
"7924/612.3748mz/5.23min",4.0015,2.0005,"7924"
"9079/575.5028mz/8.14min",3.9959,1.9985,"9079"
"9655/546.4856mz/9.95min",3.9476,1.981,"9655"
"8112/302.3049mz/5.71min",3.9278,1.9737,"8112"
"7419/299.2325mz/4.48min",3.9106,1.9674,"7419"
"9744/786.5965mz/10.24min",3.8912,1.9602,"9744"
"9586/815.6366mz/9.67min",3.8905,1.96,"9586"
"9012/512.5187mz/8.14min",3.8822,1.9569,"9012"
"8677/607.4786mz/7.2min",0.2633,-1.9252,"8677"
"8229/317.2084mz/5.9min",3.7894,1.922,"8229"
"9764/760.5817mz/10.31min",3.7698,1.9145,"9764"
"8107/291.1951mz/5.61min",3.725,1.8973,"8107"
"7261/511.2549mz/4.24min",3.7168,1.8941,"7261"
"8277/309.2055mz/6.06min",3.6987,1.887,"8277"
"7636/370.7203mz/4.76min",0.27055,-1.886,"7636"
"8339/314.3412mz/6.35min",3.6893,1.8834,"8339"
"9418/575.4758mz/9.13min",3.6826,1.8807,"9418"
"8985/309.2783mz/7.94min",3.6713,1.8763,"8985"
"9535/703.5581mz/9.45min",3.6467,1.8666,"9535"
"7461/167.143mz/4.51min",3.6112,1.8525,"7461"
"7318/291.1952mz/4.31min",3.5585,1.8313,"7318"
"7463/213.1485mz/4.52min",3.5465,1.8264,"7463"
"7121/430.2mz/4.03min",0.28245,-1.824,"7121"
"7169/360.1915mz/4.11min",3.5362,1.8222,"7169"
"7259/453.3069mz/4.24min",0.28341,-1.8191,"7259"
"7616/291.1952mz/4.7min",3.4928,1.8044,"7616"
"9584/533.4735mz/9.65min",3.4884,1.8026,"9584"
"8474/386.3623mz/6.53min",0.28718,-1.8,"8474"
"7323/149.1325mz/4.32min",3.4658,1.7932,"7323"
"7539/396.2854mz/4.63min",0.28946,-1.7885,"7539"
"7903/352.1862mz/5.18min",3.4445,1.7843,"7903"
"7113/406.1948mz/4.03min",0.29052,-1.7833,"7113"
"9429/582.5089mz/9.16min",3.436,1.7807,"9429"
"9444/691.5226mz/9.23min",3.4178,1.7731,"9444"
"8349/372.3468mz/6.36min",0.2933,-1.7696,"8349"
"9480/589.4913mz/9.3min",3.3869,1.76,"9480"
"7138/331.1862mz/4.07min",3.3796,1.7568,"7138"
"7961/279.2314mz/5.3min",3.3539,1.7458,"7961"
"8773/738.5065mz/7.52min",3.3166,1.7297,"8773"
"9596/456.4193mz/9.7min",3.3112,1.7273,"9596"
"9539/631.4803mz/9.47min",3.2935,1.7196,"9539"
"8344/374.3625mz/6.38min",3.2882,1.7173,"8344"
"7099/623.3399mz/4.02min",3.284,1.7154,"7099"
"9107/808.5792mz/8.14min",3.2398,1.6959,"9107"
"7591/272.1392mz/4.7min",3.2269,1.6902,"7591"
"7379/584.3441mz/4.42min",3.2095,1.6824,"7379"
"9205/415.3564mz/8.34min",3.2064,1.6809,"9205"
"7645/241.1255mz/4.78min",3.1976,1.677,"7645"
"7296/584.3442mz/4.35min",3.1932,1.675,"7296"
"9581/532.4697mz/9.65min",3.1837,1.6707,"9581"
"7241/342.2385mz/4.22min",3.1754,1.6669,"7241"
"9572/533.4536mz/9.62min",3.168,1.6636,"9572"
"9087/744.553mz/8.14min",0.31741,-1.6556,"9087"
"9661/701.616mz/9.99min",3.1469,1.6539,"9661"
"7566/253.1181mz/4.67min",3.1392,1.6504,"7566"
"9113/804.5503mz/8.14min",0.32136,-1.6378,"9113"
"7775/288.2893mz/5.0min",3.1117,1.6377,"7775"
"9028/310.3099mz/8.1min",3.1076,1.6358,"9028"
"8373/410.7612mz/6.41min",0.32221,-1.6339,"8373"
"9347/663.4913mz/8.84min",3.0982,1.6314,"9347"
"8542/286.2737mz/6.74min",3.0944,1.6296,"8542"
"9683/812.6968mz/10.08min",3.0912,1.6282,"9683"
"7418/230.1386mz/4.48min",3.0754,1.6208,"7418"
"9548/604.4905mz/9.51min",3.0487,1.6082,"9548"
"7351/235.1691mz/4.36min",3.047,1.6074,"7351"
"9339/763.5477mz/8.82min",3.0351,1.6018,"9339"
"8407/282.2787mz/6.45min",0.33321,-1.5855,"8407"
"8428/149.0232mz/6.48min",2.992,1.5811,"8428"
"8104/287.2366mz/5.6min",2.9898,1.58,"8104"
"9605/645.4955mz/9.72min",2.9628,1.567,"9605"
"8618/482.394mz/7.04min",0.33861,-1.5623,"8618"
"7613/309.2057mz/4.73min",2.9419,1.5568,"7613"
"9376/568.4934mz/8.95min",2.9298,1.5508,"9376"
"7430/531.2796mz/4.49min",2.9252,1.5485,"7430"
"9328/101.0709mz/8.81min",2.9208,1.5464,"9328"
"8140/376.3053mz/5.72min",2.9194,1.5456,"8140"
"9483/411.3617mz/9.32min",2.9188,1.5454,"9483"
"7823/333.2034mz/5.04min",2.9183,1.5451,"7823"
"9612/586.4884mz/9.71min",2.9175,1.5447,"9612"
"9093/674.4385mz/8.14min",0.34279,-1.5446,"9093"
"8190/344.3155mz/5.88min",0.34425,-1.5385,"8190"
"9524/442.4038mz/9.44min",2.8967,1.5344,"9524"
"7927/316.2842mz/5.24min",0.34611,-1.5307,"7927"
"9381/677.5072mz/8.98min",2.8641,1.5181,"9381"
"7400/327.1911mz/4.47min",0.34927,-1.5176,"7400"
"9575/606.5428mz/9.62min",2.863,1.5175,"9575"
"8187/349.1981mz/5.82min",0.35019,-1.5138,"8187"
"7829/286.1546mz/5.04min",2.8554,1.5137,"7829"
"8533/468.3896mz/6.73min",2.8494,1.5107,"8533"
"7508/356.254mz/4.59min",2.8474,1.5097,"7508"
"8469/414.1694mz/6.5min",2.8474,1.5097,"8469"
"7102/645.3216mz/4.03min",2.8468,1.5093,"7102"
"8886/714.4704mz/7.68min",0.35252,-1.5042,"8886"
"8174/317.172mz/5.78min",2.8291,1.5003,"8174"
"7082/383.2298mz/4.0min",2.8141,1.4927,"7082"
"9610/585.4848mz/9.71min",2.8105,1.4908,"9610"
"9503/518.454mz/9.4min",2.8102,1.4907,"9503"
"9687/659.5113mz/10.1min",2.8074,1.4892,"9687"
"7590/302.1496mz/4.7min",2.7721,1.471,"7590"
"9543/454.4037mz/9.49min",2.769,1.4694,"9543"
"7877/311.2212mz/5.13min",2.7587,1.464,"7877"
"7786/295.19mz/4.97min",2.7558,1.4625,"7786"
"8414/454.2923mz/6.46min",0.36359,-1.4596,"8414"
"9032/395.3667mz/8.12min",2.7428,1.4556,"9032"
"9034/413.3772mz/8.12min",2.7422,1.4553,"9034"
"8066/197.6168mz/5.59min",2.7374,1.4528,"8066"
"9261/429.3724mz/8.51min",2.7362,1.4522,"9261"
"8284/349.2345mz/6.09min",0.36627,-1.449,"8284"
"9379/675.5278mz/9.08min",2.7167,1.4419,"9379"
"7694/109.1011mz/4.85min",2.7142,1.4405,"7694"
"7603/333.2039mz/4.72min",2.7136,1.4402,"7603"
"7788/277.1795mz/4.98min",2.7048,1.4355,"7788"
"7130/339.7025mz/4.05min",0.36996,-1.4345,"7130"
"8198/405.2606mz/5.85min",2.6891,1.4271,"8198"
"7952/349.1867mz/5.29min",2.686,1.4255,"7952"
"7453/149.1324mz/4.51min",2.6843,1.4246,"7453"
"7665/381.1553mz/4.82min",2.6822,1.4234,"7665"
"7320/351.2142mz/4.31min",2.6818,1.4232,"7320"
"8196/383.2787mz/5.85min",2.6761,1.4201,"8196"
"8205/302.3049mz/5.87min",0.37489,-1.4155,"8205"
"7974/316.2842mz/5.33min",0.37529,-1.4139,"7974"
"9673/817.6522mz/10.07min",2.6568,1.4097,"9673"
"7901/293.2107mz/5.18min",2.6507,1.4064,"7901"
"7609/275.2003mz/4.73min",2.646,1.4038,"7609"
"9323/550.6283mz/8.84min",2.6459,1.4038,"9323"
"9740/798.5629mz/10.25min",2.6403,1.4007,"9740"
"7520/351.214mz/4.62min",2.6353,1.398,"7520"
"8974/413.3773mz/7.92min",2.6323,1.3963,"8974"
"7799/293.2107mz/5.03min",2.6145,1.3866,"7799"
"8899/744.554mz/7.68min",0.38285,-1.3852,"8899"
"9737/782.5676mz/10.26min",0.38312,-1.3841,"9737"
"7640/552.3752mz/4.77min",2.6091,1.3836,"7640"
"9611/562.5164mz/9.71min",2.6074,1.3826,"9611"
"7562/229.1334mz/4.66min",0.38393,-1.3811,"7562"
"7735/642.3488mz/4.91min",2.5814,1.3681,"7735"
"8953/411.3253mz/7.83min",2.579,1.3668,"8953"
"7800/275.2002mz/5.01min",2.5765,1.3654,"7800"
"7452/177.1273mz/4.51min",2.5725,1.3632,"7452"
"9219/427.3568mz/8.4min",2.5651,1.359,"9219"
"7625/149.1325mz/4.75min",2.5634,1.358,"7625"
"7790/335.1824mz/4.98min",2.5603,1.3563,"7790"
"8459/349.2345mz/6.49min",0.39175,-1.352,"8459"
"9481/567.5093mz/9.3min",2.5386,1.3441,"9481"
"7317/275.2004mz/4.31min",2.5379,1.3436,"7317"
"9702/606.3394mz/10.2min",0.39448,-1.342,"9702"
"9181/803.5424mz/8.3min",2.5263,1.337,"9181"
"7808/277.2159mz/5.0min",2.5211,1.334,"7808"
"9496/548.501mz/9.39min",2.5146,1.3303,"9496"
"8484/301.1406mz/6.56min",2.5016,1.3228,"8484"
"7103/473.2758mz/4.03min",0.40016,-1.3214,"7103"
"7439/309.2056mz/4.5min",2.4979,1.3207,"7439"
"9069/758.5692mz/8.13min",2.4882,1.3151,"9069"
"8080/335.2189mz/5.56min",2.4843,1.3128,"8080"
"7437/509.2966mz/4.5min",2.484,1.3126,"7437"
"7563/336.1743mz/4.66min",0.40369,-1.3087,"7563"
"7313/293.2109mz/4.31min",2.4595,1.2984,"7313"
"9184/415.2718mz/8.3min",2.4533,1.2947,"9184"
"9280/441.2975mz/8.57min",2.4434,1.2889,"9280"
"9235/352.3391mz/8.47min",2.4426,1.2884,"9235"
"7438/277.2159mz/4.5min",2.4372,1.2852,"7438"
"8043/251.2003mz/5.49min",2.4318,1.282,"8043"
"8241/255.2316mz/5.96min",2.4311,1.2816,"8241"
"7435/295.2265mz/4.5min",2.4219,1.2762,"7435"
"8500/297.242mz/6.6min",2.4219,1.2761,"8500"
"9193/371.315mz/8.31min",2.413,1.2708,"9193"
"9498/592.527mz/9.39min",2.4052,1.2662,"9498"
"8157/412.3198mz/5.73min",2.4026,1.2646,"8157"
"8248/237.2211mz/5.97min",2.3973,1.2614,"8248"
"9046/393.3147mz/8.13min",2.3954,1.2603,"9046"
"9694/409.4399mz/10.17min",0.41758,-1.2599,"9694"
"8572/344.3155mz/6.9min",2.3913,1.2578,"8572"
"7115/384.2127mz/4.03min",0.42257,-1.2427,"7115"
"9178/429.2395mz/8.3min",2.3591,1.2382,"9178"
"9177/413.2657mz/8.3min",2.3517,1.2337,"9177"
"9825/98.512mz/10.88min",0.42637,-1.2298,"9825"
"8876/808.5796mz/7.68min",2.3432,1.2285,"8876"
"7801/295.2264mz/4.99min",2.336,1.224,"7801"
"9577/377.32mz/9.63min",0.42868,-1.222,"9577"
"7446/195.1379mz/4.5min",2.3291,1.2198,"7446"
"8048/297.2057mz/5.49min",2.3186,1.2133,"8048"
"7628/195.138mz/4.75min",2.3131,1.2098,"7628"
"7948/277.2159mz/5.28min",2.3115,1.2088,"7948"
"8171/390.3209mz/5.78min",2.3083,1.2068,"8171"
"7824/320.1389mz/5.03min",2.3054,1.205,"7824"
"9336/469.3285mz/8.82min",2.3041,1.2042,"9336"
"9583/510.4876mz/9.65min",2.3034,1.2038,"9583"
"9561/144.982mz/9.57min",2.3031,1.2036,"9561"
"7717/313.237mz/4.88min",2.295,1.1985,"7717"
"7314/195.138mz/4.31min",2.2922,1.1968,"7314"
"7217/237.1596mz/4.19min",2.2828,1.1908,"7217"
"8084/295.2264mz/5.56min",2.2802,1.1892,"8084"
"7673/195.1379mz/4.83min",2.2764,1.1867,"7673"
"9415/534.4855mz/9.13min",2.2737,1.1851,"9415"
"9394/603.4956mz/9.04min",2.2657,1.18,"9394"
"9018/367.3566mz/8.09min",2.2654,1.1798,"9018"
"8047/279.1952mz/5.49min",2.265,1.1795,"8047"
"9405/576.4593mz/9.08min",2.2627,1.178,"9405"
"9662/576.5321mz/10.0min",2.2477,1.1685,"9662"
"8049/280.1984mz/5.49min",2.2447,1.1666,"8049"
"7954/295.2264mz/5.29min",2.2446,1.1665,"7954"
"8712/371.3151mz/7.36min",2.2381,1.1623,"8712"
"9017/349.346mz/8.09min",2.2362,1.161,"9017"
"9410/460.4509mz/9.13min",2.2359,1.1608,"9410"
"9320/377.3201mz/8.75min",0.44787,-1.1589,"9320"
"9404/605.5105mz/9.08min",2.2291,1.1565,"9404"
"9186/454.2922mz/8.3min",2.2266,1.1548,"9186"
"8239/308.2215mz/5.94min",2.2235,1.1528,"8239"
"8062/280.2348mz/5.53min",2.2212,1.1514,"8062"
"9380/655.5247mz/8.97min",2.2118,1.1452,"9380"
"8539/600.4675mz/6.74min",2.2025,1.1391,"8539"
"8061/297.2419mz/5.52min",2.2017,1.1386,"8061"
"7167/410.2283mz/4.11min",2.1982,1.1363,"7167"
"7943/313.2369mz/5.28min",2.1972,1.1356,"7943"
"8148/357.2783mz/5.75min",2.1944,1.1338,"8148"
"9449/590.4749mz/9.24min",2.1933,1.1331,"9449"
"8706/564.2599mz/7.34min",2.1885,1.1299,"8706"
"7918/191.1429mz/5.2min",2.1843,1.1272,"7918"
"8045/319.1875mz/5.49min",2.1779,1.123,"8045"
"7203/515.2868mz/4.17min",2.1757,1.1215,"7203"
"7755/386.2069mz/4.94min",0.46026,-1.1195,"7755"
"7951/335.2189mz/5.29min",2.1708,1.1182,"7951"
"8234/347.3345mz/5.93min",0.4611,-1.1169,"8234"
"9436/578.5114mz/9.19min",2.1686,1.1168,"9436"
"7356/284.1279mz/4.37min",0.46167,-1.1151,"7356"
"8077/293.2107mz/5.55min",2.1658,1.1149,"8077"
"7148/550.3599mz/4.08min",0.46175,-1.1148,"7148"
"8534/429.3182mz/6.73min",2.1489,1.1036,"8534"
"7460/527.3226mz/4.51min",2.1486,1.1034,"7460"
"9448/504.4383mz/9.24min",2.1448,1.1009,"9448"
"8264/349.2345mz/6.05min",0.46689,-1.0988,"8264"
"8017/335.2188mz/5.44min",2.1349,1.0942,"8017"
"8488/283.2628mz/6.58min",2.135,1.0942,"8488"
"8915/804.5484mz/7.69min",0.46959,-1.0905,"8915"
"8425/91.0542mz/6.47min",2.1264,1.0884,"8425"
"8003/279.2315mz/5.4min",2.1218,1.0853,"8003"
"9160/312.3256mz/8.26min",2.1139,1.0799,"9160"
"8303/557.4558mz/6.17min",2.1136,1.0797,"8303"
"8536/556.4414mz/6.74min",2.1069,1.0751,"8536"
"9220/463.3778mz/8.42min",2.102,1.0718,"9220"
"8216/339.2502mz/5.88min",2.1015,1.0715,"8216"
"8632/804.55mz/7.13min",0.47679,-1.0686,"8632"
"9278/101.0709mz/8.55min",2.094,1.0662,"9278"
"9090/780.5513mz/8.14min",2.0862,1.0609,"9090"
"8541/517.3706mz/6.74min",2.0823,1.0582,"8541"
"9253/287.2367mz/8.49min",2.081,1.0573,"9253"
"7441/291.1951mz/4.5min",2.0772,1.0546,"7441"
"9039/498.5027mz/8.09min",0.48252,-1.0513,"9039"
"7742/403.2011mz/4.91min",2.0718,1.0509,"7742"
"8044/320.1909mz/5.49min",2.0701,1.0497,"8044"
"8094/279.2315mz/5.59min",2.0697,1.0494,"8094"
"9309/601.4801mz/8.7min",2.0592,1.0421,"9309"
"9525/556.5294mz/9.44min",2.0565,1.0402,"9525"
"8096/315.2526mz/5.59min",2.0559,1.0397,"8096"
"8067/279.2314mz/5.52min",2.0543,1.0387,"8067"
"7612/211.0866mz/4.73min",2.0519,1.0369,"7612"
"8537/512.4152mz/6.74min",2.0502,1.0358,"8537"
"9501/672.5279mz/9.4min",2.0495,1.0353,"9501"
"7896/353.2295mz/5.17min",2.0445,1.0318,"7896"
"9537/615.5066mz/9.47min",2.0443,1.0316,"9537"
"8483/149.0233mz/6.56min",2.0431,1.0308,"8483"
"7610/541.3382mz/4.73min",2.039,1.0279,"7610"
"7307/1036.597mz/4.32min",2.0352,1.0251,"7307"
"9671/213.1483mz/10.07min",2.0342,1.0245,"9671"
"7225/353.7283mz/4.2min",0.49189,-1.0236,"7225"
"7226/717.3869mz/4.21min",2.0328,1.0234,"7226"
"8390/391.2928mz/6.43min",0.49223,-1.0226,"8390"
"8222/277.2159mz/5.9min",2.0309,1.0221,"8222"
"9363/603.4955mz/8.88min",2.0257,1.0184,"9363"
"7444/353.2295mz/4.5min",2.025,1.0179,"7444"
"8092/297.2421mz/5.59min",2.0235,1.0169,"8092"
"7222/987.0622mz/4.2min",2.0235,1.0168,"7222"
"7855/387.1798mz/5.08min",2.0224,1.016,"7855"
"7611/542.3415mz/4.73min",2.0214,1.0153,"7611"
"7658/345.209mz/4.81min",2.015,1.0108,"7658"
"9585/686.5434mz/9.66min",2.012,1.0086,"9585"
"9494/528.5257mz/9.38min",2.0116,1.0084,"9494"
"9634/547.4692mz/9.83min",2.0047,1.0034,"9634"
"8754/355.3202mz/7.45min",2.004,1.0029,"8754"
