"","FC","log2(FC)","raw.pval","-log10(p)"
"9029/356.3518mz/8.11min",75.463,6.2377,1.0819e-05,4.9658
"7914/367.2452mz/5.21min",0.23268,-2.1036,5.8885e-05,4.23
"9596/456.4193mz/9.7min",3.3112,1.7273,9.2526e-05,4.0337
"8357/360.3103mz/6.35min",5.2851,2.4019,0.00012436,3.9053
"7126/467.2864mz/4.05min",6.9493,2.7969,0.00013166,3.8806
"8677/607.4786mz/7.2min",0.2633,-1.9252,0.00015941,3.7975
"9524/442.4038mz/9.44min",2.8967,1.5344,0.00016418,3.7847
"8174/317.172mz/5.78min",2.8291,1.5003,0.00018678,3.7287
"9543/454.4037mz/9.49min",2.769,1.4694,0.00022389,3.65
"8488/283.2628mz/6.58min",2.135,1.0942,0.00024069,3.6185
"9018/367.3566mz/8.09min",2.2654,1.1798,0.00025425,3.5947
"8505/286.2737mz/6.62min",9.5386,3.2538,0.00026317,3.5798
"7136/586.3241mz/4.07min",12.397,3.6319,0.00028708,3.542
"7736/579.2784mz/4.91min",7.7535,2.9549,0.00031771,3.498
"7447/584.8231mz/4.51min",0.24441,-2.0326,0.00036091,3.4426
"8607/300.2892mz/7.02min",4.8999,2.2927,0.00040176,3.396
"7603/333.2039mz/4.72min",2.7136,1.4402,0.00044667,3.35
"9017/349.346mz/8.09min",2.2362,1.161,0.00045977,3.3375
"7516/584.8233mz/4.6min",0.23532,-2.0873,0.00053603,3.2708
"7142/501.2707mz/4.08min",7.989,2.998,0.0005491,3.2604
"7351/235.1691mz/4.36min",3.047,1.6074,0.00056391,3.2488
"7358/364.2043mz/4.37min",0.2335,-2.0985,0.00058646,3.2318
"7424/826.4702mz/4.49min",0.23314,-2.1008,0.00059825,3.2231
"8187/349.1981mz/5.82min",0.35019,-1.5138,0.00062987,3.2007
"8140/376.3053mz/5.72min",2.9194,1.5456,0.00065189,3.1858
"8946/537.2858mz/7.78min",188.39,7.5576,0.00068743,3.1628
"7750/479.2754mz/4.93min",0.22831,-2.1309,0.00068848,3.1621
"7421/413.7386mz/4.48min",0.0027339,-8.5148,0.00076427,3.1168
"7671/479.2754mz/4.83min",0.22098,-2.178,0.00088803,3.0516
"7694/109.1011mz/4.85min",2.7142,1.4405,0.0008962,3.0476
"7109/365.1243mz/4.03min",250.01,7.9658,0.00090476,3.0435
"8066/197.6168mz/5.59min",2.7374,1.4528,0.00092151,3.0355
"8618/482.394mz/7.04min",0.33861,-1.5623,0.0009631,3.0163
"7323/149.1325mz/4.32min",3.4658,1.7932,0.00096639,3.0148
"9112/395.3306mz/8.14min",4.0109,2.0039,0.0010516,2.9782
"7425/575.8288mz/4.48min",0.0022396,-8.8026,0.0011591,2.9359
"7969/347.2323mz/5.33min",22.733,4.5067,0.0012453,2.9047
"7574/826.4705mz/4.68min",0.2088,-2.2598,0.0013129,2.8818
"7823/333.2034mz/5.04min",2.9183,1.5451,0.001407,2.8517
"7196/204.102mz/4.15min",5.1193,2.3559,0.0014277,2.8454
"7417/379.1859mz/4.49min",18.961,4.245,0.001539,2.8128
"7113/406.1948mz/4.03min",0.29052,-1.7833,0.0015504,2.8096
"8284/349.2345mz/6.09min",0.36627,-1.449,0.0015626,2.8061
"8798/328.3204mz/7.61min",5.0806,2.345,0.0016719,2.7768
"7733/557.2965mz/4.91min",6.2656,2.6475,0.0016821,2.7742
"7291/473.2755mz/4.28min",0.22445,-2.1555,0.0019627,2.7072
"8080/335.2189mz/5.56min",2.4843,1.3128,0.0020795,2.682
"7241/342.2385mz/4.22min",3.1754,1.6669,0.0021624,2.6651
"7951/335.2189mz/5.29min",2.1708,1.1182,0.0022148,2.6547
"7197/364.2031mz/4.11min",0.082266,-3.6036,0.0023034,2.6376
"7705/251.1639mz/4.87min",4.0208,2.0075,0.0023389,2.631
"8030/218.1174mz/5.46min",6.7552,2.756,0.002342,2.6304
"7102/645.3216mz/4.03min",2.8468,1.5093,0.0023508,2.6288
"7573/413.7386mz/4.65min",0.0070439,-7.1494,0.0024173,2.6167
"7790/335.1824mz/4.98min",2.5603,1.3563,0.002552,2.5931
"8983/556.4929mz/7.94min",38.68,5.2735,0.0025742,2.5894
"7508/356.254mz/4.59min",2.8474,1.5097,0.0027792,2.5561
"7891/444.2851mz/5.19min",43.618,5.4469,0.0028125,2.5509
"7199/271.0712mz/4.16min",14.851,3.8925,0.0028366,2.5472
"8675/326.3048mz/7.18min",6.6931,2.7427,0.002843,2.5462
"7609/275.2003mz/4.73min",2.646,1.4038,0.0028762,2.5412
"8229/317.2084mz/5.9min",3.7894,1.922,0.0029033,2.5371
"7402/271.1648mz/4.47min",4.5602,2.1891,0.0029631,2.5282
"7889/596.8519mz/5.16min",0.010137,-6.6242,0.0030011,2.5227
"7317/275.2004mz/4.31min",2.5379,1.3436,0.0030683,2.5131
"7313/293.2109mz/4.31min",2.4595,1.2984,0.0030895,2.5101
"7314/195.138mz/4.31min",2.2922,1.1968,0.0031462,2.5022
"7441/291.1951mz/4.5min",2.0772,1.0546,0.0033367,2.4767
"8171/390.3209mz/5.78min",2.3083,1.2068,0.0034681,2.4599
"7169/360.1915mz/4.11min",3.5362,1.8222,0.0035722,2.4471
"8017/335.2188mz/5.44min",2.1349,1.0942,0.0035905,2.4448
