"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"2718/775.4336mz/5.58min",0.0025708,-8.6036,"2718"
"2689/668.3668mz/5.36min",111.88,6.8058,"2689"
"2922/584.4532mz/7.05min",46.237,5.531,"2922"
"2503/325.1771mz/4.47min",0.028896,-5.113,"2503"
"3350/621.4371mz/8.48min",0.029808,-5.0681,"3350"
"2489/282.1136mz/4.37min",0.029864,-5.0655,"2489"
"3185/554.4789mz/7.94min",31.2,4.9635,"3185"
"3254/480.3095mz/8.14min",0.043783,-4.5135,"3254"
"2846/452.2782mz/6.46min",0.050673,-4.3026,"2846"
"3177/480.3094mz/7.8min",0.058575,-4.0936,"3177"
"2475/248.1292mz/4.24min",0.062414,-4.002,"2475"
"3456/561.4195mz/9.74min",13.1,3.7115,"3456"
"3094/745.5013mz/7.68min",11.433,3.5152,"3094"
"2429/329.1718mz/4.06min",0.08965,-3.4795,"2429"
"2621/341.208mz/5.02min",0.090951,-3.4588,"2621"
"3262/745.5016mz/8.14min",10.892,3.4451,"3262"
"2463/329.0669mz/4.23min",10.878,3.4433,"2463"
"2522/697.3934mz/4.53min",10.413,3.3803,"2522"
"3027/508.4117mz/7.64min",0.09715,-3.3636,"3027"
"2809/699.3811mz/6.19min",9.1666,3.1964,"2809"
"2513/373.1687mz/4.48min",9.13,3.1906,"2513"
"3074/758.4976mz/7.67min",9.1302,3.1906,"3074"
"2796/383.1761mz/6.16min",0.11541,-3.1152,"2796"
"2683/420.2503mz/5.36min",8.5291,3.0924,"2683"
"2684/374.2447mz/5.36min",8.4624,3.0811,"2684"
"2861/452.2783mz/6.56min",0.13026,-2.9406,"2861"
"3061/544.4218mz/7.66min",7.4999,2.9069,"3061"
"2604/269.1758mz/4.94min",6.6124,2.7252,"2604"
"3083/480.3094mz/7.68min",0.15608,-2.6797,"3083"
"2572/325.2022mz/4.84min",6.3556,2.668,"2572"
"3443/425.4mz/9.47min",0.15821,-2.6601,"3443"
"2964/494.3961mz/7.33min",0.15837,-2.6587,"2964"
"2535/299.1864mz/4.58min",6.3141,2.6586,"2535"
"3272/714.5092mz/8.14min",6.3134,2.6584,"3272"
"2523/375.1846mz/4.57min",6.2831,2.6515,"2523"
"2701/271.1915mz/5.45min",6.1676,2.6247,"2701"
"2434/584.311mz/4.07min",6.1641,2.6239,"2434"
"2544/375.1846mz/4.64min",6.1189,2.6133,"2544"
"2625/285.2071mz/5.03min",5.9785,2.5798,"2625"
"3181/580.2347mz/7.9min",0.17396,-2.5231,"3181"
"2467/527.2513mz/4.24min",5.7034,2.5118,"2467"
"2906/478.2938mz/6.87min",0.17674,-2.5003,"2906"
"2626/257.1758mz/5.04min",5.4006,2.4331,"2626"
"3524/714.5087mz/10.27min",5.3772,2.4269,"3524"
"2499/229.1445mz/4.52min",5.3489,2.4192,"2499"
"3161/99.9258mz/7.71min",5.3078,2.4081,"3161"
"2560/307.1916mz/4.73min",5.2551,2.3937,"2560"
"2779/438.2623mz/5.92min",0.19055,-2.3917,"2779"
"2614/410.2005mz/5.03min",5.2412,2.3899,"2614"
"3508/731.4861mz/10.21min",0.19249,-2.3771,"3508"
"2570/379.1412mz/4.81min",5.1933,2.3767,"2570"
"2469/268.098mz/4.27min",0.19661,-2.3466,"2469"
"2578/243.1601mz/4.84min",5.0685,2.3415,"2578"
"2749/347.1993mz/5.79min",0.19789,-2.3372,"2749"
"2435/499.2566mz/4.07min",4.9025,2.2935,"2435"
"2814/429.2967mz/6.22min",0.20801,-2.2652,"2814"
"2488/398.2297mz/4.37min",0.20988,-2.2524,"2488"
"3486/561.4193mz/10.09min",4.7262,2.2407,"3486"
"3461/713.4766mz/9.77min",4.6735,2.2245,"3461"
"2452/215.1289mz/4.18min",4.6381,2.2135,"2452"
"2957/297.2434mz/7.24min",4.5675,2.1914,"2957"
"2746/383.176mz/5.78min",0.22063,-2.1803,"2746"
"3420/411.3843mz/9.23min",0.22498,-2.1521,"3420"
"2427/428.186mz/4.04min",0.22576,-2.1471,"2427"
"3274/771.3909mz/8.14min",4.3664,2.1264,"3274"
"2916/365.2365mz/6.98min",0.23062,-2.1164,"2916"
"2648/257.1759mz/5.15min",4.3326,2.1152,"2648"
"2773/383.176mz/5.88min",0.23288,-2.1023,"2773"
"2666/686.3308mz/5.29min",4.2439,2.0854,"2666"
"3046/738.5086mz/7.65min",4.2047,2.072,"3046"
"3485/579.3305mz/10.06min",4.1488,2.0527,"3485"
"3263/731.4861mz/8.14min",4.0904,2.0323,"3263"
"3032/675.5446mz/7.64min",4.027,2.0097,"3032"
"3224/589.4507mz/8.14min",4.027,2.0097,"3224"
"3225/603.4659mz/8.14min",4.027,2.0097,"3225"
"3313/589.451mz/8.29min",4.027,2.0097,"3313"
"3477/603.4657mz/9.99min",4.027,2.0097,"3477"
"2643/327.2177mz/5.13min",3.9855,1.9948,"2643"
"3041/771.3909mz/7.65min",3.952,1.9826,"3041"
"2478/325.2021mz/4.31min",3.9104,1.9673,"2478"
"2693/314.2417mz/5.4min",3.8378,1.9403,"2693"
"2575/408.1849mz/4.83min",3.813,1.9309,"2575"
"2741/285.2071mz/5.75min",3.7773,1.9173,"2741"
"2497/343.2125mz/4.43min",3.7755,1.9167,"2497"
"2634/410.2005mz/5.06min",3.7243,1.897,"2634"
"2859/299.2591mz/6.58min",3.6921,1.8844,"2859"
"2695/343.2124mz/5.43min",3.6779,1.8789,"2695"
"3306/607.4217mz/8.29min",0.27828,-1.8454,"3306"
"3119/729.4703mz/7.69min",3.5902,1.8441,"3119"
"3208/481.3532mz/8.13min",3.5147,1.8134,"3208"
"3321/771.391mz/8.3min",3.5117,1.8122,"3321"
"2645/301.2019mz/5.13min",3.5088,1.811,"2645"
"2629/310.2106mz/5.05min",3.5084,1.8108,"2629"
"3416/509.4574mz/9.14min",3.4898,1.8031,"3416"
"2612/312.1898mz/4.97min",3.4632,1.7921,"2612"
"2613/311.1865mz/4.98min",3.434,1.7799,"2613"
"2722/303.2176mz/5.62min",3.4123,1.7708,"2722"
"3212/508.364mz/8.13min",3.3957,1.7637,"3212"
"3500/671.4661mz/10.2min",3.3868,1.7599,"3500"
"2960/586.4689mz/7.27min",3.3604,1.7486,"2960"
"2449/232.0074mz/4.15min",0.29956,-1.7391,"2449"
"3173/473.2823mz/7.78min",3.3237,1.7328,"3173"
"2450/188.0176mz/4.15min",0.30212,-1.7268,"2450"
"2879/433.236mz/6.75min",3.2919,1.7189,"2879"
"3196/473.327mz/8.09min",3.2893,1.7178,"3196"
"2784/613.3804mz/6.01min",0.3044,-1.716,"2784"
"3102/769.5015mz/7.68min",0.30578,-1.7094,"3102"
"2541/394.271mz/4.63min",0.30763,-1.7007,"2541"
"2546/311.1865mz/4.65min",3.2388,1.6955,"2546"
"2974/369.3008mz/7.36min",3.2154,1.685,"2974"
"3284/99.9258mz/8.15min",3.2034,1.6796,"3284"
"2512/331.2391mz/4.5min",3.1867,1.672,"2512"
"2557/309.2072mz/4.72min",3.1754,1.667,"2557"
"2785/311.2227mz/6.02min",3.1727,1.6657,"2785"
"2594/555.2824mz/4.91min",3.1641,1.6618,"2594"
"2717/729.4278mz/5.58min",0.31622,-1.661,"2717"
"2431/285.1133mz/4.06min",3.1439,1.6526,"2431"
"2810/452.2781mz/6.21min",3.1433,1.6523,"2810"
"3232/766.503mz/8.14min",0.31897,-1.6485,"3232"
"2511/330.2367mz/4.5min",3.1329,1.6475,"2511"
"3089/766.503mz/7.68min",0.32468,-1.6229,"3089"
"2477/327.2178mz/4.31min",3.0782,1.6221,"2477"
"2515/329.2334mz/4.5min",3.0676,1.6171,"2515"
"2482/227.129mz/4.33min",3.0495,1.6086,"2482"
"3311/115.9207mz/8.26min",3.0443,1.6061,"3311"
"2663/312.2261mz/5.28min",3.0275,1.5981,"2663"
"3430/604.4622mz/9.28min",0.3339,-1.5825,"3430"
"2692/313.2383mz/5.4min",2.934,1.5528,"2692"
"3349/99.9258mz/8.49min",0.34247,-1.5459,"3349"
"2638/201.1496mz/5.12min",2.9194,1.5457,"2638"
"3058/751.3466mz/7.66min",2.9117,1.5418,"3058"
"2569/329.2334mz/4.81min",2.9107,1.5413,"2569"
"2946/473.327mz/7.15min",2.8961,1.5341,"2946"
"2992/339.254mz/7.44min",2.8948,1.5334,"2992"
"2580/287.1864mz/4.84min",2.89,1.5311,"2580"
"2794/337.2054mz/6.15min",0.34889,-1.5191,"2794"
"2845/297.2434mz/6.46min",0.3508,-1.5113,"2845"
"2768/265.1478mz/5.95min",2.8425,1.5071,"2768"
"2527/328.2212mz/4.55min",2.8239,1.4977,"2527"
"2847/257.2122mz/6.51min",0.35629,-1.4889,"2847"
"2956/409.2358mz/7.19min",0.35787,-1.4825,"2956"
"3159/441.322mz/7.72min",2.788,1.4792,"3159"
"2914/325.1842mz/6.89min",2.7858,1.4781,"2914"
"3186/353.2696mz/7.97min",2.7802,1.4752,"3186"
"2867/325.1843mz/6.71min",2.743,1.4557,"2867"
"2664/311.2228mz/5.28min",2.7393,1.4538,"2664"
"2514/307.1915mz/4.5min",2.7318,1.4498,"2514"
"3385/427.3791mz/8.79min",0.36887,-1.4388,"3385"
"3499/697.4808mz/10.2min",2.7102,1.4384,"3499"
"3249/769.5024mz/8.14min",2.6623,1.4127,"3249"
"3498/563.3354mz/10.19min",2.6524,1.4073,"3498"
"3115/671.466mz/7.68min",2.6464,1.404,"3115"
"2615/312.2261mz/5.0min",2.6319,1.3961,"2615"
"2579/330.2367mz/4.83min",2.6243,1.3919,"2579"
"2763/309.2071mz/5.89min",2.6203,1.3898,"2763"
"3093/731.486mz/7.68min",2.6005,1.3788,"3093"
"3077/313.2748mz/7.64min",2.57,1.3618,"3077"
"2616/311.2227mz/5.0min",2.5634,1.3581,"2616"
"3273/117.919mz/8.14min",0.39046,-1.3568,"3273"
"2706/296.1947mz/5.49min",2.5599,1.3561,"2706"
"2705/295.1913mz/5.49min",2.5597,1.3559,"2705"
"2655/313.2383mz/5.19min",2.5586,1.3553,"2655"
"2533/296.0928mz/4.58min",0.39376,-1.3446,"2533"
"2556/187.134mz/4.71min",2.5391,1.3443,"2556"
"3114/339.1998mz/7.68min",2.5349,1.3419,"3114"
"3043/749.3497mz/7.65min",2.5315,1.34,"3043"
"2739/391.2853mz/5.74min",2.4766,1.3083,"2739"
"3502/713.4763mz/10.2min",2.459,1.2981,"3502"
"2811/243.1964mz/6.21min",0.40846,-1.2917,"2811"
"3546/112.9856mz/10.49min",2.4422,1.2882,"3546"
"2665/381.2645mz/5.28min",2.4409,1.2874,"2665"
"3252/671.4661mz/8.14min",2.4232,1.2769,"3252"
"2529/327.2178mz/4.56min",2.4216,1.276,"2529"
"2876/299.2591mz/6.65min",2.4164,1.2728,"2876"
"2712/311.2228mz/5.56min",2.396,1.2606,"2712"
"2837/351.221mz/6.48min",0.4176,-1.2598,"2837"
"2990/339.1998mz/7.36min",2.3919,1.2581,"2990"
"2549/180.1031mz/4.67min",2.3659,1.2424,"2549"
"3554/355.3217mz/10.74min",2.317,1.2123,"3554"
"2442/964.5149mz/4.1min",2.2973,1.1999,"2442"
"2831/437.3118mz/6.34min",0.43879,-1.1884,"2831"
"3312/132.9234mz/8.27min",2.2747,1.1857,"3312"
"2919/483.2727mz/6.92min",0.4412,-1.1805,"2919"
"3020/134.8946mz/7.62min",2.253,1.1719,"3020"
"2651/329.2333mz/5.15min",2.2455,1.167,"2651"
"3318/144.9234mz/8.28min",2.2393,1.163,"3318"
"3543/162.8391mz/10.4min",0.44992,-1.1523,"3543"
"2631/309.2071mz/5.05min",2.2121,1.1454,"2631"
"3390/767.7138mz/8.81min",0.4568,-1.1304,"3390"
