"","PC1","PC2","PC3","PC4","PC5","PC6"
"2417/621.3257mz/4.02min",0.011886,0.019573,0.0037463,-0.0084501,0.027355,-0.15861
"2423/382.1985mz/4.04min",0.0032147,0.02018,-0.00021313,-0.011259,0.028083,0.056891
"2424/745.3573mz/4.04min",0.018778,0.0074324,-0.0041395,-0.0085198,0.014248,0.046004
"2427/428.186mz/4.04min",-0.050731,-0.0061897,0.009274,-0.024636,0.090869,0.35086
"2429/329.1718mz/4.06min",-0.093392,0.029218,0.005823,-0.030259,0.074408,-0.028637
"2431/285.1133mz/4.06min",0.049409,0.012916,0.0049589,-0.0039966,0.010599,0.047889
"2434/584.311mz/4.07min",0.073276,0.011728,-0.01242,0.0034354,-0.0218,0.042733
"2435/499.2566mz/4.07min",0.065175,0.015489,-0.0058547,0.011929,-0.0003598,-0.016972
"2437/396.214mz/4.08min",-0.0084107,0.022965,-0.00079676,-0.0094075,0.03522,0.02129
"2441/214.145mz/4.09min",-0.0055215,0.0058488,-0.0040538,-0.041457,0.067007,0.02197
"2442/964.5149mz/4.1min",0.036172,0.0075968,-0.005572,-0.0070611,0.011262,0.0054115
"2445/656.2941mz/4.12min",0.0036879,0.025149,0.011889,-0.010364,0.0331,-0.042738
"2448/681.3468mz/4.15min",0.024887,0.024916,0.0053835,-0.009805,0.034518,-0.040786
"2449/232.0074mz/4.15min",-0.043208,0.011851,0.014124,-0.023748,0.053437,0.023093
"2450/188.0176mz/4.15min",-0.042832,0.011808,0.012862,-0.024585,0.05341,-0.045436
"2452/215.1289mz/4.18min",0.066639,0.015452,0.0071752,0.0029829,0.018237,0.0025032
"2457/297.1132mz/4.2min",0.028934,0.0052694,-0.0089295,-0.0062369,0.0024276,-0.042627
"2463/329.0669mz/4.23min",0.096113,0.0055773,-0.0035759,0.024909,-0.014979,0.044614
"2465/451.2926mz/4.23min",-0.013508,0.0070283,-0.006999,-0.01963,0.011724,-0.044078
"2466/354.2398mz/4.23min",-0.014217,0.010495,-0.0016642,-0.027636,0.024249,-0.021904
"2467/527.2513mz/4.24min",0.068609,0.0026926,-0.018633,0.019462,-0.034047,0.072558
"2469/268.098mz/4.27min",-0.061356,0.0040823,0.0076452,-0.024492,0.052954,-0.025071
"2473/612.3152mz/4.27min",0.022178,0.012108,0.0095422,-0.029008,0.0031189,0.068657
"2475/248.1292mz/4.24min",-0.10396,-0.0023661,-0.0086563,-0.054535,0.082011,-0.0013288
"2477/327.2178mz/4.31min",0.047413,0.0065259,-0.0050362,-0.00042437,0.006255,0.11088
"2478/325.2021mz/4.31min",0.056514,-0.015536,-0.0080073,-0.0088267,0.0070453,0.0057185
"2482/227.129mz/4.33min",0.045026,0.0038678,0.0022725,0.015326,-0.0023426,0.046728
"2485/242.1762mz/4.36min",0.021179,-0.0076582,-0.0051372,0.0050145,0.019554,-0.02012
"2488/398.2297mz/4.37min",-0.056326,0.024296,0.012118,-0.010389,0.086955,-0.062742
"2489/282.1136mz/4.37min",-0.13651,0.008253,0.0072791,-0.05186,0.078408,0.039101
"2490/649.357mz/4.39min",0.0088228,0.014736,0.0045128,-0.012399,0.029072,-0.041934
"2493/718.4511mz/4.41min",-0.0015552,0.0083211,0.00047681,-0.025992,0.01179,0.023425
"2495/488.2403mz/4.42min",0.0010159,0.021331,0.0044146,-0.0085791,0.047598,0.064408
"2497/343.2125mz/4.43min",0.05476,-0.016273,-0.0047932,-0.0047348,0.0069355,0.044728
"2499/229.1445mz/4.52min",0.075268,0.019093,0.012003,-0.0048013,0.02479,0.068773
"2501/755.3624mz/4.45min",0.011118,0.019696,0.0081439,-0.010978,0.032939,-0.020357
"2503/325.1771mz/4.47min",-0.13557,-0.0056583,0.0054146,-0.032251,0.10996,-0.036099
"2507/470.2507mz/4.48min",0.024011,0.028658,0.008392,-0.015557,0.04613,4.9849e-05
