"","FC","log2(FC)","raw.pval","-log10(p)"
"2809/699.3811mz/6.19min",9.1666,3.1964,2.8693e-05,4.5422
"2489/282.1136mz/4.37min",0.029864,-5.0655,6.0572e-05,4.2177
"2463/329.0669mz/4.23min",10.878,3.4433,6.3742e-05,4.1956
"2467/527.2513mz/4.24min",5.7034,2.5118,6.418e-05,4.1926
"2522/697.3934mz/4.53min",10.413,3.3803,8.8351e-05,4.0538
"2964/494.3961mz/7.33min",0.15837,-2.6587,0.00010403,3.9828
"2434/584.311mz/4.07min",6.1641,2.6239,0.00010404,3.9828
"2503/325.1771mz/4.47min",0.028896,-5.113,0.00013069,3.8838
"2482/227.129mz/4.33min",3.0495,1.6086,0.00027971,3.5533
"3306/607.4217mz/8.29min",0.27828,-1.8454,0.00035892,3.445
"2718/775.4336mz/5.58min",0.0025708,-8.6036,0.00036535,3.4373
"2475/248.1292mz/4.24min",0.062414,-4.002,0.0004049,3.3927
"2580/287.1864mz/4.84min",2.89,1.5311,0.00043742,3.3591
"2779/438.2623mz/5.92min",0.19055,-2.3917,0.00045269,3.3442
"2469/268.098mz/4.27min",0.19661,-2.3466,0.00047424,3.324
"2435/499.2566mz/4.07min",4.9025,2.2935,0.00058516,3.2327
"3185/554.4789mz/7.94min",31.2,4.9635,0.00059622,3.2246
"2922/584.4532mz/7.05min",46.237,5.531,0.00072358,3.1405
"2560/307.1916mz/4.73min",5.2551,2.3937,0.00080569,3.0938
"2859/299.2591mz/6.58min",3.6921,1.8844,0.0008667,3.0621
"3350/621.4371mz/8.48min",0.029808,-5.0681,0.001117,2.952
"2717/729.4278mz/5.58min",0.31622,-1.661,0.0011664,2.9332
"2621/341.208mz/5.02min",0.090951,-3.4588,0.0011825,2.9272
"2701/271.1915mz/5.45min",6.1676,2.6247,0.0012052,2.9189
"2578/243.1601mz/4.84min",5.0685,2.3415,0.0012914,2.8889
"2477/327.2178mz/4.31min",3.0782,1.6221,0.0015815,2.8009
"2645/301.2019mz/5.13min",3.5088,1.811,0.0016026,2.7952
"2511/330.2367mz/4.5min",3.1329,1.6475,0.001758,2.755
"2429/329.1718mz/4.06min",0.08965,-3.4795,0.0017798,2.7496
"2541/394.271mz/4.63min",0.30763,-1.7007,0.0018108,2.7421
"2629/310.2106mz/5.05min",3.5084,1.8108,0.0018354,2.7363
"3061/544.4218mz/7.66min",7.4999,2.9069,0.0019122,2.7185
"2515/329.2334mz/4.5min",3.0676,1.6171,0.0019168,2.7174
"2557/309.2072mz/4.72min",3.1754,1.667,0.0021567,2.6662
"2570/379.1412mz/4.81min",5.1933,2.3767,0.0021736,2.6628
"3420/411.3843mz/9.23min",0.22498,-2.1521,0.0022101,2.6556
"2512/331.2391mz/4.5min",3.1867,1.672,0.0022922,2.6398
"2533/296.0928mz/4.58min",0.39376,-1.3446,0.0023572,2.6276
"3186/353.2696mz/7.97min",2.7802,1.4752,0.002711,2.5669
"3443/425.4mz/9.47min",0.15821,-2.6601,0.0027337,2.5632
"2957/297.2434mz/7.24min",4.5675,2.1914,0.002865,2.5429
"3027/508.4117mz/7.64min",0.09715,-3.3636,0.0029552,2.5294
"2663/312.2261mz/5.28min",3.0275,1.5981,0.0029664,2.5278
"2612/312.1898mz/4.97min",3.4632,1.7921,0.0031419,2.5028
"2613/311.1865mz/4.98min",3.434,1.7799,0.0031511,2.5015
"2666/686.3308mz/5.29min",4.2439,2.0854,0.0031537,2.5012
"2514/307.1915mz/4.5min",2.7318,1.4498,0.0031555,2.5009
"2648/257.1759mz/5.15min",4.3326,2.1152,0.0034744,2.4591
"2452/215.1289mz/4.18min",4.6381,2.2135,0.0036265,2.4405
"2974/369.3008mz/7.36min",3.2154,1.685,0.0037027,2.4315
"2556/187.134mz/4.71min",2.5391,1.3443,0.0037767,2.4229
"2831/437.3118mz/6.34min",0.43879,-1.1884,0.0038274,2.4171
"2431/285.1133mz/4.06min",3.1439,1.6526,0.0038495,2.4146
"2784/613.3804mz/6.01min",0.3044,-1.716,0.0040411,2.3935
"2546/311.1865mz/4.65min",3.2388,1.6955,0.0040613,2.3913
"2664/311.2228mz/5.28min",2.7393,1.4538,0.0042982,2.3667
"2811/243.1964mz/6.21min",0.40846,-1.2917,0.004336,2.3629
"2535/299.1864mz/4.58min",6.3141,2.6586,0.0046734,2.3304
"2689/668.3668mz/5.36min",111.88,6.8058,0.0050226,2.2991
"2615/312.2261mz/5.0min",2.6319,1.3961,0.0053501,2.2716
"2569/329.2334mz/4.81min",2.9107,1.5413,0.0053745,2.2697
"3254/480.3095mz/8.14min",0.043783,-4.5135,0.0053888,2.2685
"2693/314.2417mz/5.4min",3.8378,1.9403,0.0053996,2.2676
"2960/586.4689mz/7.27min",3.3604,1.7486,0.0054431,2.2642
"2497/343.2125mz/4.43min",3.7755,1.9167,0.0055125,2.2587
"2544/375.1846mz/4.64min",6.1189,2.6133,0.0055221,2.2579
"2616/311.2227mz/5.0min",2.5634,1.3581,0.0056801,2.2456
"2814/429.2967mz/6.22min",0.20801,-2.2652,0.0058117,2.2357
"2626/257.1758mz/5.04min",5.4006,2.4331,0.0058767,2.2309
"2478/325.2021mz/4.31min",3.9104,1.9673,0.0059731,2.2238
"2529/327.2178mz/4.56min",2.4216,1.276,0.0060001,2.2218
"2499/229.1445mz/4.52min",5.3489,2.4192,0.0060136,2.2209
"2527/328.2212mz/4.55min",2.8239,1.4977,0.006309,2.2
"2442/964.5149mz/4.1min",2.2973,1.1999,0.0063493,2.1973
"2712/311.2228mz/5.56min",2.396,1.2606,0.0065388,2.1845
"2586/313.2385mz/4.87min",2.1063,1.0747,0.006774,2.1692
"2449/232.0074mz/4.15min",0.29956,-1.7391,0.0069318,2.1592
"3043/749.3497mz/7.65min",2.5315,1.34,0.0070388,2.1525
"2450/188.0176mz/4.15min",0.30212,-1.7268,0.0070583,2.1513
"2992/339.254mz/7.44min",2.8948,1.5334,0.0071758,2.1441
"2513/373.1687mz/4.48min",9.13,3.1906,0.0074334,2.1288
"2946/473.327mz/7.15min",2.8961,1.5341,0.0076153,2.1183
"2741/285.2071mz/5.75min",3.7773,1.9173,0.0077244,2.1121
"2845/297.2434mz/6.46min",0.3508,-1.5113,0.0078644,2.1043
"2604/269.1758mz/4.94min",6.6124,2.7252,0.0079138,2.1016
"2575/408.1849mz/4.83min",3.813,1.9309,0.0080078,2.0965
"2614/410.2005mz/5.03min",5.2412,2.3899,0.0081817,2.0872
"2638/201.1496mz/5.12min",2.9194,1.5457,0.0082662,2.0827
"2706/296.1947mz/5.49min",2.5599,1.3561,0.0086172,2.0646
