"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"7761/670.3803mz/5.38min",718.81,9.4895,"7761"
"8136/282.2787mz/6.45min",0.0028534,-8.4531,"8136"
"7850/753.4235mz/5.58min",0.0031412,-8.3145,"7850"
"8034/263.2367mz/6.14min",243.18,7.9259,"8034"
"7358/396.2855mz/4.65min",0.00728,-7.1018,"7358"
"8205/386.3624mz/6.58min",0.0076323,-7.0337,"8205"
"8983/653.531mz/9.5min",119.02,6.895,"8983"
"6974/385.7442mz/4.02min",117.57,6.8774,"6974"
"8128/454.2922mz/6.46min",0.012438,-6.3291,"8128"
"7551/386.2069mz/4.94min",0.014721,-6.086,"7551"
"7828/739.4748mz/5.53min",66.199,6.0487,"7828"
"8603/356.3518mz/8.11min",57.892,5.8553,"8603"
"8143/386.3624mz/6.51min",0.018697,-5.7411,"8143"
"8156/265.2523mz/6.46min",50.918,5.6701,"8156"
"8112/265.2523mz/6.42min",40.862,5.3527,"8112"
"7411/697.4289mz/4.7min",36.634,5.1951,"7411"
"7193/284.128mz/4.38min",0.031665,-4.9809,"7193"
"7955/344.3155mz/5.9min",0.032606,-4.9387,"7955"
"7827/300.0507mz/5.53min",0.034419,-4.8607,"7827"
"7232/327.191mz/4.47min",0.043328,-4.5286,"7232"
"7466/229.1332mz/4.79min",0.044095,-4.5032,"7466"
"7085/335.1388mz/4.21min",0.044224,-4.499,"7085"
"7140/250.1437mz/4.24min",0.04535,-4.4628,"7140"
"7377/229.1332mz/4.66min",0.045666,-4.4527,"7377"
"7679/225.1484mz/5.17min",21.593,4.4325,"7679"
"7179/370.2697mz/4.34min",0.054586,-4.1953,"7179"
"8115/496.3393mz/6.4min",14.349,3.8429,"8115"
"8091/372.3468mz/6.35min",0.072617,-3.7835,"8091"
"7750/773.4927mz/5.36min",12.915,3.691,"7750"
"7060/271.0712mz/4.16min",10.937,3.4512,"7060"
"8913/377.32mz/9.27min",10.919,3.4488,"8913"
"8647/575.5028mz/8.14min",10.105,3.337,"8647"
"7681/367.2453mz/5.2min",0.099465,-3.3297,"7681"
"8218/286.2737mz/6.62min",9.8535,3.3006,"8218"
"7921/330.2999mz/5.83min",0.10436,-3.2603,"7921"
"8362/326.3048mz/7.19min",9.5442,3.2546,"8362"
"7756/316.2842mz/5.37min",0.10513,-3.2498,"7756"
"9099/695.4616mz/10.18min",9.2318,3.2066,"9099"
"7890/337.1042mz/5.71min",9.1006,3.186,"7890"
"8324/397.3421mz/7.06min",0.11609,-3.1067,"8324"
"7101/331.081mz/4.23min",8.4732,3.0829,"7101"
"7917/283.2628mz/5.77min",8.2318,3.0412,"7917"
"8079/619.2214mz/6.27min",0.1226,-3.028,"8079"
"8058/454.2925mz/6.21min",8.116,3.0208,"8058"
"7213/509.144mz/4.42min",7.8901,2.98,"7213"
"8321/482.3945mz/7.05min",0.12995,-2.944,"8321"
"8989/833.2403mz/9.55min",0.13045,-2.9384,"8989"
"8065/431.3112mz/6.22min",0.13062,-2.9366,"8065"
"8076/641.2033mz/6.27min",0.13093,-2.9331,"8076"
"8446/328.3205mz/7.61min",7.461,2.8994,"8446"
"6975/770.481mz/4.03min",7.3062,2.8691,"6975"
"8087/358.3675mz/6.36min",7.1484,2.8376,"8087"
"7704/317.0916mz/5.27min",6.8816,2.7827,"7704"
"7015/501.2707mz/4.08min",6.8216,2.7701,"7015"
"8124/369.3108mz/6.43min",0.14692,-2.7669,"8124"
"8592/284.2944mz/8.06min",0.14875,-2.7491,"8592"
"8612/611.535mz/8.17min",6.6445,2.7322,"8612"
"8067/384.3466mz/6.26min",0.15239,-2.7141,"8067"
"7745/376.259mz/5.36min",6.4195,2.6825,"7745"
"8252/383.3264mz/6.71min",0.15692,-2.6719,"8252"
"7462/241.1256mz/4.78min",6.1304,2.616,"7462"
"7201/210.1025mz/4.39min",6.0384,2.5942,"7201"
"8489/740.5219mz/7.67min",6.0185,2.5894,"8489"
"7693/316.2842mz/5.27min",0.16815,-2.5722,"7693"
"8027/349.2345mz/6.09min",0.17029,-2.5539,"8027"
"8247/291.2315mz/6.74min",0.17123,-2.546,"8247"
"7749/393.2855mz/5.36min",5.8237,2.5419,"7749"
"8262/324.2892mz/6.8min",5.8077,2.538,"8262"
"8802/144.9821mz/8.75min",5.7949,2.5348,"8802"
"8310/300.2892mz/7.02min",5.7743,2.5296,"8310"
"8990/832.2395mz/9.56min",0.1734,-2.5278,"8990"
"8751/625.551mz/8.5min",5.7624,2.5267,"8751"
"8535/508.4142mz/7.71min",5.6902,2.5085,"8535"
"7463/263.1075mz/4.78min",5.5738,2.4787,"7463"
"7957/345.3189mz/5.93min",0.17982,-2.4754,"7957"
"8543/535.27mz/7.77min",5.4346,2.4422,"8543"
"8970/393.3146mz/9.49min",5.3603,2.4223,"8970"
"7742/228.1199mz/5.36min",5.2781,2.4,"7742"
"7054/752.9423mz/4.15min",5.2751,2.3992,"7054"
"7293/231.1591mz/4.52min",5.2003,2.3786,"7293"
"8936/411.3616mz/9.32min",4.8404,2.2751,"8936"
"7114/511.2549mz/4.25min",4.8365,2.274,"7114"
"7380/336.1743mz/4.67min",0.21015,-2.2505,"7380"
"8297/293.2471mz/7.0min",0.21022,-2.25,"8297"
"7829/316.3206mz/5.55min",4.7175,2.238,"7829"
"8937/460.4507mz/9.31min",0.2137,-2.2263,"8937"
"7264/348.2741mz/4.5min",4.6452,2.2158,"7264"
"7471/381.1554mz/4.82min",4.6238,2.2091,"7471"
"7620/288.2894mz/5.04min",4.6056,2.2034,"7620"
"7433/309.2057mz/4.74min",4.5329,2.1804,"7433"
"8497/714.4699mz/7.69min",4.5018,2.1705,"8497"
"7238/344.1811mz/4.43min",0.22466,-2.1542,"7238"
"8495/782.5685mz/7.7min",4.4435,2.1517,"8495"
"7871/342.2999mz/5.68min",0.22723,-2.1378,"7871"
"7508/291.1951mz/4.87min",4.3174,2.1101,"7508"
"7514/251.164mz/4.87min",4.3071,2.1067,"7514"
"8527/822.5621mz/7.69min",0.2337,-2.0973,"8527"
"7287/167.143mz/4.52min",4.2304,2.0808,"7287"
"7289/213.1485mz/4.52min",4.177,2.0625,"7289"
"7165/291.1952mz/4.32min",4.1362,2.0483,"7165"
"7275/396.2853mz/4.51min",0.24446,-2.0323,"7275"
"7652/351.2139mz/5.13min",4.0851,2.0304,"7652"
"6996/430.2002mz/4.04min",0.24518,-2.0281,"6996"
"8524/599.5029mz/7.68min",4.0598,2.0214,"8524"
"7378/380.1641mz/4.66min",0.25105,-1.994,"7378"
"7729/279.2314mz/5.3min",3.9731,1.9903,"7729"
"7748/398.2408mz/5.36min",3.9555,1.9839,"7748"
