"","Filename","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_S4_MC_RCG_1_pos_20210511_Run70.mzML","GF_S4_MC_RCG_2_pos_20210511_Run90.mzML","GF_S4_MC_RCG_3_pos_20210511_Run170.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","6966/549.2968mz/4.01min","0.0","0.0","14238.445","388789.1","328351.5","386043.47"
"3","6972/623.34mz/4.02min","1911528.1","1343827.4","2560284.5","1732534.6","2444298.5","1851379.1"
"4","6974/385.7442mz/4.02min","19986.945","3834.0684","3541.609","905264.5","705849.9","787447.56"
"5","6975/770.481mz/4.03min","0.0","0.0","0.0","597025.94","537913.1","548643.75"
"6","6977/473.2757mz/4.03min","1533547.4","1229695.8","1464926.2","439154.1","574361.44","438774.03"
"7","6978/669.3604mz/4.03min","243659.22","141970.34","276539.16","202071.9","250218.58","178291.53"
"8","6983/365.1243mz/4.03min","9810.569","0.0","7926.797","583217.56","910276.44","628913.75"
"9","6984/678.3974mz/4.05min","334444.7","139461.48","69428.016","430514.62","536703.25","129221.766"
"10","6985/209.1537mz/4.04min","74567.56","54397.38","69311.09","417317.9","289057.25","341423.6"
"11","6988/376.1866mz/4.04min","320952.7","250352.42","323810.3","345428.97","325887.12","302891.72"
"12","6989/406.1947mz/4.04min","733587.6","760191.3","826245.5","382901.22","519576.22","469581.2"
"13","6990/747.3711mz/4.04min","3361351.5","2614354.0","3556627.5","3969933.5","4058004.8","3617980.2"
"14","6992/384.2127mz/4.04min","5982511.5","4341477.0","6529141.5","3432895.2","4720981.0","3856697.2"
"15","6995/385.2163mz/4.04min","1066848.5","778357.25","1184510.1","601523.8","823647.6","680472.2"
"16","6996/430.2002mz/4.04min","1067998.8","713798.7","1578744.2","230940.11","214926.92","152668.03"
