"","comp 1","comp 2","comp 3","comp 4","comp 5"
"6975/770.481mz/4.03min",-0.58835,0,0,0,0
"8156/265.2523mz/6.46min",-0.51172,0,0,0,0
"8112/265.2523mz/6.42min",-0.34376,0,0,0,0
"8034/263.2367mz/6.14min",-0.2814,0,0,0,0
"7917/283.2628mz/5.77min",-0.25815,0,0,0,0
"7358/396.2855mz/4.65min",0.23232,0,0,0,0
"7179/370.2697mz/4.34min",0.20188,0,0,0,0
"7193/284.128mz/4.38min",0.16067,0,0,0,0
"7411/697.4289mz/4.7min",-0.085431,0,0,0,0
"7463/263.1075mz/4.78min",-0.012226,0,0,0,0
"8773/352.3391mz/8.56min",0,-0.464,0,0,0
"8059/246.1042mz/6.21min",0,-0.45318,0,0,0
"7202/244.1291mz/4.39min",0,-0.39872,0,0,0
"7506/635.307mz/4.88min",0,-0.37309,0,0,0
"8209/228.2321mz/6.6min",0,-0.35621,0,0,0
"8843/550.6283mz/8.94min",0,-0.33587,0,0,0
"7966/200.2008mz/5.89min",0,-0.1306,0,0,0
"8368/257.2664mz/7.24min",0,-0.11407,0,0,0
"8367/256.2631mz/7.24min",0,-0.092785,0,0,0
"6995/385.2163mz/4.04min",0,-0.052707,0,0,0
"6972/623.34mz/4.02min",0,0,0,0,0
"6974/385.7442mz/4.02min",0,0,0,0,0
"6977/473.2757mz/4.03min",0,0,0,0,0
"6988/376.1866mz/4.04min",0,0,0,0,0
"6989/406.1947mz/4.04min",0,0,0,0,0
"6990/747.3711mz/4.04min",0,0,0,0,0
"6992/384.2127mz/4.04min",0,0,0,0,0
"6996/430.2002mz/4.04min",0,0,0,0,0
"7004/339.7024mz/4.05min",0,0,0,0,0
"7009/660.8815mz/4.07min",0,0,0,0,0
"7015/501.2707mz/4.08min",0,0,0,0,0
"7018/398.2284mz/4.08min",0,0,0,0,0
"7021/550.3599mz/4.09min",0,0,0,0,0
"7022/207.1381mz/4.09min",0,0,0,0,0
"7039/360.1916mz/4.11min",0,0,0,0,0
"7047/453.7576mz/4.13min",0,0,0,0,0
"7051/230.1135mz/4.14min",0,0,0,0,0
"7053/683.3607mz/4.14min",0,0,0,0,0
"7054/752.9423mz/4.15min",0,0,0,0,0
"7056/234.0219mz/4.15min",0,0,0,0,0
"7057/364.2045mz/4.16min",0,0,0,0,0
"7060/271.0712mz/4.16min",0,0,0,0,0
"7063/515.2865mz/4.17min",0,0,0,0,0
"7068/239.1025mz/4.18min",0,0,0,0,0
"7071/376.2228mz/4.19min",0,0,0,0,0
"7077/245.1132mz/4.2min",0,0,0,0,0
"7078/987.0622mz/4.21min",0,0,0,0,0
"7080/353.7283mz/4.21min",0,0,0,0,0
"7081/717.3869mz/4.21min",0,0,0,0,0
"7084/658.3771mz/4.21min",0,0,0,0,0
"7085/335.1388mz/4.21min",0,0,0,0,0
"7086/658.0429mz/4.21min",0,0,0,0,0
"7092/342.2385mz/4.22min",0,0,0,0,0
"7100/454.3103mz/4.23min",0,0,0,0,0
"7101/331.081mz/4.23min",0,0,0,0,0
"7104/453.3069mz/4.23min",0,0,0,0,0
"7106/356.2541mz/4.24min",0,0,0,0,0
"7114/511.2549mz/4.25min",0,0,0,0,0
"7115/192.1383mz/4.25min",0,0,0,0,0
"7133/614.3293mz/4.27min",0,0,0,0,0
"7134/473.2755mz/4.27min",0,0,0,0,0
"7136/376.2228mz/4.27min",0,0,0,0,0
"7140/250.1437mz/4.24min",0,0,0,0,0
"7142/584.3445mz/4.32min",0,0,0,0,0
"7148/526.2946mz/4.29min",0,0,0,0,0
"7155/195.138mz/4.31min",0,0,0,0,0
"7156/275.2004mz/4.31min",0,0,0,0,0
"7157/293.2109mz/4.31min",0,0,0,0,0
"7162/406.731mz/4.32min",0,0,0,0,0
"7165/291.1952mz/4.32min",0,0,0,0,0
"7169/149.1325mz/4.32min",0,0,0,0,0
"7170/351.2142mz/4.32min",0,0,0,0,0
"7174/691.4mz/4.32min",0,0,0,0,0
"7182/370.7204mz/4.35min",0,0,0,0,0
"7184/226.1801mz/4.36min",0,0,0,0,0
"7185/244.1906mz/4.36min",0,0,0,0,0
"7187/766.9212mz/4.36min",0,0,0,0,0
"7188/235.1691mz/4.36min",0,0,0,0,0
"7195/364.2043mz/4.38min",0,0,0,0,0
"7196/727.4022mz/4.38min",0,0,0,0,0
"7201/210.1025mz/4.39min",0,0,0,0,0
"7203/651.3708mz/4.39min",0,0,0,0,0
"7205/673.3527mz/4.39min",0,0,0,0,0
"7206/479.3224mz/4.41min",0,0,0,0,0
"7207/720.4649mz/4.41min",0,0,0,0,0
"7208/360.736mz/4.41min",0,0,0,0,0
"7213/509.144mz/4.42min",0,0,0,0,0
"7215/584.3443mz/4.42min",0,0,0,0,0
"7216/215.1178mz/4.43min",0,0,0,0,0
"7228/757.3762mz/4.46min",0,0,0,0,0
"7232/327.191mz/4.47min",0,0,0,0,0
"7238/344.1811mz/4.43min",0,0,0,0,0
"7240/695.4122mz/4.48min",0,0,0,0,0
"7246/413.7386mz/4.49min",0,0,0,0,0
"7247/826.4704mz/4.49min",0,0,0,0,0
"7249/575.8285mz/4.49min",0,0,0,0,0
"7254/171.0916mz/4.49min",0,0,0,0,0
"7256/309.2057mz/4.5min",0,0,0,0,0
"7257/295.2265mz/4.5min",0,0,0,0,0
"7259/291.1952mz/4.5min",0,0,0,0,0
"7260/277.216mz/4.5min",0,0,0,0,0
"7263/509.2966mz/4.5min",0,0,0,0,0
"7264/348.2741mz/4.5min",0,0,0,0,0
"7268/353.2296mz/4.5min",0,0,0,0,0
"7269/390.2383mz/4.5min",0,0,0,0,0
"7270/195.1379mz/4.5min",0,0,0,0,0
"7272/584.8231mz/4.51min",0,0,0,0,0
"7275/396.2853mz/4.51min",0,0,0,0,0
"7280/177.1273mz/4.51min",0,0,0,0,0
"7281/149.1325mz/4.51min",0,0,0,0,0
"7287/167.143mz/4.52min",0,0,0,0,0
"7289/213.1485mz/4.52min",0,0,0,0,0
"7291/109.1012mz/4.52min",0,0,0,0,0
"7293/231.1591mz/4.52min",0,0,0,0,0
"7300/293.2108mz/4.54min",0,0,0,0,0
"7308/720.4649mz/4.56min",0,0,0,0,0
"7310/360.736mz/4.56min",0,0,0,0,0
"7317/230.175mz/4.56min",0,0,0,0,0
"7329/356.254mz/4.59min",0,0,0,0,0
"7330/311.2214mz/4.59min",0,0,0,0,0
"7333/181.1223mz/4.6min",0,0,0,0,0
"7334/584.8232mz/4.57min",0,0,0,0,0
"7339/346.1798mz/4.61min",0,0,0,0,0
"7344/213.9684mz/4.61min",0,0,0,0,0
"7346/211.9705mz/4.62min",0,0,0,0,0
"7348/231.979mz/4.62min",0,0,0,0,0
"7349/351.214mz/4.62min",0,0,0,0,0
"7350/171.0916mz/4.6min",0,0,0,0,0
"7356/264.1592mz/4.63min",0,0,0,0,0
"7363/353.7282mz/4.64min",0,0,0,0,0
"7364/706.4493mz/4.64min",0,0,0,0,0
"7367/559.3488mz/4.64min",0,0,0,0,0
"7370/277.1795mz/4.65min",0,0,0,0,0
"7377/229.1332mz/4.66min",0,0,0,0,0
"7378/380.1641mz/4.66min",0,0,0,0,0
"7380/336.1743mz/4.67min",0,0,0,0,0
"7381/253.1181mz/4.67min",0,0,0,0,0
"7389/826.4706mz/4.68min",0,0,0,0,0
"7390/413.7387mz/4.68min",0,0,0,0,0
"7404/181.1223mz/4.7min",0,0,0,0,0
"7405/199.1328mz/4.7min",0,0,0,0,0
"7419/333.204mz/4.72min",0,0,0,0,0
"7426/275.2004mz/4.73min",0,0,0,0,0
"7427/541.3382mz/4.73min",0,0,0,0,0
"7430/542.3416mz/4.73min",0,0,0,0,0
"7432/211.0866mz/4.73min",0,0,0,0,0
"7433/309.2057mz/4.74min",0,0,0,0,0
"7443/195.138mz/4.75min",0,0,0,0,0
"7452/370.7204mz/4.76min",0,0,0,0,0
"7458/552.3754mz/4.77min",0,0,0,0,0
"7460/186.1488mz/4.77min",0,0,0,0,0
"7461/299.2327mz/4.77min",0,0,0,0,0
"7462/241.1256mz/4.78min",0,0,0,0,0
"7466/229.1332mz/4.79min",0,0,0,0,0
"7471/381.1554mz/4.82min",0,0,0,0,0
"7477/479.2755mz/4.83min",0,0,0,0,0
"7479/195.1379mz/4.84min",0,0,0,0,0
"7488/523.3123mz/4.84min",0,0,0,0,0
"7489/353.2296mz/4.84min",0,0,0,0,0
"7497/360.7359mz/4.86min",0,0,0,0,0
"7499/720.4648mz/4.86min",0,0,0,0,0
"7500/109.1012mz/4.85min",0,0,0,0,0
"7508/291.1951mz/4.87min",0,0,0,0,0
"7514/251.164mz/4.87min",0,0,0,0,0
