"Log2_FoldChange","MetaboAnalyst_ID"
-0.55697,"377/282.1196mz/2.01min"
-0.41857,"379/158.0812mz/2.06min"
-0.91816,"381/381.1519mz/2.1min"
-0.80527,"383/380.1485mz/2.1min"
-0.5114,"384/244.1907mz/2.11min"
-0.57448,"385/251.1502mz/2.12min"
-0.47139,"386/112.0756mz/2.13min"
-0.6919,"390/290.087mz/2.17min"
-0.25852,"393/220.1179mz/2.18min"
-0.38476,"394/184.1695mz/2.22min"
-0.30987,"395/384.1148mz/2.22min"
-0.65615,"396/242.1862mz/2.24min"
-0.6433,"397/443.177mz/2.24min"
-0.35417,"398/188.0706mz/2.25min"
0.010048,"399/200.1046mz/2.25min"
-0.35108,"400/205.0971mz/2.25min"
0.033252,"401/217.1247mz/2.25min"
0.017935,"402/218.1281mz/2.25min"
0.031455,"403/199.1012mz/2.26min"
-0.80752,"404/434.213mz/2.27min"
-0.14663,"405/195.1227mz/2.28min"
-0.11284,"406/217.1046mz/2.28min"
0.0039624,"407/259.1764mz/2.29min"
-1.4199,"408/324.0747mz/2.31min"
0.0081084,"409/244.2012mz/2.3min"
-0.60824,"413/247.1076mz/2.33min"
-0.95114,"414/292.1026mz/2.34min"
-0.48322,"415/270.1924mz/2.33min"
-0.5174,"416/392.1484mz/2.35min"
-0.34921,"417/217.1051mz/2.36min"
-0.70543,"418/389.1705mz/2.35min"
-0.3627,"420/216.1019mz/2.36min"
-0.48528,"423/225.087mz/2.37min"
-0.019845,"424/244.2012mz/2.37min"
-0.81773,"425/302.1961mz/2.38min"
-0.70929,"426/443.177mz/2.38min"
-0.45195,"427/224.0917mz/2.39min"
-0.27431,"428/140.1434mz/2.39min"
-0.23768,"429/261.1444mz/2.39min"
-0.14951,"431/229.1546mz/2.4min"
-0.62667,"435/393.223mz/2.41min"
-0.44896,"436/298.0968mz/2.44min"
-0.44924,"437/190.0498mz/2.46min"
-0.26797,"439/261.1444mz/2.46min"
-0.37949,"440/114.0913mz/2.49min"
-0.24066,"441/240.1059mz/2.51min"
-0.013457,"442/244.2012mz/2.51min"
-0.24372,"443/221.092mz/2.52min"
-0.23444,"445/239.1026mz/2.52min"
-0.42196,"448/184.1695mz/2.54min"
-0.56482,"449/434.213mz/2.54min"
0.14215,"454/316.2117mz/2.59min"
-0.46605,"456/409.1352mz/2.6min"
-0.63388,"457/231.1127mz/2.63min"
-0.0012221,"459/259.2202mz/2.67min"
-0.29165,"463/130.159mz/2.71min"
-0.28778,"466/138.0549mz/2.72min"
-0.48512,"467/300.1077mz/2.72min"
-0.51313,"468/301.1111mz/2.72min"
-0.71848,"470/217.1546mz/2.74min"
-0.35797,"471/202.1801mz/2.74min"
0.065639,"472/316.2117mz/2.75min"
-0.39513,"473/259.1189mz/2.77min"
-0.62101,"475/306.1182mz/2.77min"
-0.75936,"476/231.1127mz/2.77min"
-0.68478,"477/260.1129mz/2.77min"
-0.00072071,"482/259.2202mz/2.8min"
-0.31056,"483/169.076mz/2.81min"
-0.26111,"485/170.0793mz/2.81min"
-0.25808,"495/139.0583mz/2.82min"
-1.309,"497/328.1001mz/2.79min"
-0.25508,"498/121.0477mz/2.82min"
-0.22732,"499/138.055mz/2.82min"
-0.31228,"500/92.0494mz/2.82min"
-0.23491,"502/120.0444mz/2.83min"
-0.21784,"504/271.0713mz/2.83min"
-0.077174,"507/272.0794mz/2.83min"
