"","filter","2024_POS_Y-EV_1_CTRL_Run88.mzML","2024_POS_Y-EV_2_CTRL_Run117.mzML","2024_POS_Y-EV_3_CTRL_Run138.mzML","2024_POS_Y-6MSAS_1_Run91.mzML","2024_POS_Y-6MSAS_2_Run108.mzML","2024_POS_Y-6MSAS_3_Run135.mzML"
"377/282.1196mz/2.01min",1779170.5,1744130.2,1838192.1,3773860.8,1643824.9,1814210.8,1563947.1
"379/158.0812mz/2.06min",9800247.5,10162038,11787009,12334134,8882953,9438457,7424395
"381/381.1519mz/2.1min",489774.27,570253.94,676393.75,656280.9,409294.6,337509.34,269529.62
"382/99.5121mz/2.11min",218986.97,604648.75,186223,371107.56,75936.74,125473.984,251750.94
"383/380.1485mz/2.1min",4057658.35,4683881,4665987.5,5659207,3449329.2,2882396.5,2349097
"384/244.1907mz/2.11min",612327.4,637374.56,597833.8,1110399.5,626821,492922.47,539460.5
"385/251.1502mz/2.12min",299045.9,259388.27,314678.3,686335.4,244969.66,317707.6,283413.5
"386/112.0756mz/2.13min",279909.96,293251.7,386460.12,334832.03,260317.83,266568.22,207164.12
"387/261.1444mz/2.14min",21510.8125,20329.219,22692.406,137899.05,5723.2354,34337.902,17637.969
"388/247.1077mz/2.16min",26612.8665,18237.295,34988.438,124025.78,16360.783,41283.453,16135.776
"390/290.087mz/2.17min",454714.55,413871.28,455834.4,1289858.6,374315.66,509065.78,453594.7
"392/302.1961mz/2.18min",98044.622,103122.414,132624.47,218273.6,54263.812,92966.83,83242.4
"393/220.1179mz/2.18min",624112.825,601485.4,646740.25,901207.75,530498.3,719660.25,547404.2
"394/184.1695mz/2.22min",2821145.3,3007995.8,2634294.8,4312386,3019765.5,2239969.8,2440482.5
"395/384.1148mz/2.22min",1043436.75,1070292.6,1264514.2,1272040.9,1016580.9,957278.75,942159.8
"396/242.1862mz/2.24min",686495.575,654354.25,718636.9,1698891.1,578856.06,721658.7,650923.56
"397/443.177mz/2.24min",699609.2,666725.1,726268.7,1767865,575967.1,775371.56,672949.7
"398/188.0706mz/2.25min",4720324.75,4925287.5,5213825.5,6598833.5,4515362,4278920,4340489.5
"399/200.1046mz/2.25min",6277566,6213858,6351282,6177002.5,6305715.5,6348231,6249416.5
"400/205.0971mz/2.25min",3659991.35,3823960.2,4002189.8,4935510.5,3496022.5,3299940,3246817.5
"401/217.1247mz/2.25min",560267.93,568641.94,552631.5,524716.56,559561.3,560974.56,566450
"402/218.1281mz/2.25min",7669140.75,7671792,7707164,7364754,7765374,7666489.5,7640478.5
"403/199.1012mz/2.26min",481254.275,477690.3,477538.66,474440.6,489449.6,484818.25,489464.22
"404/434.213mz/2.27min",354249.39,338585.4,369913.38,929497.9,295583.53,394138.3,251631.75
"405/195.1227mz/2.28min",639382.92,664522.94,614242.9,666269.2,668922.94,577743.9,524573.25
"406/217.1046mz/2.28min",263761.32,260846.55,264020.44,276977.16,263502.2,270355.34,211907.1
"407/259.1764mz/2.29min",422143.5,411286.16,449519.7,410409.8,433000.84,454713,390118.2
"408/324.0747mz/2.31min",381993.69,506443.8,375136,1200357.5,264819.03,388851.38,135798.95
"409/244.2012mz/2.3min",983984.03,985130.06,982838,977072.94,932771,1015885,1012381.3
"410/231.1703mz/2.3min",150156.705,141845.4,156320.86,258546.95,158531.6,143992.55,140052.88
"412/190.0497mz/2.33min",31688.904,31263.107,32114.701,76573.625,24718.367,43282.234,30217.057
"413/247.1076mz/2.33min",259001.18,245302.19,272186.88,647664.8,224557.08,295001.2,245815.48
"414/292.1026mz/2.34min",1300885.9,1274810.6,1326961.2,4776365.5,1126420.8,1443370.9,1257197.4
"415/270.1924mz/2.33min",276121.03,274038.66,278203.4,577311.75,237644.3,298764.06,272166.1
"416/392.1484mz/2.35min",363211.47,392422.66,393768.16,538912.4,334000.28,320216.1,277528.44
"417/217.1051mz/2.36min",785045.85,829642.8,754708.25,1332923,775601.4,729108.1,794490.3
"418/389.1705mz/2.35min",313179.25,298993.1,327365.4,798872,242047.25,342217.97,289496.94
"419/239.1026mz/2.35min",101380.15,107900.4,126989.445,209011.16,92556.27,94859.9,74429.914
"420/216.1019mz/2.36min",5251225.5,5319719,5180499,9444457,5182732,4949095.5,5428151
"423/225.087mz/2.37min",1143038.6,1235119,1358229.1,1439884.2,1050958.2,967428.75,877330
"424/244.2012mz/2.37min",1378094.7,1409882.8,1384458.9,1344592.8,1394149.1,1371730.5,1327948.2
"425/302.1961mz/2.38min",586135.03,746590,576012.06,697582.6,596258,306416.78,271119.94
"426/443.177mz/2.38min",240629.295,219987.25,250906.98,639751.75,188802.56,259729.38,230351.61
"427/224.0917mz/2.39min",432484.435,433195.53,431773.34,901718.44,397951.38,483107.12,413916.72
"428/140.1434mz/2.39min",551902,566729.56,537074.44,619012.6,603246.8,431946.22,406656.12
"429/261.1444mz/2.39min",439937.865,435759.53,444116.2,484809.75,458898.94,371555.25,337301.56
"431/229.1546mz/2.4min",409916.17,346424.8,410834.34,560279.7,515534,408998,280274.62
"432/434.213mz/2.4min",177096.225,168808.7,185383.75,466725.7,135315.16,187090.52,168790.28
"434/192.0689mz/2.42min",148213.76,208209.8,145930.72,777006.94,89515,150496.8,106954.64
"435/393.223mz/2.41min",490483,472914.12,508051.88,1223840.2,421547.03,538145.3,470184.8
"436/298.0968mz/2.44min",1544244.1,1746409.5,1738247.2,1977154,1350241,1325895,1334912.2
"437/190.0498mz/2.46min",286523.33,273063.94,299982.72,626873.6,240051.95,372785.28,266071.84
"439/261.1444mz/2.46min",644522,657495.06,669386.06,740211.8,631548.94,557602.94,537255.1
"440/114.0913mz/2.49min",1291997.8,1272100.5,1308511.4,2045529.2,1275484.2,1309350.1,997829.75
"441/240.1059mz/2.51min",477360.24,462527.28,530153.06,590010.6,492193.2,396931.7,455142.28
"442/244.2012mz/2.51min",373613.42,367711,377230.28,384311.47,369996.56,380864.88,369555.44
"443/221.092mz/2.52min",329608.06,312195.84,379777.78,420990.6,342883,283600.97,316333.12
"445/239.1026mz/2.52min",4104715,4043102.2,4430746.5,4911474.5,4166327.8,3483181.8,3775032.8
"446/443.177mz/2.52min",124753.75,109542.266,181298.16,340580.72,98464.47,139822.66,109684.84
"448/184.1695mz/2.54min",348091.35,357550.3,338632.4,548757.06,364499.2,264249.53,308438.22
"449/434.213mz/2.54min",373648.67,347039.3,387763.5,864510.44,320796.75,401762.1,359533.84
"450/226.1801mz/2.57min",33576.2465,37926.727,29225.766,46389.746,52816.508,28690.445,25478.105
"451/153.1022mz/2.57min",30691.9135,28158.625,30918.777,184029.16,30465.05,20432.895,35729.574
"452/393.2232mz/2.57min",55785.6465,52984.406,58586.887,177356.66,48695.363,65462.383,52577.465
"453/443.177mz/2.56min",80275.327,41214.6,125748.13,154708.16,98464.47,62086.184,60890.81
"454/316.2117mz/2.59min",403591.29,341418.78,411806.38,395376.2,339177.06,482164.6,438675.6
"455/280.0927mz/2.6min",63661.8415,68868.3,82408.72,101642.42,58455.383,57118.46,56401.91
