"","PC1","PC2","PC3","PC4","PC5","PC6"
"377/282.1196mz/2.01min",0.0062742,-0.0070918,0.0057838,0.042033,-0.038811,0.63982
"379/158.0812mz/2.06min",-0.0024981,-0.0032719,0.006938,0.026984,-0.007781,0.048336
"381/381.1519mz/2.1min",-0.0061321,0.0028152,0.0087612,0.058417,0.0019321,-0.14793
"383/380.1485mz/2.1min",-0.0033884,0.004121,0.0085023,0.052424,-0.011913,-0.1828
"384/244.1907mz/2.11min",0.006081,0.0012181,-0.00097149,0.040422,-0.027598,0.076176
"385/251.1502mz/2.12min",0.0074789,-0.013689,0.0030964,0.043887,-0.043728,-0.030036
"386/112.0756mz/2.13min",-0.0043823,-0.0036098,0.0072197,0.028967,0.0048028,-0.02735
"390/290.087mz/2.17min",0.0097916,-0.014362,0.0036344,0.049975,-0.059048,0.02793
"393/220.1179mz/2.18min",0.00094317,-0.0087114,0.0067814,0.019117,-0.029546,-0.025816
"394/184.1695mz/2.22min",0.0047755,0.0043933,-0.0008509,0.031044,-0.021822,0.022425
"395/384.1148mz/2.22min",-0.0011178,-0.0024925,-0.0011107,0.021096,-0.0026045,-0.026669
"396/242.1862mz/2.24min",0.0074369,-0.011399,0.0032351,0.048091,-0.04918,0.0048773
"397/443.177mz/2.24min",0.0074065,-0.01277,0.0040726,0.046819,-0.053235,0.033511
"398/188.0706mz/2.25min",0.0010109,-0.0020924,-0.0015772,0.025829,-0.015772,0.022656
"399/200.1046mz/2.25min",-0.00068417,-0.0014096,-0.0022932,-0.0020918,-0.0063965,-0.024445
"400/205.0971mz/2.25min",0.00054594,-0.0014439,-0.00041222,0.025021,-0.014589,0.022824
"401/217.1247mz/2.25min",-0.0012889,-0.00036715,-0.0035359,-0.0051111,-0.007269,-0.024624
"402/218.1281mz/2.25min",-0.00090589,-0.00065164,-0.0027025,-0.003145,-0.0055957,0.025003
"403/199.1012mz/2.26min",-0.00026568,-0.00098317,-0.0030939,-0.0031898,-0.0073821,-0.012366
"404/434.213mz/2.27min",0.0066148,-0.01076,0.017116,0.057434,-0.050723,-0.033009
"405/195.1227mz/2.28min",-0.00022908,0.0036687,0.003132,0.0091133,-0.007208,-0.00047319
"406/217.1046mz/2.28min",-0.000823,-0.00053482,0.00731,0.0067576,-0.0080535,0.010466
"407/259.1764mz/2.29min",-0.0013606,-0.0023446,0.0027981,-0.0020137,-0.0016492,0.024176
"408/324.0747mz/2.31min",8.0825e-05,-0.0017492,0.041189,0.093687,-0.074788,0.0075027
"409/244.2012mz/2.3min",-0.001177,-0.0026979,-0.003681,-0.0027571,-0.011811,0.00065446
"413/247.1076mz/2.33min",0.0077041,-0.012335,0.0060065,0.045082,-0.049724,-0.025404
"414/292.1026mz/2.34min",0.011929,-0.013205,0.0062852,0.064464,-0.068221,-0.0080811
"415/270.1924mz/2.33min",0.0057206,-0.0094585,0.0019332,0.036155,-0.046596,0.019108
"416/392.1484mz/2.35min",0.00025312,-0.00056015,0.0050592,0.035704,-0.020119,-0.0032244
"417/217.1051mz/2.36min",0.0050969,-0.0016769,-0.0031555,0.027679,-0.03336,-0.014075
"418/389.1705mz/2.35min",0.0065804,-0.013576,0.0045645,0.050229,-0.055597,-0.028779
"420/216.1019mz/2.36min",0.0060853,-0.0035746,-0.0032924,0.029866,-0.032943,0.04811
"423/225.087mz/2.37min",-0.0023705,-0.00013866,0.0025948,0.031383,-0.0064513,0.046183
"424/244.2012mz/2.37min",-0.0011683,1.5129e-08,-0.0014376,-0.0010493,-0.0067405,0.072855
"425/302.1961mz/2.38min",-0.0029876,0.018481,0.010148,0.056355,-0.00083204,-0.0038179
"426/443.177mz/2.38min",0.0080008,-0.014445,0.0032368,0.0512,-0.055028,0.0029049
"427/224.0917mz/2.39min",0.0062023,-0.008169,0.0049098,0.034368,-0.044621,0.019861
"428/140.1434mz/2.39min",0.0010482,0.0065719,0.0041341,0.021178,-0.0019528,-0.037857
"429/261.1444mz/2.39min",0.00040833,0.0031843,0.0041267,0.017678,-0.0020252,-0.025731
"431/229.1546mz/2.4min",0.0062185,0.00051968,0.017628,0.021263,0.0014056,-0.025051
"435/393.223mz/2.41min",0.0076254,-0.011445,0.0043403,0.045994,-0.050907,0.0097801
"436/298.0968mz/2.44min",-0.0023726,-0.00060254,-0.0024059,0.027765,-0.016614,0.046103
"437/190.0498mz/2.46min",0.00535,-0.013916,0.0098747,0.034243,-0.049606,0.018448
"439/261.1444mz/2.46min",-0.00024523,0.0011158,0.00067008,0.018346,-0.0075826,0.022231
"440/114.0913mz/2.49min",0.0034024,-0.0028876,0.010415,0.029659,-0.023637,-0.051644
"441/240.1059mz/2.51min",0.0018193,-0.00051655,-0.0052082,0.020374,-0.0019695,-0.039211
"442/244.2012mz/2.51min",-0.00030077,-0.002102,-0.00172,0.00016959,-0.008942,-0.00041428
"443/221.092mz/2.52min",0.0021549,-0.0020092,-0.004229,0.021238,-0.00044658,0.022646
"445/239.1026mz/2.52min",0.0011465,-1.1342e-05,-0.003401,0.018569,-0.0041005,0.022904
"448/184.1695mz/2.54min",0.00518,0.0030592,-0.0033385,0.034897,-0.019098,-0.00073355
"449/434.213mz/2.54min",0.0073359,-0.011552,0.0032907,0.042677,-0.04582,-0.037822
"454/316.2117mz/2.59min",-0.00076091,-0.011216,-0.002686,-0.0092859,-0.013373,-0.011397
"456/409.1352mz/2.6min",-0.0020658,-0.0024562,0.00094343,0.030245,-0.011469,0.02185
"457/231.1127mz/2.63min",0.0071403,-0.0079647,0.0056441,0.047035,-0.042899,-0.016783
"459/259.2202mz/2.67min",0.00034836,-0.0022954,6.7654e-05,0.00065252,-0.0046154,0.024311
"463/130.159mz/2.71min",0.0025256,0.0043329,-0.00046425,0.021402,-0.021992,-0.002582
"466/138.0549mz/2.72min",0.0046732,0.0048765,-0.0012588,0.025626,-0.012981,-0.014809
"467/300.1077mz/2.72min",-0.0032301,0.007152,0.0062191,0.031,0.0054712,0.046523
"468/301.1111mz/2.72min",-0.0033884,0.0072818,0.0061675,0.032603,0.0038979,-0.015136
"470/217.1546mz/2.74min",0.0083887,-0.0081829,0.0025293,0.052154,-0.049779,0.0063081
"471/202.1801mz/2.74min",0.0040495,0.00395,0.0019098,0.031554,-0.0029927,0.022761
"472/316.2117mz/2.75min",0.00052917,-0.0099682,-0.00029067,-0.0028058,-0.016881,0.061424
"473/259.1189mz/2.77min",0.00029051,0.0067812,-0.0022773,0.029849,0.0043562,0.071657
"475/306.1182mz/2.77min",0.0068173,-0.012417,0.0042373,0.045235,-0.052315,0.04328
"476/231.1127mz/2.77min",0.0087192,-0.0075287,0.010094,0.054026,-0.053419,-0.019934
