"","comp 1","comp 2","comp 3","comp 4","comp 5"
"628/387.193mz/5.56min",0.48456,0,0,0,0
"423/225.087mz/2.37min",-0.43978,0,0,0,0
"731/295.2267mz/6.92min",-0.43471,0,0,0,0
"381/381.1519mz/2.1min",-0.40001,0,0,0,0
"647/301.2931mz/5.82min",0.32484,0,0,0,0
"383/380.1485mz/2.1min",-0.23475,0,0,0,0
"456/409.1352mz/2.6min",-0.18153,0,0,0,0
"436/298.0968mz/2.44min",-0.17076,0,0,0,0
"545/217.107mz/3.43min",-0.0077691,0,0,0,0
"395/384.1148mz/2.22min",-0.00070412,0,0,0,0
"999/788.6152mz/8.1min",0,-0.57443,0,0,0
"1365/780.5509mz/10.28min",0,-0.37223,0,0,0
"1099/144.9822mz/8.65min",0,0.36251,0,0,0
"635/446.2535mz/5.64min",0,0.32736,0,0,0
"1399/759.5724mz/10.38min",0,-0.29949,0,0,0
"1358/781.554mz/10.28min",0,-0.29914,0,0,0
"1402/758.569mz/10.37min",0,-0.26737,0,0,0
"1049/733.5552mz/8.33min",0,-0.20376,0,0,0
"927/427.3205mz/7.84min",0,0.023693,0,0,0
"1052/732.5532mz/8.33min",0,-0.012791,0,0,0
"377/282.1196mz/2.01min",0,0,0,0,0
"379/158.0812mz/2.06min",0,0,0,0,0
"384/244.1907mz/2.11min",0,0,0,0,0
"385/251.1502mz/2.12min",0,0,0,0,0
"386/112.0756mz/2.13min",0,0,0,0,0
"390/290.087mz/2.17min",0,0,0,0,0
"393/220.1179mz/2.18min",0,0,0,0,0
"394/184.1695mz/2.22min",0,0,0,0,0
"396/242.1862mz/2.24min",0,0,0,0,0
"397/443.177mz/2.24min",0,0,0,0,0
"398/188.0706mz/2.25min",0,0,0,0,0
"399/200.1046mz/2.25min",0,0,0,0,0
"400/205.0971mz/2.25min",0,0,0,0,0
"401/217.1247mz/2.25min",0,0,0,0,0
"402/218.1281mz/2.25min",0,0,0,0,0
"403/199.1012mz/2.26min",0,0,0,0,0
"404/434.213mz/2.27min",0,0,0,0,0
"405/195.1227mz/2.28min",0,0,0,0,0
"406/217.1046mz/2.28min",0,0,0,0,0
"407/259.1764mz/2.29min",0,0,0,0,0
"408/324.0747mz/2.31min",0,0,0,0,0
"409/244.2012mz/2.3min",0,0,0,0,0
"413/247.1076mz/2.33min",0,0,0,0,0
"414/292.1026mz/2.34min",0,0,0,0,0
"415/270.1924mz/2.33min",0,0,0,0,0
"416/392.1484mz/2.35min",0,0,0,0,0
"417/217.1051mz/2.36min",0,0,0,0,0
"418/389.1705mz/2.35min",0,0,0,0,0
"420/216.1019mz/2.36min",0,0,0,0,0
"424/244.2012mz/2.37min",0,0,0,0,0
"425/302.1961mz/2.38min",0,0,0,0,0
"426/443.177mz/2.38min",0,0,0,0,0
"427/224.0917mz/2.39min",0,0,0,0,0
"428/140.1434mz/2.39min",0,0,0,0,0
"429/261.1444mz/2.39min",0,0,0,0,0
"431/229.1546mz/2.4min",0,0,0,0,0
"435/393.223mz/2.41min",0,0,0,0,0
"437/190.0498mz/2.46min",0,0,0,0,0
"439/261.1444mz/2.46min",0,0,0,0,0
"440/114.0913mz/2.49min",0,0,0,0,0
"441/240.1059mz/2.51min",0,0,0,0,0
"442/244.2012mz/2.51min",0,0,0,0,0
"443/221.092mz/2.52min",0,0,0,0,0
"445/239.1026mz/2.52min",0,0,0,0,0
"448/184.1695mz/2.54min",0,0,0,0,0
"449/434.213mz/2.54min",0,0,0,0,0
"454/316.2117mz/2.59min",0,0,0,0,0
"457/231.1127mz/2.63min",0,0,0,0,0
"459/259.2202mz/2.67min",0,0,0,0,0
"463/130.159mz/2.71min",0,0,0,0,0
"466/138.0549mz/2.72min",0,0,0,0,0
"467/300.1077mz/2.72min",0,0,0,0,0
"468/301.1111mz/2.72min",0,0,0,0,0
"470/217.1546mz/2.74min",0,0,0,0,0
"471/202.1801mz/2.74min",0,0,0,0,0
"472/316.2117mz/2.75min",0,0,0,0,0
"473/259.1189mz/2.77min",0,0,0,0,0
"475/306.1182mz/2.77min",0,0,0,0,0
"476/231.1127mz/2.77min",0,0,0,0,0
"477/260.1129mz/2.77min",0,0,0,0,0
"482/259.2202mz/2.8min",0,0,0,0,0
"483/169.076mz/2.81min",0,0,0,0,0
"485/170.0793mz/2.81min",0,0,0,0,0
"495/139.0583mz/2.82min",0,0,0,0,0
"497/328.1001mz/2.79min",0,0,0,0,0
"498/121.0477mz/2.82min",0,0,0,0,0
"499/138.055mz/2.82min",0,0,0,0,0
"500/92.0494mz/2.82min",0,0,0,0,0
"502/120.0444mz/2.83min",0,0,0,0,0
"504/271.0713mz/2.83min",0,0,0,0,0
"507/272.0794mz/2.83min",0,0,0,0,0
"508/272.1855mz/2.83min",0,0,0,0,0
"509/261.1444mz/2.83min",0,0,0,0,0
"512/300.1077mz/2.87min",0,0,0,0,0
"513/306.128mz/2.87min",0,0,0,0,0
"515/391.171mz/2.95min",0,0,0,0,0
"516/321.1478mz/2.93min",0,0,0,0,0
"522/183.0916mz/2.97min",0,0,0,0,0
"523/340.1025mz/2.98min",0,0,0,0,0
"525/294.0607mz/3.0min",0,0,0,0,0
"526/312.0713mz/3.0min",0,0,0,0,0
"527/334.0532mz/3.0min",0,0,0,0,0
"530/231.1703mz/3.07min",0,0,0,0,0
"532/213.0733mz/3.13min",0,0,0,0,0
"539/405.1865mz/3.28min",0,0,0,0,0
"541/240.0866mz/3.34min",0,0,0,0,0
"542/245.1859mz/3.35min",0,0,0,0,0
"543/182.1903mz/3.37min",0,0,0,0,0
"546/196.0968mz/3.47min",0,0,0,0,0
"547/228.2321mz/3.48min",0,0,0,0,0
"548/246.1699mz/3.48min",0,0,0,0,0
"552/213.1597mz/3.53min",0,0,0,0,0
"553/274.1648mz/3.54min",0,0,0,0,0
"554/419.2022mz/3.55min",0,0,0,0,0
"557/210.1124mz/3.6min",0,0,0,0,0
"560/228.2321mz/3.67min",0,0,0,0,0
"563/235.0865mz/3.7min",0,0,0,0,0
"564/402.2484mz/3.64min",0,0,0,0,0
"565/591.2257mz/3.72min",0,0,0,0,0
"566/586.2703mz/3.72min",0,0,0,0,0
"569/233.0784mz/3.85min",0,0,0,0,0
"570/296.1182mz/3.87min",0,0,0,0,0
"571/246.1699mz/3.93min",0,0,0,0,0
"572/514.2855mz/3.97min",0,0,0,0,0
"576/208.0968mz/4.19min",0,0,0,0,0
"578/321.1738mz/4.32min",0,0,0,0,0
"579/320.1703mz/4.32min",0,0,0,0,0
"580/325.1257mz/4.32min",0,0,0,0,0
"581/195.1379mz/4.34min",0,0,0,0,0
"582/364.1965mz/4.4min",0,0,0,0,0
"583/226.1801mz/4.43min",0,0,0,0,0
"584/244.1906mz/4.43min",0,0,0,0,0
"585/408.2226mz/4.47min",0,0,0,0,0
"586/392.1914mz/4.56min",0,0,0,0,0
"587/397.1467mz/4.56min",0,0,0,0,0
"588/249.1022mz/4.6min",0,0,0,0,0
"589/267.1128mz/4.6min",0,0,0,0,0
"592/230.9844mz/4.75min",0,0,0,0,0
"594/211.9705mz/4.75min",0,0,0,0,0
"595/213.9685mz/4.75min",0,0,0,0,0
"597/231.979mz/4.75min",0,0,-0.054554,0,0
"598/232.9823mz/4.75min",0,0,0,0,0
"599/656.071mz/4.75min",0,0,0,0,0
"600/524.2697mz/4.76min",0,0,0,0,0
"601/551.2695mz/4.8min",0,0,0,0,0
"602/573.2513mz/4.8min",0,0,0,0,0
"607/568.2961mz/4.81min",0,0,0,0,0
"610/228.1958mz/4.88min",0,0,0,0,-0.28115
"611/250.1777mz/4.88min",0,0,0,0,-0.29598
"612/229.1991mz/4.88min",0,0,0,0,-0.25184
"614/158.1539mz/4.95min",0,0,0,0,0
"616/640.3173mz/4.96min",0,0,0,0,0
"620/387.1801mz/5.21min",0,0,0,0,0
"621/404.2066mz/5.21min",0,0,0,0,0
"623/272.2584mz/5.35min",0,0,0,0,0
"625/319.3036mz/5.44min",0,0,0,0,0
"626/318.3003mz/5.45min",0,0,0,0,0
"627/356.1029mz/5.46min",0,0,0,0,0
"630/239.1641mz/5.62min",0,0,0,0,0
"632/437.1932mz/5.64min",0,0,0,0,0
"633/415.2113mz/5.64min",0,0,0,0,0
"634/432.2378mz/5.64min",0,0,0,0,0
"636/312.1131mz/5.66min",0,0,0,0,0
"637/307.2478mz/5.68min",0,0,0,0,0
"638/302.3053mz/5.71min",0,0,0,-0.14136,0
"640/330.3002mz/5.76min",0,0,0,0,0
"641/452.277mz/5.75min",0,0,0,0,0
"644/516.3057mz/5.8min",0,0,0,0,0
"645/494.3239mz/5.79min",0,0,0,0,0
"648/300.2897mz/5.82min",0,0,0,0,0
"649/452.2769mz/5.85min",0,0,0,0,0
"651/337.1046mz/5.86min",0,0,0,0,0
"652/344.3158mz/5.85min",0,0,0,0,0
"653/494.3239mz/5.9min",0,0,0,0,0
"654/346.3315mz/5.91min",0,0,0,0,0
"655/347.3349mz/5.91min",0,0,0,0,0
"656/516.3057mz/5.91min",0,0,0,0,0
"658/284.2948mz/6.01min",0,0,0,0,0
"659/344.3158mz/6.02min",0,0,0,0,0
"661/330.3366mz/6.17min",0,0,0,0,0
"664/496.3396mz/6.19min",0,0,0,0,0
"665/328.321mz/6.27min",0,0,0,0,0
"666/358.3314mz/6.25min",0,0,0,0,0
"667/454.2926mz/6.24min",0,0,0,0,0
"668/372.347mz/6.31min",0,0,0,0,0
"669/329.3244mz/6.27min",0,0,0,0,0
"673/440.4096mz/6.37min",0,0,0,0,0
"674/518.3213mz/6.3min",0,0,0,0,0
"675/496.3396mz/6.3min",0,0,0,0,0
"676/267.1954mz/6.3min",0,0,0,0,0
"677/497.3429mz/6.3min",0,0,0,0,0
"678/480.3082mz/6.31min",0,0,0,0,0
"680/524.2979mz/6.34min",0,0,0,0,0
"681/555.2925mz/6.34min",0,0,0,0,0
"682/573.3031mz/6.34min",0,0,0,0,0
"684/498.2824mz/6.29min",0,0,0,0,0
"687/524.3611mz/6.37min",0,0,0,0,0
"688/522.3552mz/6.37min",0,0,0,0,0
