Filename,POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML,POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML,POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML,POS_D5-211-C1-a_Run91.mzML,POS_D5-211-C1-b_Run94.mzML,POS_D5-211-C1-c_Run97.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
187/140.0682mz/2.02min,56098.25,66494.78,64886.594,124058.69,88294.26,97910.72
188/216.1958mz/2.05min,123451.92,854342.0,682929.5,247709.2,143013.4,247912.81
190/159.0845mz/2.06min,221095.39,244161.97,329342.25,507217.53,532584.5,582058.3
191/112.0757mz/2.06min,3592.8801,25713.598,38588.535,103774.28,102556.7,117628.266
192/158.0812mz/2.06min,3258711.5,3564773.0,4621429.5,7014622.0,7403879.5,8072075.5
194/380.1481mz/2.09min,1287352.4,1342088.2,1403020.8,1385473.8,1406397.4,1217196.0
195/205.0972mz/2.24min,1889473.2,2005710.5,4203814.0,940571.2,663766.9,1044424.7
196/188.0706mz/2.24min,2654121.8,2901305.0,5965961.5,1322044.4,1050498.8,1512353.1
197/118.065mz/2.24min,18736.88,27449.295,91962.84,0.0,0.0,0.0
198/217.1046mz/2.24min,1354910.2,1298096.1,1400522.2,1232959.2,1199105.1,1029763.25
201/206.0448mz/2.3min,841532.2,939661.75,1127614.0,858784.2,888662.25,1168076.5
202/261.1443mz/2.42min,347879.97,417489.34,571921.5,293257.1,286627.8,346208.47
203/190.0498mz/2.43min,1078544.6,1110529.9,1521949.1,1140985.5,1269582.6,1423446.4
204/114.0913mz/2.47min,446847.9,425655.5,710169.8,244551.25,166940.23,232305.72
207/82.5371mz/2.62min,369712.12,411004.97,439768.28,186919.88,2432424.0,287287.25
208/232.1159mz/2.61min,3142831.2,3000895.5,4105695.8,2470982.0,3351014.2,2868018.8
209/188.0705mz/2.61min,441238.0,439643.1,613662.3,321849.44,448910.78,387417.06
210/214.0862mz/2.61min,2310143.5,2275023.2,3121368.0,1745845.2,2426504.5,2027888.1
211/158.0964mz/2.61min,2920569.0,2888204.2,3949774.5,2253868.0,3114212.0,2632506.2
212/231.1128mz/2.61min,21799908.0,20831598.0,28512012.0,17236884.0,23301898.0,19830074.0
213/130.1591mz/2.64min,4906943.0,4656839.5,5902310.0,6138957.5,7818564.5,8317963.0
214/158.0964mz/2.73min,1661273.4,1558858.2,2197853.0,1231582.5,1655783.1,1459501.9
215/214.0862mz/2.73min,1191871.6,1134119.4,1627504.1,894015.6,1204669.6,1037984.3
216/231.1127mz/2.73min,12102498.0,10989282.0,15640242.0,9405845.0,12783521.0,10946898.0
217/188.0705mz/2.73min,213001.58,202611.86,297273.78,159977.28,279114.44,198203.17
218/140.0682mz/2.75min,157618.16,225053.98,81816.42,87594.74,151411.06,30030.578
220/272.1853mz/2.77min,532850.94,390768.22,356902.2,236048.2,243722.8,325531.72
221/257.0993mz/2.8min,1258433.4,1022689.6,2232620.2,1340437.5,1684738.8,2094274.1
222/217.107mz/2.8min,506157.47,397873.1,885208.25,572197.44,709892.94,788804.5
223/92.0495mz/2.83min,58409.67,57984.383,52229.88,241193.3,424538.0,475777.72
224/120.0444mz/2.83min,2543060.2,2441997.0,2199576.0,8185471.5,13368967.0,15006147.0
225/138.055mz/2.83min,698418.4,669039.94,613342.94,2427009.0,3919932.2,4371603.5
226/130.159mz/2.79min,186055.23,19874.76,119138.21,152130.03,174251.11,166312.48
227/183.0917mz/2.9min,6084376.0,5680325.0,9126121.0,1152621.9,1445631.1,1928817.4
228/195.1128mz/2.91min,37788.508,16853.7,45498.484,66785.805,135346.39,80648.58
229/308.0907mz/3.0min,0.0,0.0,0.0,75521.14,86848.84,187778.1
231/132.1019mz/3.04min,36134.035,34993.055,83291.195,207794.58,135138.81,160814.23
232/196.0944mz/3.04min,217634.48,205941.1,403131.5,170173.8,236738.36,226495.5
234/345.1516mz/3.13min,757030.75,598221.6,1368859.4,654632.7,756097.8,827782.0
236/194.1152mz/3.19min,8468201.0,8448022.0,8008537.5,5863303.5,5625890.5,5391687.0
237/212.1256mz/3.2min,856573.75,859901.06,819286.7,539680.8,529903.0,531631.0
238/172.1332mz/3.2min,1602680.4,1548411.6,1547962.5,1029364.94,1022303.06,1037199.3
242/140.0682mz/3.31min,113293.76,67920.3,69037.52,60922.684,61298.47,69915.12
243/195.1128mz/3.3min,115955.78,108849.01,199893.86,484392.47,756973.7,607887.56
244/217.107mz/3.35min,54164.57,27791.21,125476.695,56531.05,78407.14,83730.73
245/239.0888mz/3.35min,594833.6,671162.4,1082356.8,587872.4,701691.44,764766.7
246/241.0387mz/3.52min,362552.0,399893.84,447873.94,447485.34,446866.94,511105.56
247/219.0569mz/3.52min,1427008.4,1573650.2,1756512.5,1861884.5,1841827.0,2111365.8
248/255.0543mz/3.56min,103732.12,56798.332,163293.23,154302.61,133367.12,72371.65
249/233.0724mz/3.56min,98887.7,45660.926,147360.75,164706.34,128991.04,65244.92
251/217.1071mz/3.66min,102474.664,75877.95,231755.61,82518.04,109809.57,138416.47
253/385.1464mz/3.66min,274036.9,219594.1,578604.7,232420.42,273684.8,362838.62
255/322.0964mz/3.78min,113034.76,69872.13,154266.84,94788.19,126609.41,86018.18
256/302.1301mz/3.8min,880517.5,564643.0,1239223.1,949909.4,915903.9,593178.7
257/324.112mz/3.81min,2587120.5,1681654.9,3355229.0,2605222.0,2478841.0,1599572.1
258/433.2062mz/3.85min,131128.58,99037.06,232264.58,113289.414,155986.52,193187.1
259/451.2168mz/3.85min,513950.03,414420.06,859355.06,486355.06,613433.56,751420.8
260/245.0857mz/3.85min,518819.56,424705.7,846159.9,482347.84,600742.1,739341.2
261/217.1071mz/3.85min,67970.01,50655.504,132733.48,59970.945,84962.05,105452.94
262/473.1988mz/3.85min,1912798.6,1554312.4,2963324.8,1839858.1,2285960.8,2678191.5
263/322.0964mz/3.9min,788573.94,570616.56,1057596.9,748992.75,735932.2,576693.3
264/300.1145mz/3.9min,757769.7,551402.3,1037504.6,747535.25,776506.6,619407.8
265/203.062mz/3.91min,99044.66,96199.73,125820.305,73348.78,90108.555,127893.57
266/561.2511mz/4.0min,265480.97,174576.11,420086.0,204211.64,172055.4,169313.14
267/222.1464mz/4.06min,955115.94,980712.06,964789.3,676324.9,625056.5,648817.44
269/325.1254mz/4.24min,1583260.5,1528237.1,1479621.2,847245.25,904103.7,877173.56
270/255.0544mz/4.36min,402634.62,315403.9,628271.3,209164.17,152413.67,135616.55
271/233.0725mz/4.37min,320252.12,231804.45,479347.22,179374.36,119478.85,108442.23
272/226.1801mz/4.37min,197493.38,170621.11,186580.23,375809.03,411377.8,405904.12
273/244.1906mz/4.38min,83366.7,63701.723,74144.56,183674.73,199640.39,194360.11
274/266.1725mz/4.38min,146818.17,118264.06,136822.86,283933.25,321071.94,297202.12
275/236.162mz/4.45min,163352.25,151623.72,177733.6,232663.86,212008.94,234937.36
277/397.1464mz/4.49min,494671.75,503326.38,453133.97,267247.4,274242.16,259257.38
278/689.2983mz/4.51min,474250.75,358575.4,751538.4,421139.47,500649.6,516500.9
280/244.0665mz/4.55min,218457.75,182002.38,306117.22,344575.2,433544.28,442131.53
281/236.0804mz/4.55min,2166959.2,1832987.5,2958121.8,2152736.8,2673985.5,2883403.8
282/433.2064mz/4.55min,4836569.5,4095306.0,7164602.0,4881057.5,6211699.0,6674830.5
283/450.2331mz/4.55min,1432475.8,1112257.6,1988622.9,1722720.2,2146805.0,2245838.5
284/455.1883mz/4.55min,32546796.0,29498876.0,41604456.0,33797050.0,37454516.0,40560036.0
286/230.9844mz/4.69min,648466.8,687448.1,673436.9,741896.6,748845.56,778580.5
287/232.9822mz/4.69min,655927.06,670648.5,673756.44,724885.94,745754.56,769220.06
288/229.9812mz/4.69min,8030920.0,8279314.5,8181102.5,8931715.0,9019499.0,9569037.0
289/231.979mz/4.69min,7866489.5,8120750.5,8046694.5,8736054.0,8836086.0,9378722.0
290/211.9706mz/4.69min,3761432.2,3963934.0,3843235.2,3865773.8,3981418.0,4219485.0
291/213.9685mz/4.69min,3571249.0,3740033.2,3617486.0,3660198.5,3746878.2,4015677.5
292/447.1268mz/4.7min,408332.06,322271.2,415406.34,382332.56,295710.12,137924.38
293/469.1087mz/4.7min,419921.3,341815.03,437213.72,379673.78,280362.22,130378.66
294/269.07mz/4.7min,399851.88,399975.8,508238.9,161603.11,158562.88,254938.28
295/247.0882mz/4.71min,366489.66,348629.6,440457.3,159980.86,150973.3,249996.56
296/568.2959mz/4.73min,551706.94,512918.5,419508.53,625841.9,612720.8,606192.44
297/573.2514mz/4.73min,5792151.5,5721766.0,4949339.0,5385678.0,5409491.0,5493667.0
299/318.2999mz/4.81min,93410.31,105996.734,101911.586,73963.53,83998.95,91288.91
301/228.1958mz/4.82min,375877.94,280987.28,417873.06,1201394.2,964275.9,996496.75
302/250.1776mz/4.82min,948250.1,780248.9,1038158.0,2774089.5,2234981.8,2291334.8
303/270.1463mz/4.85min,430738.5,308956.28,571242.9,316856.9,236991.08,203814.67
304/470.185mz/4.9min,39715.332,31118.594,43526.145,44587.367,39061.746,36518.03
305/448.203mz/4.9min,75484.95,65167.57,88952.57,92239.75,83891.09,60764.97
307/320.1829mz/5.07min,252520.95,246236.19,341404.1,169992.02,217302.3,257478.5
308/149.0234mz/5.13min,99261.4,167688.02,123335.695,89936.164,68239.84,88859.76
309/272.2582mz/5.21min,300750.12,316894.5,296277.22,678997.6,657106.5,669033.9
310/344.13mz/5.24min,645924.0,557319.56,893402.2,699241.75,847721.4,882934.3
311/649.3061mz/5.24min,930067.7,787158.0,1297782.9,965124.0,1247133.0,1288720.8
312/671.2882mz/5.24min,10427694.0,9260107.0,13315287.0,10205639.0,12466930.0,12698665.0
313/666.3328mz/5.24min,821067.3,670757.25,946404.06,763517.06,923220.6,945710.75
314/203.062mz/5.28min,330060.12,275273.03,355927.56,350035.6,274663.88,196136.4
315/318.3mz/5.3min,5934756.0,7259731.5,6024288.0,10056084.0,10162109.0,9906234.0
316/300.2895mz/5.3min,107954.38,115740.125,127970.82,179379.0,173326.31,142952.84
317/340.2819mz/5.3min,278987.53,357522.1,259418.67,506785.6,474936.28,471926.0
318/298.2738mz/5.37min,881948.2,722599.5,652704.8,1150910.9,1069671.4,1190730.1
320/338.2662mz/5.39min,476252.94,515901.78,467469.97,320796.72,314225.3,311123.62
321/273.0973mz/5.43min,249755.56,215917.0,261514.58,314927.6,255310.83,230298.95
322/470.1852mz/5.43min,12577972.0,11651619.0,12632333.0,14126028.0,12253878.0,12025483.0
323/264.092mz/5.43min,436118.47,408256.44,464052.66,531377.0,452578.7,439732.03
324/448.2032mz/5.43min,6093395.5,5346304.5,5938084.0,7421125.0,6136455.0,5913024.5
325/284.6053mz/5.43min,535269.6,480160.0,558883.4,629905.94,538518.0,511880.88
326/917.381mz/5.43min,731141.56,588800.5,734978.6,922982.1,696474.94,635817.3
327/286.2739mz/5.44min,217436.72,249969.58,214422.9,424832.62,379178.78,448103.4
328/338.2662mz/5.49min,480305.22,508964.38,487227.6,228401.97,214576.0,256781.05
329/256.2998mz/5.49min,2473680.8,2473766.8,2419764.2,10288330.0,9845626.0,9866076.0
332/304.2995mz/5.52min,428091.25,1341518.4,875957.8,1797065.8,1176335.5,933122.3
333/332.3155mz/5.52min,335771.84,410040.84,316043.56,705563.6,610831.94,765054.7
334/303.3084mz/5.55min,2907843.2,3649845.2,2534438.0,6061168.5,5672200.5,5666636.5
