"","comp 1","comp 2","comp 3","comp 4","comp 5"
"267/381.1739mz/7.88min",-0.54785,0,0,0,0
"266/379.1794mz/7.88min",-0.48109,0,0,0,0
"270/383.1777mz/7.88min",-0.39244,0,0,0,0
"503/384.9352mz/10.23min",-0.37901,0,0,0,0
"389/114.9341mz/8.79min",0.25243,0,0,0,0
"236/356.1605mz/7.77min",-0.23145,0,0,0,0
"222/355.1582mz/7.77min",-0.15257,0,0,0,0
"221/353.1638mz/7.77min",-0.12255,0,0,0,0
"246/382.1762mz/7.87min",-0.11931,0,0,0,0
"285/397.1685mz/7.94min",-0.030649,0,0,0,0
"402/132.9234mz/8.81min",0,0.5055,0,0,0
"523/134.8655mz/10.42min",0,0.41782,0,0,0
"317/146.9659mz/8.23min",0,0.40017,0,0,0
"521/136.8629mz/10.42min",0,0.39414,0,0,0
"413/139.9444mz/8.88min",0,0.3818,0,0,0
"522/132.8678mz/10.42min",0,0.25861,0,0,0
"460/124.0015mz/9.09min",0,-0.1361,0,0,0
"244/129.9757mz/7.82min",0,0.1234,0,0,0
"464/355.1581mz/9.15min",0,0.077995,0,0,0
"412/113.9263mz/8.85min",0,0.043903,0,0,0
"95/156.0666mz/2.06min",0,0,0,0,0
"99/175.0612mz/2.51min",0,0,0,0,0
"102/230.1014mz/2.61min",0,0,0,-0.17857,0
"103/297.0856mz/2.61min",0,0,0,-0.14336,-0.055743
"104/229.0982mz/2.61min",0,0,0,-0.16941,0
"107/229.0982mz/2.73min",0,0,0,-0.23483,0
"109/233.1031mz/2.8min",0,0,0,0,0
"110/131.0714mz/2.9min",0,0,0,0,-0.12999
"114/172.098mz/3.04min",0,0,0,-0.1305,0
"115/165.0557mz/3.09min",0,0,0,0,0
"116/217.0424mz/3.52min",0,0,0,0,0
"118/449.203mz/3.85min",0,0,0,0,0
"121/229.9644mz/4.69min",0,0,0.45632,0,0
"123/426.9677mz/4.98min",0,0,0,0,0
"129/450.2626mz/5.77min",0,0,0,0,0
"130/538.3149mz/5.81min",0,0,0,0,0
"133/265.1479mz/6.07min",0,0,0,0,0
"134/217.0423mz/6.1min",0,0,0,0,0
"136/452.2783mz/6.16min",0,0,0,0,0
"146/571.2887mz/6.44min",0,0,0,0,0
"148/311.1686mz/6.54min",0,0,0,0,0
"150/571.289mz/6.56min",0,0,0.23813,0,0
"153/311.1686mz/6.64min",0,0,0,0,0
"158/311.1686mz/6.72min",0,0,0,0,0
"159/654.1323mz/6.78min",0,0,0,0,0
"163/718.145mz/6.86min",0,0,0,0,0
"165/782.1576mz/6.93min",0,0,0,0,0
"171/325.1842mz/7.12min",0,0,0,0,0
"173/271.2279mz/7.15min",0,0,0,0,0.22373
"174/716.5239mz/7.17min",0,0,0,0,0
"175/325.1842mz/7.28min",0,0,0,0,0
"182/129.9757mz/7.37min",0,0,0,0,0
"190/114.9341mz/7.37min",0,0,0,0,0
"191/116.9285mz/7.37min",0,0,0,0,0
"193/316.9477mz/7.37min",0,0,0,0,0
"195/353.1426mz/7.37min",0,0,0,0,0
"196/117.9286mz/7.37min",0,0,0,0,0
"197/248.9604mz/7.37min",0,0,0,0,0
"198/253.2173mz/7.37min",0,0,0,0,0
"201/351.1481mz/7.37min",0,0,0,0,0
"208/369.1372mz/7.43min",0,0,0,0,0
"209/325.1842mz/7.43min",0,0,0,0,0
"210/776.5452mz/7.48min",0,0,0,0,0
"212/599.3208mz/7.57min",0,0,0,0,0
"214/802.561mz/7.72min",0,0,0,0,0
"215/299.2591mz/7.71min",0,0,0,0,0
"218/114.9341mz/7.77min",0,0,0,0,0
"224/116.9285mz/7.77min",0,0,0,0,0
