"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"798/761.5873mz/8.07min",1794.6,10.809,"798"
"783/851.7094mz/7.89min",0.00073814,-10.404,"783"
"596/716.5223mz/7.37min",0.00089782,-10.121,"596"
"1008/758.5681mz/10.31min",836.51,9.7082,"1008"
"900/856.7401mz/8.99min",795.1,9.635,"900"
"578/732.553mz/7.37min",632.21,9.3043,"578"
"1038/386.7311mz/10.32min",583.18,9.1878,"1038"
"566/730.5378mz/7.37min",561.31,9.1326,"566"
"390/494.3236mz/5.82min",296.8,8.2133,"390"
"955/881.7515mz/10.16min",222.91,7.8003,"955"
"1010/718.5345mz/10.32min",179.26,7.4859,"1010"
"461/496.3393mz/6.21min",160.28,7.3245,"461"
"743/758.5691mz/7.87min",148.11,7.2105,"743"
"995/780.5505mz/10.24min",100.37,6.6493,"995"
"1011/760.5836mz/10.31min",99.739,6.6401,"1011"
"759/716.5222mz/7.86min",92.563,6.5324,"759"
"817/780.5508mz/8.22min",89.982,6.4916,"817"
"953/855.736mz/10.16min",73.448,6.1986,"953"
"565/754.5347mz/7.37min",72.865,6.1871,"565"
"732/732.5558mz/7.86min",70.929,6.1483,"732"
"729/730.538mz/7.85min",69.455,6.118,"729"
"786/738.504mz/7.9min",53.897,5.7521,"786"
"738/786.6002mz/7.87min",53.261,5.735,"738"
"890/851.7095mz/8.96min",0.01964,-5.67,"890"
"567/752.5196mz/7.37min",49.652,5.6338,"567"
"931/853.7234mz/9.73min",0.020913,-5.5795,"931"
"394/104.107mz/5.82min",47.649,5.5744,"394"
"811/754.5343mz/8.22min",46.996,5.5545,"811"
"747/760.5832mz/7.87min",41.185,5.3641,"747"
"818/782.5654mz/8.22min",38.223,5.2564,"818"
"770/351.2503mz/7.88min",0.026845,-5.2192,"770"
"972/823.6778mz/10.17min",30.166,4.9149,"972"
"366/225.0909mz/5.67min",0.037351,-4.7427,"366"
"1002/782.5654mz/10.23min",26.674,4.7374,"1002"
"772/172.9563mz/7.85min",0.038121,-4.7133,"772"
"678/754.5351mz/7.78min",25.766,4.6874,"678"
"849/371.3151mz/8.39min",21.39,4.4189,"849"
"974/703.5266mz/10.2min",21.309,4.4134,"974"
"364/105.0335mz/5.67min",0.047449,-4.3975,"364"
"367/320.1254mz/5.67min",0.047493,-4.3962,"367"
"1081/377.7375mz/10.45min",0.048895,-4.3542,"1081"
"385/452.2767mz/5.76min",19.971,4.3198,"385"
"736/754.5352mz/7.87min",19.902,4.3148,"736"
"744/780.551mz/7.87min",18.887,4.2393,"744"
"464/104.107mz/6.21min",18.701,4.2251,"464"
"363/279.0991mz/5.67min",0.056975,-4.1335,"363"
"455/454.2923mz/6.16min",16.129,4.0116,"455"
"680/752.5197mz/7.79min",14.834,3.8908,"680"
"692/780.5509mz/7.77min",14.679,3.8757,"692"
"645/113.0166mz/7.65min",0.070471,-3.8268,"645"
"827/851.7094mz/8.26min",0.079688,-3.6495,"827"
"259/195.1128mz/3.3min",11.739,3.5532,"259"
"947/771.6445mz/9.97min",0.085643,-3.5455,"947"
"556/752.52mz/7.22min",10.794,3.4322,"556"
"919/771.6463mz/9.65min",10.568,3.4016,"919"
"851/393.2971mz/8.39min",10.567,3.4015,"851"
"734/752.5198mz/7.87min",10.251,3.3577,"734"
"691/250.1777mz/7.77min",0.097958,-3.3517,"691"
"1042/716.5214mz/10.31min",0.10206,-3.2925,"1042"
"1029/385.7233mz/10.33min",0.1081,-3.2095,"1029"
"966/741.5994mz/10.19min",9.0125,3.1719,"966"
"938/771.6458mz/9.9min",0.11288,-3.1471,"938"
"693/408.3081mz/7.77min",0.12,-3.0589,"693"
"954/879.7402mz/10.15min",8.2836,3.0503,"954"
"941/797.6622mz/10.01min",8.2166,3.0385,"941"
"978/158.964mz/10.22min",0.12828,-2.9626,"978"
"867/379.3357mz/8.6min",7.627,2.9311,"867"
"773/223.9883mz/7.85min",0.13911,-2.8457,"773"
"610/365.2659mz/7.51min",0.144,-2.7959,"610"
"934/743.6153mz/9.87min",6.5531,2.7122,"934"
"915/879.7404mz/9.46min",0.16549,-2.5952,"915"
"676/690.507mz/7.77min",5.664,2.5018,"676"
"903/853.7236mz/8.98min",5.618,2.4901,"903"
"662/181.0144mz/7.68min",0.17837,-2.487,"662"
"957/883.7688mz/10.15min",5.3971,2.4322,"957"
"850/763.6053mz/8.39min",5.1971,2.3777,"850"
"1123/130.9664mz/11.14min",0.19255,-2.3767,"1123"
"686/808.582mz/7.77min",5.186,2.3746,"686"
"648/131.5335mz/7.66min",0.20683,-2.2735,"648"
"605/481.292mz/7.45min",0.20849,-2.2619,"605"
"541/425.2141mz/7.09min",4.76,2.251,"541"
"1115/199.9881mz/10.82min",0.21222,-2.2364,"1115"
"391/266.6392mz/5.81min",4.7083,2.2352,"391"
"487/522.3553mz/6.37min",4.6603,2.2204,"487"
"511/384.7459mz/6.64min",4.645,2.2157,"511"
"987/740.5197mz/10.22min",4.6167,2.2069,"987"
"260/239.0888mz/3.35min",0.21691,-2.2048,"260"
"625/481.292mz/7.57min",0.2191,-2.1903,"625"
"755/808.582mz/7.87min",4.5515,2.1863,"755"
"523/524.3709mz/6.79min",4.5485,2.1854,"523"
"789/385.7244mz/7.96min",4.5352,2.1812,"789"
"242/183.0917mz/2.89min",0.22078,-2.1793,"242"
"666/207.0175mz/7.71min",0.22105,-2.1775,"666"
"629/583.324mz/7.59min",4.4766,2.1624,"629"
"601/393.3342mz/7.42min",4.4517,2.1544,"601"
"497/555.2927mz/6.44min",4.4224,2.1448,"497"
"677/712.489mz/7.77min",4.3634,2.1255,"677"
"795/406.7481mz/7.99min",4.3366,2.1166,"795"
"600/392.3309mz/7.42min",4.3126,2.1086,"600"
"735/184.0734mz/7.87min",4.2911,2.1014,"735"
"1073/114.0164mz/10.37min",0.23509,-2.0887,"1073"
"499/365.1357mz/6.49min",4.1841,2.0649,"499"
"956/769.6307mz/10.17min",4.1817,2.0641,"956"
"917/745.5372mz/9.48min",0.24846,-2.0089,"917"
"882/687.5317mz/8.9min",3.9906,1.9966,"882"
"650/408.3081mz/7.69min",0.25204,-1.9883,"650"
"961/743.6119mz/10.15min",0.25229,-1.9868,"961"
"946/743.615mz/9.98min",0.2542,-1.976,"946"
"800/163.9905mz/8.1min",0.26139,-1.9357,"800"
"959/687.5313mz/10.17min",3.7747,1.9164,"959"
"583/808.582mz/7.38min",3.7088,1.891,"583"
"573/237.2212mz/7.37min",0.27335,-1.8712,"573"
"976/216.9226mz/10.2min",0.27829,-1.8453,"976"
"630/111.5218mz/7.58min",0.27872,-1.8431,"630"
"664/111.5218mz/7.68min",0.28254,-1.8235,"664"
"431/676.4484mz/6.1min",3.5208,1.8159,"431"
"988/226.9513mz/10.22min",0.28509,-1.8105,"988"
"887/379.3357mz/8.96min",0.28552,-1.8083,"887"
"688/395.2198mz/7.77min",0.29008,-1.7855,"688"
"579/255.2318mz/7.37min",0.29239,-1.774,"579"
"906/745.5372mz/9.0min",0.3004,-1.7351,"906"
"703/760.582mz/7.82min",3.324,1.7329,"703"
"1120/199.9881mz/10.87min",0.30144,-1.7301,"1120"
"471/318.2401mz/6.24min",0.30268,-1.7241,"471"
"240/138.055mz/2.84min",3.2982,1.7217,"240"
"866/213.9828mz/8.52min",3.2811,1.7142,"866"
"745/782.5642mz/7.87min",3.267,1.708,"745"
"582/577.5185mz/7.37min",0.30988,-1.6902,"582"
"806/633.1496mz/8.21min",3.1474,1.6542,"806"
"758/265.2525mz/7.87min",0.32135,-1.6378,"758"
"239/120.0444mz/2.83min",3.1108,1.6373,"239"
"869/349.3211mz/8.58min",3.1098,1.6368,"869"
"701/393.2194mz/7.77min",0.32733,-1.6112,"701"
"748/283.263mz/7.87min",0.33161,-1.5924,"748"
"852/349.321mz/8.41min",2.9895,1.5799,"852"
"633/337.2346mz/7.6min",2.9795,1.5751,"633"
"322/272.2582mz/5.22min",2.9666,1.5688,"322"
"340/256.2998mz/5.5min",2.956,1.5636,"340"
"1113/169.9772mz/10.75min",0.33843,-1.5631,"1113"
"457/313.2347mz/6.18min",0.34547,-1.5334,"457"
"702/352.3391mz/7.83min",0.34723,-1.5261,"702"
"763/378.2087mz/7.88min",0.35592,-1.4904,"763"
"746/352.3391mz/7.87min",0.36409,-1.4576,"746"
"204/205.0972mz/2.24min",0.36807,-1.4419,"204"
"206/188.0706mz/2.24min",0.3718,-1.4274,"206"
"241/171.0991mz/2.89min",2.6781,1.4212,"241"
"570/352.1778mz/7.37min",0.37428,-1.4178,"570"
"984/615.495mz/10.22min",2.6441,1.4028,"984"
"929/745.537mz/9.62min",0.3787,-1.4009,"929"
"627/111.0202mz/7.57min",0.37968,-1.3972,"627"
"685/782.5642mz/7.77min",2.5276,1.3378,"685"
"634/112.0179mz/7.57min",0.40656,-1.2985,"634"
"594/780.5507mz/7.41min",0.41569,-1.2664,"594"
"865/172.9563mz/8.52min",2.3695,1.2446,"865"
"1027/213.9827mz/10.32min",2.2678,1.1813,"1027"
"889/377.32mz/8.97min",0.44459,-1.1694,"889"
"838/340.3479mz/8.35min",2.2005,1.1378,"838"
"1055/165.9908mz/10.36min",0.45781,-1.1272,"1055"
"937/226.9514mz/9.92min",0.45933,-1.1224,"937"
"797/205.0171mz/8.09min",0.46074,-1.118,"797"
"343/332.3156mz/5.53min",2.1031,1.0725,"343"
"840/338.3415mz/8.35min",2.0811,1.0574,"840"
"558/256.2634mz/7.29min",2.066,1.0468,"558"
"969/146.9803mz/10.18min",0.48743,-1.0367,"969"
