"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"428/752.5197mz/7.9min",0.013284,-6.2341,"428"
"771/169.9773mz/10.81min",0.018475,-5.7583,"771"
"653/716.5218mz/10.22min",0.019574,-5.6749,"653"
"639/144.9822mz/10.18min",0.020321,-5.6209,"639"
"301/131.5336mz/7.61min",0.020991,-5.5741,"301"
"637/146.9803mz/10.17min",0.023581,-5.4062,"637"
"177/697.2629mz/6.1min",0.02478,-5.3347,"177"
"442/690.5064mz/8.21min",0.025224,-5.309,"442"
"607/823.6788mz/8.98min",0.025677,-5.2834,"607"
"287/365.266mz/7.51min",0.026327,-5.2473,"287"
"55/302.1304mz/3.8min",0.026345,-5.2463,"55"
"646/216.9227mz/10.2min",0.027045,-5.2085,"646"
"616/587.4644mz/9.62min",0.027265,-5.1968,"616"
"623/226.9514mz/9.94min",0.027321,-5.1939,"623"
"452/851.7097mz/8.22min",0.027419,-5.1887,"452"
"376/213.9829mz/7.87min",0.027808,-5.1684,"376"
"355/228.1958mz/7.77min",0.028161,-5.1501,"355"
"362/250.1777mz/7.78min",0.028364,-5.1398,"362"
"512/213.9829mz/8.58min",0.028558,-5.13,"512"
"64/300.1147mz/3.9min",0.028599,-5.1279,"64"
"357/408.3082mz/7.77min",0.028729,-5.1214,"357"
"65/322.0965mz/3.9min",0.028854,-5.1151,"65"
"665/226.9514mz/10.23min",0.02903,-5.1063,"665"
"63/473.1992mz/3.85min",0.029037,-5.1059,"63"
"202/220.1122mz/6.31min",0.029086,-5.1035,"202"
"56/324.1123mz/3.8min",0.029222,-5.0968,"56"
"193/357.2608mz/6.22min",0.029321,-5.0919,"193"
"183/719.245mz/6.11min",0.02962,-5.0773,"183"
"317/408.3081mz/7.7min",0.029698,-5.0735,"317"
"644/589.4798mz/10.2min",0.030165,-5.051,"644"
"539/378.3233mz/8.82min",0.030488,-5.0356,"539"
"132/347.3347mz/5.65min",0.030585,-5.0311,"132"
"519/366.3727mz/8.67min",0.030585,-5.031,"519"
"628/771.6468mz/10.03min",0.030644,-5.0282,"628"
"197/445.3131mz/6.25min",0.030659,-5.0275,"197"
"180/219.057mz/6.11min",0.030684,-5.0264,"180"
"179/255.5845mz/6.1min",0.030703,-5.0255,"179"
"79/450.2335mz/4.54min",0.03073,-5.0242,"79"
"345/80.9479mz/7.77min",0.030885,-5.017,"345"
"78/433.2067mz/4.54min",0.030903,-5.0161,"78"
"108/649.3063mz/5.23min",0.030974,-5.0128,"108"
"566/378.3234mz/8.96min",0.031155,-5.0044,"566"
"185/412.1433mz/6.11min",0.031345,-4.9956,"185"
"260/350.1775mz/7.37min",0.031351,-4.9954,"260"
"674/213.9827mz/10.32min",0.031409,-4.9927,"674"
"174/165.0911mz/6.1min",0.031498,-4.9886,"174"
"141/211.0754mz/5.68min",0.031534,-4.9869,"141"
"138/320.1255mz/5.68min",0.031567,-4.9855,"138"
"107/344.1301mz/5.23min",0.03157,-4.9853,"107"
"172/119.0856mz/6.1min",0.031633,-4.9824,"172"
"630/743.6156mz/10.04min",0.031721,-4.9784,"630"
"162/337.1712mz/5.99min",0.031803,-4.9747,"162"
"173/147.0805mz/6.1min",0.03186,-4.9721,"173"
"134/105.0335mz/5.68min",0.031964,-4.9674,"134"
"176/349.135mz/6.1min",0.031995,-4.966,"176"
"128/300.2896mz/5.58min",0.032032,-4.9643,"128"
"154/330.3364mz/5.89min",0.032118,-4.9605,"154"
"257/237.2213mz/7.37min",0.032123,-4.9603,"257"
"109/666.333mz/5.23min",0.032147,-4.9592,"109"
"527/546.4303mz/8.71min",0.032244,-4.9548,"527"
"276/255.2318mz/7.38min",0.032311,-4.9518,"276"
"220/577.3609mz/6.86min",0.032367,-4.9493,"220"
"163/359.1532mz/5.99min",0.032383,-4.9486,"163"
"418/351.2504mz/7.88min",0.032441,-4.946,"418"
"679/163.9905mz/10.33min",0.032454,-4.9455,"679"
"137/279.0991mz/5.68min",0.032456,-4.9454,"137"
"470/338.3415mz/8.35min",0.032514,-4.9428,"470"
"135/118.0651mz/5.68min",0.032523,-4.9424,"135"
"168/372.347mz/6.04min",0.032527,-4.9422,"168"
"136/225.091mz/5.68min",0.03254,-4.9416,"136"
"81/236.0805mz/4.54min",0.032661,-4.9363,"81"
"129/344.3157mz/5.61min",0.032686,-4.9352,"129"
"124/303.3085mz/5.48min",0.032875,-4.9268,"124"
"110/671.2884mz/5.24min",0.032951,-4.9235,"110"
"123/302.3052mz/5.48min",0.033109,-4.9166,"123"
"677/174.9533mz/10.33min",0.033301,-4.9083,"677"
"181/371.117mz/6.11min",0.03343,-4.9027,"181"
"182/372.1202mz/6.11min",0.033434,-4.9025,"182"
"152/631.3266mz/5.88min",0.033714,-4.8905,"152"
"595/851.7098mz/8.97min",0.03387,-4.8839,"595"
"142/887.3878mz/5.68min",0.03402,-4.8775,"142"
"493/312.3258mz/8.43min",0.034045,-4.8764,"493"
"680/169.9772mz/10.33min",0.034118,-4.8733,"680"
"80/455.1886mz/4.54min",0.034183,-4.8706,"80"
"283/481.2922mz/7.46min",0.034263,-4.8672,"283"
"241/478.2924mz/7.17min",0.034563,-4.8546,"241"
"160/328.3208mz/5.99min",0.03465,-4.851,"160"
"617/613.4225mz/9.62min",0.034725,-4.8479,"617"
