"","PC1","PC2","PC3","PC4","PC5","PC6"
"29/217.1047mz/2.24min",-0.066881,-0.02307,0.068009,-0.0008388,0.00021184,0.38622
"37/120.0445mz/2.83min",-0.066948,0.022628,0.036637,-0.00084642,0.00025006,0.24265
"38/138.0551mz/2.83min",-0.066733,0.024636,0.030674,-0.00083437,0.00024614,0.037319
"41/172.1333mz/3.19min",-0.065597,0.015032,0.0012554,-0.00075805,0.00028225,0.014388
"42/194.1153mz/3.19min",-0.065525,0.0010839,-0.0031198,-0.00072833,0.00027474,0.0019916
"45/217.0421mz/3.52min",0.0016311,-0.00015068,-9.1559e-05,0.0099914,0.078561,0.020113
"55/302.1304mz/3.8min",-0.072735,0.023702,-0.18441,-0.00040452,-0.00010104,0.038073
"56/324.1123mz/3.8min",-0.070949,0.0068665,-0.15022,-0.00044692,-1.5162e-05,-0.043366
"63/473.1992mz/3.85min",-0.070815,-0.025044,-0.17517,-0.00034598,-5.2085e-05,0.056772
"64/300.1147mz/3.9min",-0.071251,0.0017432,-0.16372,-0.00041032,-4.7574e-05,-0.029119
"65/322.0965mz/3.9min",-0.071078,0.00017439,-0.16085,-0.00041254,-4.5173e-05,0.019344
"69/325.1255mz/4.24min",-0.065688,0.015913,0.0095321,-0.00077607,0.00027949,-0.013002
"78/433.2067mz/4.54min",-0.069822,-0.02037,-0.14405,-0.00041521,9.7955e-06,0.02495
"79/450.2335mz/4.54min",-0.069995,-0.0094258,-0.13897,-0.00044282,1.4803e-05,0.061964
"80/455.1886mz/4.54min",-0.068139,-0.0065644,-0.086236,-0.00055164,0.0001204,0.050653
"81/236.0805mz/4.54min",-0.068871,-0.019912,-0.11805,-0.00046699,6.0835e-05,-0.045959
"85/211.9707mz/4.69min",-0.065891,-0.0049867,0.004896,-0.0007362,0.00025555,-0.086913
"87/229.9813mz/4.69min",-0.065889,-0.0049712,0.0056831,-0.00073789,0.00025625,-0.02582
"88/231.9791mz/4.69min",-0.065865,-0.0045687,0.0051475,-0.00073736,0.00025751,0.048279
"89/232.9823mz/4.69min",-0.066109,-0.0091042,0.0075014,-0.00073361,0.00023177,-0.068851
"90/230.9845mz/4.69min",-0.065818,-0.0042845,0.0022192,-0.00072965,0.00024784,-0.06234
"98/568.2963mz/4.73min",-0.067242,0.024116,0.044195,-0.00086264,0.00022962,0.052696
"99/573.2517mz/4.73min",-0.066347,0.011937,0.028846,-0.00081265,0.00026283,-0.032859
"105/426.9677mz/5.06min",0.00030585,-2.3414e-05,-3.9367e-06,0.011609,0.015378,0.024099
"107/344.1301mz/5.23min",-0.069483,-0.0098317,-0.12673,-0.00046361,2.761e-05,-0.057236
"108/649.3063mz/5.23min",-0.069887,-0.0014865,-0.12951,-0.00047316,2.5191e-05,0.035711
