"","Filename","Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML","NEG_D5-227-C1-a_Run221.mzML","NEG_D5-227-C1-b_Run224.mzML","NEG_D5-227-C1-c_Run227.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","28/217.1047mz/2.24min","873157.44","1119584.6","874888.25","0.0","0.0","0.0"
"3","29/140.0683mz/2.44min","43240.918","86922.38","86683.18","0.0","0.0","0.0"
"4","30/316.2115mz/2.52min","378905.0","172567.9","192132.47","0.0","0.0","0.0"
"5","31/121.0294mz/2.65min","0.0","0.0","0.0","831143.9","924592.1","839256.4"
"6","32/316.2116mz/2.68min","483951.94","316461.5","108783.01","0.0","0.0","0.0"
"7","33/89.0598mz/2.75min","1227202.5","462431.1","361792.6","0.0","0.0","0.0"
"8","34/272.1855mz/2.75min","457010.9","316054.78","286595.44","0.0","0.0","0.0"
"9","35/217.1071mz/2.8min","302399.5","251867.11","562677.25","0.0","0.0","0.0"
"10","36/257.0995mz/2.8min","635531.0","551323.1","1194898.0","0.0","0.0","0.0"
"11","37/120.0445mz/2.83min","2561646.0","2504766.0","2225040.0","0.0","0.0","0.0"
"12","38/138.0551mz/2.83min","729429.0","699165.94","635383.44","0.0","0.0","0.0"
"13","40/172.0978mz/3.03min","0.0","0.0","0.0","515014.94","548585.9","450822.56"
"14","41/165.0555mz/3.09min","0.0","0.0","0.0","774156.56","770230.7","859388.8"
"15","42/345.1518mz/3.13min","252543.84","184725.34","539637.94","0.0","0.0","0.0"
"16","43/172.1333mz/3.19min","1050209.2","1000862.06","1013033.6","0.0","0.0","0.0"
"17","44/194.1153mz/3.19min","5550690.0","5608868.5","5752086.5","0.0","0.0","0.0"
"18","46/239.089mz/3.35min","585025.5","621064.56","785703.9","0.0","0.0","0.0"
"19","47/217.0421mz/3.52min","0.0","0.0","0.0","439592.0","660038.75","524772.44"
"20","48/219.0571mz/3.52min","472468.16","704063.7","571939.8","0.0","0.0","0.0"
"21","49/233.0726mz/3.55min","111962.734","61915.23","174515.22","0.0","0.0","0.0"
"22","50/255.0545mz/3.55min","103437.08","40652.473","154486.44","0.0","0.0","0.0"
"23","51/201.0596mz/3.65min","183206.77","150574.69","383144.03","0.0","0.0","0.0"
"24","52/217.1071mz/3.66min","123977.27","96024.46","165238.33","0.0","0.0","0.0"
"25","53/385.1465mz/3.65min","311265.3","259329.77","648033.3","0.0","0.0","0.0"
"26","54/361.1502mz/3.65min","0.0","0.0","0.0","563608.1","567940.6","551561.8"
"27","55/345.1541mz/3.66min","50080.805","46512.25","134678.56","0.0","0.0","0.0"
"28","56/140.0683mz/3.74min","70989.58","104845.33","104798.42","0.0","0.0","0.0"
"29","57/322.0966mz/3.77min","60915.984","55392.29","106577.98","0.0","0.0","0.0"
"30","58/302.1304mz/3.8min","955356.5","634986.25","1293005.6","0.0","0.0","0.0"
"31","59/324.1123mz/3.8min","2224620.2","1698226.6","3029360.2","0.0","0.0","0.0"
"32","60/217.1072mz/3.85min","77007.41","56348.49","150358.2","0.0","0.0","0.0"
"33","61/468.2438mz/3.85min","326846.06","266037.78","521222.72","0.0","0.0","0.0"
"34","62/449.2026mz/3.84min","0.0","0.0","0.0","873917.25","1058280.1","830615.25"
"35","63/245.0858mz/3.85min","520364.78","465661.06","900811.2","0.0","0.0","0.0"
"36","64/433.2065mz/3.85min","140299.77","108370.22","256059.61","0.0","0.0","0.0"
"37","65/451.2171mz/3.85min","556432.06","477445.4","979511.1","0.0","0.0","0.0"
"38","66/473.1992mz/3.85min","2087157.5","1775188.2","3451053.8","0.0","0.0","0.0"
"39","67/300.1147mz/3.9min","959815.4","733447.1","1374672.9","0.0","0.0","0.0"
