"","FC","log2(FC)","raw.pval","-log10(p)"
"758/143.9809mz/10.37min",0.039591,-4.6587,9.9467e-12,11.002
"756/141.9833mz/10.37min",0.039529,-4.6609,1.8428e-11,10.735
"692/663.4535mz/10.09min",0.039618,-4.6577,2.0031e-11,10.698
"781/156.9906mz/10.38min",0.039491,-4.6623,2.5347e-11,10.596
"775/112.0178mz/10.38min",0.0395,-4.662,5.0376e-11,10.298
"770/90.5067mz/10.37min",0.03932,-4.6686,9.4283e-11,10.026
"774/111.0202mz/10.38min",0.039467,-4.6632,1.1693e-10,9.9321
"695/726.4616mz/10.09min",0.039303,-4.6692,1.2375e-10,9.9075
"830/145.0353mz/10.94min",0.039324,-4.6684,1.2504e-10,9.9029
"738/110.0201mz/10.33min",0.039301,-4.6693,1.4176e-10,9.8484
"755/139.9879mz/10.37min",0.039278,-4.6701,1.4905e-10,9.8267
"776/112.5195mz/10.38min",0.039245,-4.6713,1.5144e-10,9.8197
"773/91.5044mz/10.38min",0.039241,-4.6715,1.7365e-10,9.7603
"753/207.0174mz/10.36min",0.039432,-4.6645,1.9441e-10,9.7113
"118/256.2998mz/5.42min",0.039187,-4.6735,2.1256e-10,9.6725
"777/113.0166mz/10.38min",0.03941,-4.6653,2.5031e-10,9.6015
"754/209.0129mz/10.36min",0.039333,-4.6681,2.8971e-10,9.538
"768/111.5218mz/10.37min",0.039213,-4.6725,2.9151e-10,9.5353
"783/158.986mz/10.38min",0.039105,-4.6765,5.372e-10,9.2699
"816/154.0049mz/10.5min",0.038999,-4.6804,5.7621e-10,9.2394
"645/379.3358mz/8.97min",0.038981,-4.6811,7.1008e-10,9.1487
"779/215.9837mz/10.38min",0.038953,-4.6821,7.1386e-10,9.1464
"44/194.1153mz/3.19min",0.039159,-4.6745,7.879e-10,9.1035
"810/208.0393mz/10.49min",0.038959,-4.6819,9.5033e-10,9.0221
"732/172.9563mz/10.33min",0.038951,-4.6822,9.5265e-10,9.0211
"348/282.2215mz/7.75min",0.038872,-4.6851,1.1476e-09,8.9402
"829/147.0309mz/10.85min",0.038829,-4.6867,1.2092e-09,8.9175
"819/139.0179mz/10.52min",0.039245,-4.6713,1.3326e-09,8.8753
"694/708.5108mz/10.09min",0.038922,-4.6833,1.3522e-09,8.869
"762/184.9855mz/10.37min",0.039249,-4.6712,1.487e-09,8.8277
"760/186.9809mz/10.37min",0.038961,-4.6818,1.5223e-09,8.8175
"532/136.0216mz/8.42min",0.039084,-4.6773,1.6023e-09,8.7952
"734/182.9851mz/10.33min",0.038962,-4.6818,1.6393e-09,8.7853
"737/98.512mz/10.33min",0.03896,-4.6818,1.7103e-09,8.7669
"217/409.1923mz/6.6min",0.038741,-4.69,1.7105e-09,8.7669
"747/196.0167mz/10.34min",0.038764,-4.6891,1.8147e-09,8.7412
"817/167.0128mz/10.5min",0.038808,-4.6875,2.0924e-09,8.6794
"807/102.0339mz/10.48min",0.038986,-4.6809,2.2205e-09,8.6535
"43/172.1333mz/3.19min",0.038971,-4.6815,2.5564e-09,8.5924
"808/102.5354mz/10.49min",0.038864,-4.6854,2.6123e-09,8.583
"826/184.0029mz/10.56min",0.038633,-4.694,2.6291e-09,8.5802
"767/111.5189mz/10.37min",0.038613,-4.6948,2.6794e-09,8.572
"133/195.1016mz/5.61min",0.038941,-4.6826,2.9466e-09,8.5307
"814/168.0161mz/10.49min",0.03887,-4.6852,3.284e-09,8.4836
"795/94.0451mz/10.45min",0.038548,-4.6972,3.3941e-09,8.4693
"731/205.0171mz/10.32min",0.038544,-4.6973,3.4768e-09,8.4588
"97/230.9845mz/4.69min",0.038527,-4.698,3.543e-09,8.4506
"789/130.5216mz/10.41min",0.038855,-4.6857,3.6781e-09,8.4344
"820/201.9756mz/10.52min",0.038828,-4.6867,3.7128e-09,8.4303
"95/231.9791mz/4.69min",0.038503,-4.6989,3.8922e-09,8.4098
"646/380.339mz/8.97min",0.038567,-4.6965,3.9317e-09,8.4054
"72/325.1255mz/4.24min",0.038772,-4.6888,4.4006e-09,8.3565
"572/201.9757mz/8.72min",0.038492,-4.6993,4.4314e-09,8.3535
"92/211.9707mz/4.69min",0.038451,-4.7008,4.504e-09,8.3464
"769/131.5335mz/10.37min",0.038698,-4.6916,4.5092e-09,8.3459
"94/229.9813mz/4.69min",0.038456,-4.7006,4.5575e-09,8.3413
"739/138.9953mz/10.33min",0.038381,-4.7035,5.5342e-09,8.2569
"788/109.5217mz/10.41min",0.03854,-4.6975,5.9072e-09,8.2286
"821/97.9914mz/10.53min",0.038422,-4.7019,6.0462e-09,8.2185
"763/181.0144mz/10.37min",0.038282,-4.7072,7.5378e-09,8.1228
"728/223.9882mz/10.31min",0.038927,-4.6831,9.0965e-09,8.0411
"538/352.3391mz/8.53min",0.038879,-4.6848,9.8759e-09,8.0054
"813/81.5205mz/10.49min",0.03851,-4.6986,9.8882e-09,8.0049
"765/114.0165mz/10.37min",0.03815,-4.7122,1.0003e-08,7.9999
"761/183.0098mz/10.37min",0.038119,-4.7133,1.06e-08,7.9747
"815/125.9862mz/10.5min",0.038318,-4.7058,1.1389e-08,7.9435
"96/232.9823mz/4.69min",0.037963,-4.7193,1.6418e-08,7.7847
"787/165.9829mz/10.4min",0.037866,-4.7229,1.8543e-08,7.7318
"831/171.9929mz/10.99min",0.037893,-4.7219,1.8745e-08,7.7271
"741/97.5144mz/10.33min",0.038365,-4.7041,2.0586e-08,7.6864
"663/352.3391mz/9.09min",0.0387,-4.6915,2.6084e-08,7.5836
"633/377.3201mz/8.96min",0.037655,-4.731,3.2737e-08,7.485
"102/573.2517mz/4.73min",0.037559,-4.7347,3.4846e-08,7.4579
"824/225.0294mz/10.55min",0.037579,-4.7339,3.9065e-08,7.4082
"818/90.5259mz/10.51min",0.037423,-4.7399,4.3169e-08,7.3648
"693/685.4354mz/10.09min",0.038172,-4.7113,5.3111e-08,7.2748
"746/154.9902mz/10.34min",0.037484,-4.7376,5.8812e-08,7.2305
"222/301.1408mz/6.65min",0.037686,-4.7298,6.4096e-08,7.1932
"122/470.1853mz/5.43min",0.037154,-4.7504,6.6404e-08,7.1778
"651/481.2921mz/8.97min",0.037507,-4.7367,7.2145e-08,7.1418
"147/399.1482mz/5.73min",0.03704,-4.7548,7.6945e-08,7.1138
"527/413.2657mz/8.38min",0.037002,-4.7563,9.9921e-08,7.0003
"729/385.7238mz/10.32min",0.036881,-4.761,1.0475e-07,6.9798
"149/344.3157mz/5.77min",0.037256,-4.7464,1.0765e-07,6.968
"742/89.5067mz/10.33min",0.038232,-4.7091,1.0792e-07,6.9669
"700/80.9479mz/10.18min",0.0375,-4.7369,1.1872e-07,6.9255
"707/615.4952mz/10.21min",0.037006,-4.7561,1.1998e-07,6.9209
"750/152.9949mz/10.34min",0.036919,-4.7595,1.2336e-07,6.9088
"823/111.039mz/10.53min",0.036876,-4.7612,1.259e-07,6.9
"38/138.0551mz/2.83min",0.036728,-4.767,1.4136e-07,6.8497
"577/377.3199mz/8.82min",0.036625,-4.771,1.4302e-07,6.8446
"526/391.2839mz/8.38min",0.03799,-4.7182,1.495e-07,6.8254
"647/395.3306mz/8.97min",0.036754,-4.7659,1.8267e-07,6.7383
"37/120.0445mz/2.83min",0.036408,-4.7796,1.8343e-07,6.7365
"121/448.2033mz/5.43min",0.036351,-4.7819,1.9433e-07,6.7115
"812/104.0302mz/10.49min",0.036318,-4.7832,2.0447e-07,6.6894
"130/437.193mz/5.58min",0.03688,-4.761,2.1797e-07,6.6616
"310/377.3202mz/7.47min",0.036396,-4.7801,2.3651e-07,6.6262
"452/352.3391mz/7.88min",0.037079,-4.7533,2.4619e-07,6.6087
"743/113.9636mz/10.33min",0.037492,-4.7373,2.8811e-07,6.5404
"467/579.2631mz/7.9min",0.03717,-4.7497,2.9444e-07,6.531
"449/378.2088mz/7.88min",0.036221,-4.787,3.006e-07,6.522
"211/433.19mz/6.37min",0.035922,-4.799,3.0101e-07,6.5214
"146/377.1662mz/5.72min",0.035932,-4.7986,3.1245e-07,6.5052
"114/318.3mz/5.24min",0.036802,-4.7641,3.2973e-07,6.4818
"101/568.2963mz/4.73min",0.035783,-4.8046,3.516e-07,6.454
"784/115.964mz/10.38min",0.036269,-4.7851,4.8928e-07,6.3104
"448/283.2631mz/7.88min",0.035539,-4.8145,4.9839e-07,6.3024
"349/579.2632mz/7.75min",0.036471,-4.7771,6.2099e-07,6.2069
"193/313.2347mz/6.19min",0.036909,-4.7599,7.3797e-07,6.132
