"Log2_FoldChange","MetaboAnalyst_ID"
-0.029213,"37/217.1047mz/2.24min"
-0.18788,"44/257.0995mz/2.8min"
0.59642,"45/120.0445mz/2.83min"
0.62317,"46/138.0551mz/2.83min"
2.5461,"48/171.0992mz/2.86min"
0.055568,"52/172.1333mz/3.19min"
0.15269,"53/194.1153mz/3.19min"
0.25758,"54/212.1258mz/3.2min"
0.61155,"56/239.0889mz/3.35min"
1.4519,"57/194.1153mz/3.33min"
-0.70697,"67/302.1303mz/3.8min"
-0.28811,"68/324.1123mz/3.8min"
-0.42911,"73/473.1992mz/3.84min"
-0.63916,"75/300.1146mz/3.9min"
-0.19855,"76/322.0965mz/3.9min"
0.30189,"79/222.1465mz/4.05min"
-0.062943,"80/325.1255mz/4.24min"
0.082978,"82/255.0544mz/4.36min"
-0.39617,"89/433.2067mz/4.54min"
-1.4272,"90/450.2335mz/4.54min"
-0.27221,"91/236.0805mz/4.54min"
-0.35333,"92/455.1886mz/4.54min"
8.9188e-05,"95/230.9845mz/4.69min"
-0.038623,"96/211.9707mz/4.69min"
0.00055877,"99/231.9791mz/4.69min"
0.0050307,"100/232.9823mz/4.69min"
-0.34053,"106/573.2517mz/4.73min"
-0.35167,"115/649.3064mz/5.23min"
-1.1097,"116/666.3331mz/5.23min"
-0.24934,"117/344.1302mz/5.23min"
-0.3015,"118/671.2886mz/5.23min"
-0.1099,"119/318.3001mz/5.24min"
0.26083,"123/298.2739mz/5.3min"
-1.2615,"126/256.2999mz/5.42min"
0.0017779,"128/284.6054mz/5.43min"
-0.29933,"129/448.2035mz/5.43min"
0.0059054,"130/917.3815mz/5.43min"
-0.091823,"131/470.1855mz/5.43min"
-0.10715,"132/304.2998mz/5.45min"
0.25302,"133/302.3053mz/5.48min"
0.2638,"135/303.3086mz/5.48min"
0.15078,"139/301.293mz/5.58min"
0.12379,"141/300.2897mz/5.58min"
-0.3566,"142/437.1931mz/5.58min"
0.1118,"143/344.3158mz/5.61min"
-0.089521,"144/195.1017mz/5.61min"
-0.075899,"148/347.3348mz/5.65min"
-0.08061,"149/346.3314mz/5.65min"
0.32412,"150/118.0651mz/5.67min"
0.31982,"151/225.0911mz/5.67min"
0.36817,"152/320.1256mz/5.67min"
0.55065,"153/535.2089mz/5.67min"
0.36305,"155/279.0992mz/5.67min"
0.36636,"156/105.0335mz/5.67min"
0.39715,"157/211.0755mz/5.68min"
-0.49171,"159/887.388mz/5.68min"
-0.22853,"160/377.1663mz/5.72min"
-0.011614,"161/399.1483mz/5.72min"
0.17794,"162/284.2947mz/5.75min"
-0.091475,"163/344.3158mz/5.77min"
-0.24842,"166/517.2518mz/5.81min"
-0.15698,"169/339.1119mz/5.83min"
-0.11112,"171/631.3268mz/5.88min"
0.13621,"172/330.3365mz/5.89min"
0.039474,"176/449.1848mz/5.95min"
0.17229,"178/328.3209mz/5.99min"
0.071248,"180/359.1533mz/5.99min"
-0.11427,"181/337.1713mz/5.99min"
0.21656,"184/359.2402mz/6.0min"
0.069969,"187/372.3471mz/6.04min"
-0.49818,"191/165.0911mz/6.1min"
-0.55639,"192/119.0856mz/6.1min"
-0.51949,"193/147.0806mz/6.1min"
-0.14516,"194/244.0766mz/6.1min"
-0.48072,"195/349.1351mz/6.1min"
-0.86032,"196/697.2629mz/6.1min"
-0.14942,"198/255.5846mz/6.1min"
-0.34238,"199/219.0571mz/6.1min"
-0.23187,"200/371.1171mz/6.1min"
-0.24009,"201/372.1203mz/6.1min"
-0.30708,"202/719.2451mz/6.1min"
-0.28621,"203/412.1434mz/6.1min"
0.072451,"206/532.2586mz/6.16min"
0.38037,"207/313.2348mz/6.18min"
0.25116,"211/357.2609mz/6.22min"
0.93308,"214/318.2402mz/6.23min"
0.15386,"216/401.2871mz/6.24min"
0.27298,"218/445.3132mz/6.25min"
0.060687,"220/255.2431mz/6.3min"
0.11177,"221/220.1122mz/6.3min"
-0.040375,"225/433.1901mz/6.37min"
-0.16607,"227/275.0831mz/6.37min"
0.079515,"231/431.1743mz/6.6min"
-0.17319,"232/409.1924mz/6.6min"
1.1608,"236/228.2323mz/6.65min"
-0.21403,"237/301.1409mz/6.65min"
0.1765,"239/342.2426mz/6.77min"
0.11309,"242/577.361mz/6.86min"
0.61586,"261/517.3708mz/7.1min"
0.52289,"263/473.3446mz/7.1min"
0.41098,"264/429.3183mz/7.1min"
0.10856,"267/478.2925mz/7.17min"
0.30882,"268/368.2582mz/7.21min"
0.043764,"285/237.2213mz/7.37min"
0.37005,"290/354.1733mz/7.37min"
0.20679,"292/323.2192mz/7.37min"
-0.22168,"293/350.1776mz/7.37min"
0.3663,"294/352.1779mz/7.37min"
0.21744,"298/716.5222mz/7.37min"
0.098653,"299/255.2319mz/7.37min"
0.12717,"300/782.5662mz/7.37min"
0.11787,"310/481.2923mz/7.45min"
0.15519,"313/395.3307mz/7.47min"
0.065834,"314/377.3202mz/7.47min"
-0.11542,"316/365.2661mz/7.51min"
-0.15773,"320/579.2634mz/7.54min"
0.043191,"327/481.2922mz/7.57min"
0.51634,"329/111.5219mz/7.58min"
0.51303,"332/111.0203mz/7.58min"
0.85474,"333/181.0145mz/7.62min"
0.31747,"335/131.5336mz/7.62min"
0.69865,"356/226.1802mz/7.69min"
0.79529,"361/408.3083mz/7.69min"
0.023479,"370/740.4048mz/7.74min"
0.042289,"372/282.2217mz/7.74min"
-0.15113,"374/579.2634mz/7.75min"
-0.33756,"375/557.2814mz/7.75min"
-0.39497,"376/421.156mz/7.75min"
-0.13666,"387/393.2197mz/7.77min"
0.48602,"391/395.2201mz/7.77min"
0.58021,"408/226.1802mz/7.77min"
0.55235,"409/228.1959mz/7.77min"
0.58833,"410/244.1908mz/7.77min"
0.65871,"411/408.3083mz/7.77min"
0.56017,"413/250.1778mz/7.77min"
0.63823,"414/266.1727mz/7.77min"
-1.2814,"434/213.983mz/7.87min"
1.9099,"436/223.9885mz/7.87min"
-0.1235,"437/172.9565mz/7.87min"
1.7352,"439/377.3202mz/7.86min"
-0.25882,"451/265.2526mz/7.87min"
-0.21932,"456/283.2632mz/7.87min"
-0.067745,"457/378.2089mz/7.87min"
0.4861,"458/780.5512mz/7.87min"
0.28841,"459/808.5825mz/7.87min"
-0.18587,"461/351.2505mz/7.87min"
-0.19015,"462/352.3393mz/7.87min"
0.35203,"466/851.7097mz/7.89min"
1.4266,"468/730.538mz/7.9min"
0.057938,"470/782.5663mz/7.88min"
1.4561,"471/752.52mz/7.89min"
0.031427,"476/579.2633mz/7.9min"
-0.32227,"481/284.2948mz/7.98min"
0.74269,"485/205.0173mz/8.14min"
0.30915,"487/163.9906mz/8.14min"
0.63234,"488/690.5067mz/8.19min"
0.88708,"494/712.4885mz/8.22min"
2.4204,"495/823.6786mz/8.21min"
0.55567,"499/752.5198mz/8.21min"
0.30467,"502/851.7098mz/8.21min"
-1.2622,"516/338.3416mz/8.34min"
0.90837,"521/716.5222mz/8.37min"
-0.96619,"522/391.2841mz/8.37min"
-0.6833,"523/413.2658mz/8.37min"
0.78356,"524/738.5039mz/8.38min"
0.36307,"525/393.2973mz/8.39min"
-2.64,"527/136.0217mz/8.4min"
-0.83802,"528/312.3258mz/8.43min"
-1.0708,"529/352.3392mz/8.54min"
-1.6336,"533/213.9829mz/8.58min"
3.2352,"534/379.3359mz/8.67min"
3.3324,"535/380.339mz/8.67min"
0.088601,"536/201.9757mz/8.64min"
-0.69938,"541/546.4304mz/8.7min"
0.40339,"546/377.32mz/8.81min"
-0.11132,"547/378.3234mz/8.81min"
0.91941,"548/687.5318mz/8.92min"
-4.0216,"550/852.7129mz/8.96min"
-1.445,"551/377.3201mz/8.96min"
-1.2284,"553/378.3234mz/8.96min"
-1.9212,"554/379.3358mz/8.96min"
-0.69034,"555/395.3306mz/8.96min"
-5.2842,"556/851.7096mz/8.96min"
0.22263,"557/853.7207mz/8.97min"
0.21054,"558/879.7406mz/8.96min"
-1.8641,"559/380.339mz/8.96min"
-0.35722,"562/823.6788mz/8.96min"
-0.39995,"563/481.2922mz/8.97min"
-0.1729,"565/717.5061mz/9.06min"
-1.1567,"566/352.3392mz/9.06min"
-0.45042,"570/587.4643mz/9.61min"
-0.52154,"571/613.4225mz/9.62min"
1.6459,"572/587.3707mz/9.63min"
1.6103,"573/519.3079mz/9.63min"
1.6513,"574/451.2452mz/9.63min"
1.7155,"576/383.1826mz/9.63min"
-3.8336,"577/879.7408mz/9.68min"
3.6829,"578/771.6467mz/9.69min"
1.8166,"585/743.6156mz/9.94min"
0.9497,"587/226.9515mz/9.92min"
-3.7497,"593/771.6461mz/9.98min"
-1.6856,"595/743.6156mz/9.99min"
-1.2456,"596/663.4535mz/10.08min"
-0.62231,"597/685.4355mz/10.08min"
-0.69361,"598/726.4616mz/10.08min"
-0.90136,"600/708.5109mz/10.09min"
1.7325,"601/797.6624mz/10.17min"
3.3298,"602/879.7406mz/10.13min"
2.9027,"603/769.6311mz/10.18min"
2.6291,"604/687.5316mz/10.17min"
3.6836,"607/823.6782mz/10.13min"
-0.31964,"608/146.9803mz/10.17min"
-0.30382,"610/101.0709mz/10.17min"
-0.58897,"612/144.9822mz/10.17min"
-1.2942,"615/80.9479mz/10.18min"
