"","filter","Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML","POS_D5-227-C1-a_Run220.mzML","POS_D5-227-C1-b_Run223.mzML","POS_D5-227-C1-c_Run226.mzML"
"37/217.1047mz/2.24min",1042022.9,873157.44,1119584.6,874888.25,1032640.8,1175918.6,1051405
"38/140.0683mz/2.46min",82339.685,43240.918,86922.38,86683.18,66980.586,106239.73,77996.19
"39/316.2115mz/2.51min",151224.23,378905,172567.9,192132.47,102297.234,92787.086,129880.56
"40/316.2116mz/2.67min",219385.045,483951.94,316461.5,108783.01,190683.64,236829.69,201940.4
"41/89.0598mz/2.74min",369365,1227202.5,462431.1,361792.6,376937.4,45520.92,268692.7
"42/272.1855mz/2.75min",261692.355,457010.9,316054.78,286595.44,208987.67,236789.27,211187.58
"43/217.1071mz/2.8min",301722.33,302399.5,251867.11,562677.25,301045.16,327850.5,266355.78
"44/257.0995mz/2.8min",775891.85,635531,551323.1,1194898,796385.4,872630.5,755398.3
"45/120.0445mz/2.83min",2987540.25,2561646,2504766,2225040,4333007,5065797.5,3413434.5
"46/138.0551mz/2.83min",855705.1,729429,699165.94,635383.44,1235076.8,1478109.4,981981.2
"48/171.0992mz/2.86min",1575768.38,490318.56,465511.38,267178.84,2776710.2,2661218.2,2887662
"49/183.0918mz/2.88min",261319.665,117735.86,237163.77,77984.47,356722.88,525847.3,285475.56
"51/345.1518mz/3.13min",254661.005,252543.84,184725.34,539637.94,256778.17,270517.97,195063.22
"52/172.1333mz/3.19min",1138731.6,1050209.2,1000862.06,1013033.6,1239963.8,1227254,1235639.2
"53/194.1153mz/3.19min",6267668.5,5550690,5608868.5,5752086.5,6783250.5,7227427,7843306.5
"54/212.1258mz/3.2min",654148.02,559439.1,544050.7,556927.3,784317.06,748856.94,774320.3
"56/239.0889mz/3.35min",703384.23,585025.5,621064.56,785703.9,1978852.8,980225,560678.2
"57/194.1153mz/3.33min",605025.89,312806.72,205694.27,494865.72,1390354,715186.06,1115326.8
"58/219.057mz/3.52min",518840.98,472468.16,704063.7,571939.8,380568.56,565213.8,447568.38
"59/233.0726mz/3.55min",94114.58,111962.734,61915.23,174515.22,102226.56,86002.6,83895.375
"60/255.0545mz/3.55min",112309.18,103437.08,40652.473,154486.44,121181.28,95798.35,128412.484
"61/201.0596mz/3.65min",246835.09,183206.77,150574.69,383144.03,251704.98,241965.2,256441.4
"62/217.1071mz/3.65min",155857.625,123977.27,96024.46,165238.33,158041.31,153673.94,159044.78
"63/385.1465mz/3.65min",414443.425,311265.3,259329.77,648033.3,413013.47,417599.44,415873.38
"64/345.1541mz/3.66min",71191.943,50080.805,46512.25,134678.56,71602.266,70781.62,74514.97
"65/140.0683mz/3.72min",87894,70989.58,104845.33,104798.42,26222.422,58163.613,131149.33
"66/322.0966mz/3.77min",63922.392,60915.984,55392.29,106577.98,66928.8,87386.52,59457.97
"67/302.1303mz/3.8min",702188.22,955356.5,634986.25,1293005.6,722882.94,681493.5,649824.8
"68/324.1123mz/3.8min",2257010.2,2224620.2,1698226.6,3029360.2,2289400.2,2300273.2,2026433.2
"69/217.1072mz/3.84min",77812.873,77007.41,56348.49,150358.2,78618.336,90987.25,70019.6
"70/468.2437mz/3.84min",210284.335,326846.06,266037.78,521222.72,128255.01,154530.89,115783.125
"71/433.2064mz/3.84min",139932.345,140299.77,108370.22,256059.61,139564.92,171385.17,120594.68
"72/451.2171mz/3.84min",559073.81,556432.06,477445.4,979511.1,561715.56,677579.44,523395.62
"73/473.1992mz/3.84min",2060611.25,2087157.5,1775188.2,3451053.8,2034065,2398092.5,1869840.2
"74/245.0858mz/3.84min",559111.52,520364.78,465661.06,900811.2,576525.6,668046.94,541697.44
"75/300.1146mz/3.9min",782176.33,959815.4,733447.1,1374672.9,796791.56,767561.1,724264.8
"76/322.0965mz/3.9min",835145.975,789315.5,610660.44,1131831,892706.56,866603.7,803688.25
"77/203.0621mz/3.9min",149971.735,159196.42,175056.88,221874,122217.266,140747.05,114224.805
