"","PC1","PC2","PC3","PC4","PC5","PC6"
"37/217.1047mz/2.24min",-0.0020771,-0.010732,-0.011416,0.040531,-0.025587,-0.17846
"44/257.0995mz/2.8min",-0.0064775,-0.0080026,-0.035107,-0.082572,0.13293,-0.099208
"45/120.0445mz/2.83min",0.034431,0.0095428,-0.03442,0.066867,0.017963,0.10202
"46/138.0551mz/2.83min",0.035989,0.0090199,-0.03363,0.067708,0.024363,-0.032331
"48/171.0992mz/2.86min",0.15384,0.0075923,0.016782,0.071599,-0.10036,-0.067232
"52/172.1333mz/3.19min",0.0038269,0.0074813,0.0064278,0.0037241,0.0065218,-0.11022
"53/194.1153mz/3.19min",0.0091016,-0.0055256,0.016264,-0.0047726,0.0057522,0.11327
"54/212.1258mz/3.2min",0.015502,0.0060341,0.0017131,-0.0050036,0.0010922,0.036297
"56/239.0889mz/3.35min",0.023965,0.061074,-0.16641,-0.034963,0.0096601,-0.03651
"57/194.1153mz/3.33min",0.088545,0.029413,-0.0223,-0.18649,0.056971,0.020766
"67/302.1303mz/3.8min",-0.036682,0.022556,0.00018606,-0.070017,0.1257,0.043481
"68/324.1123mz/3.8min",-0.013924,0.012718,-0.015833,-0.050572,0.10646,-0.01136
"73/473.1992mz/3.84min",-0.022159,-0.0030859,-0.031505,-0.049504,0.13285,-0.01058
"75/300.1146mz/3.9min",-0.034044,0.013731,-0.00938,-0.065904,0.1092,-0.030956
"76/322.0965mz/3.9min",-0.0083721,0.010592,-0.01658,-0.064592,0.10469,0.048134
"79/222.1465mz/4.05min",0.018023,0.0037404,-0.001091,0.0080598,-0.0011193,-0.018199
"80/325.1255mz/4.24min",-0.0031013,0.0059346,0.01506,0.0055863,0.0018007,-0.016921
"82/255.0544mz/4.36min",0.0093657,0.0080753,-0.0043575,-0.12248,0.094131,-0.0074796
"89/433.2067mz/4.54min",-0.021811,0.00023883,-0.040483,-0.023774,0.12296,0.098975
"90/450.2335mz/4.54min",-0.082591,0.0095596,-0.027696,-0.0068764,0.13817,-0.10314
"91/236.0805mz/4.54min",-0.015125,-0.00077361,-0.036839,-0.018068,0.10243,0.064053
"92/455.1886mz/4.54min",-0.020148,0.0034887,-0.022771,-0.0075874,0.081713,0.067024
"95/230.9845mz/4.69min",3.739e-05,0.00058534,0.001268,-0.0037122,0.00027584,0.054868
"96/211.9707mz/4.69min",-0.0022613,0.00032132,0.00079269,-0.001008,0.00017741,0.036671
"99/231.9791mz/4.69min",4.3275e-05,0.00020491,-9.8398e-05,7.6279e-05,0.00053621,-0.0368
"100/232.9823mz/4.69min",0.00018674,-0.00030802,-0.0019657,-0.0037896,-0.0050348,-0.00040705
"106/573.2517mz/4.73min",-0.019628,0.0059237,0.026882,-0.00047107,-0.019016,0.0025656
"115/649.3064mz/5.23min",-0.018926,0.0077198,-0.027016,-0.02373,0.10893,0.047487
"116/666.3331mz/5.23min",-0.063935,0.016519,-0.012529,0.0022143,0.10644,0.025269
"117/344.1302mz/5.23min",-0.013243,0.0028705,-0.031317,-0.022015,0.10735,-0.004173
"118/671.2886mz/5.23min",-0.016527,0.0082276,-0.016833,-0.011628,0.085749,-0.04383
"119/318.3001mz/5.24min",-0.0064387,-0.00018989,-0.0027164,0.032576,-0.014212,0.075091
"123/298.2739mz/5.3min",0.015701,0.00033708,0.007385,0.018761,-0.0035251,0.0581
"126/256.2999mz/5.42min",-0.073694,0.014415,0.014417,0.01153,0.012262,-0.075388
"128/284.6054mz/5.43min",0.00067154,0.0098823,0.0089606,-0.032104,0.012213,0.033473
"129/448.2035mz/5.43min",-0.016695,0.014749,0.01124,-0.020551,0.021071,0.069305
"130/917.3815mz/5.43min",0.00166,0.015497,0.012672,-0.040349,0.029849,0.012858
"131/470.1855mz/5.43min",-0.0046417,0.010234,0.0096288,-0.013325,0.017324,0.10796
"132/304.2998mz/5.45min",-0.0057486,-0.10014,-0.10548,0.12172,-0.063895,-0.0077934
"133/302.3053mz/5.48min",0.015335,-0.0017641,-0.0043797,0.068982,-0.028223,0.11715
