"","comp 1","comp 2","comp 3","comp 4","comp 5"
"436/223.9885mz/7.87min",0.4305,0,0,0,0
"527/136.0217mz/8.4min",-0.40823,0,0,0,0
"236/228.2323mz/6.65min",0.38247,0,0,0,0
"559/380.339mz/8.96min",-0.35191,0,0,0,0
"693/174.9568mz/10.38min",-0.32849,0,0,0,0
"554/379.3358mz/8.96min",-0.30304,0,0,0,0
"126/256.2999mz/5.42min",-0.29442,0,0,0,0
"534/379.3359mz/8.67min",0.294,0,0,0,0
"596/663.4535mz/10.08min",-0.057541,0,0,0,0
"604/687.5316mz/10.17min",0.041497,0,0,0,0
"316/365.2661mz/7.51min",0,-0.48192,0,0,0
"608/146.9803mz/10.17min",0,0.42465,0,0,0
"285/237.2213mz/7.37min",0,-0.38696,0,0,0
"626/226.9514mz/10.23min",0,0.37805,0,0,0
"221/220.1122mz/6.3min",0,-0.33932,0,0,0
"536/201.9757mz/8.64min",0,0.28596,0,0,0
"637/223.9882mz/10.31min",0,0.22533,0,0,0
"299/255.2319mz/7.37min",0,-0.19602,0,0,0
"292/323.2192mz/7.37min",0,-0.090597,0,0,0
"570/587.4643mz/9.61min",0,0.021315,0,0,0
"37/217.1047mz/2.24min",0,0,0,0,0
"44/257.0995mz/2.8min",0,0,0,0.32596,0
"45/120.0445mz/2.83min",0,0,0,0,0
"46/138.0551mz/2.83min",0,0,0,0,0
"48/171.0992mz/2.86min",0,0,0,0,0
"52/172.1333mz/3.19min",0,0,0,0,0
"53/194.1153mz/3.19min",0,0,0,0,0
"54/212.1258mz/3.2min",0,0,0,0,0
"56/239.0889mz/3.35min",0,0,0,0,0.18457
"57/194.1153mz/3.33min",0,0,0,0,0
"67/302.1303mz/3.8min",0,0,0,0,0
"68/324.1123mz/3.8min",0,0,0,0.14568,0
"73/473.1992mz/3.84min",0,0,0,0.079318,0
"75/300.1146mz/3.9min",0,0,0,0,0
"76/322.0965mz/3.9min",0,0,0,0.23398,0
"79/222.1465mz/4.05min",0,0,0,0,0
"80/325.1255mz/4.24min",0,0,0,0,0
"82/255.0544mz/4.36min",0,0,0,0,0
"89/433.2067mz/4.54min",0,0,0,0,0
"90/450.2335mz/4.54min",0,0,0,0,0
"91/236.0805mz/4.54min",0,0,0,0.11348,0
"92/455.1886mz/4.54min",0,0,0,0,0
"95/230.9845mz/4.69min",0,0,0.35682,0,0
"96/211.9707mz/4.69min",0,0,0,0,0
"99/231.9791mz/4.69min",0,0,0,0,0
"100/232.9823mz/4.69min",0,0,0,0,0
"106/573.2517mz/4.73min",0,0,0,0,0
"115/649.3064mz/5.23min",0,0,0,0.026401,0
"116/666.3331mz/5.23min",0,0,0,0,0
"117/344.1302mz/5.23min",0,0,0,0.3434,0
