"","FC","log2(FC)","raw.pval","-log10(p)"
"533/136.0217mz/8.41min",0.1585,-2.6575,5.5972e-07,6.252
"466/223.9885mz/7.87min",3.6561,1.8703,5.6377e-07,6.2489
"129/256.2999mz/5.42min",0.32127,-1.6381,6.0454e-06,5.2186
"244/228.2323mz/6.65min",2.4688,1.3038,6.0475e-06,5.2184
"637/172.9564mz/10.32min",0.34332,-1.5424,8.0305e-06,5.0953
"553/377.3202mz/8.96min",0.49046,-1.0278,1.5743e-05,4.8029
"535/352.3393mz/8.53min",0.46694,-1.0987,6.2389e-05,4.2049
"603/80.9479mz/10.18min",0.41933,-1.2538,9.5195e-05,4.0214
"595/663.4538mz/10.09min",0.47445,-1.0757,0.00016449,3.7839
"220/318.2403mz/6.24min",2.3968,1.2611,0.00016528,3.7818
"567/352.3393mz/9.08min",0.4498,-1.1526,0.00018699,3.7282
"291/172.9565mz/7.37min",0.33984,-1.5571,0.00030968,3.5091
"50/171.0993mz/2.86min",6.2843,2.6517,0.00086976,3.0606
"680/215.9838mz/10.37min",0.48401,-1.0469,0.0011066,2.956
"627/213.9828mz/10.32min",0.40421,-1.3068,0.0021898,2.6596
"561/851.7101mz/8.97min",0.37534,-1.4137,0.0029687,2.5274
"681/174.9568mz/10.37min",0.46767,-1.0964,0.0030119,2.5212
"539/213.983mz/8.57min",0.22271,-2.1668,0.0034665,2.4601
"631/174.9534mz/10.32min",0.38599,-1.3734,0.0045359,2.3433
"551/378.3235mz/8.96min",0.4913,-1.0253,0.0050628,2.2956
"123/666.3333mz/5.24min",0.49623,-1.0109,0.0080828,2.0924
"91/450.2336mz/4.54min",0.40261,-1.3126,0.008485,2.0714
"545/201.9758mz/8.69min",0.30587,-1.709,0.010832,1.9653
"607/216.9228mz/10.2min",0.40476,-1.3049,0.016848,1.7735
"591/771.6473mz/10.0min",0.17815,-2.4888,0.017246,1.7633
"442/213.983mz/7.87min",0.30563,-1.7101,0.018165,1.7408
"571/853.7255mz/9.66min",9.0849,3.1835,0.01913,1.7183
"356/113.0167mz/7.61min",2.4656,1.3019,0.022683,1.6443
"719/199.9883mz/10.84min",4.3271,2.1134,0.029689,1.5274
"444/172.9565mz/7.88min",0.48788,-1.0354,0.03527,1.4526
