Filename,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML,POS_D5-227-C3-a_Run274.mzML,POS_D5-227-C3-b_Run277.mzML,POS_D5-227-C3-c_Run280.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
38/138.0551mz/2.11min,3749.0325,7292.825,9383.593,149662.1,178017.95,16084.215
39/217.1048mz/2.24min,873157.44,1119584.6,874888.25,1026339.5,1504943.8,1092454.6
40/140.0683mz/2.46min,43240.918,86922.38,86683.18,116857.16,64039.555,54247.55
41/316.2116mz/2.52min,378905.0,172567.9,192132.47,30506.629,180615.03,147145.19
42/140.0683mz/2.66min,38055.438,29201.422,96202.87,72971.42,41574.734,117258.64
43/316.2116mz/2.67min,483951.94,316461.5,108783.01,36904.562,365952.47,199004.7
44/89.0598mz/2.74min,1227202.5,457790.88,361792.6,297977.25,590428.9,406197.72
45/272.1855mz/2.75min,457010.9,316054.78,286595.44,96813.5,545248.56,287876.5
46/217.1072mz/2.8min,302399.5,251867.11,562677.25,286985.34,343921.38,327410.6
47/257.0995mz/2.8min,635531.0,551323.1,1194898.0,857233.75,945464.0,860893.2
48/120.0445mz/2.83min,2561646.0,2504766.0,2225040.0,5495697.0,3373633.5,3788563.0
49/138.0551mz/2.84min,729429.0,699165.94,635383.44,1584802.9,966935.2,1088954.4
50/171.0993mz/2.86min,498830.28,483364.94,267178.84,3044938.8,2923658.5,3133109.0
51/183.0918mz/2.88min,117735.86,237163.77,77984.47,536107.4,190036.31,409976.2
53/345.1519mz/3.13min,252543.84,184725.34,539637.94,288631.78,191078.27,169314.64
54/172.1333mz/3.19min,1050209.2,1000862.06,1013033.6,1304783.0,1333331.2,1363228.0
55/194.1154mz/3.19min,5550690.0,5608868.5,5752086.5,7777818.5,7827011.5,8537174.0
56/212.1259mz/3.2min,559439.1,544050.7,556927.3,875725.5,868021.2,906974.06
57/217.1072mz/3.35min,87067.195,85421.49,84089.23,548841.3,75033.69,105323.74
58/239.0891mz/3.35min,585025.5,621064.56,785703.9,4610681.0,928668.56,1139497.1
59/219.0571mz/3.52min,472468.16,704063.7,571939.8,483935.28,690032.25,437673.16
60/233.0727mz/3.56min,111962.734,61915.23,174515.22,125419.484,85440.67,113879.164
61/255.0546mz/3.56min,103437.08,40652.473,154486.44,168768.94,112831.92,151675.98
62/194.1153mz/3.61min,398448.2,245068.44,265519.84,617578.0,447898.88,137854.31
63/201.0597mz/3.65min,183206.77,150574.69,383144.03,258930.94,278212.66,292876.25
64/217.1072mz/3.66min,123977.27,96024.46,165238.33,164127.44,161047.06,184605.64
65/385.1467mz/3.66min,311265.3,259329.77,648033.3,440732.6,486034.34,493328.7
66/345.1542mz/3.66min,50080.805,46512.25,134678.56,79215.91,85146.125,91358.53
67/140.0683mz/3.75min,70989.58,104845.33,104798.42,12399.139,80919.14,102874.13
68/322.0967mz/3.77min,60915.984,55392.29,106577.98,88039.266,85448.086,69645.8
69/302.1304mz/3.8min,955356.5,634986.25,1293005.6,876445.94,737092.56,764624.6
70/324.1123mz/3.8min,2224620.2,1698226.6,3029360.2,2789279.5,2395638.8,2428624.8
71/468.2439mz/3.85min,326846.06,266037.78,521222.72,135501.92,138577.44,127416.7
72/217.1073mz/3.85min,77007.41,56348.49,150358.2,88610.19,98023.766,88458.91
73/451.2172mz/3.85min,556432.06,477445.4,979511.1,622532.06,685786.75,599119.0
74/473.1993mz/3.85min,2087157.5,1775188.2,3451053.8,2255077.0,2433961.0,2172546.2
75/245.0859mz/3.85min,520364.78,465661.06,900811.2,617138.75,689507.7,623695.56
76/433.2066mz/3.85min,140299.77,108370.22,256059.61,155504.89,171598.17,151184.03
77/300.1148mz/3.9min,959815.4,733447.1,1374672.9,887482.25,799911.25,787305.4
78/322.0966mz/3.9min,789315.5,610660.44,1131831.0,1025717.0,933642.2,897794.0
79/203.0621mz/3.91min,159196.42,175056.88,221874.0,124513.445,134922.25,121999.305
80/561.2516mz/4.0min,252184.88,131366.05,417414.56,255602.45,270212.06,250624.5
81/222.1465mz/4.06min,555436.4,555364.0,546055.1,832544.56,830348.8,828250.0
82/325.1256mz/4.24min,856377.1,824488.94,809217.3,1016238.4,926815.1,966662.1
83/233.0727mz/4.37min,430908.72,316282.84,681919.6,485255.66,366071.8,475339.25
84/255.0545mz/4.36min,429370.25,324965.4,696547.7,725520.6,554453.7,719616.3
85/266.1727mz/4.37min,88478.78,83416.31,90807.68,100561.09,101501.555,448373.1
86/226.1802mz/4.38min,138396.81,117282.11,127039.375,130745.31,135156.62,565732.94
87/244.1908mz/4.37min,51615.07,45961.19,52564.145,51876.01,53871.707,279488.75
88/236.1621mz/4.45min,82167.91,66461.484,77752.49,112399.64,105930.02,136219.58
90/689.2989mz/4.5min,553162.1,431136.62,874201.06,557718.25,596500.7,529070.25
91/450.2336mz/4.54min,2713164.2,2280884.2,3885283.5,1369283.5,1563079.5,1184016.6
92/455.1887mz/4.54min,36426240.0,33078956.0,46258470.0,38304150.0,41658188.0,35472470.0
93/433.2068mz/4.55min,5378270.0,4720300.0,8173895.5,6283646.0,7070955.5,5574614.5
95/236.0806mz/4.55min,2251770.5,2062183.1,3239293.5,2787060.5,3058554.5,2508538.0
96/244.0668mz/4.55min,392515.88,343792.88,535368.5,335602.22,372972.3,290910.62
97/230.9846mz/4.69min,722326.3,755746.25,758790.56,853142.7,825372.56,895043.3
98/211.9707mz/4.69min,3885960.8,4098365.8,4073209.0,4630446.0,4471622.5,4740480.5
100/229.9813mz/4.69min,8713632.0,9201769.0,9118387.0,10356070.0,10113302.0,10770813.0
101/231.9791mz/4.69min,8553489.0,9007000.0,8944106.0,10153581.0,9898453.0,10570108.0
102/232.9824mz/4.69min,706129.5,762901.06,750166.3,847629.9,822176.1,886933.5
103/469.1091mz/4.69min,407673.62,341365.66,429135.84,509384.38,406603.75,494851.56
104/447.1271mz/4.69min,489896.84,396407.16,514181.6,497774.28,405142.5,486786.8
105/247.0883mz/4.7min,456514.1,474250.84,599881.7,446796.22,441109.78,446107.88
106/269.0702mz/4.71min,414863.53,436035.22,552757.1,546722.44,546971.0,558046.2
108/568.2964mz/4.73min,768481.94,756033.0,653115.9,353634.75,282139.97,305602.62
109/573.2518mz/4.73min,4522530.0,4588901.5,4186200.5,4982107.0,4274476.5,4758989.5
111/228.1959mz/4.82min,216914.27,135601.77,210690.34,252704.97,243891.95,256804.02
112/250.1778mz/4.82min,560718.4,393789.3,574866.4,674021.56,669268.9,699783.75
113/455.1885mz/4.79min,384089.88,102958.77,215696.75,319879.66,211158.23,533846.0
114/270.1465mz/4.85min,496937.72,353035.2,666895.4,669120.56,518940.3,682790.25
115/470.1854mz/4.9min,47850.35,41782.254,58176.324,69688.64,48566.344,60756.15
116/448.2034mz/4.9min,95138.88,83090.31,121074.984,132307.83,96294.95,113509.28
117/272.2583mz/5.14min,187945.6,198759.75,187495.86,392416.47,398773.16,442113.66
118/300.2896mz/5.2min,45915.094,24881.229,57127.92,107150.02,106240.26,120241.414
119/344.1303mz/5.23min,716908.6,616682.4,1003180.8,871768.8,1003701.3,766662.7
120/649.3066mz/5.23min,1071198.9,881551.06,1451975.6,1207585.1,1382006.4,1048666.1
121/671.2887mz/5.23min,10904982.0,9207097.0,13314125.0,11969842.0,12796389.0,10768380.0
122/318.3002mz/5.24min,2385896.0,2681978.2,2260510.0,2217404.8,2318469.2,2582954.0
123/666.3333mz/5.24min,998123.44,802883.44,1186714.6,591593.2,614489.94,504468.5
125/203.0621mz/5.28min,368459.94,289328.8,399944.6,347525.6,296673.56,351524.22
126/298.274mz/5.3min,593503.06,598996.5,555201.94,868986.5,876749.94,866621.2
128/338.2664mz/5.39min,171246.66,188109.28,177548.64,474873.28,474225.3,501365.72
129/256.2999mz/5.42min,11307937.0,11312143.0,11063268.0,4290950.0,4146500.5,4064173.2
130/273.0974mz/5.43min,265238.6,237976.38,284715.2,342154.28,286614.03,335080.88
131/264.0921mz/5.43min,458984.72,392724.38,472174.56,588490.3,524777.0,564767.6
132/917.3817mz/5.43min,682053.44,563541.94,722467.9,953314.25,737566.7,879405.6
133/284.6054mz/5.43min,601384.6,552727.4,640882.44,808187.44,692241.6,778585.44
134/448.2035mz/5.43min,7044495.5,6236443.5,7188043.0,7310549.0,6194703.5,7007173.0
135/470.1855mz/5.43min,12976840.0,11808889.0,13135237.0,15504342.0,13574931.0,15019012.0
136/304.2998mz/5.45min,420237.8,1600779.4,781189.0,137102.02,263755.97,1577245.1
137/284.2948mz/5.47min,122752.555,143970.66,93965.07,150064.3,165523.86,171014.55
138/302.3053mz/5.47min,4338535.0,4959930.0,3558313.5,4962578.5,5508497.5,5828975.0
139/303.3086mz/5.48min,842388.94,950029.44,674516.3,950471.2,1071161.9,1145621.1
141/338.2664mz/5.5min,146732.7,143734.78,136945.6,469992.1,489947.03,463962.75
142/301.293mz/5.57min,4367546.5,4628280.5,3324718.2,4893850.5,5445330.5,5509611.5
