row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,POS_D5-227-C4-a_Run313.mzML Peak area,POS_D5-227-C4-b_Run316.mzML Peak area,POS_D5-227-C4-c_Run319.mzML Peak area,
585,80.947889147993,10.182286,,,,,,,,,,,849612.6,930464.2,815978.7,430480.2,426599.3,419410.25,
389,80.9479397488082,7.7861733,,,,46,,,,,,,878339.6,608120.56,868997.2,266259.75,203804.67,349134.78,
426,80.94794801674536,7.881284,,,,8,,,,,,,766733.0,554205.44,662708.0,449766.1,451763.3,427939.5,
289,80.94795141559364,7.3767486,,,,23,,,,,,,605250.75,453578.38,696817.56,306817.28,280347.5,319653.16,
681,81.52054398897023,10.475796,,,,58,,,,,,,2.7274882E7,2.9259034E7,2.7966768E7,2.4399018E7,3.2031852E7,1.9567444E7,
24,84.95981347528213,0.43816838,,,,17,,,,,,,2980972.5,4228403.0,1.0379863E7,4306099.5,1.0598834E7,1.0477679E7,
36,89.05982282777468,2.7427797,,,,,,,,,,,457790.88,1227202.5,361792.6,179913.94,444416.53,877115.06,
623,89.50669994382947,10.325675,,,,50,,,,,,,1.144064E7,1.1433834E7,1.2806039E7,1.3834353E7,1.7164474E7,1.3061906E7,
651,90.5067293226454,10.36576,,,,50,,,,,,,4709399.5,4638022.0,4725757.5,4672403.5,4754406.0,4615774.5,
690,90.52592081914088,10.495675,,,,58,,,,,,,4.0922364E7,4.135648E7,3.760239E7,3.096674E7,3.5682348E7,2.3022508E7,
381,90.97672712481521,7.769123,,,,46,,,,,,,730679.2,602204.5,801242.75,947749.06,815084.2,1062892.0,
654,91.50442982642926,10.366634,,,,50,,,,,,,1792999.4,1763337.5,1804893.0,1801066.5,1808931.4,1727138.6,
674,94.04513798341951,10.44559,,,,65,,,,,,,4974401.0,4939875.0,4732135.5,4236966.0,5057754.5,3544377.5,
624,97.5144467459415,10.327252,,,,50,,,,,,,1307722.9,1388868.0,1278102.9,1328728.8,1558939.1,1268300.0,
9,97.96886000762775,0.036781866,,,,0,,,,,,,110124.95,84880.164,114579.016,438567.06,375729.88,509947.75,
11,97.96886130591567,0.31832352,,,,27,,,,,,,158515.05,189730.44,188352.1,367770.44,369891.12,325817.1,
691,97.99139966106382,10.499595,,,,58,,,,,,,9588389.0,9013835.0,9387882.0,8103848.5,8834656.0,8752665.0,
625,98.51208107998436,10.327321,,,,50,,,,,,,2.3580524E7,2.2551964E7,2.2928398E7,2.6339154E7,2.4974844E7,2.364668E7,
676,102.03390520765474,10.47062,,,,58,,,,,,,1.4028165E8,1.3853955E8,1.4515152E8,1.4836262E8,1.493828E8,9.799472E7,
677,102.53547117370415,10.471492,,,,58,,,,,,,1.2205041E7,1.1980027E7,1.2592613E7,1.2850412E7,1.2073048E7,8556187.0,
687,104.03025884463482,10.483415,,,,58,,,,,,,3615046.0,3202513.0,3703096.5,3774768.8,3734054.5,2453623.0,
139,105.0335497561234,5.6756845,,,,24,,,,,,,2467678.5,1846915.0,2597630.5,2034567.6,1991553.8,2609961.8,
629,109.02249532057213,10.331758,,,,50,,,,,,,7381046.5,5669208.0,5644671.0,6531312.5,7869827.0,6115394.5,
670,109.52172595859587,10.386315,,,,50,,,,,,,5096003.0,4941068.0,5259094.5,4708231.0,4990618.5,4516605.0,
619,110.02011156213077,10.323174,,,,50,,,,,,,9.046508E7,8.930242E7,9.133548E7,1.0296521E8,1.2439513E8,9.635358E7,
622,110.52178696103054,10.324999,,,,50,,,,,,,6168187.0,6615303.0,7821718.5,7796668.5,9331716.0,7211804.0,
652,111.02022248566647,10.365762,,,,50,,,,,,,7.939425E7,7.915511E7,8.0734264E7,7.8772264E7,7.855312E7,7.706961E7,
