"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"453/231.1703mz/2.31min",27.634,4.7884,"453"
"1483/758.5689mz/10.39min",0.039017,-4.6798,"1483"
"986/788.6153mz/7.83min",13.339,3.7376,"986"
"1028/763.5962mz/7.89min",13.27,3.7301,"1028"
"1087/788.6154mz/8.14min",11.984,3.5831,"1087"
"888/760.5839mz/7.44min",11.663,3.5438,"888"
"1027/760.5843mz/7.88min",11.37,3.5071,"1027"
"1006/810.5973mz/7.84min",9.6432,3.2695,"1006"
"1131/648.4594mz/8.32min",8.6768,3.1172,"1131"
"1109/810.5976mz/8.28min",7.5419,2.9149,"1109"
"933/786.6mz/7.54min",7.5026,2.9074,"933"
"887/783.5694mz/7.44min",6.7142,2.7472,"887"
"1465/634.444mz/10.36min",6.6427,2.7318,"1465"
"897/782.5658mz/7.44min",6.6216,2.7272,"897"
"836/762.5272mz/7.17min",5.6476,2.4976,"836"
"595/196.0968mz/3.47min",0.17962,-2.4769,"595"
"487/229.1546mz/2.44min",5.5447,2.4711,"487"
"837/763.5307mz/7.19min",5.4007,2.4332,"837"
"1456/730.5375mz/10.34min",4.804,2.2642,"1456"
"1257/799.6756mz/9.04min",0.209,-2.2584,"1257"
"1460/706.5378mz/10.35min",4.6319,2.2116,"1460"
"1412/867.6827mz/10.23min",4.4847,2.165,"1412"
"1471/786.6002mz/10.37min",4.3383,2.1171,"1471"
"876/718.5367mz/7.44min",4.3369,2.1167,"876"
"1026/759.5722mz/7.82min",4.1855,2.0654,"1026"
"606/210.1124mz/3.59min",0.23913,-2.0641,"606"
"1219/864.7642mz/8.77min",4.1779,2.0628,"1219"
"1217/546.4303mz/8.76min",0.24891,-2.0063,"1217"
"1054/810.5973mz/7.94min",3.9355,1.9766,"1054"
"702/302.3053mz/5.71min",3.8582,1.9479,"702"
"639/249.1022mz/4.6min",0.26825,-1.8983,"639"
"1459/788.6154mz/10.36min",3.7064,1.89,"1459"
"1410/851.709mz/10.2min",3.6975,1.8865,"1410"
"638/267.1128mz/4.6min",0.27168,-1.88,"638"
"421/381.152mz/2.1min",0.27431,-1.8661,"421"
"1415/752.5194mz/10.26min",3.6257,1.8583,"1415"
"1171/838.7484mz/8.5min",3.6174,1.855,"1171"
"818/758.5688mz/6.97min",3.612,1.8528,"818"
"1086/110.02mz/8.13min",0.27832,-1.8452,"1086"
"1376/846.7536mz/10.0min",3.5841,1.8416,"1376"
"819/759.5722mz/6.94min",3.5773,1.8389,"819"
"1111/752.5193mz/8.28min",3.5396,1.8236,"1111"
"1423/810.5973mz/10.27min",3.526,1.818,"1423"
"417/215.139mz/2.06min",3.5238,1.8171,"417"
"987/718.5374mz/7.82min",3.5196,1.8154,"987"
"482/298.0968mz/2.44min",3.4977,1.8064,"482"
"1450/731.5411mz/10.34min",3.4946,1.8051,"1450"
"531/190.0895mz/2.76min",3.4267,1.7768,"531"
"1416/753.5234mz/10.26min",3.406,1.7681,"1416"
"1466/718.5362mz/10.34min",0.29934,-1.7401,"1466"
"1203/111.0202mz/8.68min",0.30665,-1.7054,"1203"
"1406/846.7537mz/10.19min",3.2068,1.6811,"1406"
"451/259.1764mz/2.28min",0.31358,-1.6731,"451"
"1001/782.5656mz/7.84min",3.1876,1.6725,"1001"
"1216/1130.3152mz/8.76min",3.1758,1.6671,"1216"
"469/225.087mz/2.37min",0.31508,-1.6662,"469"
"1335/820.7365mz/9.74min",0.31847,-1.6508,"1335"
"1278/826.697mz/9.06min",3.1252,1.644,"1278"
"624/208.0968mz/4.19min",0.32671,-1.6139,"624"
"422/380.1485mz/2.1min",0.33174,-1.5919,"422"
"803/298.274mz/6.72min",2.9521,1.5617,"803"
"1428/738.5039mz/10.28min",2.8846,1.5284,"1428"
"1089/760.5845mz/8.14min",2.8583,1.5151,"1089"
"433/220.1179mz/2.18min",2.821,1.4962,"433"
"1114/753.5229mz/8.27min",2.809,1.49,"1114"
"964/637.3049mz/7.7min",2.7587,1.464,"964"
"1321/820.736mz/9.52min",2.7256,1.4466,"1321"
"1438/690.506mz/10.29min",2.7149,1.4409,"1438"
"907/788.6153mz/7.44min",2.692,1.4287,"907"
"1164/818.7225mz/8.49min",2.664,1.4136,"1164"
"678/272.2584mz/5.35min",2.6616,1.4123,"678"
"1183/684.2025mz/8.63min",2.6609,1.4119,"1183"
"523/259.1188mz/2.77min",0.37798,-1.4036,"523"
"1433/716.522mz/10.3min",2.6453,1.4034,"1433"
"1301/797.6624mz/9.23min",2.6293,1.3947,"1301"
"965/654.3317mz/7.7min",2.6099,1.384,"965"
"1377/851.7091mz/10.01min",2.5762,1.3653,"1377"
"1172/878.7426mz/8.56min",2.5635,1.3581,"1172"
"992/408.3082mz/7.82min",0.39014,-1.3579,"992"
"1430/226.9515mz/10.28min",0.39697,-1.3329,"1430"
"447/209.1284mz/2.27min",2.5138,1.3299,"447"
"590/240.0866mz/3.34min",0.39854,-1.3272,"590"
"951/481.2921mz/7.64min",0.4029,-1.3115,"951"
"905/811.6008mz/7.44min",2.473,1.3062,"905"
"960/333.2424mz/7.69min",0.40645,-1.2989,"960"
"1163/924.2683mz/8.48min",2.453,1.2945,"1163"
"1241/560.4459mz/8.96min",2.4504,1.293,"1241"
"894/810.5972mz/7.44min",2.4418,1.288,"894"
"1085/746.5676mz/8.13min",0.41196,-1.2794,"1085"
"827/255.2318mz/7.05min",2.419,1.2744,"827"
"1002/731.541mz/7.89min",0.41695,-1.2621,"1002"
"690/239.1641mz/5.62min",0.41852,-1.2566,"690"
"1436/718.5331mz/10.31min",2.3799,1.2509,"1436"
"1320/738.6602mz/9.49min",2.3543,1.2353,"1320"
"1302/792.7069mz/9.29min",2.3467,1.2307,"1302"
"419/158.0812mz/2.09min",0.42934,-1.2198,"419"
"1420/859.5296mz/10.27min",2.326,1.2179,"1420"
"1324/675.5166mz/9.56min",0.4326,-1.2089,"1324"
"1422/739.5072mz/10.27min",2.2523,1.1714,"1422"
"518/300.1077mz/2.72min",0.44429,-1.1704,"518"
"554/271.0713mz/2.83min",0.44691,-1.1619,"554"
"875/758.5686mz/7.43min",0.44847,-1.1569,"875"
