"Log2_FoldChange","MetaboAnalyst_ID"
-0.59854,"130/156.0666mz/2.06min"
-0.40366,"131/378.1338mz/2.1min"
0.086169,"133/328.9796mz/2.12min"
-0.20599,"134/117.0558mz/2.12min"
-0.29869,"135/288.0725mz/2.17min"
-1.0786,"136/322.0603mz/2.29min"
-0.40213,"138/290.0882mz/2.33min"
-0.20201,"142/129.0558mz/2.44min"
-0.37023,"144/237.0881mz/2.52min"
-0.22964,"146/175.0612mz/2.52min"
-0.28502,"148/407.1206mz/2.6min"
0.13926,"149/373.0055mz/2.7min"
-0.57485,"150/178.0509mz/2.72min"
-0.53355,"151/298.0933mz/2.72min"
-0.43846,"154/304.1038mz/2.77min"
-0.3218,"157/370.9898mz/2.77min"
-0.20377,"159/157.0506mz/2.8min"
-0.54999,"160/136.0404mz/2.83min"
0.11418,"161/265.0176mz/2.83min"
-0.30795,"166/131.0714mz/2.93min"
-0.52392,"168/389.1564mz/2.95min"
-0.42933,"171/338.0883mz/2.98min"
-0.3724,"174/310.0569mz/3.0min"
-0.29323,"180/165.0557mz/3.13min"
-0.29,"181/189.0768mz/3.13min"
-0.53956,"183/164.0353mz/3.14min"
0.1089,"184/265.0176mz/3.17min"
-0.47146,"185/286.0933mz/3.24min"
-0.48014,"186/224.0928mz/3.24min"
-0.43775,"187/403.172mz/3.28min"
0.10926,"193/421.0056mz/3.4min"
-0.44881,"194/320.0777mz/3.4min"
0.12283,"196/249.0227mz/3.49min"
0.087904,"197/582.981mz/3.51min"
0.084936,"198/279.9958mz/3.52min"
0.13904,"199/560.9991mz/3.52min"
-0.4226,"202/417.1877mz/3.55min"
0.1005,"203/405.0107mz/3.6min"
0.071872,"204/407.0044mz/3.6min"
0.046535,"206/406.0138mz/3.6min"
0.25188,"208/421.0056mz/3.84min"
0.071366,"209/309.1014mz/4.0min"
0.34262,"210/605.0258mz/4.05min"
0.065511,"216/497.0371mz/4.41min"
0.015349,"217/242.1762mz/4.43min"
0.069209,"220/793.0186mz/4.44min"
0.11663,"222/422.9768mz/4.52min"
0.081846,"223/653.0255mz/4.54min"
0.12104,"225/341.0486mz/4.56min"
0.10647,"226/404.0444mz/4.56min"
0.07495,"227/497.0371mz/4.67min"
0.00013613,"229/228.9699mz/4.74min"
0.017306,"230/229.9645mz/4.74min"
0.047754,"233/637.0305mz/4.74min"
0.039629,"235/230.9678mz/4.74min"
0.15533,"236/268.9857mz/4.76min"
0.082578,"237/266.9888mz/4.76min"
-0.1752,"238/426.9678mz/4.92min"
0.059799,"239/481.0421mz/4.92min"
0.046657,"240/544.0379mz/4.92min"
-0.40138,"251/241.8989mz/5.51min"
-0.58439,"252/569.2734mz/5.7min"
-0.90196,"253/450.2625mz/5.74min"
-1.0408,"255/538.3152mz/5.79min"
1.7611,"258/265.1479mz/5.88min"
-0.65869,"259/450.2625mz/5.85min"
-0.85673,"263/538.3152mz/5.89min"
-0.43979,"272/656.1114mz/6.14min"
-0.70342,"276/452.2782mz/6.24min"
-1.7742,"277/571.289mz/6.25min"
-1.0327,"278/496.2681mz/6.27min"
-0.23552,"279/311.1687mz/6.32min"
-0.3676,"280/720.1238mz/6.29min"
