"MetaboAnalyst_ID","Fold.Change","log2.FC.","shared_name"
"358/807.5032mz/7.08min",13.07,3.7082,"358"
"377/760.5135mz/7.26min",7.6135,2.9286,"377"
"361/802.5606mz/7.13min",0.14198,-2.8162,"361"
"277/571.289mz/6.25min",0.29237,-1.7742,"277"
"258/265.1479mz/5.88min",3.3896,1.7611,"258"
"476/146.9659mz/9.0min",2.9127,1.5423,"476"
"472/100.9337mz/8.84min",0.35969,-1.4752,"472"
"440/115.9208mz/8.15min",0.35975,-1.4749,"440"
"498/833.5186mz/10.26min",2.6504,1.4062,"498"
"329/325.1844mz/6.81min",2.5948,1.3756,"329"
"446/144.9235mz/8.27min",2.4565,1.2966,"446"
"407/760.5134mz/7.54min",0.41217,-1.2787,"407"
"451/749.4724mz/8.35min",0.42502,-1.2344,"451"
"406/599.3205mz/7.59min",0.4313,-1.2132,"406"
"438/144.9235mz/8.15min",0.44222,-1.1772,"438"
"461/100.9337mz/8.45min",2.2305,1.1574,"461"
"292/566.3466mz/6.36min",0.45715,-1.1292,"292"
"485/89.0244mz/9.81min",0.45749,-1.1282,"485"
"136/322.0603mz/2.29min",0.47349,-1.0786,"136"
"299/566.3465mz/6.47min",0.47569,-1.0719,"299"
"255/538.3152mz/5.79min",0.48607,-1.0408,"255"
"278/496.2681mz/6.27min",0.48879,-1.0327,"278"
"294/571.289mz/6.36min",0.48882,-1.0326,"294"
"286/522.2838mz/6.33min",0.48929,-1.0312,"286"
"306/696.1426mz/6.53min",0.49406,-1.0172,"306"
