"","comp 1","comp 2","comp 3","comp 4","comp 5"
"210/605.0258mz/4.05min",0.52242,0,0,0,0
"340/293.2123mz/6.92min",-0.48645,0,0,0,0
"306/696.1426mz/6.53min",-0.40131,0,0,0,0
"281/265.1809mz/6.3min",-0.35394,0,0,0,0
"150/178.0509mz/2.72min",-0.30035,0,0,0,0
"196/249.0227mz/3.49min",0.23899,0,0,0,0
"151/298.0933mz/2.72min",-0.18048,0,0,0,0
"253/450.2625mz/5.74min",-0.12792,0,0,0,0
"130/156.0666mz/2.06min",-0.087527,0,0,0,0
"280/720.1238mz/6.29min",-0.013747,0,0,0,0
"251/241.8989mz/5.51min",0,0.65306,0,0,0
"452/100.9337mz/8.42min",0,0.41767,0,0,0
"518/243.8993mz/10.49min",0,0.36087,0,0,0
"459/115.9208mz/8.44min",0,0.29765,0,0,0
"414/100.9337mz/7.84min",0,0.2721,0,0,0
"415/115.9208mz/7.84min",0,-0.24999,0,0,0
"204/407.0044mz/3.6min",0,0.16324,0,0,0
"223/653.0255mz/4.54min",0,-0.11096,0,0,0
"473/115.9208mz/8.85min",0,0.068152,0,0,0
"358/807.5032mz/7.08min",0,-0.010157,-0.20561,0,0
"131/378.1338mz/2.1min",0,0,0,0,0
"133/328.9796mz/2.12min",0,0,0,0,0
"134/117.0558mz/2.12min",0,0,0,0,0
"135/288.0725mz/2.17min",0,0,0,-0.21844,0
"136/322.0603mz/2.29min",0,0,0,0,0
"138/290.0882mz/2.33min",0,0,0,0,0
"142/129.0558mz/2.44min",0,0,0,0,0
"144/237.0881mz/2.52min",0,0,0,0,0
"146/175.0612mz/2.52min",0,0,0,0,0
"148/407.1206mz/2.6min",0,0,0,0,0
"149/373.0055mz/2.7min",0,0,0,0,0
"154/304.1038mz/2.77min",0,0,0,0,0
"157/370.9898mz/2.77min",0,0,0,0,0
"159/157.0506mz/2.8min",0,0,0,0,0
"160/136.0404mz/2.83min",0,0,0,0,0
"161/265.0176mz/2.83min",0,0,0,0,0
"166/131.0714mz/2.93min",0,0,0,0,0
"168/389.1564mz/2.95min",0,0,0,0,0
"171/338.0883mz/2.98min",0,0,0,0,0
"174/310.0569mz/3.0min",0,0,0,0,0
"180/165.0557mz/3.13min",0,0,0,0,0
"181/189.0768mz/3.13min",0,0,0,0,0
"183/164.0353mz/3.14min",0,0,0,0,0
"184/265.0176mz/3.17min",0,0,0,0,0
"185/286.0933mz/3.24min",0,0,0,0,0
"186/224.0928mz/3.24min",0,0,0,-0.29026,0
"187/403.172mz/3.28min",0,0,0,-0.031556,0
"193/421.0056mz/3.4min",0,0,0,0,0
"194/320.0777mz/3.4min",0,0,0,0,0
"197/582.981mz/3.51min",0,0,0,0,0
"198/279.9958mz/3.52min",0,0,0,0,0
"199/560.9991mz/3.52min",0,0,0,0,0
"202/417.1877mz/3.55min",0,0,0,-0.18072,0
"203/405.0107mz/3.6min",0,0,0,0,0
"206/406.0138mz/3.6min",0,0,0,0,0
"208/421.0056mz/3.84min",0,0,0,0,0
"209/309.1014mz/4.0min",0,0,0,0,0
"216/497.0371mz/4.41min",0,0,0,0,0
"217/242.1762mz/4.43min",0,0,0,0,0
"220/793.0186mz/4.44min",0,0,0,0,0
"222/422.9768mz/4.52min",0,0,0,0,0
"225/341.0486mz/4.56min",0,0,0,0,0
"226/404.0444mz/4.56min",0,0,0,0,0
"227/497.0371mz/4.67min",0,0,0,0,0
"229/228.9699mz/4.74min",0,0,0,0,0.05255
"230/229.9645mz/4.74min",0,0,0,0,0
"233/637.0305mz/4.74min",0,0,0,-0.022966,0
"235/230.9678mz/4.74min",0,0,0,-0.076898,0
"236/268.9857mz/4.76min",0,0,0,0,0
"237/266.9888mz/4.76min",0,0,0,0,0
"238/426.9678mz/4.92min",0,0,0,0,0
"239/481.0421mz/4.92min",0,0,0,-0.35523,0
"240/544.0379mz/4.92min",0,0,0,0,0
"252/569.2734mz/5.7min",0,0,0,0,0
"255/538.3152mz/5.79min",0,0,0,0,0
"258/265.1479mz/5.88min",0,0,0,0,0
"259/450.2625mz/5.85min",0,0,0,0,0
"263/538.3152mz/5.89min",0,0,0,0,0
"272/656.1114mz/6.14min",0,0,0,-0.14881,0
"276/452.2782mz/6.24min",0,0,0,0,0
"277/571.289mz/6.25min",0,0,0,0,0
"278/496.2681mz/6.27min",0,0,0,0,0
"279/311.1687mz/6.32min",0,0,0,0,-0.22078
"282/540.3309mz/6.3min",0,0,0,0,0
"284/478.2939mz/6.31min",0,0,0,0,0
"286/522.2838mz/6.33min",0,0,0,0,0
"289/311.1687mz/6.36min",0,0,0,0,0
"290/597.3048mz/6.38min",0,0,0,0,-0.2989
"292/566.3466mz/6.36min",0,0,0,0,0
"294/571.289mz/6.36min",0,0,0,0,0
"295/784.1362mz/6.4min",0,0,0,0,0
"296/478.2939mz/6.41min",0,0,0,0,0
"298/311.1687mz/6.45min",0,0,0,0,0
"299/566.3465mz/6.47min",0,0,0,0,0
"301/573.1294mz/6.5min",0,0,0,0,0
"302/597.3048mz/6.5min",0,0,0,0,0.091132
"303/590.1196mz/6.5min",0,0,0,0,0
"310/637.1419mz/6.62min",0,0,0,0,0
"311/654.1321mz/6.62min",0,0,0,0,0
"321/718.1445mz/6.72min",0,0,0,0,0
"323/573.1293mz/6.67min",0,0,0,0,0
"325/299.2592mz/6.81min",0,0,0,0,0
"328/654.1321mz/6.81min",0,0,0,0,0
"329/325.1844mz/6.81min",0,0,-0.18695,0,0
"333/637.1419mz/6.84min",0,0,0,0,0
"335/299.2592mz/6.9min",0,0,-0.21087,0,0
"337/718.1446mz/6.92min",0,0,0,0,0
"338/568.3622mz/6.92min",0,0,0,0,0
"339/701.1544mz/6.92min",0,0,0,0,0
"342/421.2264mz/6.97min",0,0,-0.13196,0,0
