"","PC1","PC2","PC3","PC4","PC5","PC6"
"370/282.1196mz/2.01min",0.0043865,-0.016959,-0.022442,0.027868,-0.001231,-0.13986
"373/158.0812mz/2.06min",-0.0026234,-0.0014315,-0.0044125,0.027862,0.018097,-0.026299
"375/381.1519mz/2.1min",-0.0040212,0.0017471,-0.0019158,0.034112,0.017746,0.20656
"376/380.1484mz/2.1min",-0.0050046,-0.0023157,-0.0069988,0.028752,0.004213,-0.52481
"377/99.5121mz/2.1min",-0.020925,-0.039567,0.00085131,0.0023106,-0.0069973,-0.058735
"378/244.1907mz/2.11min",-0.0024563,-0.01617,-0.01503,0.046704,0.0042134,0.028537
"379/251.1502mz/2.12min",0.0088512,-0.01873,-0.026986,0.026175,0.0045271,-0.025144
"380/112.0756mz/2.12min",-0.0029488,0.0037379,-0.00067166,0.033154,0.026875,-0.0087855
"384/290.087mz/2.17min",0.0089108,-0.01945,-0.034811,0.026914,-0.01502,-0.0027339
"387/220.1179mz/2.18min",-0.00062926,-0.0042054,-0.01515,0.01849,0.0033389,0.013032
"389/184.1695mz/2.22min",-0.0048231,-0.013511,-0.010481,0.040674,0.0024156,-0.052948
"390/384.1148mz/2.22min",-0.0012226,0.0055922,-0.0066829,0.012751,0.0017933,-0.083006
"391/242.1862mz/2.24min",0.0064553,-0.018706,-0.029182,0.026953,-0.0014048,0.055455
"392/443.177mz/2.24min",0.0074492,-0.019214,-0.029763,0.023635,-0.0054752,-0.0036254
"393/205.0971mz/2.25min",-0.0042986,-0.0045895,-0.0093989,0.0291,0.015784,0.00083199
"394/188.0705mz/2.26min",-0.0036658,-0.0050012,-0.010355,0.029158,0.015112,-0.052738
"395/200.1046mz/2.26min",4.1414e-05,-0.00087474,0.00086797,-0.0015301,-0.003652,0.083693
"396/217.1248mz/2.26min",-0.0013796,-0.00092164,0.0023153,-0.002685,-0.0035691,7.4689e-05
"397/218.1281mz/2.26min",-0.00050375,-0.001175,0.0019537,-0.0014307,-0.0026189,-0.027882
"398/199.1012mz/2.26min",-0.00056976,-0.00022291,4.1185e-05,-0.0013756,-0.0065163,-0.028544
"399/434.213mz/2.27min",0.0067294,-0.018732,-0.031645,0.027021,-0.0046335,0.013746
"400/195.1227mz/2.28min",-0.0041781,-0.004161,-0.0013899,0.011414,0.0030993,-0.014314
"401/217.1046mz/2.29min",-0.0024928,-0.0041388,-0.003207,0.0083508,0.012331,0.014735
"402/259.1764mz/2.28min",-0.0076267,0.0059405,-0.0022052,0.028111,0.015345,1.7416e-05
"403/324.0747mz/2.3min",-0.0040177,-0.029054,-0.029008,0.056085,-0.003343,-0.018659
"405/244.2012mz/2.31min",-0.00016895,-0.0021989,0.00078503,-0.0016044,-0.0030953,0.083655
"408/247.1076mz/2.33min",0.0080579,-0.019855,-0.028917,0.022723,-0.0028386,0.026266
"409/292.1026mz/2.33min",0.010622,-0.028412,-0.048073,0.0075463,0.0010625,-0.0019577
"410/270.1924mz/2.33min",0.0034981,-0.015844,-0.025124,0.020089,-0.0016507,0.028304
"411/392.1484mz/2.35min",-0.0046061,-0.0022282,-0.013489,0.027956,0.0020975,-0.00058586
"412/389.1705mz/2.35min",0.0068285,-0.018198,-0.030669,0.025329,-0.0050546,0.029718
"413/217.1051mz/2.36min",-0.00072983,-0.013677,-0.016271,0.022815,-0.0037517,-0.042943
"415/216.1019mz/2.36min",0.0010327,-0.013335,-0.018235,0.025013,-0.0041755,-0.056777
"418/225.087mz/2.37min",-0.006853,-0.00019939,-0.0060213,0.036518,0.023708,-0.054541
"419/244.2012mz/2.37min",-0.0010488,-0.0020623,0.0012268,-0.0023149,-0.00059456,0.027857
"420/302.1961mz/2.37min",-0.0074766,-0.017691,0.0050513,0.03037,0.016923,0.012268
"421/443.177mz/2.38min",0.009252,-0.020186,-0.030986,0.026133,-0.0066217,0.00013142
"422/140.1434mz/2.39min",-0.005168,-0.0068632,-0.0030363,0.024351,0.013032,0.013325
"423/224.0917mz/2.39min",0.004282,-0.016504,-0.023314,0.019343,-0.0072742,-0.0012688
"424/261.1444mz/2.39min",-0.0071822,-0.00022103,-0.0072752,0.026435,0.017507,-0.02797
"426/229.1546mz/2.4min",0.0028207,0.0048679,-0.024103,-0.0089952,-0.0088961,-0.029467
"430/393.223mz/2.41min",-0.000103,-0.032524,-0.040236,0.024671,0.07628,-0.042716
"431/298.0968mz/2.44min",-0.0040794,-0.0040806,-0.0034927,0.024322,0.0074751,-0.055873
"432/190.0498mz/2.46min",0.0089754,-0.016699,-0.023508,0.012826,-0.01206,-0.0022287
"434/261.1444mz/2.45min",-0.0057397,0.00014866,-0.0050048,0.0278,0.0067133,0.027282
"435/114.0913mz/2.49min",0.0011886,-0.0086267,-0.016014,0.016994,-0.0024949,0.055549
"436/240.1059mz/2.51min",-0.004203,0.0017261,-0.010212,0.026603,0.015646,-0.027228
"437/244.2012mz/2.52min",0.00043947,-0.0021508,-0.00063183,-0.00018333,-0.002781,0.013817
"438/221.092mz/2.52min",-0.0026011,0.0018361,-0.011272,0.025313,0.017836,0.012069
"440/239.1026mz/2.52min",-0.0050428,0.0013099,-0.0093122,0.025051,0.014492,-0.027113
