"","FC","log2(FC)","raw.pval","-log10(p)"
"662/497.3429mz/6.3min",0.47526,-1.0732,0.00071787,3.144
"661/496.3396mz/6.3min",0.47345,-1.0787,0.00088068,3.0552
"1347/113.9636mz/10.42min",2.5372,1.3433,0.0035496,2.4498
"634/494.324mz/5.79min",0.39711,-1.3324,0.0093275,2.0302
"640/494.3239mz/5.9min",0.46862,-1.0935,0.011824,1.9272
"667/524.2979mz/6.33min",0.49782,-1.0063,0.01333,1.8752
"673/524.3611mz/6.37min",0.37852,-1.4016,0.013644,1.8651
"848/637.305mz/7.7min",2.4674,1.303,0.013776,1.8609
"674/522.3552mz/6.37min",0.39497,-1.3402,0.013849,1.8586
"675/523.3585mz/6.37min",0.39324,-1.3465,0.014096,1.8509
"651/496.3396mz/6.19min",0.4357,-1.1986,0.017012,1.7692
"676/544.337mz/6.37min",0.37362,-1.4204,0.017211,1.7642
"685/522.3552mz/6.47min",0.45359,-1.1405,0.021668,1.6642
"672/498.2824mz/6.28min",0.49114,-1.0258,0.023235,1.6339
"1187/738.6601mz/9.48min",6.1629,2.6236,0.027181,1.5657
"767/427.3205mz/7.42min",0.48404,-1.0468,0.029172,1.535
"1034/838.7484mz/8.52min",6.6396,2.7311,0.031897,1.4962
"1203/764.6756mz/9.73min",4.6076,2.204,0.033453,1.4756
"1189/649.5012mz/9.54min",0.48564,-1.042,0.036442,1.4384
"1011/838.7482mz/8.42min",13.525,3.7575,0.042366,1.373
"1190/675.5166mz/9.56min",0.48022,-1.0582,0.047548,1.3229
